iter	Passed	Remaining
0	17	4027
1	35	3992
2	52	3978
3	70	3989
4	89	4027
5	107	4001
6	124	3978
7	142	3957
8	160	3950
9	178	3936
10	196	3912
11	214	3887
12	231	3862
13	248	3837
14	266	3814
15	283	3791
16	301	3773
17	318	3754
18	336	3735
19	353	3716
20	371	3696
21	388	3676
22	406	3655
23	423	3635
24	440	3615
25	458	3595
26	475	3575
27	492	3556
28	510	3538
29	527	3518
30	545	3498
31	562	3479
32	579	3460
33	597	3441
34	614	3422
35	631	3403
36	648	3384
37	666	3367
38	683	3348
39	701	3330
40	718	3312
41	735	3293
42	753	3274
43	770	3256
44	787	3238
45	805	3220
46	822	3202
47	839	3183
48	856	3165
49	874	3147
50	891	3129
51	908	3111
52	926	3093
53	943	3075
54	960	3056
55	978	3039
56	995	3021
57	1012	3003
58	1030	2985
59	1047	2967
60	1064	2949
61	1082	2931
62	1099	2914
63	1116	2896
64	1134	2878
65	1151	2860
66	1168	2843
67	1186	2826
68	1203	2808
69	1221	2791
70	1238	2773
71	1255	2756
72	1273	2738
73	1290	2720
74	1308	2703
75	1325	2685
76	1342	2668
77	1360	2650
78	1377	2632
79	1394	2615
80	1412	2597
81	1429	2579
82	1446	2562
83	1463	2544
84	1481	2526
85	1498	2509
86	1516	2491
87	1533	2474
88	1550	2457
89	1568	2439
90	1585	2422
91	1603	2404
92	1620	2386
93	1637	2369
94	1655	2352
95	1672	2334
96	1690	2317
97	1707	2299
98	1724	2282
99	1742	2265
100	1759	2247
101	1777	2230
102	1794	2212
103	1812	2195
104	1829	2178
105	1846	2160
106	1864	2143
107	1881	2125
108	1899	2108
109	1916	2090
110	1933	2073
111	1951	2055
112	1960	2029
113	1977	2012
114	1994	1994
115	2012	1977
116	2029	1960
117	2047	1943
118	2064	1925
119	2081	1908
120	2099	1890
121	2116	1873
122	2133	1856
123	2151	1838
124	2168	1821
125	2185	1804
126	2203	1786
127	2220	1769
128	2237	1752
129	2255	1734
130	2272	1717
131	2289	1700
132	2307	1682
133	2324	1665
134	2342	1648
135	2359	1630
136	2376	1613
137	2394	1596
138	2411	1578
139	2429	1561
140	2446	1544
141	2463	1526
142	2481	1509
143	2498	1492
144	2515	1474
145	2533	1457
146	2550	1440
147	2568	1422
148	2585	1405
149	2602	1388
150	2620	1370
151	2637	1353
152	2654	1336
153	2671	1318
154	2689	1301
155	2706	1283
156	2723	1266
157	2741	1249
158	2758	1231
159	2775	1214
160	2793	1197
161	2810	1179
162	2828	1162
163	2845	1145
164	2862	1127
165	2880	1110
166	2897	1093
167	2914	1075
168	2932	1058
169	2949	1040
170	2966	1023
171	2984	1006
172	3001	988
173	3018	971
174	3035	954
175	3053	936
176	3070	919
177	3087	902
178	3105	884
179	3122	867
180	3139	849
181	3157	832
182	3174	815
183	3191	797
184	3209	780
185	3226	763
186	3243	745
187	3261	728
188	3278	711
189	3295	693
190	3313	676
191	3330	659
192	3347	641
193	3365	624
194	3382	607
195	3399	589
196	3417	572
197	3434	555
198	3451	537
199	3469	520
200	3486	503
201	3503	485
202	3521	468
203	3538	450
204	3555	433
205	3573	416
206	3590	398
207	3607	381
208	3624	364
209	3642	346
210	3659	329
211	3676	312
212	3693	294
213	3711	277
214	3728	260
215	3745	242
216	3763	225
217	3780	208
218	3797	190
219	3815	173
220	3832	156
221	3849	138
222	3867	121
223	3884	104
224	3901	86
225	3919	69
226	3936	52
227	3953	34
228	3970	17
229	3987	0
