region,ds,y,calendar_ds
abruzzo,2012-01-08,2.54,2012-01-08
abruzzo,2012-01-15,1.91,2012-01-15
abruzzo,2012-01-22,5.8,2012-01-22
abruzzo,2012-01-29,11.38,2012-01-29
abruzzo,2012-02-05,9.96,2012-02-05
abruzzo,2012-02-12,9.47,2012-02-12
abruzzo,2012-02-19,5.47,2012-02-19
abruzzo,2012-02-26,4.6,2012-02-26
abruzzo,2012-03-04,4.6,2012-03-04
abruzzo,2012-03-11,4.6,2012-03-11
abruzzo,2012-03-18,5.0,2012-03-18
abruzzo,2012-03-25,4.38,2012-03-25
abruzzo,2012-04-01,1.97,2012-04-01
abruzzo,2012-04-08,1.79,2012-04-08
abruzzo,2012-04-15,1.64,2012-04-15
abruzzo,2012-04-22,1.64,2012-04-22
abruzzo,2012-04-29,0.11,2012-04-29
abruzzo,2012-05-06,0.3,2012-11-04
abruzzo,2012-05-13,0.07,2012-11-11
abruzzo,2012-05-20,0.41,2012-11-18
abruzzo,2012-05-27,0.49,2012-11-25
abruzzo,2012-06-03,0.61,2012-12-02
abruzzo,2012-06-10,0.21,2012-12-09
abruzzo,2012-06-17,1.81,2012-12-16
abruzzo,2012-06-24,3.52,2012-12-23
abruzzo,2012-07-01,3.52,2012-12-30
abruzzo,2012-07-08,2.11,2013-01-06
abruzzo,2012-07-15,3.39,2013-01-13
abruzzo,2012-07-22,5.81,2013-01-20
abruzzo,2012-07-29,8.38,2013-01-27
abruzzo,2012-08-05,13.69,2013-02-03
abruzzo,2012-08-12,13.56,2013-02-10
abruzzo,2012-08-19,10.77,2013-02-17
abruzzo,2012-08-26,11.23,2013-02-24
abruzzo,2012-09-02,9.55,2013-03-03
abruzzo,2012-09-09,6.91,2013-03-10
abruzzo,2012-09-16,4.33,2013-03-17
abruzzo,2012-09-23,4.62,2013-03-24
abruzzo,2012-09-30,2.37,2013-03-31
abruzzo,2012-10-07,2.16,2013-04-07
abruzzo,2012-10-14,1.5,2013-04-14
abruzzo,2012-10-21,0.0,2013-04-21
abruzzo,2012-10-28,0.38,2013-04-28
abruzzo,2012-11-04,0.51,2013-10-27
abruzzo,2012-11-11,0.53,2013-11-03
abruzzo,2012-11-18,0.63,2013-11-10
abruzzo,2012-11-25,0.38,2013-11-17
abruzzo,2012-12-02,0.43,2013-11-24
abruzzo,2012-12-09,0.28,2013-12-01
abruzzo,2012-12-16,0.83,2013-12-08
abruzzo,2012-12-23,1.54,2013-12-15
abruzzo,2012-12-30,1.77,2013-12-29
abruzzo,2013-01-06,3.2,2014-01-05
abruzzo,2013-01-13,2.88,2014-01-12
abruzzo,2013-01-20,5.36,2014-01-26
abruzzo,2013-01-27,6.89,2014-02-02
abruzzo,2013-02-03,6.27,2014-02-09
abruzzo,2013-02-10,8.36,2014-02-16
abruzzo,2013-02-17,6.29,2014-02-23
abruzzo,2013-02-24,4.95,2014-03-02
abruzzo,2013-03-03,4.17,2014-03-09
abruzzo,2013-03-10,4.14,2014-03-16
abruzzo,2013-03-17,3.61,2014-03-23
abruzzo,2013-03-24,2.98,2014-03-30
abruzzo,2013-03-31,2.54,2014-04-06
abruzzo,2013-04-07,2.05,2014-04-13
abruzzo,2013-04-14,1.81,2014-04-20
abruzzo,2013-04-21,0.78,2014-04-27
abruzzo,2013-04-28,0.8,2014-11-09
abruzzo,2013-05-05,0.77,2014-11-16
abruzzo,2013-05-12,1.24,2014-11-23
abruzzo,2013-05-19,1.24,2014-11-30
abruzzo,2013-05-26,0.86,2014-12-07
abruzzo,2013-06-02,1.1,2014-12-14
abruzzo,2013-06-09,1.81,2014-12-21
abruzzo,2013-06-16,1.81,2014-12-28
abruzzo,2013-06-23,3.28,2015-01-04
abruzzo,2013-06-30,5.06,2015-01-11
abruzzo,2013-07-07,10.0,2015-01-18
abruzzo,2013-07-14,10.0,2015-01-25
abruzzo,2013-07-21,12.74,2015-02-01
abruzzo,2013-07-28,9.21,2015-02-08
abruzzo,2013-08-04,8.66,2015-02-15
abruzzo,2013-08-11,7.63,2015-02-22
abruzzo,2013-08-18,5.58,2015-03-01
abruzzo,2013-08-25,4.36,2015-03-08
abruzzo,2013-09-01,2.69,2015-03-15
abruzzo,2013-09-08,2.99,2015-03-22
abruzzo,2013-09-15,2.24,2015-03-29
abruzzo,2013-09-22,1.97,2015-04-05
abruzzo,2013-09-29,2.19,2015-04-12
abruzzo,2013-10-06,1.63,2015-04-19
abruzzo,2013-10-13,1.51,2015-04-26
abruzzo,2013-10-20,0.69,2015-11-01
abruzzo,2013-10-27,0.39,2015-11-08
abruzzo,2013-11-03,0.98,2015-11-15
abruzzo,2013-11-10,0.84,2015-11-22
abruzzo,2013-11-17,1.41,2015-11-29
abruzzo,2013-11-24,0.82,2015-12-06
abruzzo,2013-12-01,0.9,2015-12-13
abruzzo,2013-12-08,1.6,2015-12-20
abruzzo,2013-12-15,1.82,2015-12-27
abruzzo,2013-12-22,2.14,2016-01-03
abruzzo,2013-12-29,2.94,2016-01-10
abruzzo,2014-01-05,2.8,2016-01-17
abruzzo,2014-01-12,3.12,2016-01-24
abruzzo,2014-01-19,3.64,2016-01-31
abruzzo,2014-01-26,2.69,2016-02-07
abruzzo,2014-02-02,5.75,2016-02-14
abruzzo,2014-02-09,5.66,2016-02-21
abruzzo,2014-02-16,6.28,2016-02-28
abruzzo,2014-02-23,8.76,2016-03-06
abruzzo,2014-03-02,5.9,2016-03-13
abruzzo,2014-03-09,6.77,2016-03-20
abruzzo,2014-03-16,4.47,2016-03-27
abruzzo,2014-03-23,4.05,2016-04-03
abruzzo,2014-03-30,2.2,2016-04-10
abruzzo,2014-04-06,2.52,2016-04-17
abruzzo,2014-04-13,1.61,2016-04-24
abruzzo,2014-04-20,1.19,2016-11-06
abruzzo,2014-04-27,0.92,2016-11-13
abruzzo,2014-05-04,1.45,2016-11-20
abruzzo,2014-05-11,1.6,2016-11-27
abruzzo,2014-05-18,1.95,2016-12-04
abruzzo,2014-05-25,1.76,2016-12-11
abruzzo,2014-06-01,4.32,2016-12-18
abruzzo,2014-06-08,7.15,2016-12-25
abruzzo,2014-06-15,12.43,2017-01-01
abruzzo,2014-06-22,10.18,2017-01-08
abruzzo,2014-06-29,7.7,2017-01-15
abruzzo,2014-07-06,4.27,2017-01-22
abruzzo,2014-07-13,2.79,2017-01-29
abruzzo,2014-07-20,2.47,2017-02-05
abruzzo,2014-07-27,1.87,2017-02-12
abruzzo,2014-08-03,1.77,2017-02-19
abruzzo,2014-08-10,1.87,2017-02-26
abruzzo,2014-08-17,1.74,2017-03-05
abruzzo,2014-08-24,1.77,2017-03-12
abruzzo,2014-08-31,1.72,2017-03-19
abruzzo,2014-09-07,1.4,2017-03-26
abruzzo,2014-09-14,1.14,2017-04-02
abruzzo,2014-09-21,0.9,2017-04-09
abruzzo,2014-09-28,0.89,2017-04-16
abruzzo,2014-10-05,0.91,2017-04-23
