model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel
ARIMA,2008-2009,latest,2009-01-25,2009-02-15,3.0,8.23,5.471995977475871,2.75800402252413,-0.3351159201122879
ARIMA,2009-2010,latest,2009-11-15,2009-11-22,1.0,12.92,10.758020393920509,2.161979606079491,-0.16733588282349002
ARIMA,2010-2011,latest,2011-02-06,2011-02-06,0.0,11.04,10.04891345290967,0.9910865470903296,-0.08977233216397913
ARIMA,2011-2012,latest,2012-02-05,2012-02-05,0.0,9.63,9.5986976161606,0.031302383839401315,-0.0032505071484321196
ARIMA,2012-2013,latest,2013-02-10,2013-02-24,2.0,9.98,8.702878556561618,1.2771214434383822,-0.1279680805048479
ARIMA,2013-2014,latest,2014-02-09,2014-01-26,-2.0,6.62,5.424495303619574,1.195504696380426,-0.18058983329009454
ARIMA,2014-2015,latest,2015-01-25,2015-02-01,1.0,10.87,11.93324736902241,1.0632473690224113,0.0978148453562476
ARIMA,2015-2016,latest,2016-02-28,2016-02-21,-1.0,6.14,6.251057346410493,0.11105734641049292,0.01808751570203468
ARIMA,2016-2017,latest,2017-01-01,2017-01-08,1.0,9.57,11.19336953122713,1.6233695312271301,0.16963108999238558
ARIMA,2017-2018,latest,2018-01-14,2018-01-28,2.0,14.73,12.15119588093492,2.5788041190650812,-0.17507156273354252
ARIMA,2018-2019,latest,2019-02-03,2019-02-03,0.0,14.06,12.166588374227796,1.8934116257722042,-0.13466654521850668
ARIMA,2019-2020,latest,2020-02-02,2020-02-02,0.0,12.62,9.738007899134574,2.881992100865425,-0.22836704444258518
ARIMA,2020-2021,latest,2020-11-08,2020-11-22,2.0,2.04,2.708706268395196,0.6687062683951961,0.327797190389802
ARIMA,2021-2022,latest,2022-04-03,2022-04-03,0.0,5.29,5.484318843468786,0.19431884346878636,0.03673324073133958
ARIMA,2022-2023,latest,2022-12-04,2022-12-11,1.0,15.72,15.99758302882905,0.2775830288290493,0.01765795348785301
ARIMA,2023-2024,latest,2023-12-31,2024-01-07,1.0,18.45,19.85178087430914,1.4017808743091393,0.07597728316038696
ARIMA,2024-2025,latest,2025-01-26,2025-01-26,0.0,17.3743081984728,16.12773908401448,1.246569114458321,-0.07174784171077928
CatBoost,2008-2009,latest,2009-01-25,2009-02-15,3.0,8.23,5.103118910022407,3.1268810899775934,-0.3799369489644706
CatBoost,2009-2010,latest,2009-11-15,2009-11-22,1.0,12.92,7.781715130155421,5.138284869844579,-0.39770006732543184
CatBoost,2010-2011,latest,2011-02-06,2011-01-23,-2.0,11.04,7.552743240715056,3.487256759284943,-0.31587470645696947
CatBoost,2011-2012,latest,2012-02-05,2012-02-05,0.0,9.63,7.220629752780058,2.409370247219943,-0.2501942105108975
CatBoost,2012-2013,latest,2013-02-10,2013-02-03,-1.0,9.98,9.330609329130814,0.6493906708691863,-0.06506920549791446
CatBoost,2013-2014,latest,2014-02-09,2014-02-16,1.0,6.62,9.405878921336624,2.785878921336624,0.42082763162184655
CatBoost,2014-2015,latest,2015-01-25,2015-02-01,1.0,10.87,11.185432443580416,0.31543244358041633,0.029018624064435727
CatBoost,2015-2016,latest,2016-02-28,2016-02-21,-1.0,6.14,6.288914565497006,0.1489145654970061,0.02425318656303031
CatBoost,2016-2017,latest,2017-01-01,2017-01-08,1.0,9.57,10.354182547942006,0.7841825479420059,0.08194175004618662
CatBoost,2017-2018,latest,2018-01-14,2018-01-28,2.0,14.73,11.249765911654167,3.480234088345833,-0.23626843776957454
CatBoost,2018-2019,latest,2019-02-03,2019-01-27,-1.0,14.06,10.079859710977887,3.9801402890221134,-0.2830825241125258
CatBoost,2019-2020,latest,2020-02-02,2020-01-26,-1.0,12.62,9.236603609081133,3.3833963909188665,-0.26809797075426833
CatBoost,2020-2021,latest,2020-11-08,2020-11-22,2.0,2.04,4.644668210885303,2.604668210885303,1.2767981425908348
CatBoost,2021-2022,latest,2022-04-03,2021-12-26,-14.0,5.29,10.428185878973336,5.138185878973336,0.971301678444865
CatBoost,2022-2023,latest,2022-12-04,2022-12-04,0.0,15.72,12.623253025221894,3.0967469747781067,-0.1969940823650195
CatBoost,2023-2024,latest,2023-12-31,2023-12-31,0.0,18.45,15.84583387843541,2.604166121564589,-0.14114721526095333
CatBoost,2024-2025,latest,2025-01-26,2025-01-26,0.0,17.3743081984728,17.15518642891647,0.219121769556331,-0.012611827017986925
Chronos-Bolt-small,2008-2009,latest,2009-01-25,2009-02-15,3.0,8.23,5.58984375,2.6401562500000004,-0.32079662818955046
Chronos-Bolt-small,2009-2010,latest,2009-11-15,2009-11-22,1.0,12.92,14.5859375,1.6659375,0.12894253095975233
Chronos-Bolt-small,2010-2011,latest,2011-02-06,2011-01-30,-1.0,11.04,9.8359375,1.2040624999999991,-0.10906363224637675
Chronos-Bolt-small,2011-2012,latest,2012-02-05,2012-01-29,-1.0,9.63,6.67578125,2.954218750000001,-0.3067724558670821
Chronos-Bolt-small,2012-2013,latest,2013-02-10,2013-02-17,1.0,9.98,9.6328125,0.3471875000000004,-0.03478832665330665
Chronos-Bolt-small,2013-2014,latest,2014-02-09,2014-02-02,-1.0,6.62,6.1796875,0.4403125000000001,-0.06651246223564956
Chronos-Bolt-small,2014-2015,latest,2015-01-25,2015-02-15,3.0,10.87,11.9140625,1.0440625000000008,0.09604990800367993
