origin,target_date,horizon,quantile,value,model
2006-10-15,2006-10-22,1,0.01,4.607910112123583,ARIMA
2006-10-15,2006-10-22,1,0.025,4.743997729862591,ARIMA
2006-10-15,2006-10-22,1,0.05,4.861040588781815,ARIMA
2006-10-15,2006-10-22,1,0.1,4.995983509235816,ARIMA
2006-10-15,2006-10-22,1,0.15,5.087028857023178,ARIMA
2006-10-15,2006-10-22,1,0.2,5.159388813248315,ARIMA
2006-10-15,2006-10-22,1,0.25,5.221467212636808,ARIMA
2006-10-15,2006-10-22,1,0.3,5.277215533901267,ARIMA
2006-10-15,2006-10-22,1,0.35,5.328874661713495,ARIMA
2006-10-15,2006-10-22,1,0.4,5.377894122250177,ARIMA
2006-10-15,2006-10-22,1,0.45,5.42532101761701,ARIMA
2006-10-15,2006-10-22,1,0.5,5.471995977475871,ARIMA
2006-10-15,2006-10-22,1,0.55,5.518670937334731,ARIMA
2006-10-15,2006-10-22,1,0.6,5.566097832701565,ARIMA
2006-10-15,2006-10-22,1,0.65,5.615117293238246,ARIMA
2006-10-15,2006-10-22,1,0.7,5.666776421050474,ARIMA
2006-10-15,2006-10-22,1,0.75,5.722524742314933,ARIMA
2006-10-15,2006-10-22,1,0.8,5.7846031417034265,ARIMA
2006-10-15,2006-10-22,1,0.85,5.856963097928563,ARIMA
2006-10-15,2006-10-22,1,0.9,5.948008445715925,ARIMA
2006-10-15,2006-10-22,1,0.95,6.082951366169926,ARIMA
2006-10-15,2006-10-22,1,0.975,6.19999422508915,ARIMA
2006-10-15,2006-10-22,1,0.99,6.3360818428281585,ARIMA
2006-10-15,2006-10-29,2,0.01,2.4242925844617877,ARIMA
2006-10-15,2006-10-29,2,0.025,2.744283651739296,ARIMA
2006-10-15,2006-10-29,2,0.05,3.0194936228227847,ARIMA
2006-10-15,2006-10-29,2,0.1,3.336793093965208,ARIMA
2006-10-15,2006-10-29,2,0.15,3.5508735407623826,ARIMA
2006-10-15,2006-10-29,2,0.2,3.7210178933885087,ARIMA
2006-10-15,2006-10-29,2,0.25,3.8669865980012994,ARIMA
2006-10-15,2006-10-29,2,0.3,3.998071006096057,ARIMA
2006-10-15,2006-10-29,2,0.35,4.119540245677887,ARIMA
2006-10-15,2006-10-29,2,0.4,4.234802675538206,ARIMA
2006-10-15,2006-10-29,2,0.45,4.346320410349298,ARIMA
2006-10-15,2006-10-29,2,0.5,4.4560700736067975,ARIMA
2006-10-15,2006-10-29,2,0.55,4.565819736864297,ARIMA
2006-10-15,2006-10-29,2,0.6,4.677337471675389,ARIMA
2006-10-15,2006-10-29,2,0.65,4.792599901535708,ARIMA
2006-10-15,2006-10-29,2,0.7,4.914069141117538,ARIMA
2006-10-15,2006-10-29,2,0.75,5.045153549212295,ARIMA
2006-10-15,2006-10-29,2,0.8,5.191122253825086,ARIMA
2006-10-15,2006-10-29,2,0.85,5.3612666064512124,ARIMA
