model,horizon,MAE,RMSE,sMAPE,MASE,WIS,CRPS,PinballLoss,Coverage95,Coverage95_Dist
ARIMA,1,0.3254837996060897,0.4593968353660925,10.83067279654755,0.1864414802766762,0.21605273074127054,0.23918439021463428,0.10802636537063527,0.9380530973451328,0.011946902654867197
ARIMA,2,0.7279290147590968,1.0671869817776247,24.488282003303098,0.4169674902783987,0.4997439963231438,0.5518865112581697,0.2498719981615719,0.9380530973451328,0.011946902654867197
ARIMA,4,1.6648748061972964,2.4512859048647484,44.43788202676284,0.9536625900226858,1.1486946121260488,1.2675347307321205,0.5743473060630244,0.9203539823008849,0.029646017699115013
ARIMA,8,2.6434805709830007,3.8160008945752795,65.70467568207322,1.5142210805366385,1.7946978807749603,1.9855573926971837,0.8973489403874801,0.911504424778761,0.03849557522123892
CatBoost,1,0.5376572153331728,0.9403615700177728,12.79770972536179,0.3079772548724938,0.43513893615781324,0.46748246656405207,0.21756946807890662,0.8672566371681416,0.08274336283185835
CatBoost,2,0.8724259204782533,1.5702515890653885,21.505062259285243,0.4997372534134079,0.6910877451942397,0.7465118196679449,0.3455438725971198,0.8672566371681416,0.08274336283185835
CatBoost,4,1.5962569064546732,2.6045889134306663,39.323853487901076,0.914357337911908,1.2476857563568584,1.3577758821671895,0.6238428781784292,0.8407079646017699,0.10929203539823007
CatBoost,8,2.320882125197568,3.499253925797079,54.507711371287215,1.3294323695778094,1.690663737971405,1.8420886523339914,0.8453318689857025,0.831858407079646,0.11814159292035398
Chronos-Bolt-small,1,0.5977058171307305,0.886720829814356,18.072667980383063,0.3423738983344127,0.39891456015496435,0.44147898632768984,0.1994572800774822,0.8761061946902655,0.07389380530973444
Chronos-Bolt-small,2,0.8681401273066658,1.4887108203942037,25.56061978218553,0.4972822936764334,0.6072872229453894,0.6642133865496241,0.3036436114726947,0.8230088495575221,0.12699115044247788
Chronos-Bolt-small,4,1.5094140244348637,2.48334249652387,36.45109705738804,0.8646125718287389,1.0805539820456733,1.173455021857,0.5402769910228367,0.7610619469026548,0.18893805309734513
Chronos-Bolt-small,8,2.031456537829681,3.231390642402206,49.39458608635984,1.1636455162716834,1.4706396407303202,1.5858986333200151,0.7353198203651601,0.7964601769911505,0.1535398230088495
Chronos-Small,1,0.3148442044858597,0.5196147200427701,7.74480071048647,0.18034697767420912,0.21860814180177615,0.23708018803374406,0.10930407090088808,0.8495575221238938,0.10044247787610616
Chronos-Small,2,0.6218218447992538,1.2238259108142149,14.631186332255854,0.35618788201763824,0.46032783187593707,0.4936653256985581,0.23016391593796853,0.831858407079646,0.11814159292035398
Chronos-Small,4,1.4031166809639803,2.4611837190779777,29.231226264323656,0.8037240296334763,1.065847357925888,1.142289245266902,0.5329236789629439,0.7522123893805309,0.19778761061946903
Chronos-Small,8,2.099987174526477,3.5225880716238795,42.45123880577729,1.2029007829409208,1.5217181740961028,1.6466410847358948,0.7608590870480514,0.7345132743362832,0.21548672566371674
Chronos-V2,1,0.39735226693714626,0.6626237054611367,10.190362470978421,0.22760870104352948,0.26797361552631954,0.29310089007259077,0.13398680776315977,0.9911504424778761,0.04115044247787614
Chronos-V2,2,0.702959705425236,1.239001458598669,16.78035166956405,0.4026647354275421,0.44927518800015603,0.49818315458881834,0.22463759400007802,0.9911504424778761,0.04115044247787614
Chronos-V2,4,1.3178914511494653,2.176770314683833,31.033469198476187,0.7549058764019849,0.8546380635634588,0.953321682229323,0.4273190317817294,0.9557522123893806,0.005752212389380618
Chronos-V2,8,1.8118668413061407,2.9316409465205844,44.48209732961781,1.0378615966944187,1.2517763819394463,1.385658507647022,0.6258881909697231,0.9380530973451328,0.011946902654867197
Drift,1,0.6908540073827502,1.037736092584922,16.52694148498239,0.39573042943272757,0.4960725820073685,0.549351962482762,0.2480362910036842,0.8849557522123894,0.06504424778761053
Drift,2,1.3659000820938505,1.9457165164856685,34.73736335760013,0.7824058632835451,0.9391481349785692,1.0344098562110748,0.4695740674892846,0.831858407079646,0.11814159292035398
Drift,4,2.435058983456165,3.4244777628490906,59.15396196001682,1.39483440338974,1.740735649123404,1.8981731763269545,0.870367824561702,0.7433628318584071,0.20663716814159283
Drift,8,4.006772554891445,5.1711526160434005,87.63507110509003,2.2951329902440527,2.829969124996042,3.104781125370269,1.414984562498021,0.6637168141592921,0.2862831858407079
ETS,1,0.6968275785665807,1.0369664105775966,16.65552017314255,0.39915217102293676,0.4616044053353758,0.5116115907182298,0.23080220266768792,0.9823008849557522,0.03230088495575223
ETS,2,1.3648127961195335,1.9463541363526993,33.75096819771748,0.781783051313238,0.8385207258939726,0.9313343886357871,0.4192603629469863,0.9823008849557522,0.03230088495575223
ETS,4,2.4273676658613415,3.410357642303464,56.51506140613039,1.3904287136460647,1.5555774018774478,1.7206079683985973,0.7777887009387239,0.9026548672566371,0.04734513274336283
ETS,8,4.0151171872926374,5.138496792069569,83.32888498699846,2.299912907459982,2.564406863210074,2.823295477125822,1.282203431605037,0.8141592920353983,0.13584070796460168
LightGBM,1,0.6335569304052965,0.9965817620364539,16.131693876128267,0.36290989624449677,0.49040542858746167,0.5304894521937409,0.24520271429373078,0.8584070796460177,0.09159292035398225
LightGBM,2,1.108588840464736,1.7498171969282852,30.617336785428193,0.6350145373889212,0.8511179745063445,0.9256148453929798,0.42555898725317226,0.8407079646017699,0.10929203539823007
LightGBM,4,2.1603789066184453,3.176040801238907,57.90886524976966,1.2374939760317158,1.6100509759308197,1.751454047135655,0.8050254879654098,0.831858407079646,0.11814159292035398
LightGBM,8,3.2313213152921927,4.480666542902209,77.6290779128211,1.850944133016017,2.3512319490426106,2.5651571390628147,1.1756159745213053,0.7522123893805309,0.19778761061946903
MovingAverage,1,2.8942352569452576,3.7136227805101236,71.96023241989813,1.6578567235200858,1.9279319560894226,2.1065923936270625,0.9639659780447113,0.8495575221238938,0.10044247787610616
MovingAverage,2,2.883293026678082,3.7180707487313214,73.26099651684943,1.6515888674516443,1.9203124403814267,2.1043209503220486,0.9601562201907133,0.8584070796460177,0.09159292035398225
MovingAverage,4,2.8908443206431196,3.708707700547807,71.82917131850928,1.6559143497845585,1.923088001996936,2.1074957828412826,0.9615440009984679,0.8495575221238938,0.10044247787610616
MovingAverage,8,2.8985854127357165,3.733310951017097,71.83395674886299,1.6603485510272886,1.9306623295869696,2.1163715030767953,0.9653311647934848,0.8495575221238938,0.10044247787610616
Naive,1,0.6886219148096304,1.0367768643060205,16.501471442243858,0.39445185690791784,0.4949555411801902,0.547980374365427,0.24747777059009513,0.8849557522123894,0.06504424778761053
Naive,2,1.3617479765404386,1.9383356156424032,34.72055440829631,0.78002748160501,0.9355074373202885,1.030515683393549,0.46775371866014426,0.831858407079646,0.11814159292035398
Naive,4,2.419998853407372,3.4016949000888212,59.09384851286269,1.3862077591670339,1.7290405452124833,1.8857199289070798,0.8645202726062419,0.7433628318584071,0.20663716814159283
Naive,8,3.95686715655878,5.109817119032083,87.47322911585164,2.2665465095952473,2.795140433966746,3.066590026556725,1.397570216983373,0.6814159292035398,0.2685840707964602
Prophet,1,2.978788818096549,3.8362214346347994,72.59771899307397,1.7062901359442668,1.9620384707310783,2.1735447708599236,0.9810192353655391,0.8672566371681416,0.08274336283185835
