origin,target_date,horizon,quantile,value,model
2006-10-15,2006-10-22,1,0.01,3.874380968011547,CatBoost
2006-10-15,2006-10-22,1,0.025,4.011244074744769,CatBoost
2006-10-15,2006-10-22,1,0.05,4.239349252633473,CatBoost
2006-10-15,2006-10-22,1,0.1,4.695559608410881,CatBoost
2006-10-15,2006-10-22,1,0.15,4.868019882102994,CatBoost
2006-10-15,2006-10-22,1,0.2,4.959408703770737,CatBoost
2006-10-15,2006-10-22,1,0.25,5.020196050449892,CatBoost
2006-10-15,2006-10-22,1,0.3,5.056502217138178,CatBoost
2006-10-15,2006-10-22,1,0.35,5.082354731264624,CatBoost
2006-10-15,2006-10-22,1,0.4,5.0872999402673935,CatBoost
2006-10-15,2006-10-22,1,0.45,5.0928380044451105,CatBoost
2006-10-15,2006-10-22,1,0.5,5.103118910022407,CatBoost
2006-10-15,2006-10-22,1,0.55,5.113399815599704,CatBoost
2006-10-15,2006-10-22,1,0.6,5.1189378797774205,CatBoost
2006-10-15,2006-10-22,1,0.65,5.1238830887801905,CatBoost
2006-10-15,2006-10-22,1,0.7,5.149735602906636,CatBoost
2006-10-15,2006-10-22,1,0.75,5.186041769594922,CatBoost
2006-10-15,2006-10-22,1,0.8,5.246829116274077,CatBoost
2006-10-15,2006-10-22,1,0.85,5.33821793794182,CatBoost
2006-10-15,2006-10-22,1,0.9,5.510678211633933,CatBoost
2006-10-15,2006-10-22,1,0.95,5.96688856741134,CatBoost
2006-10-15,2006-10-22,1,0.975,6.194993745300045,CatBoost
2006-10-15,2006-10-22,1,0.99,6.331856852033267,CatBoost
2006-10-15,2006-10-29,2,0.01,1.738723608173647,CatBoost
2006-10-15,2006-10-29,2,0.025,2.0054752675717715,CatBoost
2006-10-15,2006-10-29,2,0.05,2.4500613665686464,CatBoost
2006-10-15,2006-10-29,2,0.1,3.3392335645623956,CatBoost
2006-10-15,2006-10-29,2,0.15,3.596805960496992,CatBoost
2006-10-15,2006-10-29,2,0.2,3.673921270128974,CatBoost
