origin,target_date,horizon,quantile,value,model
2006-10-15,2006-10-22,1,0.01,4.426953125,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.025,4.4755859375,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.05,4.556640625,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.1,4.71875,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.15,4.880859375,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.2,5.04296875,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.25,5.154296875,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.3,5.265625,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.35,5.353515625,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.4,5.44140625,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.45,5.515625,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.5,5.58984375,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.55,5.681640625,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.6,5.7734375,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.65,5.873046875,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.7,5.97265625,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.75,6.107421875,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.8,6.2421875,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.85,6.46484375,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.9,6.6875,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.95,6.91015625,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.975,7.021484375,Chronos-Bolt-small
2006-10-15,2006-10-22,1,0.99,7.08828125,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.01,3.5482421875,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.025,3.59716796875,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.05,3.6787109375,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.1,3.841796875,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.15,4.0048828125,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.2,4.16796875,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.25,4.291015625,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.3,4.4140625,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.35,4.52734375,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.4,4.640625,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.45,4.7421875,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.5,4.84375,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.55,4.951171875,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.6,5.05859375,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.65,5.177734375,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.7,5.296875,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.75,5.4609375,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.8,5.625,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.85,5.888671875,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.9,6.15234375,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.95,6.416015625,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.975,6.5478515625,Chronos-Bolt-small
2006-10-15,2006-10-29,2,0.99,6.626953125,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.01,1.694921875,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.025,1.744140625,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.05,1.826171875,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.1,1.990234375,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.15,2.154296875,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.2,2.318359375,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.25,2.4521484375,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.3,2.5859375,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.35,2.7080078125,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.4,2.830078125,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.45,2.9326171875,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.5,3.03515625,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.55,3.1572265625,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.6,3.279296875,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.65,3.4150390625,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.7,3.55078125,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.75,3.7265625,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.8,3.90234375,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.85,4.18359375,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.9,4.46484375,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.95,4.74609375,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.975,4.88671875,Chronos-Bolt-small
2006-10-15,2006-11-12,4,0.99,4.97109375,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.01,0.17009277343749998,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.025,0.20843505859374997,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.05,0.2723388671875,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.1,0.400146484375,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.15,0.5279541015625,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.2,0.65576171875,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.25,0.740478515625,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.3,0.8251953125,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.35,0.887939453125,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.4,0.95068359375,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.45,1.006103515625,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.5,1.0615234375,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.55,1.12646484375,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.6,1.19140625,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.65,1.26171875,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.7,1.33203125,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.75,1.44677734375,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.8,1.5615234375,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.85,1.8090820312499998,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.9,2.056640625,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.95,2.3041992187499996,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.975,2.427978515625,Chronos-Bolt-small
2006-10-15,2006-12-10,8,0.99,2.50224609375,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.01,1.2369140625,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.025,1.2626953125,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.05,1.3056640625,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.1,1.3916015625,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.15,1.4775390625,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.2,1.5634765625,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.25,1.62744140625,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.3,1.69140625,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.35,1.7431640625,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.4,1.794921875,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.45,1.85595703125,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.5,1.9169921875,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.55,1.99169921875,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.6,2.06640625,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.65,2.146484375,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.7,2.2265625,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.75,2.333984375,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.8,2.44140625,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.85,2.6015625,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.9,2.76171875,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.95,2.921875,Chronos-Bolt-small
2006-11-12,2006-11-19,1,0.975,3.001953125,Chronos-Bolt-small
