origin,target_date,horizon,quantile,value,model
2006-10-15,2006-10-22,1,0.01,4.9306707,Chronos-Small
2006-10-15,2006-10-22,1,0.025,4.9490685,Chronos-Small
2006-10-15,2006-10-22,1,0.05,4.9674664,Chronos-Small
2006-10-15,2006-10-22,1,0.1,5.0226607,Chronos-Small
2006-10-15,2006-10-22,1,0.15,5.075095,Chronos-Small
2006-10-15,2006-10-22,1,0.2,5.1146507,Chronos-Small
2006-10-15,2006-10-22,1,0.25,5.1698446,Chronos-Small
2006-10-15,2006-10-22,1,0.3,5.2250385,Chronos-Small
2006-10-15,2006-10-22,1,0.35,5.243437,Chronos-Small
2006-10-15,2006-10-22,1,0.4,5.2986307,Chronos-Small
2006-10-15,2006-10-22,1,0.45,5.345546,Chronos-Small
2006-10-15,2006-10-22,1,0.5,5.390621,Chronos-Small
2006-10-15,2006-10-22,1,0.55,5.4274173,Chronos-Small
2006-10-15,2006-10-22,1,0.6,5.482611,Chronos-Small
2006-10-15,2006-10-22,1,0.65,5.5010095,Chronos-Small
2006-10-15,2006-10-22,1,0.7,5.5562034,Chronos-Small
2006-10-15,2006-10-22,1,0.75,5.5929995,Chronos-Small
2006-10-15,2006-10-22,1,0.8,5.6297956,Chronos-Small
2006-10-15,2006-10-22,1,0.85,5.6849895,Chronos-Small
2006-10-15,2006-10-22,1,0.9,5.7401834,Chronos-Small
2006-10-15,2006-10-22,1,0.95,5.7953773,Chronos-Small
2006-10-15,2006-10-22,1,0.975,5.8137755,Chronos-Small
2006-10-15,2006-10-22,1,0.99,5.8689694,Chronos-Small
2006-10-15,2006-10-29,2,0.01,3.201072,Chronos-Small
2006-10-15,2006-10-29,2,0.025,3.2748485,Chronos-Small
2006-10-15,2006-10-29,2,0.05,3.3484404,Chronos-Small
2006-10-15,2006-10-29,2,0.1,3.4588284,Chronos-Small
2006-10-15,2006-10-29,2,0.15,3.5692165,Chronos-Small
2006-10-15,2006-10-29,2,0.2,3.661207,Chronos-Small
2006-10-15,2006-10-29,2,0.25,3.734799,Chronos-Small
2006-10-15,2006-10-29,2,0.3,3.8083909,Chronos-Small
2006-10-15,2006-10-29,2,0.35,3.881983,Chronos-Small
2006-10-15,2006-10-29,2,0.4,3.9739733,Chronos-Small
2006-10-15,2006-10-29,2,0.45,4.039286,Chronos-Small
2006-10-15,2006-10-29,2,0.5,4.1027594,Chronos-Small
2006-10-15,2006-10-29,2,0.55,4.1763515,Chronos-Small
2006-10-15,2006-10-29,2,0.6,4.2499437,Chronos-Small
2006-10-15,2006-10-29,2,0.65,4.3051376,Chronos-Small
2006-10-15,2006-10-29,2,0.7,4.37873,Chronos-Small
2006-10-15,2006-10-29,2,0.75,4.452322,Chronos-Small
2006-10-15,2006-10-29,2,0.8,4.525914,Chronos-Small
2006-10-15,2006-10-29,2,0.85,4.6022663,Chronos-Small
2006-10-15,2006-10-29,2,0.9,4.6914964,Chronos-Small
2006-10-15,2006-10-29,2,0.95,4.820282,Chronos-Small
2006-10-15,2006-10-29,2,0.975,4.9306707,Chronos-Small
2006-10-15,2006-10-29,2,0.99,5.022845,Chronos-Small
2006-10-15,2006-11-12,4,0.01,1.4534439,Chronos-Small
2006-10-15,2006-11-12,4,0.025,1.563832,Chronos-Small
2006-10-15,2006-11-12,4,0.05,1.6374242,Chronos-Small
2006-10-15,2006-11-12,4,0.1,1.7662103,Chronos-Small
2006-10-15,2006-11-12,4,0.15,1.8398025,Chronos-Small
2006-10-15,2006-11-12,4,0.2,1.8949965,Chronos-Small
2006-10-15,2006-11-12,4,0.25,1.9869866,Chronos-Small
2006-10-15,2006-11-12,4,0.3,2.0605786,Chronos-Small
2006-10-15,2006-11-12,4,0.35,2.115773,Chronos-Small
2006-10-15,2006-11-12,4,0.4,2.1709669,Chronos-Small
2006-10-15,2006-11-12,4,0.45,2.2813551,Chronos-Small
2006-10-15,2006-11-12,4,0.5,2.3733451,Chronos-Small
2006-10-15,2006-11-12,4,0.55,2.4653354,Chronos-Small
2006-10-15,2006-11-12,4,0.6,2.5573254,Chronos-Small
