origin,target_date,horizon,quantile,value,model
2006-10-15,2006-10-22,1,0.01,3.474609375,Chronos-V2
2006-10-15,2006-10-22,1,0.025,3.728759765625,Chronos-V2
2006-10-15,2006-10-22,1,0.05,4.15234375,Chronos-V2
2006-10-15,2006-10-22,1,0.1,4.390625,Chronos-V2
2006-10-15,2006-10-22,1,0.15,4.5390625,Chronos-V2
2006-10-15,2006-10-22,1,0.2,4.65625,Chronos-V2
2006-10-15,2006-10-22,1,0.25,4.7578125,Chronos-V2
2006-10-15,2006-10-22,1,0.3,4.8515625,Chronos-V2
2006-10-15,2006-10-22,1,0.35,4.953125,Chronos-V2
2006-10-15,2006-10-22,1,0.4,5.0390625,Chronos-V2
2006-10-15,2006-10-22,1,0.45,5.1328125,Chronos-V2
2006-10-15,2006-10-22,1,0.5,5.2421875,Chronos-V2
2006-10-15,2006-10-22,1,0.55,5.33984375,Chronos-V2
2006-10-15,2006-10-22,1,0.6,5.4453125,Chronos-V2
2006-10-15,2006-10-22,1,0.65,5.5546875,Chronos-V2
2006-10-15,2006-10-22,1,0.7,5.68359375,Chronos-V2
2006-10-15,2006-10-22,1,0.75,5.828125,Chronos-V2
2006-10-15,2006-10-22,1,0.8,6.0,Chronos-V2
2006-10-15,2006-10-22,1,0.85,6.22265625,Chronos-V2
2006-10-15,2006-10-22,1,0.9,6.546875,Chronos-V2
2006-10-15,2006-10-22,1,0.95,7.34765625,Chronos-V2
2006-10-15,2006-10-22,1,0.975,11.45654296875,Chronos-V2
2006-10-15,2006-10-22,1,0.99,13.921875,Chronos-V2
2006-10-15,2006-10-29,2,0.01,2.427734375,Chronos-V2
2006-10-15,2006-10-29,2,0.025,2.658447265625,Chronos-V2
2006-10-15,2006-10-29,2,0.05,3.04296875,Chronos-V2
2006-10-15,2006-10-29,2,0.1,3.29296875,Chronos-V2
2006-10-15,2006-10-29,2,0.15,3.44921875,Chronos-V2
2006-10-15,2006-10-29,2,0.2,3.57421875,Chronos-V2
2006-10-15,2006-10-29,2,0.25,3.67578125,Chronos-V2
2006-10-15,2006-10-29,2,0.3,3.763671875,Chronos-V2
2006-10-15,2006-10-29,2,0.35,3.845703125,Chronos-V2
2006-10-15,2006-10-29,2,0.4,3.935546875,Chronos-V2
2006-10-15,2006-10-29,2,0.45,4.015625,Chronos-V2
2006-10-15,2006-10-29,2,0.5,4.109375,Chronos-V2
2006-10-15,2006-10-29,2,0.55,4.1953125,Chronos-V2
2006-10-15,2006-10-29,2,0.6,4.29296875,Chronos-V2
2006-10-15,2006-10-29,2,0.65,4.38671875,Chronos-V2
2006-10-15,2006-10-29,2,0.7,4.5,Chronos-V2
2006-10-15,2006-10-29,2,0.75,4.6328125,Chronos-V2
2006-10-15,2006-10-29,2,0.8,4.79296875,Chronos-V2
2006-10-15,2006-10-29,2,0.85,5.00390625,Chronos-V2
