origin,target_date,horizon,quantile,value,model
2006-10-15,2006-10-22,1,0.01,4.734940825630701,Drift
2006-10-15,2006-10-22,1,0.025,5.041314733916247,Drift
2006-10-15,2006-10-22,1,0.05,5.304813197037024,Drift
2006-10-15,2006-10-22,1,0.1,5.608610049548957,Drift
2006-10-15,2006-10-22,1,0.15,5.813580343659965,Drift
2006-10-15,2006-10-22,1,0.2,5.976484235728844,Drift
2006-10-15,2006-10-22,1,0.25,6.116241269886348,Drift
2006-10-15,2006-10-22,1,0.3,6.241747405932513,Drift
2006-10-15,2006-10-22,1,0.35,6.3580475451325995,Drift
2006-10-15,2006-10-22,1,0.4,6.468405004218073,Drift
2006-10-15,2006-10-22,1,0.45,6.575177123039738,Drift
2006-10-15,2006-10-22,1,0.5,6.68025641025641,Drift
2006-10-15,2006-10-22,1,0.55,6.785335697473083,Drift
2006-10-15,2006-10-22,1,0.6,6.892107816294748,Drift
2006-10-15,2006-10-22,1,0.65,7.002465275380221,Drift
2006-10-15,2006-10-22,1,0.7,7.118765414580308,Drift
2006-10-15,2006-10-22,1,0.75,7.244271550626472,Drift
2006-10-15,2006-10-22,1,0.8,7.384028584783977,Drift
2006-10-15,2006-10-22,1,0.85,7.546932476852855,Drift
2006-10-15,2006-10-22,1,0.9,7.751902770963864,Drift
2006-10-15,2006-10-22,1,0.95,8.055699623475796,Drift
2006-10-15,2006-10-22,1,0.975,8.319198086596574,Drift
2006-10-15,2006-10-22,1,0.99,8.62557199488212,Drift
2006-10-15,2006-10-29,2,0.01,3.9606736062391534,Drift
2006-10-15,2006-10-29,2,0.025,4.395329418899711,Drift
2006-10-15,2006-10-29,2,0.05,4.769157396822113,Drift
2006-10-15,2006-10-29,2,0.1,5.20015711396912,Drift
2006-10-15,2006-10-29,2,0.15,5.490950576952459,Drift
2006-10-15,2006-10-29,2,0.2,5.722064002991246,Drift
2006-10-15,2006-10-29,2,0.25,5.920338743802866,Drift
2006-10-15,2006-10-29,2,0.3,6.09839558899018,Drift
2006-10-15,2006-10-29,2,0.35,6.263391791830781,Drift
2006-10-15,2006-10-29,2,0.4,6.419957053312657,Drift
2006-10-15,2006-10-29,2,0.45,6.571435755711381,Drift
2006-10-15,2006-10-29,2,0.5,6.720512820512821,Drift
2006-10-15,2006-10-29,2,0.55,6.8695898853142605,Drift
2006-10-15,2006-10-29,2,0.6,7.021068587712985,Drift
2006-10-15,2006-10-29,2,0.65,7.17763384919486,Drift
2006-10-15,2006-10-29,2,0.7,7.342630052035461,Drift
2006-10-15,2006-10-29,2,0.75,7.520686897222776,Drift
2006-10-15,2006-10-29,2,0.8,7.718961638034395,Drift
2006-10-15,2006-10-29,2,0.85,7.950075064073182,Drift
2006-10-15,2006-10-29,2,0.9,8.240868527056522,Drift
2006-10-15,2006-10-29,2,0.95,8.671868244203528,Drift
2006-10-15,2006-10-29,2,0.975,9.04569622212593,Drift
2006-10-15,2006-10-29,2,0.99,9.480352034786488,Drift
2006-10-15,2006-11-12,4,0.01,2.873398731356798,Drift
2006-10-15,2006-11-12,4,0.025,3.4919731241765897,Drift
2006-10-15,2006-11-12,4,0.05,4.023981227431811,Drift
