origin,target_date,horizon,quantile,value,model
2006-10-15,2006-10-22,1,0.01,2.521023399417806,ETS
2006-10-15,2006-10-22,1,0.025,3.1769936810326906,ETS
2006-10-15,2006-10-22,1,0.05,3.7411643117031343,ETS
2006-10-15,2006-10-22,1,0.1,4.39161691718491,ETS
2006-10-15,2006-10-22,1,0.15,4.830474202072793,ETS
2006-10-15,2006-10-22,1,0.2,5.179264060042639,ETS
2006-10-15,2006-10-22,1,0.25,5.478494701342927,ETS
2006-10-15,2006-10-22,1,0.3,5.747213065342342,ETS
2006-10-15,2006-10-22,1,0.35,5.996220676629618,ETS
2006-10-15,2006-10-22,1,0.4,6.232504549233846,ETS
2006-10-15,2006-10-22,1,0.45,6.461111930469415,ETS
2006-10-15,2006-10-22,1,0.5,6.68609482804426,ETS
2006-10-15,2006-10-22,1,0.55,6.911077725619104,ETS
2006-10-15,2006-10-22,1,0.6,7.139685106854674,ETS
2006-10-15,2006-10-22,1,0.65,7.375968979458901,ETS
2006-10-15,2006-10-22,1,0.7,7.6249765907461775,ETS
2006-10-15,2006-10-22,1,0.75,7.893694954745592,ETS
2006-10-15,2006-10-22,1,0.8,8.19292559604588,ETS
2006-10-15,2006-10-22,1,0.85,8.541715454015726,ETS
2006-10-15,2006-10-22,1,0.9,8.980572738903609,ETS
2006-10-15,2006-10-22,1,0.95,9.631025344385385,ETS
2006-10-15,2006-10-22,1,0.975,10.195195975055828,ETS
2006-10-15,2006-10-22,1,0.99,10.851166256670712,ETS
2006-10-15,2006-10-29,2,0.01,0.7171876861056292,ETS
2006-10-15,2006-10-29,2,0.025,1.664492559719176,ETS
2006-10-15,2006-10-29,2,0.05,2.4792270118166657,ETS
2006-10-15,2006-10-29,2,0.1,3.4185636563222603,ETS
2006-10-15,2006-10-29,2,0.15,4.052329630859461,ETS
2006-10-15,2006-10-29,2,0.2,4.556026736631386,ETS
2006-10-15,2006-10-29,2,0.25,4.988154003342974,ETS
2006-10-15,2006-10-29,2,0.3,5.376217644304612,ETS
2006-10-15,2006-10-29,2,0.35,5.73581644069916,ETS
2006-10-15,2006-10-29,2,0.4,6.077040533234616,ETS
2006-10-15,2006-10-29,2,0.45,6.4071787917169205,ETS
2006-10-15,2006-10-29,2,0.5,6.7320828328385165,ETS
2006-10-15,2006-10-29,2,0.55,7.0569868739601125,ETS
2006-10-15,2006-10-29,2,0.6,7.387125132442417,ETS
2006-10-15,2006-10-29,2,0.65,7.728349224977873,ETS
2006-10-15,2006-10-29,2,0.7,8.087948021372421,ETS
2006-10-15,2006-10-29,2,0.75,8.47601166233406,ETS
2006-10-15,2006-10-29,2,0.8,8.908138929045647,ETS
2006-10-15,2006-10-29,2,0.85,9.411836034817572,ETS
2006-10-15,2006-10-29,2,0.9,10.045602009354774,ETS
2006-10-15,2006-10-29,2,0.95,10.984938653860368,ETS
2006-10-15,2006-10-29,2,0.975,11.799673105957858,ETS
2006-10-15,2006-10-29,2,0.99,12.746977979571405,ETS
2006-10-15,2006-11-12,4,0.01,-2.0496632642618415,ETS
2006-10-15,2006-11-12,4,0.025,-0.6521126846271175,ETS
2006-10-15,2006-11-12,4,0.05,0.5498579137440807,ETS
2006-10-15,2006-11-12,4,0.1,1.9356530347944938,ETS
2006-10-15,2006-11-12,4,0.15,2.8706424238901107,ETS
2006-10-15,2006-11-12,4,0.2,3.6137423505765027,ETS
2006-10-15,2006-11-12,4,0.25,4.251255920801325,ETS
2006-10-15,2006-11-12,4,0.3,4.823762810048417,ETS
2006-10-15,2006-11-12,4,0.35,5.354275763518313,ETS
2006-10-15,2006-11-12,4,0.4,5.857680677386414,ETS
2006-10-15,2006-11-12,4,0.45,6.344730757411406,ETS
2006-10-15,2006-11-12,4,0.5,6.824058842427032,ETS
