origin,target_date,horizon,quantile,value,model
2006-10-15,2006-10-22,1,0.01,2.175544310605176,LightGBM
2006-10-15,2006-10-22,1,0.025,2.5010786657052937,LightGBM
2006-10-15,2006-10-22,1,0.05,3.04363592420549,LightGBM
2006-10-15,2006-10-22,1,0.1,4.128750441205882,LightGBM
2006-10-15,2006-10-22,1,0.15,4.433950490900822,LightGBM
2006-10-15,2006-10-22,1,0.2,4.516317835651346,LightGBM
2006-10-15,2006-10-22,1,0.25,4.62124264323159,LightGBM
2006-10-15,2006-10-22,1,0.3,4.74421342107561,LightGBM
2006-10-15,2006-10-22,1,0.35,4.871522394739905,LightGBM
2006-10-15,2006-10-22,1,0.4,5.00750776004475,LightGBM
2006-10-15,2006-10-22,1,0.45,5.140217143052652,LightGBM
2006-10-15,2006-10-22,1,0.5,5.246718667685013,LightGBM
2006-10-15,2006-10-22,1,0.55,5.353220192317373,LightGBM
2006-10-15,2006-10-22,1,0.6,5.485929575325275,LightGBM
2006-10-15,2006-10-22,1,0.65,5.62191494063012,LightGBM
2006-10-15,2006-10-22,1,0.7,5.749223914294415,LightGBM
2006-10-15,2006-10-22,1,0.75,5.872194692138435,LightGBM
2006-10-15,2006-10-22,1,0.8,5.977119499718679,LightGBM
2006-10-15,2006-10-22,1,0.85,6.059486844469204,LightGBM
2006-10-15,2006-10-22,1,0.9,6.364686894164143,LightGBM
2006-10-15,2006-10-22,1,0.95,7.4498014111645325,LightGBM
2006-10-15,2006-10-22,1,0.975,7.992358669664733,LightGBM
2006-10-15,2006-10-22,1,0.99,8.31789302476485,LightGBM
2006-10-15,2006-10-29,2,0.01,1.5179979422327152,LightGBM
2006-10-15,2006-10-29,2,0.025,1.7268695128101688,LightGBM
2006-10-15,2006-10-29,2,0.05,2.0749887971059247,LightGBM
2006-10-15,2006-10-29,2,0.1,2.771227365697437,LightGBM
2006-10-15,2006-10-29,2,0.15,3.18094599384366,LightGBM
2006-10-15,2006-10-29,2,0.2,3.5088017818626582,LightGBM
2006-10-15,2006-10-29,2,0.25,3.7647742920638763,LightGBM
2006-10-15,2006-10-29,2,0.3,3.963240180010871,LightGBM
2006-10-15,2006-10-29,2,0.35,4.110180476805854,LightGBM
2006-10-15,2006-10-29,2,0.4,4.154069591296815,LightGBM
2006-10-15,2006-10-29,2,0.45,4.199277943107239,LightGBM
2006-10-15,2006-10-29,2,0.5,4.255040193473379,LightGBM
2006-10-15,2006-10-29,2,0.55,4.310802443839519,LightGBM
2006-10-15,2006-10-29,2,0.6,4.356010795649943,LightGBM
2006-10-15,2006-10-29,2,0.65,4.3998999101409035,LightGBM
2006-10-15,2006-10-29,2,0.7,4.546840206935887,LightGBM
2006-10-15,2006-10-29,2,0.75,4.745306094882881,LightGBM
2006-10-15,2006-10-29,2,0.8,5.001278605084099,LightGBM
2006-10-15,2006-10-29,2,0.85,5.3291343931030974,LightGBM
2006-10-15,2006-10-29,2,0.9,5.73885302124932,LightGBM
2006-10-15,2006-10-29,2,0.95,6.435091589840831,LightGBM
2006-10-15,2006-10-29,2,0.975,6.783210874136589,LightGBM
2006-10-15,2006-10-29,2,0.99,6.992082444714042,LightGBM
2006-10-15,2006-11-12,4,0.01,0.26255157919372374,LightGBM
2006-10-15,2006-11-12,4,0.025,0.47052041638833053,LightGBM
2006-10-15,2006-11-12,4,0.05,0.8171351450460085,LightGBM
2006-10-15,2006-11-12,4,0.1,1.5103646023613644,LightGBM
2006-10-15,2006-11-12,4,0.15,1.907704006158201,LightGBM
2006-10-15,2006-11-12,4,0.2,2.220503394664032,LightGBM
2006-10-15,2006-11-12,4,0.25,2.4947388624113405,LightGBM
2006-10-15,2006-11-12,4,0.3,2.7381231935518295,LightGBM
2006-10-15,2006-11-12,4,0.35,2.9284190678983295,LightGBM
2006-10-15,2006-11-12,4,0.4,3.01253802865685,LightGBM
2006-10-15,2006-11-12,4,0.45,3.110213802691927,LightGBM
2006-10-15,2006-11-12,4,0.5,3.316344082939459,LightGBM
2006-10-15,2006-11-12,4,0.55,3.5224743631869906,LightGBM
2006-10-15,2006-11-12,4,0.6,3.6201501372220677,LightGBM
2006-10-15,2006-11-12,4,0.65,3.704269097980588,LightGBM
2006-10-15,2006-11-12,4,0.7,3.8945649723270876,LightGBM
2006-10-15,2006-11-12,4,0.75,4.137949303467577,LightGBM
2006-10-15,2006-11-12,4,0.8,4.412184771214886,LightGBM
2006-10-15,2006-11-12,4,0.85,4.724984159720716,LightGBM
2006-10-15,2006-11-12,4,0.9,5.122323563517552,LightGBM
2006-10-15,2006-11-12,4,0.95,5.815553020832907,LightGBM
2006-10-15,2006-11-12,4,0.975,6.162167749490588,LightGBM
2006-10-15,2006-11-12,4,0.99,6.370136586685194,LightGBM
2006-10-15,2006-12-10,8,0.01,-1.0269161704489964,LightGBM
2006-10-15,2006-12-10,8,0.025,-0.6386147800728724,LightGBM
2006-10-15,2006-12-10,8,0.05,0.008554203887334078,LightGBM
2006-10-15,2006-12-10,8,0.1,1.3028921718077469,LightGBM
