origin,target_date,horizon,quantile,value,model
2006-10-15,2006-10-22,1,0.01,-1.7884749999999996,MovingAverage
2006-10-15,2006-10-22,1,0.025,-1.5060913461538459,MovingAverage
2006-10-15,2006-10-22,1,0.05,-1.035451923076923,MovingAverage
2006-10-15,2006-10-22,1,0.1,-0.09417307692307703,MovingAverage
2006-10-15,2006-10-22,1,0.15,0.5068653846153843,MovingAverage
2006-10-15,2006-10-22,1,0.2,1.0106923076923078,MovingAverage
2006-10-15,2006-10-22,1,0.25,1.298942307692308,MovingAverage
2006-10-15,2006-10-22,1,0.3,1.4147307692307693,MovingAverage
2006-10-15,2006-10-22,1,0.35,1.6288269230769232,MovingAverage
2006-10-15,2006-10-22,1,0.4,2.0395384615384615,MovingAverage
2006-10-15,2006-10-22,1,0.45,2.4185961538461536,MovingAverage
2006-10-15,2006-10-22,1,0.5,2.544423076923077,MovingAverage
2006-10-15,2006-10-22,1,0.55,2.6702500000000002,MovingAverage
2006-10-15,2006-10-22,1,0.6,3.049307692307692,MovingAverage
2006-10-15,2006-10-22,1,0.65,3.4600192307692312,MovingAverage
2006-10-15,2006-10-22,1,0.7,3.6741153846153844,MovingAverage
2006-10-15,2006-10-22,1,0.75,3.789903846153846,MovingAverage
2006-10-15,2006-10-22,1,0.8,4.078153846153846,MovingAverage
2006-10-15,2006-10-22,1,0.85,4.581980769230769,MovingAverage
2006-10-15,2006-10-22,1,0.9,5.183019230769229,MovingAverage
2006-10-15,2006-10-22,1,0.95,6.124298076923075,MovingAverage
2006-10-15,2006-10-22,1,0.975,6.5949375,MovingAverage
2006-10-15,2006-10-22,1,0.99,6.877321153846154,MovingAverage
2006-10-15,2006-10-29,2,0.01,-2.157075,MovingAverage
2006-10-15,2006-10-29,2,0.025,-1.8125913461538459,MovingAverage
2006-10-15,2006-10-29,2,0.05,-1.238451923076923,MovingAverage
2006-10-15,2006-10-29,2,0.1,-0.09017307692307719,MovingAverage
2006-10-15,2006-10-29,2,0.15,0.6023653846153842,MovingAverage
2006-10-15,2006-10-29,2,0.2,1.1646923076923077,MovingAverage
2006-10-15,2006-10-29,2,0.25,1.5245192307692308,MovingAverage
2006-10-15,2006-10-29,2,0.3,1.7223461538461537,MovingAverage
2006-10-15,2006-10-29,2,0.35,1.8658846153846154,MovingAverage
2006-10-15,2006-10-29,2,0.4,1.9008461538461539,MovingAverage
2006-10-15,2006-10-29,2,0.45,1.9931730769230769,MovingAverage
2006-10-15,2006-10-29,2,0.5,2.544423076923077,MovingAverage
2006-10-15,2006-10-29,2,0.55,3.095673076923077,MovingAverage
2006-10-15,2006-10-29,2,0.6,3.1879999999999997,MovingAverage
2006-10-15,2006-10-29,2,0.65,3.2229615384615387,MovingAverage
2006-10-15,2006-10-29,2,0.7,3.3665,MovingAverage
2006-10-15,2006-10-29,2,0.75,3.5643269230769232,MovingAverage
2006-10-15,2006-10-29,2,0.8,3.9241538461538465,MovingAverage
2006-10-15,2006-10-29,2,0.85,4.486480769230769,MovingAverage
2006-10-15,2006-10-29,2,0.9,5.179019230769231,MovingAverage
2006-10-15,2006-10-29,2,0.95,6.327298076923075,MovingAverage
2006-10-15,2006-10-29,2,0.975,6.901437500000001,MovingAverage
2006-10-15,2006-10-29,2,0.99,7.245921153846154,MovingAverage
2006-10-15,2006-11-12,4,0.01,-2.1426749999999997,MovingAverage
2006-10-15,2006-11-12,4,0.025,-1.7765913461538458,MovingAverage
2006-10-15,2006-11-12,4,0.05,-1.166451923076923,MovingAverage
