origin,target_date,horizon,quantile,value,model
2006-10-15,2006-10-22,1,0.01,4.698629452326431,Naive
2006-10-15,2006-10-22,1,0.025,5.004382044256467,Naive
2006-10-15,2006-10-22,1,0.05,5.267346141034805,Naive
2006-10-15,2006-10-22,1,0.1,5.570526903376806,Naive
2006-10-15,2006-10-22,1,0.15,5.775081524375056,Naive
2006-10-15,2006-10-22,1,0.2,5.937655052631019,Naive
2006-10-15,2006-10-22,1,0.25,6.077128664053196,Naive
2006-10-15,2006-10-22,1,0.3,6.202380277723487,Naive
2006-10-15,2006-10-22,1,0.35,6.3184445640109095,Naive
2006-10-15,2006-10-22,1,0.4,6.428578221746372,Naive
2006-10-15,2006-10-22,1,0.45,6.535133810171869,Naive
2006-10-15,2006-10-22,1,0.5,6.64,Naive
2006-10-15,2006-10-22,1,0.55,6.74486618982813,Naive
2006-10-15,2006-10-22,1,0.6,6.851421778253627,Naive
2006-10-15,2006-10-22,1,0.65,6.96155543598909,Naive
2006-10-15,2006-10-22,1,0.7,7.077619722276513,Naive
2006-10-15,2006-10-22,1,0.75,7.202871335946804,Naive
2006-10-15,2006-10-22,1,0.8,7.34234494736898,Naive
2006-10-15,2006-10-22,1,0.85,7.504918475624943,Naive
2006-10-15,2006-10-22,1,0.9,7.709473096623193,Naive
2006-10-15,2006-10-22,1,0.95,8.012653858965194,Naive
2006-10-15,2006-10-22,1,0.975,8.275617955743533,Naive
2006-10-15,2006-10-22,1,0.99,8.581370547673568,Naive
2006-10-15,2006-10-29,2,0.01,3.894487441888355,Naive
2006-10-15,2006-10-29,2,0.025,4.326886904126537,Naive
2006-10-15,2006-10-29,2,0.05,4.698774296207656,Naive
2006-10-15,2006-10-29,2,0.1,5.127536642162328,Naive
2006-10-15,2006-10-29,2,0.15,5.416820561424141,Naive
2006-10-15,2006-10-29,2,0.2,5.6467342499665705,Naive
2006-10-15,2006-10-29,2,0.25,5.843979722832967,Naive
2006-10-15,2006-10-29,2,0.3,6.021112253594608,Naive
2006-10-15,2006-10-29,2,0.35,6.185251941369435,Naive
2006-10-15,2006-10-29,2,0.4,6.341004453812683,Naive
2006-10-15,2006-10-29,2,0.45,6.491696812110667,Naive
2006-10-15,2006-10-29,2,0.5,6.64,Naive
2006-10-15,2006-10-29,2,0.55,6.7883031878893325,Naive
2006-10-15,2006-10-29,2,0.6,6.938995546187316,Naive
2006-10-15,2006-10-29,2,0.65,7.0947480586305645,Naive
2006-10-15,2006-10-29,2,0.7,7.258887746405391,Naive
2006-10-15,2006-10-29,2,0.75,7.4360202771670325,Naive
2006-10-15,2006-10-29,2,0.8,7.633265750033429,Naive
2006-10-15,2006-10-29,2,0.85,7.863179438575858,Naive
2006-10-15,2006-10-29,2,0.9,8.152463357837672,Naive
2006-10-15,2006-10-29,2,0.95,8.581225703792343,Naive
2006-10-15,2006-10-29,2,0.975,8.953113095873462,Naive
2006-10-15,2006-10-29,2,0.99,9.385512558111644,Naive
2006-10-15,2006-11-12,4,0.01,2.7572589046528617,Naive
2006-10-15,2006-11-12,4,0.025,3.3687640885129326,Naive
2006-10-15,2006-11-12,4,0.05,3.8946922820696113,Naive
2006-10-15,2006-11-12,4,0.1,4.501053806753613,Naive
2006-10-15,2006-11-12,4,0.15,4.910163048750112,Naive
2006-10-15,2006-11-12,4,0.2,5.235310105262039,Naive
2006-10-15,2006-11-12,4,0.25,5.514257328106392,Naive
2006-10-15,2006-11-12,4,0.3,5.764760555446974,Naive
2006-10-15,2006-11-12,4,0.35,5.99688912802182,Naive
2006-10-15,2006-11-12,4,0.4,6.217156443492746,Naive
2006-10-15,2006-11-12,4,0.45,6.43026762034374,Naive
2006-10-15,2006-11-12,4,0.5,6.64,Naive
2006-10-15,2006-11-12,4,0.55,6.84973237965626,Naive
2006-10-15,2006-11-12,4,0.6,7.062843556507254,Naive
2006-10-15,2006-11-12,4,0.65,7.283110871978179,Naive
2006-10-15,2006-11-12,4,0.7,7.515239444553026,Naive
2006-10-15,2006-11-12,4,0.75,7.765742671893608,Naive
2006-10-15,2006-11-12,4,0.8,8.04468989473796,Naive
2006-10-15,2006-11-12,4,0.85,8.369836951249887,Naive
2006-10-15,2006-11-12,4,0.9,8.778946193246387,Naive
2006-10-15,2006-11-12,4,0.95,9.385307717930388,Naive
2006-10-15,2006-11-12,4,0.975,9.911235911487067,Naive
2006-10-15,2006-11-12,4,0.99,10.522741095347138,Naive
2006-10-15,2006-12-10,8,0.01,1.1489748837767104,Naive
2006-10-15,2006-12-10,8,0.025,2.0137738082530756,Naive
2006-10-15,2006-12-10,8,0.05,2.7575485924153127,Naive
2006-10-15,2006-12-10,8,0.1,3.6150732843246565,Naive
2006-10-15,2006-12-10,8,0.15,4.193641122848283,Naive
2006-10-15,2006-12-10,8,0.2,4.65346849993314,Naive
2006-10-15,2006-12-10,8,0.25,5.047959445665933,Naive
2006-10-15,2006-12-10,8,0.3,5.402224507189215,Naive
2006-10-15,2006-12-10,8,0.35,5.730503882738871,Naive
2006-10-15,2006-12-10,8,0.4,6.042008907625366,Naive
2006-10-15,2006-12-10,8,0.45,6.343393624221333,Naive
2006-10-15,2006-12-10,8,0.5,6.64,Naive
2006-10-15,2006-12-10,8,0.55,6.936606375778666,Naive
2006-10-15,2006-12-10,8,0.6,7.237991092374633,Naive
2006-10-15,2006-12-10,8,0.65,7.549496117261128,Naive
2006-10-15,2006-12-10,8,0.7,7.877775492810784,Naive
2006-10-15,2006-12-10,8,0.75,8.232040554334066,Naive
2006-10-15,2006-12-10,8,0.8,8.626531500066859,Naive
2006-10-15,2006-12-10,8,0.85,9.086358877151717,Naive
2006-10-15,2006-12-10,8,0.9,9.664926715675342,Naive
2006-10-15,2006-12-10,8,0.95,10.522451407584686,Naive
2006-10-15,2006-12-10,8,0.975,11.266226191746924,Naive
2006-10-15,2006-12-10,8,0.99,12.131025116223288,Naive
2006-11-12,2006-11-19,1,0.01,0.9574253633340863,Naive
2006-11-12,2006-11-19,1,0.025,1.2649425227001165,Naive
2006-11-12,2006-11-19,1,0.05,1.529424244820834,Naive
2006-11-12,2006-11-19,1,0.1,1.834354731987968,Naive
2006-11-12,2006-11-19,1,0.15,2.040089884018898,Naive
2006-11-12,2006-11-19,1,0.2,2.20360166091604,Naive
2006-11-12,2006-11-19,1,0.25,2.3438802061291044,Naive
2006-11-12,2006-11-19,1,0.3,2.469854675221138,Naive
2006-11-12,2006-11-19,1,0.35,2.586588794783798,Naive
2006-11-12,2006-11-19,1,0.4,2.697358058794322,Naive
2006-11-12,2006-11-19,1,0.45,2.804528603646753,Naive
2006-11-12,2006-11-19,1,0.5,2.91,Naive
2006-11-12,2006-11-19,1,0.55,3.0154713963532473,Naive
2006-11-12,2006-11-19,1,0.6,3.122641941205678,Naive
2006-11-12,2006-11-19,1,0.65,3.233411205216202,Naive
2006-11-12,2006-11-19,1,0.7,3.3501453247788624,Naive
