origin,target_date,horizon,quantile,value,model
2006-10-15,2006-10-22,1,0.01,-3.6783256060914513,Prophet
2006-10-15,2006-10-22,1,0.025,-2.723460005090167,Prophet
2006-10-15,2006-10-22,1,0.05,-2.0123386280105104,Prophet
2006-10-15,2006-10-22,1,0.1,-1.3555647549133716,Prophet
2006-10-15,2006-10-22,1,0.15,-0.908295498743103,Prophet
2006-10-15,2006-10-22,1,0.2,-0.4523721026364583,Prophet
2006-10-15,2006-10-22,1,0.25,-0.21268085033046363,Prophet
2006-10-15,2006-10-22,1,0.3,-0.023668346199938812,Prophet
2006-10-15,2006-10-22,1,0.35,0.25064910841720356,Prophet
2006-10-15,2006-10-22,1,0.4,0.5453978877687452,Prophet
2006-10-15,2006-10-22,1,0.45,0.8144280374769166,Prophet
2006-10-15,2006-10-22,1,0.5,1.0157270066423947,Prophet
2006-10-15,2006-10-22,1,0.55,1.253296849057053,Prophet
2006-10-15,2006-10-22,1,0.6,1.442368903300982,Prophet
2006-10-15,2006-10-22,1,0.65,1.6763823923569157,Prophet
2006-10-15,2006-10-22,1,0.7,2.0265032805301684,Prophet
2006-10-15,2006-10-22,1,0.75,2.2917624259782876,Prophet
2006-10-15,2006-10-22,1,0.8,2.545958500040112,Prophet
2006-10-15,2006-10-22,1,0.85,2.983739953710179,Prophet
2006-10-15,2006-10-22,1,0.9,3.369521688914789,Prophet
2006-10-15,2006-10-22,1,0.95,4.1323127967373745,Prophet
2006-10-15,2006-10-22,1,0.975,4.736077566445601,Prophet
2006-10-15,2006-10-22,1,0.99,5.258999722769082,Prophet
2006-10-15,2006-10-29,2,0.01,-4.151997155050213,Prophet
2006-10-15,2006-10-29,2,0.025,-3.6252362655127564,Prophet
2006-10-15,2006-10-29,2,0.05,-3.0132687847432966,Prophet
2006-10-15,2006-10-29,2,0.1,-2.2763470444186824,Prophet
2006-10-15,2006-10-29,2,0.15,-1.8217184402292779,Prophet
2006-10-15,2006-10-29,2,0.2,-1.4633855650671683,Prophet
2006-10-15,2006-10-29,2,0.25,-1.1377695187794632,Prophet
2006-10-15,2006-10-29,2,0.3,-0.8071218427862783,Prophet
2006-10-15,2006-10-29,2,0.35,-0.5570308144805486,Prophet
2006-10-15,2006-10-29,2,0.4,-0.3303698184084143,Prophet
2006-10-15,2006-10-29,2,0.45,-0.097470445528447,Prophet
2006-10-15,2006-10-29,2,0.5,0.15004090620559546,Prophet
2006-10-15,2006-10-29,2,0.55,0.42789059686036673,Prophet
2006-10-15,2006-10-29,2,0.6,0.656946691707094,Prophet
2006-10-15,2006-10-29,2,0.65,0.8897226009460323,Prophet
2006-10-15,2006-10-29,2,0.7,1.1580949411931012,Prophet
2006-10-15,2006-10-29,2,0.75,1.4670820863947178,Prophet
2006-10-15,2006-10-29,2,0.8,1.788400091117103,Prophet
2006-10-15,2006-10-29,2,0.85,2.1611756066277032,Prophet
2006-10-15,2006-10-29,2,0.9,2.558976639345986,Prophet
2006-10-15,2006-10-29,2,0.95,3.4630124130289235,Prophet
2006-10-15,2006-10-29,2,0.975,4.063717438425644,Prophet
2006-10-15,2006-10-29,2,0.99,4.590954257863428,Prophet
2006-10-15,2006-11-12,4,0.01,-4.446766680246149,Prophet
2006-10-15,2006-11-12,4,0.025,-3.8641895009933793,Prophet
2006-10-15,2006-11-12,4,0.05,-2.980784393156264,Prophet
2006-10-15,2006-11-12,4,0.1,-2.2861441559547195,Prophet
2006-10-15,2006-11-12,4,0.15,-1.8313417019592806,Prophet
2006-10-15,2006-11-12,4,0.2,-1.5765746576297792,Prophet
2006-10-15,2006-11-12,4,0.25,-1.2532561680331566,Prophet
2006-10-15,2006-11-12,4,0.3,-0.9989710307025309,Prophet
2006-10-15,2006-11-12,4,0.35,-0.7425152165942347,Prophet
2006-10-15,2006-11-12,4,0.4,-0.4898038691025258,Prophet
2006-10-15,2006-11-12,4,0.45,-0.2584453289927491,Prophet
2006-10-15,2006-11-12,4,0.5,-0.017382516692262193,Prophet
2006-10-15,2006-11-12,4,0.55,0.2314571418809893,Prophet
2006-10-15,2006-11-12,4,0.6,0.42810199377319796,Prophet
2006-10-15,2006-11-12,4,0.65,0.6597644955307098,Prophet
2006-10-15,2006-11-12,4,0.7,0.9614055320266078,Prophet
2006-10-15,2006-11-12,4,0.75,1.2680730233390916,Prophet
2006-10-15,2006-11-12,4,0.8,1.6823512374578211,Prophet
2006-10-15,2006-11-12,4,0.85,2.0162372515684224,Prophet
2006-10-15,2006-11-12,4,0.9,2.4465497414539312,Prophet
2006-10-15,2006-11-12,4,0.95,3.231625847631731,Prophet
2006-10-15,2006-11-12,4,0.975,3.7710747027413425,Prophet
2006-10-15,2006-11-12,4,0.99,4.42519410038444,Prophet
2006-10-15,2006-12-10,8,0.01,-4.1339779466717195,Prophet
2006-10-15,2006-12-10,8,0.025,-3.592032342672042,Prophet
2006-10-15,2006-12-10,8,0.05,-3.0364472437308563,Prophet
2006-10-15,2006-12-10,8,0.1,-2.3552413909140486,Prophet
2006-10-15,2006-12-10,8,0.15,-1.9119729554822937,Prophet
2006-10-15,2006-12-10,8,0.2,-1.616491204744444,Prophet
2006-10-15,2006-12-10,8,0.25,-1.346227635543362,Prophet
2006-10-15,2006-12-10,8,0.3,-1.1132621465514985,Prophet
2006-10-15,2006-12-10,8,0.35,-0.8667607178306299,Prophet
2006-10-15,2006-12-10,8,0.4,-0.6343513628804301,Prophet
2006-10-15,2006-12-10,8,0.45,-0.4097759257123873,Prophet
2006-10-15,2006-12-10,8,0.5,-0.1341466941541477,Prophet
2006-10-15,2006-12-10,8,0.55,0.10141561758415873,Prophet
2006-10-15,2006-12-10,8,0.6,0.3622332136763173,Prophet
2006-10-15,2006-12-10,8,0.65,0.5980255328856133,Prophet
2006-10-15,2006-12-10,8,0.7,0.805812547290101,Prophet
2006-10-15,2006-12-10,8,0.75,1.04444766397894,Prophet
2006-10-15,2006-12-10,8,0.8,1.3168538025757353,Prophet
2006-10-15,2006-12-10,8,0.85,1.6571222666399867,Prophet
2006-10-15,2006-12-10,8,0.9,2.2009539591090626,Prophet
2006-10-15,2006-12-10,8,0.95,2.9167683753059443,Prophet
2006-10-15,2006-12-10,8,0.975,3.3978921406904914,Prophet
2006-10-15,2006-12-10,8,0.99,3.8053528737990145,Prophet
2006-11-12,2006-11-19,1,0.01,-3.6278691049069804,Prophet
2006-11-12,2006-11-19,1,0.025,-2.8106763380443076,Prophet
2006-11-12,2006-11-19,1,0.05,-2.1844330688326403,Prophet
2006-11-12,2006-11-19,1,0.1,-1.7479695280918093,Prophet
2006-11-12,2006-11-19,1,0.15,-1.1890315409407648,Prophet
