origin,target_date,horizon,quantile,value,model
2006-10-15,2006-10-22,1,0.01,6.127055749402325,SARIMA
2006-10-15,2006-10-22,1,0.025,6.287913509288027,SARIMA
2006-10-15,2006-10-22,1,0.05,6.426260056969331,SARIMA
2006-10-15,2006-10-22,1,0.1,6.585764766194931,SARIMA
2006-10-15,2006-10-22,1,0.15,6.693381836259137,SARIMA
2006-10-15,2006-10-22,1,0.2,6.778912472015623,SARIMA
2006-10-15,2006-10-22,1,0.25,6.852290141702472,SARIMA
2006-10-15,2006-10-22,1,0.3,6.918185556913484,SARIMA
2006-10-15,2006-10-22,1,0.35,6.97924747948649,SARIMA
2006-10-15,2006-10-22,1,0.4,7.037189272749845,SARIMA
2006-10-15,2006-10-22,1,0.45,7.093248628287052,SARIMA
2006-10-15,2006-10-22,1,0.5,7.148419183921661,SARIMA
2006-10-15,2006-10-22,1,0.55,7.20358973955627,SARIMA
2006-10-15,2006-10-22,1,0.6,7.259649095093477,SARIMA
2006-10-15,2006-10-22,1,0.65,7.317590888356832,SARIMA
2006-10-15,2006-10-22,1,0.7,7.378652810929838,SARIMA
2006-10-15,2006-10-22,1,0.75,7.444548226140849,SARIMA
2006-10-15,2006-10-22,1,0.8,7.517925895827698,SARIMA
2006-10-15,2006-10-22,1,0.85,7.603456531584184,SARIMA
2006-10-15,2006-10-22,1,0.9,7.7110736016483905,SARIMA
2006-10-15,2006-10-22,1,0.95,7.870578310873991,SARIMA
2006-10-15,2006-10-22,1,0.975,8.008924858555295,SARIMA
2006-10-15,2006-10-22,1,0.99,8.169782618440998,SARIMA
2006-10-15,2006-10-29,2,0.01,5.17620021683558,SARIMA
2006-10-15,2006-10-29,2,0.025,5.579701276844816,SARIMA
2006-10-15,2006-10-29,2,0.05,5.926734448745813,SARIMA
2006-10-15,2006-10-29,2,0.1,6.326841470593722,SARIMA
2006-10-15,2006-10-29,2,0.15,6.596791778722158,SARIMA
2006-10-15,2006-10-29,2,0.2,6.811339726023726,SARIMA
2006-10-15,2006-10-29,2,0.25,6.995402761097005,SARIMA
2006-10-15,2006-10-29,2,0.3,7.1606970553000595,SARIMA
2006-10-15,2006-10-29,2,0.35,7.313866852653428,SARIMA
2006-10-15,2006-10-29,2,0.4,7.459210011834634,SARIMA
2006-10-15,2006-10-29,2,0.45,7.599831200385129,SARIMA
