origin,target_date,horizon,quantile,value,model
2006-10-15,2006-10-22,1,0.01,-4.201241960589976,SeasonalNaive
2006-10-15,2006-10-22,1,0.025,-3.1867903778877764,SeasonalNaive
2006-10-15,2006-10-22,1,0.05,-2.314306051633288,SeasonalNaive
2006-10-15,2006-10-22,1,0.1,-1.3083875007512038,SeasonalNaive
2006-10-15,2006-10-22,1,0.15,-0.6296990300800958,SeasonalNaive
2006-10-15,2006-10-22,1,0.2,-0.09029894845304698,SeasonalNaive
2006-10-15,2006-10-22,1,0.25,0.37245829248898454,SeasonalNaive
2006-10-15,2006-10-22,1,0.3,0.7880285969687142,SeasonalNaive
2006-10-15,2006-10-22,1,0.35,1.1731164164251073,SeasonalNaive
2006-10-15,2006-10-22,1,0.4,1.5385270992692557,SeasonalNaive
2006-10-15,2006-10-22,1,0.45,1.8920661637843488,SeasonalNaive
2006-10-15,2006-10-22,1,0.5,2.24,SeasonalNaive
2006-10-15,2006-10-22,1,0.55,2.587933836215652,SeasonalNaive
2006-10-15,2006-10-22,1,0.6,2.9414729007307447,SeasonalNaive
2006-10-15,2006-10-22,1,0.65,3.3068835835748933,SeasonalNaive
2006-10-15,2006-10-22,1,0.7,3.6919714030312862,SeasonalNaive
2006-10-15,2006-10-22,1,0.75,4.107541707511016,SeasonalNaive
2006-10-15,2006-10-22,1,0.8,4.570298948453047,SeasonalNaive
2006-10-15,2006-10-22,1,0.85,5.109699030080096,SeasonalNaive
2006-10-15,2006-10-22,1,0.9,5.788387500751204,SeasonalNaive
2006-10-15,2006-10-22,1,0.95,6.7943060516332885,SeasonalNaive
2006-10-15,2006-10-22,1,0.975,7.666790377887777,SeasonalNaive
2006-10-15,2006-10-22,1,0.99,8.681241960589976,SeasonalNaive
2006-10-15,2006-10-29,2,0.01,-4.661241960589976,SeasonalNaive
2006-10-15,2006-10-29,2,0.025,-3.6467903778877764,SeasonalNaive
2006-10-15,2006-10-29,2,0.05,-2.774306051633288,SeasonalNaive
2006-10-15,2006-10-29,2,0.1,-1.768387500751204,SeasonalNaive
2006-10-15,2006-10-29,2,0.15,-1.089699030080096,SeasonalNaive
2006-10-15,2006-10-29,2,0.2,-0.5502989484530472,SeasonalNaive
2006-10-15,2006-10-29,2,0.25,-0.08754170751101564,SeasonalNaive
2006-10-15,2006-10-29,2,0.3,0.328028596968714,SeasonalNaive
2006-10-15,2006-10-29,2,0.35,0.7131164164251071,SeasonalNaive
2006-10-15,2006-10-29,2,0.4,1.0785270992692553,SeasonalNaive
2006-10-15,2006-10-29,2,0.45,1.4320661637843486,SeasonalNaive
2006-10-15,2006-10-29,2,0.5,1.78,SeasonalNaive
2006-10-15,2006-10-29,2,0.55,2.1279338362156515,SeasonalNaive
2006-10-15,2006-10-29,2,0.6,2.481472900730745,SeasonalNaive
2006-10-15,2006-10-29,2,0.65,2.846883583574893,SeasonalNaive
2006-10-15,2006-10-29,2,0.7,3.2319714030312863,SeasonalNaive
2006-10-15,2006-10-29,2,0.75,3.6475417075110155,SeasonalNaive
2006-10-15,2006-10-29,2,0.8,4.110298948453047,SeasonalNaive
2006-10-15,2006-10-29,2,0.85,4.649699030080096,SeasonalNaive
2006-10-15,2006-10-29,2,0.9,5.328387500751204,SeasonalNaive
2006-10-15,2006-10-29,2,0.95,6.3343060516332885,SeasonalNaive
2006-10-15,2006-10-29,2,0.975,7.206790377887777,SeasonalNaive
2006-10-15,2006-10-29,2,0.99,8.221241960589976,SeasonalNaive
2006-10-15,2006-11-12,4,0.01,-5.521241960589976,SeasonalNaive
2006-10-15,2006-11-12,4,0.025,-4.506790377887777,SeasonalNaive
2006-10-15,2006-11-12,4,0.05,-3.6343060516332883,SeasonalNaive
2006-10-15,2006-11-12,4,0.1,-2.628387500751204,SeasonalNaive
2006-10-15,2006-11-12,4,0.15,-1.949699030080096,SeasonalNaive
2006-10-15,2006-11-12,4,0.2,-1.4102989484530473,SeasonalNaive
2006-10-15,2006-11-12,4,0.25,-0.9475417075110156,SeasonalNaive
2006-10-15,2006-11-12,4,0.3,-0.531971403031286,SeasonalNaive
2006-10-15,2006-11-12,4,0.35,-0.14688358357489284,SeasonalNaive
2006-10-15,2006-11-12,4,0.4,0.2185270992692554,SeasonalNaive
2006-10-15,2006-11-12,4,0.45,0.5720661637843485,SeasonalNaive
2006-10-15,2006-11-12,4,0.5,0.92,SeasonalNaive
2006-10-15,2006-11-12,4,0.55,1.2679338362156516,SeasonalNaive
2006-10-15,2006-11-12,4,0.6,1.6214729007307447,SeasonalNaive
2006-10-15,2006-11-12,4,0.65,1.986883583574893,SeasonalNaive
2006-10-15,2006-11-12,4,0.7,2.371971403031286,SeasonalNaive
2006-10-15,2006-11-12,4,0.75,2.7875417075110156,SeasonalNaive
2006-10-15,2006-11-12,4,0.8,3.250298948453047,SeasonalNaive
2006-10-15,2006-11-12,4,0.85,3.789699030080096,SeasonalNaive
2006-10-15,2006-11-12,4,0.9,4.468387500751204,SeasonalNaive
2006-10-15,2006-11-12,4,0.95,5.474306051633288,SeasonalNaive
2006-10-15,2006-11-12,4,0.975,6.346790377887777,SeasonalNaive
2006-10-15,2006-11-12,4,0.99,7.361241960589976,SeasonalNaive
2006-10-15,2006-12-10,8,0.01,-6.251241960589976,SeasonalNaive
2006-10-15,2006-12-10,8,0.025,-5.236790377887776,SeasonalNaive
2006-10-15,2006-12-10,8,0.05,-4.364306051633288,SeasonalNaive
2006-10-15,2006-12-10,8,0.1,-3.358387500751204,SeasonalNaive
2006-10-15,2006-12-10,8,0.15,-2.679699030080096,SeasonalNaive
2006-10-15,2006-12-10,8,0.2,-2.1402989484530472,SeasonalNaive
2006-10-15,2006-12-10,8,0.25,-1.6775417075110157,SeasonalNaive
2006-10-15,2006-12-10,8,0.3,-1.261971403031286,SeasonalNaive
2006-10-15,2006-12-10,8,0.35,-0.8768835835748929,SeasonalNaive
2006-10-15,2006-12-10,8,0.4,-0.5114729007307446,SeasonalNaive
2006-10-15,2006-12-10,8,0.45,-0.1579338362156515,SeasonalNaive
2006-10-15,2006-12-10,8,0.5,0.19,SeasonalNaive
2006-10-15,2006-12-10,8,0.55,0.5379338362156515,SeasonalNaive
2006-10-15,2006-12-10,8,0.6,0.8914729007307447,SeasonalNaive
2006-10-15,2006-12-10,8,0.65,1.2568835835748928,SeasonalNaive
2006-10-15,2006-12-10,8,0.7,1.641971403031286,SeasonalNaive
2006-10-15,2006-12-10,8,0.75,2.0575417075110156,SeasonalNaive
2006-10-15,2006-12-10,8,0.8,2.520298948453047,SeasonalNaive
2006-10-15,2006-12-10,8,0.85,3.059699030080096,SeasonalNaive
2006-10-15,2006-12-10,8,0.9,3.738387500751204,SeasonalNaive
2006-10-15,2006-12-10,8,0.95,4.744306051633289,SeasonalNaive
2006-10-15,2006-12-10,8,0.975,5.616790377887777,SeasonalNaive
2006-10-15,2006-12-10,8,0.99,6.631241960589977,SeasonalNaive
2006-11-12,2006-11-19,1,0.01,-5.704296341072693,SeasonalNaive
2006-11-12,2006-11-19,1,0.025,-4.694088509270311,SeasonalNaive
2006-11-12,2006-11-19,1,0.05,-3.8252540429083535,SeasonalNaive
2006-11-12,2006-11-19,1,0.1,-2.8235435467311363,SeasonalNaive
2006-11-12,2006-11-19,1,0.15,-2.1476942305916173,SeasonalNaive
2006-11-12,2006-11-19,1,0.2,-1.6105506189832455,SeasonalNaive
2006-11-12,2006-11-19,1,0.25,-1.1497292283973386,SeasonalNaive
2006-11-12,2006-11-19,1,0.3,-0.7358973773673791,SeasonalNaive
2006-11-12,2006-11-19,1,0.35,-0.3524204941135538,SeasonalNaive
2006-11-12,2006-11-19,1,0.4,0.01146156780815255,SeasonalNaive
2006-11-12,2006-11-19,1,0.45,0.36352167389019724,SeasonalNaive
2006-11-12,2006-11-19,1,0.5,0.71,SeasonalNaive
2006-11-12,2006-11-19,1,0.55,1.0564783261098027,SeasonalNaive
2006-11-12,2006-11-19,1,0.6,1.4085384321918473,SeasonalNaive
