origin,target_date,horizon,quantile,value,model
2006-10-15,2006-10-22,1,0.01,4.3555756,TimeGPT
2006-10-15,2006-10-22,1,0.025,4.52518,TimeGPT
2006-10-15,2006-10-22,1,0.05,4.807854,TimeGPT
2006-10-15,2006-10-22,1,0.1,5.0309234,TimeGPT
2006-10-15,2006-10-22,1,0.15,5.141836,TimeGPT
2006-10-15,2006-10-22,1,0.2,5.370714,TimeGPT
2006-10-15,2006-10-22,1,0.25,5.399334,TimeGPT
2006-10-15,2006-10-22,1,0.3,5.4472103,TimeGPT
2006-10-15,2006-10-22,1,0.35,5.497682,TimeGPT
2006-10-15,2006-10-22,1,0.4,5.5340886,TimeGPT
2006-10-15,2006-10-22,1,0.45,5.586167,TimeGPT
2006-10-15,2006-10-22,1,0.5,5.6108403,TimeGPT
2006-10-15,2006-10-22,1,0.55,5.635514,TimeGPT
2006-10-15,2006-10-22,1,0.6,5.687592,TimeGPT
2006-10-15,2006-10-22,1,0.65,5.7239985,TimeGPT
2006-10-15,2006-10-22,1,0.7,5.7744703,TimeGPT
2006-10-15,2006-10-22,1,0.75,5.8223467,TimeGPT
2006-10-15,2006-10-22,1,0.8,5.8509665,TimeGPT
2006-10-15,2006-10-22,1,0.85,6.0798445,TimeGPT
2006-10-15,2006-10-22,1,0.9,6.1907573,TimeGPT
2006-10-15,2006-10-22,1,0.95,6.4138265,TimeGPT
2006-10-15,2006-10-22,1,0.975,6.696501,TimeGPT
2006-10-15,2006-10-22,1,0.99,6.866105,TimeGPT
2006-10-15,2006-10-29,2,0.01,3.3722928,TimeGPT
2006-10-15,2006-10-29,2,0.025,3.405878,TimeGPT
2006-10-15,2006-10-29,2,0.05,3.4618535,TimeGPT
2006-10-15,2006-10-29,2,0.1,3.8017144,TimeGPT
2006-10-15,2006-10-29,2,0.15,4.213271,TimeGPT
2006-10-15,2006-10-29,2,0.2,4.540308,TimeGPT
2006-10-15,2006-10-29,2,0.25,4.5657763,TimeGPT
2006-10-15,2006-10-29,2,0.3,4.5861597,TimeGPT
2006-10-15,2006-10-29,2,0.35,4.6120443,TimeGPT
2006-10-15,2006-10-29,2,0.4,4.6540155,TimeGPT
2006-10-15,2006-10-29,2,0.45,4.773394,TimeGPT
2006-10-15,2006-10-29,2,0.5,4.876608,TimeGPT
2006-10-15,2006-10-29,2,0.55,4.9798217,TimeGPT
2006-10-15,2006-10-29,2,0.6,5.0992002,TimeGPT
2006-10-15,2006-10-29,2,0.65,5.1411715,TimeGPT
2006-10-15,2006-10-29,2,0.7,5.167056,TimeGPT
2006-10-15,2006-10-29,2,0.75,5.1874394,TimeGPT
2006-10-15,2006-10-29,2,0.8,5.212908,TimeGPT
2006-10-15,2006-10-29,2,0.85,5.5399446,TimeGPT
2006-10-15,2006-10-29,2,0.9,5.9515014,TimeGPT
2006-10-15,2006-10-29,2,0.95,6.2913623,TimeGPT
2006-10-15,2006-10-29,2,0.975,6.3473377,TimeGPT
2006-10-15,2006-10-29,2,0.99,6.380923,TimeGPT
2006-10-15,2006-11-12,4,0.01,1.6541384,TimeGPT
2006-10-15,2006-11-12,4,0.025,1.7011149,TimeGPT
2006-10-15,2006-11-12,4,0.05,1.7794089,TimeGPT
2006-10-15,2006-11-12,4,0.1,2.2040696,TimeGPT
2006-10-15,2006-11-12,4,0.15,2.603523,TimeGPT
2006-10-15,2006-11-12,4,0.2,2.6844885,TimeGPT
2006-10-15,2006-11-12,4,0.25,2.7143428,TimeGPT
2006-10-15,2006-11-12,4,0.3,2.9481385,TimeGPT
2006-10-15,2006-11-12,4,0.35,3.1753192,TimeGPT
2006-10-15,2006-11-12,4,0.4,3.1853282,TimeGPT
2006-10-15,2006-11-12,4,0.45,3.362087,TimeGPT
2006-10-15,2006-11-12,4,0.5,3.5133057,TimeGPT
2006-10-15,2006-11-12,4,0.55,3.6645243,TimeGPT
2006-10-15,2006-11-12,4,0.6,3.841283,TimeGPT
2006-10-15,2006-11-12,4,0.65,3.8512921,TimeGPT
2006-10-15,2006-11-12,4,0.7,4.078473,TimeGPT
2006-10-15,2006-11-12,4,0.75,4.3122687,TimeGPT
2006-10-15,2006-11-12,4,0.8,4.342123,TimeGPT
2006-10-15,2006-11-12,4,0.85,4.4230886,TimeGPT
2006-10-15,2006-11-12,4,0.9,4.8225417,TimeGPT
2006-10-15,2006-11-12,4,0.95,5.2472024,TimeGPT
2006-10-15,2006-11-12,4,0.975,5.3254967,TimeGPT
2006-10-15,2006-11-12,4,0.99,5.372473,TimeGPT
2006-10-15,2006-12-10,8,0.01,-3.143212,TimeGPT
2006-10-15,2006-12-10,8,0.025,-3.1165779,TimeGPT
2006-10-15,2006-12-10,8,0.05,-3.0721874,TimeGPT
2006-10-15,2006-12-10,8,0.1,-2.8257837,TimeGPT
2006-10-15,2006-12-10,8,0.15,-1.716674,TimeGPT
2006-10-15,2006-12-10,8,0.2,0.9602246,TimeGPT
