origin,target_date,horizon,quantile,value,model
2006-10-15,2006-10-22,1,0.01,4.795098304748535,TimesFM
2006-10-15,2006-10-22,1,0.025,4.795098304748535,TimesFM
2006-10-15,2006-10-22,1,0.05,4.795098304748535,TimesFM
2006-10-15,2006-10-22,1,0.1,4.795098304748535,TimesFM
2006-10-15,2006-10-22,1,0.15,4.969111204147339,TimesFM
2006-10-15,2006-10-22,1,0.2,5.143124103546143,TimesFM
2006-10-15,2006-10-22,1,0.25,5.248857259750366,TimesFM
2006-10-15,2006-10-22,1,0.3,5.35459041595459,TimesFM
2006-10-15,2006-10-22,1,0.35,5.430840015411377,TimesFM
2006-10-15,2006-10-22,1,0.4,5.507089614868164,TimesFM
2006-10-15,2006-10-22,1,0.45,5.595842123031616,TimesFM
2006-10-15,2006-10-22,1,0.5,5.684594631195068,TimesFM
2006-10-15,2006-10-22,1,0.55,5.748208284378052,TimesFM
2006-10-15,2006-10-22,1,0.6,5.811821937561035,TimesFM
2006-10-15,2006-10-22,1,0.65,5.890589237213135,TimesFM
2006-10-15,2006-10-22,1,0.7,5.969356536865234,TimesFM
2006-10-15,2006-10-22,1,0.75,6.073709964752197,TimesFM
2006-10-15,2006-10-22,1,0.8,6.17806339263916,TimesFM
2006-10-15,2006-10-22,1,0.85,6.380509853363037,TimesFM
2006-10-15,2006-10-22,1,0.9,6.582956314086914,TimesFM
2006-10-15,2006-10-22,1,0.95,6.582956314086914,TimesFM
2006-10-15,2006-10-22,1,0.975,6.582956314086914,TimesFM
2006-10-15,2006-10-22,1,0.99,6.582956314086914,TimesFM
2006-10-15,2006-10-29,2,0.01,3.363779067993164,TimesFM
2006-10-15,2006-10-29,2,0.025,3.363779067993164,TimesFM
2006-10-15,2006-10-29,2,0.05,3.363779067993164,TimesFM
2006-10-15,2006-10-29,2,0.1,3.363779067993164,TimesFM
2006-10-15,2006-10-29,2,0.15,3.5784008502960205,TimesFM
2006-10-15,2006-10-29,2,0.2,3.793022632598877,TimesFM
2006-10-15,2006-10-29,2,0.25,3.9448111057281494,TimesFM
2006-10-15,2006-10-29,2,0.3,4.096599578857422,TimesFM
2006-10-15,2006-10-29,2,0.35,4.20499849319458,TimesFM
2006-10-15,2006-10-29,2,0.4,4.313397407531738,TimesFM
2006-10-15,2006-10-29,2,0.45,4.421504497528076,TimesFM
2006-10-15,2006-10-29,2,0.5,4.529611587524414,TimesFM
2006-10-15,2006-10-29,2,0.55,4.654123306274414,TimesFM
2006-10-15,2006-10-29,2,0.6,4.778635025024414,TimesFM
2006-10-15,2006-10-29,2,0.65,4.9084343910217285,TimesFM
2006-10-15,2006-10-29,2,0.7,5.038233757019043,TimesFM
2006-10-15,2006-10-29,2,0.75,5.160001277923584,TimesFM
2006-10-15,2006-10-29,2,0.8,5.281768798828125,TimesFM
2006-10-15,2006-10-29,2,0.85,5.530939817428589,TimesFM
2006-10-15,2006-10-29,2,0.9,5.780110836029053,TimesFM
2006-10-15,2006-10-29,2,0.95,5.780110836029053,TimesFM
2006-10-15,2006-10-29,2,0.975,5.780110836029053,TimesFM
2006-10-15,2006-10-29,2,0.99,5.780110836029053,TimesFM
2006-10-15,2006-11-12,4,0.01,1.5384273529052734,TimesFM
2006-10-15,2006-11-12,4,0.025,1.5384273529052734,TimesFM
2006-10-15,2006-11-12,4,0.05,1.5384273529052734,TimesFM
2006-10-15,2006-11-12,4,0.1,1.5384273529052734,TimesFM
2006-10-15,2006-11-12,4,0.15,1.728782057762146,TimesFM
2006-10-15,2006-11-12,4,0.2,1.9191367626190186,TimesFM
2006-10-15,2006-11-12,4,0.25,2.0620694160461426,TimesFM
2006-10-15,2006-11-12,4,0.3,2.2050020694732666,TimesFM
2006-10-15,2006-11-12,4,0.35,2.3314085006713867,TimesFM
2006-10-15,2006-11-12,4,0.4,2.457814931869507,TimesFM
2006-10-15,2006-11-12,4,0.45,2.5732342004776,TimesFM
2006-10-15,2006-11-12,4,0.5,2.6886534690856934,TimesFM
2006-10-15,2006-11-12,4,0.55,2.813626289367676,TimesFM
2006-10-15,2006-11-12,4,0.6,2.938599109649658,TimesFM
2006-10-15,2006-11-12,4,0.65,3.077899694442749,TimesFM
2006-10-15,2006-11-12,4,0.7,3.21720027923584,TimesFM
2006-10-15,2006-11-12,4,0.75,3.403573989868164,TimesFM
2006-10-15,2006-11-12,4,0.8,3.5899477005004883,TimesFM
2006-10-15,2006-11-12,4,0.85,3.8392825126647945,TimesFM
2006-10-15,2006-11-12,4,0.9,4.088617324829102,TimesFM
2006-10-15,2006-11-12,4,0.95,4.088617324829102,TimesFM
2006-10-15,2006-11-12,4,0.975,4.088617324829102,TimesFM
2006-10-15,2006-11-12,4,0.99,4.088617324829102,TimesFM
2006-10-15,2006-12-10,8,0.01,0.21216905117034912,TimesFM
2006-10-15,2006-12-10,8,0.025,0.21216905117034912,TimesFM
2006-10-15,2006-12-10,8,0.05,0.21216905117034912,TimesFM
2006-10-15,2006-12-10,8,0.1,0.21216905117034912,TimesFM
2006-10-15,2006-12-10,8,0.15,0.34029367566108704,TimesFM
2006-10-15,2006-12-10,8,0.2,0.46841830015182495,TimesFM
2006-10-15,2006-12-10,8,0.25,0.516279548406601,TimesFM
2006-10-15,2006-12-10,8,0.3,0.564140796661377,TimesFM
2006-10-15,2006-12-10,8,0.35,0.639674723148346,TimesFM
2006-10-15,2006-12-10,8,0.4,0.7152086496353149,TimesFM
2006-10-15,2006-12-10,8,0.45,0.7916629314422607,TimesFM
2006-10-15,2006-12-10,8,0.5,0.8681172132492065,TimesFM
2006-10-15,2006-12-10,8,0.55,0.9270980656147004,TimesFM
2006-10-15,2006-12-10,8,0.6,0.9860789179801941,TimesFM
2006-10-15,2006-12-10,8,0.65,1.0748441517353058,TimesFM
2006-10-15,2006-12-10,8,0.7,1.1636093854904175,TimesFM
2006-10-15,2006-12-10,8,0.75,1.2724773287773132,TimesFM
2006-10-15,2006-12-10,8,0.8,1.381345272064209,TimesFM
2006-10-15,2006-12-10,8,0.85,1.6155685782432554,TimesFM
2006-10-15,2006-12-10,8,0.9,1.8497918844223022,TimesFM
2006-10-15,2006-12-10,8,0.95,1.8497918844223022,TimesFM
2006-10-15,2006-12-10,8,0.975,1.8497918844223022,TimesFM
2006-10-15,2006-12-10,8,0.99,1.8497918844223022,TimesFM
2006-11-12,2006-11-19,1,0.01,1.9203673601150513,TimesFM
2006-11-12,2006-11-19,1,0.025,1.9203673601150513,TimesFM
2006-11-12,2006-11-19,1,0.05,1.9203673601150513,TimesFM
2006-11-12,2006-11-19,1,0.1,1.9203673601150513,TimesFM
2006-11-12,2006-11-19,1,0.15,1.9962616562843323,TimesFM
2006-11-12,2006-11-19,1,0.2,2.0721559524536133,TimesFM
2006-11-12,2006-11-19,1,0.25,2.1055171489715576,TimesFM
2006-11-12,2006-11-19,1,0.3,2.138878345489502,TimesFM
2006-11-12,2006-11-19,1,0.35,2.1610238552093506,TimesFM
2006-11-12,2006-11-19,1,0.4,2.183169364929199,TimesFM
2006-11-12,2006-11-19,1,0.45,2.209779739379883,TimesFM
2006-11-12,2006-11-19,1,0.5,2.2363901138305664,TimesFM
2006-11-12,2006-11-19,1,0.55,2.247769594192505,TimesFM
2006-11-12,2006-11-19,1,0.6,2.2591490745544434,TimesFM
2006-11-12,2006-11-19,1,0.65,2.2871655225753784,TimesFM
2006-11-12,2006-11-19,1,0.7,2.3151819705963135,TimesFM
2006-11-12,2006-11-19,1,0.75,2.351852297782898,TimesFM
2006-11-12,2006-11-19,1,0.8,2.3885226249694824,TimesFM
2006-11-12,2006-11-19,1,0.85,2.408390522003174,TimesFM
2006-11-12,2006-11-19,1,0.9,2.4282584190368652,TimesFM
2006-11-12,2006-11-19,1,0.95,2.4282584190368652,TimesFM
2006-11-12,2006-11-19,1,0.975,2.4282584190368652,TimesFM
2006-11-12,2006-11-19,1,0.99,2.4282584190368652,TimesFM
2006-11-12,2006-11-26,2,0.01,1.3218642473220825,TimesFM
2006-11-12,2006-11-26,2,0.025,1.3218642473220825,TimesFM
2006-11-12,2006-11-26,2,0.05,1.3218642473220825,TimesFM
2006-11-12,2006-11-26,2,0.1,1.3218642473220825,TimesFM
2006-11-12,2006-11-26,2,0.15,1.4076263308525085,TimesFM
2006-11-12,2006-11-26,2,0.2,1.4933884143829346,TimesFM
2006-11-12,2006-11-26,2,0.25,1.5563253164291382,TimesFM
2006-11-12,2006-11-26,2,0.3,1.6192622184753418,TimesFM
2006-11-12,2006-11-26,2,0.35,1.662271499633789,TimesFM
2006-11-12,2006-11-26,2,0.4,1.7052807807922363,TimesFM
2006-11-12,2006-11-26,2,0.45,1.7450307607650757,TimesFM
2006-11-12,2006-11-26,2,0.5,1.784780740737915,TimesFM
2006-11-12,2006-11-26,2,0.55,1.8385205268859863,TimesFM
2006-11-12,2006-11-26,2,0.6,1.8922603130340576,TimesFM
2006-11-12,2006-11-26,2,0.65,1.944596529006958,TimesFM
2006-11-12,2006-11-26,2,0.7,1.9969327449798584,TimesFM
2006-11-12,2006-11-26,2,0.75,2.0277167558670044,TimesFM
2006-11-12,2006-11-26,2,0.8,2.0585007667541504,TimesFM
2006-11-12,2006-11-26,2,0.85,2.121487617492676,TimesFM
2006-11-12,2006-11-26,2,0.9,2.184474468231201,TimesFM
2006-11-12,2006-11-26,2,0.95,2.184474468231201,TimesFM
2006-11-12,2006-11-26,2,0.975,2.184474468231201,TimesFM
2006-11-12,2006-11-26,2,0.99,2.184474468231201,TimesFM
2006-11-12,2006-12-10,4,0.01,0.656136155128479,TimesFM
2006-11-12,2006-12-10,4,0.025,0.656136155128479,TimesFM
2006-11-12,2006-12-10,4,0.05,0.656136155128479,TimesFM
2006-11-12,2006-12-10,4,0.1,0.656136155128479,TimesFM
2006-11-12,2006-12-10,4,0.15,0.7161285579204559,TimesFM
2006-11-12,2006-12-10,4,0.2,0.7761209607124329,TimesFM
2006-11-12,2006-12-10,4,0.25,0.8414973020553589,TimesFM
2006-11-12,2006-12-10,4,0.3,0.9068736433982849,TimesFM
2006-11-12,2006-12-10,4,0.35,0.9462309777736664,TimesFM
2006-11-12,2006-12-10,4,0.4,0.9855883121490479,TimesFM
2006-11-12,2006-12-10,4,0.45,1.0315864086151123,TimesFM
2006-11-12,2006-12-10,4,0.5,1.0775845050811768,TimesFM
2006-11-12,2006-12-10,4,0.55,1.1239444017410278,TimesFM
2006-11-12,2006-12-10,4,0.6,1.170304298400879,TimesFM
2006-11-12,2006-12-10,4,0.65,1.2155625224113464,TimesFM
2006-11-12,2006-12-10,4,0.7,1.260820746421814,TimesFM
2006-11-12,2006-12-10,4,0.75,1.3257203102111816,TimesFM
2006-11-12,2006-12-10,4,0.8,1.3906198740005493,TimesFM
2006-11-12,2006-12-10,4,0.85,1.425819754600525,TimesFM
2006-11-12,2006-12-10,4,0.9,1.4610196352005005,TimesFM
2006-11-12,2006-12-10,4,0.95,1.4610196352005005,TimesFM
2006-11-12,2006-12-10,4,0.975,1.4610196352005005,TimesFM
2006-11-12,2006-12-10,4,0.99,1.4610196352005005,TimesFM
2006-11-12,2007-01-07,8,0.01,0.048380136489868164,TimesFM
2006-11-12,2007-01-07,8,0.025,0.048380136489868164,TimesFM
2006-11-12,2007-01-07,8,0.05,0.048380136489868164,TimesFM
2006-11-12,2007-01-07,8,0.1,0.048380136489868164,TimesFM
2006-11-12,2007-01-07,8,0.15,0.14768677949905393,TimesFM
2006-11-12,2007-01-07,8,0.2,0.24699342250823975,TimesFM
2006-11-12,2007-01-07,8,0.25,0.27346181869506836,TimesFM
2006-11-12,2007-01-07,8,0.3,0.299930214881897,TimesFM
2006-11-12,2007-01-07,8,0.35,0.359828233718872,TimesFM
2006-11-12,2007-01-07,8,0.4,0.41972625255584717,TimesFM
2006-11-12,2007-01-07,8,0.45,0.4679080843925476,TimesFM
2006-11-12,2007-01-07,8,0.5,0.516089916229248,TimesFM
2006-11-12,2007-01-07,8,0.55,0.5428944528102875,TimesFM
2006-11-12,2007-01-07,8,0.6,0.5696989893913269,TimesFM
2006-11-12,2007-01-07,8,0.65,0.6231538653373718,TimesFM
2006-11-12,2007-01-07,8,0.7,0.6766087412834167,TimesFM
2006-11-12,2007-01-07,8,0.75,0.7212778627872467,TimesFM
2006-11-12,2007-01-07,8,0.8,0.7659469842910767,TimesFM
2006-11-12,2007-01-07,8,0.85,0.8813980221748351,TimesFM
2006-11-12,2007-01-07,8,0.9,0.9968490600585938,TimesFM
2006-11-12,2007-01-07,8,0.95,0.9968490600585938,TimesFM
2006-11-12,2007-01-07,8,0.975,0.9968490600585938,TimesFM
2006-11-12,2007-01-07,8,0.99,0.9968490600585938,TimesFM
2006-12-10,2006-12-17,1,0.01,0.7006033658981323,TimesFM
2006-12-10,2006-12-17,1,0.025,0.7006033658981323,TimesFM
2006-12-10,2006-12-17,1,0.05,0.7006033658981323,TimesFM
2006-12-10,2006-12-17,1,0.1,0.7006033658981323,TimesFM
2006-12-10,2006-12-17,1,0.15,0.7769600749015808,TimesFM
2006-12-10,2006-12-17,1,0.2,0.8533167839050293,TimesFM
2006-12-10,2006-12-17,1,0.25,0.8724049627780914,TimesFM
2006-12-10,2006-12-17,1,0.3,0.8914931416511536,TimesFM
2006-12-10,2006-12-17,1,0.35,0.9205107986927032,TimesFM
2006-12-10,2006-12-17,1,0.4,0.9495284557342529,TimesFM
2006-12-10,2006-12-17,1,0.45,0.9575153291225433,TimesFM
