origin,target_date,horizon,quantile,value,model
2006-10-15,2006-10-22,1,0.01,5.138768196105957,TiRex
2006-10-15,2006-10-22,1,0.025,5.138768196105957,TiRex
2006-10-15,2006-10-22,1,0.05,5.138768196105957,TiRex
2006-10-15,2006-10-22,1,0.1,5.138768196105957,TiRex
2006-10-15,2006-10-22,1,0.15,5.255123615264893,TiRex
2006-10-15,2006-10-22,1,0.2,5.371479034423828,TiRex
2006-10-15,2006-10-22,1,0.25,5.445394039154053,TiRex
2006-10-15,2006-10-22,1,0.3,5.519309043884277,TiRex
2006-10-15,2006-10-22,1,0.35,5.578737735748291,TiRex
2006-10-15,2006-10-22,1,0.4,5.638166427612305,TiRex
2006-10-15,2006-10-22,1,0.45,5.69236946105957,TiRex
2006-10-15,2006-10-22,1,0.5,5.746572494506836,TiRex
2006-10-15,2006-10-22,1,0.55,5.809317588806152,TiRex
2006-10-15,2006-10-22,1,0.6,5.872062683105469,TiRex
2006-10-15,2006-10-22,1,0.65,5.93087911605835,TiRex
2006-10-15,2006-10-22,1,0.7,5.9896955490112305,TiRex
2006-10-15,2006-10-22,1,0.75,6.069533586502075,TiRex
2006-10-15,2006-10-22,1,0.8,6.14937162399292,TiRex
2006-10-15,2006-10-22,1,0.85,6.2706520557403564,TiRex
2006-10-15,2006-10-22,1,0.9,6.391932487487793,TiRex
2006-10-15,2006-10-22,1,0.95,6.391932487487793,TiRex
2006-10-15,2006-10-22,1,0.975,6.391932487487793,TiRex
2006-10-15,2006-10-22,1,0.99,6.391932487487793,TiRex
2006-10-15,2006-10-29,2,0.01,3.672329902648926,TiRex
2006-10-15,2006-10-29,2,0.025,3.672329902648926,TiRex
2006-10-15,2006-10-29,2,0.05,3.672329902648926,TiRex
2006-10-15,2006-10-29,2,0.1,3.672329902648926,TiRex
2006-10-15,2006-10-29,2,0.15,3.866824150085449,TiRex
2006-10-15,2006-10-29,2,0.2,4.061318397521973,TiRex
2006-10-15,2006-10-29,2,0.25,4.1983819007873535,TiRex
2006-10-15,2006-10-29,2,0.3,4.335445404052734,TiRex
2006-10-15,2006-10-29,2,0.35,4.4389967918396,TiRex
2006-10-15,2006-10-29,2,0.4,4.542548179626465,TiRex
2006-10-15,2006-10-29,2,0.45,4.638576507568359,TiRex
2006-10-15,2006-10-29,2,0.5,4.734604835510254,TiRex
2006-10-15,2006-10-29,2,0.55,4.8260931968688965,TiRex
2006-10-15,2006-10-29,2,0.6,4.917581558227539,TiRex
2006-10-15,2006-10-29,2,0.65,5.018765449523926,TiRex
2006-10-15,2006-10-29,2,0.7,5.1199493408203125,TiRex
2006-10-15,2006-10-29,2,0.75,5.250046730041504,TiRex
2006-10-15,2006-10-29,2,0.8,5.380144119262695,TiRex
2006-10-15,2006-10-29,2,0.85,5.598718643188477,TiRex
2006-10-15,2006-10-29,2,0.9,5.817293167114258,TiRex
2006-10-15,2006-10-29,2,0.95,5.817293167114258,TiRex
2006-10-15,2006-10-29,2,0.975,5.817293167114258,TiRex
2006-10-15,2006-10-29,2,0.99,5.817293167114258,TiRex
2006-10-15,2006-11-12,4,0.01,1.3646910190582275,TiRex
2006-10-15,2006-11-12,4,0.025,1.3646910190582275,TiRex
2006-10-15,2006-11-12,4,0.05,1.3646910190582275,TiRex
2006-10-15,2006-11-12,4,0.1,1.3646910190582275,TiRex
2006-10-15,2006-11-12,4,0.15,1.575685739517212,TiRex
2006-10-15,2006-11-12,4,0.2,1.7866804599761963,TiRex
2006-10-15,2006-11-12,4,0.25,1.9466789960861206,TiRex
2006-10-15,2006-11-12,4,0.3,2.106677532196045,TiRex
2006-10-15,2006-11-12,4,0.35,2.2504475116729736,TiRex
2006-10-15,2006-11-12,4,0.4,2.3942174911499023,TiRex
2006-10-15,2006-11-12,4,0.45,2.5498294830322266,TiRex
2006-10-15,2006-11-12,4,0.5,2.705441474914551,TiRex
