origin,target_date,horizon,quantile,value,model
2006-10-15,2006-10-22,1,0.01,4.249512990367412,XGBoost
2006-10-15,2006-10-22,1,0.025,4.372099059551954,XGBoost
2006-10-15,2006-10-22,1,0.05,4.576409174859523,XGBoost
2006-10-15,2006-10-22,1,0.1,4.985029405474663,XGBoost
2006-10-15,2006-10-22,1,0.15,5.1126182731986045,XGBoost
2006-10-15,2006-10-22,1,0.2,5.159912465810775,XGBoost
2006-10-15,2006-10-22,1,0.25,5.188993381261826,XGBoost
2006-10-15,2006-10-22,1,0.3,5.2035036749839785,XGBoost
2006-10-15,2006-10-22,1,0.35,5.231371345996856,XGBoost
2006-10-15,2006-10-22,1,0.4,5.285953771591187,XGBoost
2006-10-15,2006-10-22,1,0.45,5.339145558357238,XGBoost
2006-10-15,2006-10-22,1,0.5,5.38121223449707,XGBoost
2006-10-15,2006-10-22,1,0.55,5.423278910636903,XGBoost
2006-10-15,2006-10-22,1,0.6,5.476470697402954,XGBoost
2006-10-15,2006-10-22,1,0.65,5.531053122997284,XGBoost
2006-10-15,2006-10-22,1,0.7,5.558920794010162,XGBoost
2006-10-15,2006-10-22,1,0.75,5.573431087732315,XGBoost
2006-10-15,2006-10-22,1,0.8,5.6025120031833655,XGBoost
2006-10-15,2006-10-22,1,0.85,5.649806195795536,XGBoost
2006-10-15,2006-10-22,1,0.9,5.777395063519478,XGBoost
2006-10-15,2006-10-22,1,0.95,6.1860152941346165,XGBoost
2006-10-15,2006-10-22,1,0.975,6.390325409442187,XGBoost
2006-10-15,2006-10-22,1,0.99,6.512911478626728,XGBoost
2006-10-15,2006-10-29,2,0.01,2.8135724528312682,XGBoost
2006-10-15,2006-10-29,2,0.025,2.8181350667476655,XGBoost
2006-10-15,2006-10-29,2,0.05,2.8257394232749937,XGBoost
2006-10-15,2006-10-29,2,0.1,2.8409481363296507,XGBoost
2006-10-15,2006-10-29,2,0.15,3.032346044868231,XGBoost
2006-10-15,2006-10-29,2,0.2,3.2740837235450746,XGBoost
2006-10-15,2006-10-29,2,0.25,3.451674667447805,XGBoost
2006-10-15,2006-10-29,2,0.3,3.577948223531246,XGBoost
2006-10-15,2006-10-29,2,0.35,3.702552701115608,XGBoost
2006-10-15,2006-10-29,2,0.4,3.8238190217018126,XGBoost
2006-10-15,2006-10-29,2,0.45,3.934448582410812,XGBoost
2006-10-15,2006-10-29,2,0.5,3.959984064102173,XGBoost
2006-10-15,2006-10-29,2,0.55,3.9855195457935335,XGBoost
2006-10-15,2006-10-29,2,0.6,4.096149106502533,XGBoost
2006-10-15,2006-10-29,2,0.65,4.217415427088738,XGBoost
2006-10-15,2006-10-29,2,0.7,4.3420199046731,XGBoost
2006-10-15,2006-10-29,2,0.75,4.4682934607565405,XGBoost
2006-10-15,2006-10-29,2,0.8,4.645884404659271,XGBoost
2006-10-15,2006-10-29,2,0.85,4.887622083336114,XGBoost
2006-10-15,2006-10-29,2,0.9,5.079019991874695,XGBoost
2006-10-15,2006-10-29,2,0.95,5.0942287049293515,XGBoost
2006-10-15,2006-10-29,2,0.975,5.101833061456681,XGBoost
2006-10-15,2006-10-29,2,0.99,5.1063956753730775,XGBoost
2006-10-15,2006-11-12,4,0.01,-0.8931834056854251,XGBoost
2006-10-15,2006-11-12,4,0.025,-0.8063118810653689,XGBoost
2006-10-15,2006-11-12,4,0.05,-0.6615260066986086,XGBoost
2006-10-15,2006-11-12,4,0.1,-0.3719542579650881,XGBoost
2006-10-15,2006-11-12,4,0.15,-0.1773131392896177,XGBoost
2006-10-15,2006-11-12,4,0.2,-0.009795057773590077,XGBoost
2006-10-15,2006-11-12,4,0.25,0.20966173782944691,XGBoost
2006-10-15,2006-11-12,4,0.3,0.47066950470209135,XGBoost
2006-10-15,2006-11-12,4,0.35,0.7071456844806674,XGBoost
2006-10-15,2006-11-12,4,0.4,0.8945586900711061,XGBoost
2006-10-15,2006-11-12,4,0.45,1.0687310881614684,XGBoost
