origin,target_date,horizon,quantile,value,model,region
2015-01-04,2015-01-11,1,0.01,15.516383123392592,Naive,abruzzo
2015-01-04,2015-01-11,1,0.025,16.1705493913567,Naive,abruzzo
2015-01-04,2015-01-11,1,0.05,16.73316847076389,Naive,abruzzo
2015-01-04,2015-01-11,1,0.1,17.38183223700651,Naive,abruzzo
2015-01-04,2015-01-11,1,0.15,17.819482600552266,Naive,abruzzo
2015-01-04,2015-01-11,1,0.2,18.167313235699577,Naive,abruzzo
2015-01-04,2015-01-11,1,0.25,18.46572094922895,Naive,abruzzo
2015-01-04,2015-01-11,1,0.3,18.73370029865643,Naive,abruzzo
2015-01-04,2015-01-11,1,0.35,18.98202310280762,Naive,abruzzo
2015-01-04,2015-01-11,1,0.4,19.21765716040714,Naive,abruzzo
2015-01-04,2015-01-11,1,0.45,19.445635838105403,Naive,abruzzo
2015-01-04,2015-01-11,1,0.5,19.67,Naive,abruzzo
2015-01-04,2015-01-11,1,0.55,19.8943641618946,Naive,abruzzo
2015-01-04,2015-01-11,1,0.6,20.122342839592864,Naive,abruzzo
2015-01-04,2015-01-11,1,0.65,20.357976897192383,Naive,abruzzo
2015-01-04,2015-01-11,1,0.7,20.606299701343573,Naive,abruzzo
2015-01-04,2015-01-11,1,0.75,20.87427905077105,Naive,abruzzo
2015-01-04,2015-01-11,1,0.8,21.172686764300423,Naive,abruzzo
2015-01-04,2015-01-11,1,0.85,21.520517399447737,Naive,abruzzo
2015-01-04,2015-01-11,1,0.9,21.958167762993494,Naive,abruzzo
2015-01-04,2015-01-11,1,0.95,22.60683152923612,Naive,abruzzo
2015-01-04,2015-01-11,1,0.975,23.169450608643302,Naive,abruzzo
2015-01-04,2015-01-11,1,0.99,23.82361687660741,Naive,abruzzo
2015-01-04,2015-01-18,2,0.01,13.79589868020003,Naive,abruzzo
2015-01-04,2015-01-18,2,0.025,14.721029488401864,Naive,abruzzo
2015-01-04,2015-01-18,2,0.05,15.516693020949376,Naive,abruzzo
2015-01-04,2015-01-18,2,0.1,16.434042116589698,Naive,abruzzo
2015-01-04,2015-01-18,2,0.15,17.052973196293625,Naive,abruzzo
2015-01-04,2015-01-18,2,0.2,17.5448799979278,Naive,abruzzo
2015-01-04,2015-01-18,2,0.25,17.966892233517783,Naive,abruzzo
