model,horizon,MAE,RMSE,sMAPE,MASE,WIS,CRPS,PinballLoss,Coverage95,Coverage95_Dist,region
ARIMA,1,1.5406729385756037,2.470684345273315,24.22390795551847,0.5893191570556577,1.1353055279837363,1.2431794023342113,0.5676527639918681,0.8695652173913043,0.08043478260869563,abruzzo
ARIMA,2,1.7346148927219953,2.3709020779315986,26.96374314840374,0.6635034346356523,1.1867471026980378,1.3287864867721828,0.5933735513490188,0.9565217391304348,0.006521739130434856,abruzzo
ARIMA,4,3.578384618060427,5.244595966426856,44.238406828202336,1.3687594257908875,2.5348960911994656,2.7828153256815433,1.2674480455997328,0.9130434782608695,0.036956521739130443,abruzzo
ARIMA,8,4.928598484164393,6.719661314266097,62.12363250434482,1.885226534087671,3.399515290554351,3.7649852484734936,1.6997576452771754,0.8260869565217391,0.12391304347826082,abruzzo
CatBoost,1,1.8284008487821501,2.7235450909755015,23.52611209248354,0.6993772785808364,1.4516330557070247,1.5890488641145033,0.7258165278535124,0.9130434782608695,0.036956521739130443,abruzzo
CatBoost,2,2.1930307414786046,2.7157374663418006,29.901483955233882,0.8388509953060976,1.4854122592963415,1.6519206496957224,0.7427061296481708,0.9130434782608695,0.036956521739130443,abruzzo
CatBoost,4,3.6375379774952483,5.131650220439391,44.84323019210517,1.3913860372191174,2.662216910799302,2.9118300876582297,1.331108455399651,0.8695652173913043,0.08043478260869563,abruzzo
CatBoost,8,5.472872865508205,7.301444899874421,69.29199091370039,2.0934156387246805,3.843799611730044,4.210044527310154,1.921899805865022,0.8260869565217391,0.12391304347826082,abruzzo
Chronos-Bolt-small,1,1.7203068299257815,2.340379529339651,28.397840581052602,0.6580304914203585,1.1511004741026414,1.257069334190975,0.5755502370513207,0.9565217391304348,0.006521739130434856,abruzzo
Chronos-Bolt-small,2,1.6032417187421946,2.0353367929737622,26.87924085655453,0.6132521929794705,1.1003703794968434,1.2213872873699212,0.5501851897484218,0.9565217391304348,0.006521739130434856,abruzzo
Chronos-Bolt-small,4,3.1215347890565353,4.8402676600463606,42.79156936059477,1.194010879627348,2.285994343543024,2.4851267938697004,1.142997171771512,0.9130434782608695,0.036956521739130443,abruzzo
Chronos-Bolt-small,8,4.57223823094427,5.968013190557669,68.2784019789044,1.7489160175740341,3.006089170961522,3.3197787910577174,1.503044585480761,0.8695652173913043,0.08043478260869563,abruzzo
Chronos-V2,1,1.4398452602641023,2.1592792763533963,21.848454177580013,0.5507518006085793,1.0198573681257377,1.1131724918697685,0.5099286840628688,0.9565217391304348,0.006521739130434856,abruzzo
Chronos-V2,2,1.5941637062839709,2.2047189717266056,22.407664578476687,0.6097797839329617,1.0512170871280315,1.1618283172776385,0.5256085435640159,1.0,0.050000000000000044,abruzzo
Chronos-V2,4,3.08761312270389,5.001313358242623,38.253433459357645,1.1810355833653483,2.137864853136671,2.3717060597134263,1.0689324265683358,0.9565217391304348,0.006521739130434856,abruzzo
Chronos-V2,8,4.736228236969141,6.2965776030631115,63.454709670664535,1.811643446411382,2.901650782121618,3.2622817214870112,1.4508253910608089,0.9565217391304348,0.006521739130434856,abruzzo
Drift,1,1.041644675672281,1.8828409239288046,18.112564506536778,0.39843703802978125,0.8549997918046668,0.9335753996466584,0.42749989590233345,0.9565217391304348,0.006521739130434856,abruzzo
Drift,2,2.0491305142410186,2.970869003221249,25.28715086149563,0.7838080601753133,1.451542777068649,1.6052700633855566,0.7257713885343245,0.9130434782608695,0.036956521739130443,abruzzo
Drift,4,4.485322773098071,6.140168209710168,48.308233179093854,1.7156701916297008,3.1412840597524525,3.457073058394117,1.570642029876226,0.782608695652174,0.167391304347826,abruzzo
Drift,8,6.859837482352958,8.676385302708798,76.34346990629346,2.623940189652829,4.569814743271454,5.084769709790663,2.284907371635727,0.7391304347826086,0.2108695652173913,abruzzo
ETS,1,1.040737339468036,1.882714214597423,18.095979795079927,0.39808997500708276,0.8552323462633926,0.9338765875164949,0.4276161731316963,0.9565217391304348,0.006521739130434856,abruzzo
ETS,2,2.014950723518359,2.916873949299654,25.058701076898434,0.770734029371839,1.4288495176151697,1.5812374115200238,0.7144247588075848,0.9565217391304348,0.006521739130434856,abruzzo
ETS,4,4.420631528345332,6.055141169091405,47.912913017313386,1.6909252968035402,3.0888154409169415,3.399744522424718,1.5444077204584707,0.782608695652174,0.167391304347826,abruzzo
ETS,8,6.733839319384337,8.493740774050202,76.02018317783529,2.5757449307292326,4.472138373067795,4.980651194806298,2.2360691865338973,0.782608695652174,0.167391304347826,abruzzo
LightGBM,1,2.341961271883249,3.6782607212800347,31.447542120178284,0.8958180597883626,1.785403684070315,1.9480929080973526,0.8927018420351576,0.9130434782608695,0.036956521739130443,abruzzo
LightGBM,2,2.357083988537858,3.026850488437211,33.26826677130215,0.9016026143217376,1.6595374569834462,1.821379424177481,0.8297687284917231,0.782608695652174,0.167391304347826,abruzzo
LightGBM,4,4.320375983874809,5.708953138470679,55.20746515709123,1.6525767859170257,3.073516566352022,3.373450990943376,1.536758283176011,0.8260869565217391,0.12391304347826082,abruzzo
LightGBM,8,5.656529178365069,7.344534067928223,71.40127469531768,2.1636655800138556,3.914338400205963,4.331606409365724,1.957169200102981,0.8260869565217391,0.12391304347826082,abruzzo
MovingAverage,1,5.211106381625698,6.555229140933445,64.53700594396396,1.9932879608998957,3.705314142578041,4.047323899599734,1.8526570712890205,0.8260869565217391,0.12391304347826082,abruzzo
MovingAverage,2,4.0961907546416745,5.0730624196971545,58.79918923713181,1.566824224806849,2.7923127656278113,3.084918788191375,1.396156382813906,0.782608695652174,0.167391304347826,abruzzo
MovingAverage,4,4.0695206803264865,5.794052808397842,51.820976963999954,1.5566227178416072,2.9059157581956385,3.1278443266917657,1.4529578790978193,0.8695652173913043,0.08043478260869563,abruzzo
MovingAverage,8,4.525694653583851,6.021931779761648,61.41334012524769,1.7311127440241292,3.248734984829298,3.58023576247458,1.624367492414649,0.8695652173913043,0.08043478260869563,abruzzo
Naive,1,1.0418850015462175,1.8829853189195516,18.12751778421069,0.39852896451067205,0.8540611889940912,0.9324406942734397,0.4270305944970456,0.9565217391304348,0.006521739130434856,abruzzo
Naive,2,2.0160260311952527,2.9177812003262766,25.08785967551117,0.7711453427647441,1.42879629955532,1.5809374690370028,0.71439814977766,0.9130434782608695,0.036956521739130443,abruzzo
Naive,4,4.42171179531787,6.056243720778965,47.94029557916416,1.6913385071648774,3.090942014406673,3.40148376761599,1.5454710072033364,0.782608695652174,0.167391304347826,abruzzo
Naive,8,6.734916976452675,8.494251379185167,76.0473703674871,2.576157142782295,4.477471840548297,4.98507183182435,2.2387359202741486,0.7391304347826086,0.2108695652173913,abruzzo
Prophet,1,4.871382498780889,6.7959000521311825,56.092367281232484,1.8633409830196495,3.4741190349207,3.7905331397072963,1.73705951746035,0.782608695652174,0.167391304347826,abruzzo
