model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2018-01-21,2018-01-28,1.0,19.67,17.22713574989775,2.44286425010225,-0.12419238688877732,abruzzo
ARIMA,2018-2019,latest,2019-02-03,2019-03-03,4.0,20.46,7.538200565970769,12.921799434029232,-0.6315639997081736,abruzzo
ARIMA,2019-2020,latest,2020-01-26,2020-02-16,3.0,19.56,15.99785027468452,3.5621497253154786,-0.18211399413678317,abruzzo
ARIMA,2020-2021,latest,2021-01-31,2020-12-13,-7.0,2.44,14.75476675998496,12.31476675998496,5.047035557370886,abruzzo
ARIMA,2021-2022,latest,2022-04-03,2022-04-10,1.0,6.09,5.605779505141248,0.48422049485875185,-0.07951075449240588,abruzzo
ARIMA,2022-2023,latest,2022-12-18,2023-01-15,4.0,24.53,14.170419062668913,10.359580937331089,-0.422322908166779,abruzzo
ARIMA,2023-2024,latest,2023-12-31,2024-01-07,1.0,21.76,21.788609050293545,0.028609050293542992,0.001314754149519439,abruzzo
ARIMA,2024-2025,latest,2025-02-02,2025-02-02,0.0,23.2062362746735,21.716143197163227,1.4900930775102736,-0.06421088968815296,abruzzo
CatBoost,2017-2018,latest,2018-01-21,2018-01-28,1.0,19.67,11.619382325042652,8.05061767495735,-0.40928407091801466,abruzzo
CatBoost,2018-2019,latest,2019-02-03,2019-03-03,4.0,20.46,10.814213176983362,9.645786823016639,-0.4714460812813606,abruzzo
CatBoost,2019-2020,latest,2020-01-26,2020-02-16,3.0,19.56,14.70350209982556,4.856497900174439,-0.24828721371034967,abruzzo
CatBoost,2020-2021,latest,2021-01-31,2021-02-07,1.0,2.44,6.2344523347636365,3.7944523347636365,1.5551034158867363,abruzzo
CatBoost,2021-2022,latest,2022-04-03,2022-01-30,-9.0,6.09,15.64278073109418,9.552780731094181,1.5686011052699804,abruzzo
CatBoost,2022-2023,latest,2022-12-18,2023-01-15,4.0,24.53,15.41892575696224,9.111074243037761,-0.3714257742779356,abruzzo
CatBoost,2023-2024,latest,2023-12-31,2024-01-07,1.0,21.76,19.18161105945326,2.5783889405467413,-0.11849213881189068,abruzzo
CatBoost,2024-2025,latest,2025-02-02,2025-02-02,0.0,23.2062362746735,19.453074720060123,3.753161554613378,-0.16173073092035398,abruzzo
Chronos-Bolt-small,2017-2018,latest,2018-01-21,2018-01-28,1.0,19.67,17.07379150390625,2.5962084960937517,-0.13198823060974843,abruzzo
Chronos-Bolt-small,2018-2019,latest,2019-02-03,2019-03-03,4.0,20.46,8.948443412780762,11.51155658721924,-0.5626371743508914,abruzzo
Chronos-Bolt-small,2019-2020,latest,2020-01-26,2020-02-16,3.0,19.56,13.823261260986328,5.736738739013671,-0.293289301585566,abruzzo
Chronos-Bolt-small,2020-2021,latest,2021-01-31,2020-12-13,-7.0,2.44,5.774300575256348,3.3343005752563477,1.3665166292034212,abruzzo
Chronos-Bolt-small,2021-2022,latest,2022-04-03,2022-01-02,-13.0,6.09,7.986242294311523,1.8962422943115236,0.3113698348623192,abruzzo
Chronos-Bolt-small,2022-2023,latest,2022-12-18,2023-01-15,4.0,24.53,15.197793006896973,9.332206993103028,-0.38044056229527223,abruzzo
Chronos-Bolt-small,2023-2024,latest,2023-12-31,2024-01-07,1.0,21.76,22.46787452697754,0.7078745269775375,0.03253099848242359,abruzzo
Chronos-Bolt-small,2024-2025,latest,2025-02-02,2025-02-02,0.0,23.2062362746735,21.054088592529297,2.1521476821442036,-0.09274005731351553,abruzzo
Chronos-V2,2017-2018,latest,2018-01-21,2018-01-28,1.0,19.67,17.623443603515625,2.0465563964843767,-0.10404455498141213,abruzzo
Chronos-V2,2018-2019,latest,2019-02-03,2019-03-03,4.0,20.46,9.243932723999023,11.216067276000977,-0.5481948815249744,abruzzo
Chronos-V2,2019-2020,latest,2020-01-26,2020-02-16,3.0,19.56,16.035661697387695,3.5243383026123034,-0.18018089481657995,abruzzo
Chronos-V2,2020-2021,latest,2021-01-31,2021-04-04,9.0,2.44,10.649351119995115,8.209351119995116,3.3644881639324247,abruzzo
Chronos-V2,2021-2022,latest,2022-04-03,2021-12-12,-16.0,6.09,6.222337245941162,0.13233724594116225,0.021730253849123523,abruzzo
Chronos-V2,2022-2023,latest,2022-12-18,2023-01-15,4.0,24.53,14.754158973693848,9.775841026306153,-0.3985259285082003,abruzzo
Chronos-V2,2023-2024,latest,2023-12-31,2024-01-28,4.0,21.76,21.37695503234864,0.38304496765136165,-0.017603169469272133,abruzzo
Chronos-V2,2024-2025,latest,2025-02-02,2025-02-02,0.0,23.2062362746735,21.54355239868164,1.6626838759918598,-0.07164814907131048,abruzzo
Drift,2017-2018,latest,2018-01-21,2018-03-18,8.0,19.67,20.54846153846154,0.87846153846154,0.04465996636815149,abruzzo
Drift,2018-2019,latest,2019-02-03,2019-04-21,11.0,20.46,10.849148936170211,9.61085106382979,-0.4697385661695889,abruzzo
Drift,2019-2020,latest,2020-01-26,2020-03-08,6.0,19.56,16.488301886792453,3.071698113207546,-0.1570397808388316,abruzzo
Drift,2020-2021,latest,2021-01-31,2020-12-13,-7.0,2.44,16.746603773584905,14.306603773584905,5.863362202288895,abruzzo
Drift,2021-2022,latest,2022-04-03,2022-01-30,-9.0,6.09,5.648688524590164,0.44131147540983573,-0.07246493849094184,abruzzo
Drift,2022-2023,latest,2022-12-18,2023-03-05,11.0,24.53,18.015942028985503,6.514057971014498,-0.26555474810495305,abruzzo
Drift,2023-2024,latest,2023-12-31,2024-02-25,8.0,21.76,22.27253333333333,0.5125333333333302,0.023553921568627303,abruzzo
Drift,2024-2025,latest,2025-02-02,2025-03-23,7.0,23.2062362746735,23.19372380784848,0.01251246682501872,-0.0005391855308598405,abruzzo
