origin,target_date,horizon,quantile,value,model,region
2015-01-04,2015-01-11,1,0.01,27.985130816147,Naive,basilicata
2015-01-04,2015-01-11,1,0.025,29.99393553267313,Naive,basilicata
2015-01-04,2015-01-11,1,0.05,31.72161841035824,Naive,basilicata
2015-01-04,2015-01-11,1,0.1,33.713526120798726,Naive,basilicata
2015-01-04,2015-01-11,1,0.15,35.05745679642985,Naive,basilicata
2015-01-04,2015-01-11,1,0.2,36.12557029395207,Naive,basilicata
2015-01-04,2015-01-11,1,0.25,37.04191656819694,Naive,basilicata
2015-01-04,2015-01-11,1,0.3,37.86482384334104,Naive,basilicata
2015-01-04,2015-01-11,1,0.35,38.62737007146186,Naive,basilicata
2015-01-04,2015-01-11,1,0.4,39.3509518723903,Naive,basilicata
2015-01-04,2015-01-11,1,0.45,40.05102563873252,Naive,basilicata
2015-01-04,2015-01-11,1,0.5,40.74,Naive,basilicata
2015-01-04,2015-01-11,1,0.55,41.428974361267485,Naive,basilicata
2015-01-04,2015-01-11,1,0.6,42.12904812760971,Naive,basilicata
2015-01-04,2015-01-11,1,0.65,42.85262992853814,Naive,basilicata
2015-01-04,2015-01-11,1,0.7,43.61517615665897,Naive,basilicata
2015-01-04,2015-01-11,1,0.75,44.438083431803065,Naive,basilicata
2015-01-04,2015-01-11,1,0.8,45.35442970604794,Naive,basilicata
2015-01-04,2015-01-11,1,0.85,46.42254320357016,Naive,basilicata
2015-01-04,2015-01-11,1,0.9,47.76647387920128,Naive,basilicata
2015-01-04,2015-01-11,1,0.95,49.758381589641765,Naive,basilicata
2015-01-04,2015-01-11,1,0.975,51.48606446732687,Naive,basilicata
2015-01-04,2015-01-11,1,0.99,53.494869183853005,Naive,basilicata
2015-01-04,2015-01-18,2,0.01,22.70189101390044,Naive,basilicata
2015-01-04,2015-01-18,2,0.025,25.54276988817073,Naive,basilicata
2015-01-04,2015-01-18,2,0.05,27.986082445272785,Naive,basilicata
2015-01-04,2015-01-18,2,0.1,30.80306534437326,Naive,basilicata
2015-01-04,2015-01-18,2,0.15,32.70367033274003,Naive,basilicata
2015-01-04,2015-01-18,2,0.2,34.21421092708972,Naive,basilicata
2015-01-04,2015-01-18,2,0.25,35.51012025595687,Naive,basilicata
2015-01-04,2015-01-18,2,0.3,36.67388688504114,Naive,basilicata
2015-01-04,2015-01-18,2,0.35,37.75229010278606,Naive,basilicata
2015-01-04,2015-01-18,2,0.4,38.77558929914541,Naive,basilicata
2015-01-04,2015-01-18,2,0.45,39.76564311416819,Naive,basilicata
2015-01-04,2015-01-18,2,0.5,40.74,Naive,basilicata
2015-01-04,2015-01-18,2,0.55,41.71435688583181,Naive,basilicata
2015-01-04,2015-01-18,2,0.6,42.7044107008546,Naive,basilicata
2015-01-04,2015-01-18,2,0.65,43.72770989721394,Naive,basilicata
2015-01-04,2015-01-18,2,0.7,44.80611311495886,Naive,basilicata
2015-01-04,2015-01-18,2,0.75,45.96987974404313,Naive,basilicata
2015-01-04,2015-01-18,2,0.8,47.26578907291029,Naive,basilicata
2015-01-04,2015-01-18,2,0.85,48.77632966725997,Naive,basilicata
2015-01-04,2015-01-18,2,0.9,50.676934655626745,Naive,basilicata
2015-01-04,2015-01-18,2,0.95,53.49391755472722,Naive,basilicata
2015-01-04,2015-01-18,2,0.975,55.93723011182927,Naive,basilicata
2015-01-04,2015-01-18,2,0.99,58.77810898609957,Naive,basilicata
2015-01-04,2015-02-01,4,0.01,15.230261632293995,Naive,basilicata
2015-01-04,2015-02-01,4,0.025,19.247871065346267,Naive,basilicata
2015-01-04,2015-02-01,4,0.05,22.70323682071648,Naive,basilicata
2015-01-04,2015-02-01,4,0.1,26.68705224159744,Naive,basilicata
2015-01-04,2015-02-01,4,0.15,29.37491359285969,Naive,basilicata
2015-01-04,2015-02-01,4,0.2,31.51114058790413,Naive,basilicata
2015-01-04,2015-02-01,4,0.25,33.34383313639388,Naive,basilicata
2015-01-04,2015-02-01,4,0.3,34.98964768668207,Naive,basilicata
2015-01-04,2015-02-01,4,0.35,36.51474014292373,Naive,basilicata
2015-01-04,2015-02-01,4,0.4,37.9619037447806,Naive,basilicata
2015-01-04,2015-02-01,4,0.45,39.36205127746504,Naive,basilicata
2015-01-04,2015-02-01,4,0.5,40.74,Naive,basilicata
2015-01-04,2015-02-01,4,0.55,42.11794872253496,Naive,basilicata
2015-01-04,2015-02-01,4,0.6,43.518096255219405,Naive,basilicata
2015-01-04,2015-02-01,4,0.65,44.96525985707628,Naive,basilicata
2015-01-04,2015-02-01,4,0.7,46.490352313317935,Naive,basilicata
2015-01-04,2015-02-01,4,0.75,48.13616686360613,Naive,basilicata
2015-01-04,2015-02-01,4,0.8,49.968859412095874,Naive,basilicata
2015-01-04,2015-02-01,4,0.85,52.10508640714031,Naive,basilicata
2015-01-04,2015-02-01,4,0.9,54.79294775840256,Naive,basilicata
2015-01-04,2015-02-01,4,0.95,58.776763179283535,Naive,basilicata
2015-01-04,2015-02-01,4,0.975,62.23212893465374,Naive,basilicata
2015-01-04,2015-02-01,4,0.99,66.24973836770602,Naive,basilicata
2015-01-04,2015-03-01,8,0.01,4.663782027800863,Naive,basilicata
2015-01-04,2015-03-01,8,0.025,10.345539776341468,Naive,basilicata
2015-01-04,2015-03-01,8,0.05,15.232164890545569,Naive,basilicata
2015-01-04,2015-03-01,8,0.1,20.86613068874652,Naive,basilicata
2015-01-04,2015-03-01,8,0.15,24.667340665480065,Naive,basilicata
2015-01-04,2015-03-01,8,0.2,27.68842185417943,Naive,basilicata
2015-01-04,2015-03-01,8,0.25,30.28024051191374,Naive,basilicata
2015-01-04,2015-03-01,8,0.3,32.607773770082275,Naive,basilicata
2015-01-04,2015-03-01,8,0.35,34.76458020557212,Naive,basilicata
2015-01-04,2015-03-01,8,0.4,36.811178598290816,Naive,basilicata
2015-01-04,2015-03-01,8,0.45,38.79128622833638,Naive,basilicata
2015-01-04,2015-03-01,8,0.5,40.74,Naive,basilicata
2015-01-04,2015-03-01,8,0.55,42.68871377166362,Naive,basilicata
2015-01-04,2015-03-01,8,0.6,44.66882140170919,Naive,basilicata
2015-01-04,2015-03-01,8,0.65,46.71541979442788,Naive,basilicata
2015-01-04,2015-03-01,8,0.7,48.87222622991773,Naive,basilicata
2015-01-04,2015-03-01,8,0.75,51.199759488086265,Naive,basilicata
2015-01-04,2015-03-01,8,0.8,53.79157814582057,Naive,basilicata
2015-01-04,2015-03-01,8,0.85,56.812659334519935,Naive,basilicata
2015-01-04,2015-03-01,8,0.9,60.61386931125348,Naive,basilicata
2015-01-04,2015-03-01,8,0.95,66.24783510945443,Naive,basilicata
2015-01-04,2015-03-01,8,0.975,71.13446022365854,Naive,basilicata
2015-01-04,2015-03-01,8,0.99,76.81621797219914,Naive,basilicata
2015-03-01,2015-03-08,1,0.01,-13.257354510995397,Naive,basilicata
2015-03-01,2015-03-08,1,0.025,-11.03554259972394,Naive,basilicata
2015-03-01,2015-03-08,1,0.05,-9.124661783405148,Naive,basilicata
2015-03-01,2015-03-08,1,0.1,-6.921538582428465,Naive,basilicata
2015-03-01,2015-03-08,1,0.15,-5.435101818080358,Naive,basilicata
2015-03-01,2015-03-08,1,0.2,-4.253728998780826,Naive,basilicata
2015-03-01,2015-03-08,1,0.25,-3.240216311252254,Naive,basilicata
2015-03-01,2015-03-08,1,0.3,-2.330050593925145,Naive,basilicata
2015-03-01,2015-03-08,1,0.35,-1.4866464150142915,Naive,basilicata
2015-03-01,2015-03-08,1,0.4,-0.6863383259023687,Naive,basilicata
2015-03-01,2015-03-08,1,0.45,0.0879690122034752,Naive,basilicata
2015-03-01,2015-03-08,1,0.5,0.85,Naive,basilicata
2015-03-01,2015-03-08,1,0.55,1.6120309877965249,Naive,basilicata
2015-03-01,2015-03-08,1,0.6,2.3863383259023685,Naive,basilicata
2015-03-01,2015-03-08,1,0.65,3.186646415014292,Naive,basilicata
2015-03-01,2015-03-08,1,0.7,4.030050593925146,Naive,basilicata
2015-03-01,2015-03-08,1,0.75,4.940216311252254,Naive,basilicata
2015-03-01,2015-03-08,1,0.8,5.953728998780825,Naive,basilicata
2015-03-01,2015-03-08,1,0.85,7.135101818080357,Naive,basilicata
2015-03-01,2015-03-08,1,0.9,8.621538582428466,Naive,basilicata
2015-03-01,2015-03-08,1,0.95,10.824661783405148,Naive,basilicata
2015-03-01,2015-03-08,1,0.975,12.73554259972394,Naive,basilicata
2015-03-01,2015-03-08,1,0.99,14.957354510995394,Naive,basilicata
2015-03-01,2015-03-15,2,0.01,-19.10081207865495,Naive,basilicata
2015-03-01,2015-03-15,2,0.025,-15.958695540692776,Naive,basilicata
2015-03-01,2015-03-15,2,0.05,-13.256301974176166,Naive,basilicata
2015-03-01,2015-03-15,2,0.1,-10.140615263776114,Naive,basilicata
2015-03-01,2015-03-15,2,0.15,-8.03847623202504,Naive,basilicata
2015-03-01,2015-03-15,2,0.2,-6.367762768752701,Naive,basilicata
2015-03-01,2015-03-15,2,0.25,-4.934439380412591,Naive,basilicata
2015-03-01,2015-03-15,2,0.3,-3.647270678961557,Naive,basilicata
2015-03-01,2015-03-15,2,0.35,-2.4545170505836835,Naive,basilicata
2015-03-01,2015-03-15,2,0.4,-1.322710496884706,Naive,basilicata
2015-03-01,2015-03-15,2,0.45,-0.2276745578904119,Naive,basilicata
2015-03-01,2015-03-15,2,0.5,0.85,Naive,basilicata
2015-03-01,2015-03-15,2,0.55,1.927674557890412,Naive,basilicata
2015-03-01,2015-03-15,2,0.6,3.0227104968847063,Naive,basilicata
2015-03-01,2015-03-15,2,0.65,4.154517050583683,Naive,basilicata
2015-03-01,2015-03-15,2,0.7,5.347270678961557,Naive,basilicata
2015-03-01,2015-03-15,2,0.75,6.63443938041259,Naive,basilicata
2015-03-01,2015-03-15,2,0.8,8.0677627687527,Naive,basilicata
2015-03-01,2015-03-15,2,0.85,9.73847623202504,Naive,basilicata
2015-03-01,2015-03-15,2,0.9,11.840615263776114,Naive,basilicata
2015-03-01,2015-03-15,2,0.95,14.956301974176164,Naive,basilicata
2015-03-01,2015-03-15,2,0.975,17.658695540692776,Naive,basilicata
2015-03-01,2015-03-15,2,0.99,20.80081207865496,Naive,basilicata
2015-03-01,2015-03-29,4,0.01,-27.364709021990787,Naive,basilicata
2015-03-01,2015-03-29,4,0.025,-22.92108519944788,Naive,basilicata
2015-03-01,2015-03-29,4,0.05,-19.09932356681029,Naive,basilicata
2015-03-01,2015-03-29,4,0.1,-14.69307716485693,Naive,basilicata
2015-03-01,2015-03-29,4,0.15,-11.720203636160717,Naive,basilicata
2015-03-01,2015-03-29,4,0.2,-9.357457997561651,Naive,basilicata
2015-03-01,2015-03-29,4,0.25,-7.3304326225045084,Naive,basilicata
2015-03-01,2015-03-29,4,0.3,-5.510101187850292,Naive,basilicata
2015-03-01,2015-03-29,4,0.35,-3.823292830028584,Naive,basilicata
2015-03-01,2015-03-29,4,0.4,-2.222676651804737,Naive,basilicata
2015-03-01,2015-03-29,4,0.45,-0.6740619755930496,Naive,basilicata
2015-03-01,2015-03-29,4,0.5,0.85,Naive,basilicata
2015-03-01,2015-03-29,4,0.55,2.3740619755930497,Naive,basilicata
2015-03-01,2015-03-29,4,0.6,3.922676651804737,Naive,basilicata
2015-03-01,2015-03-29,4,0.65,5.523292830028583,Naive,basilicata
2015-03-01,2015-03-29,4,0.7,7.210101187850291,Naive,basilicata
2015-03-01,2015-03-29,4,0.75,9.030432622504508,Naive,basilicata
2015-03-01,2015-03-29,4,0.8,11.05745799756165,Naive,basilicata
2015-03-01,2015-03-29,4,0.85,13.420203636160714,Naive,basilicata
2015-03-01,2015-03-29,4,0.9,16.39307716485693,Naive,basilicata
2015-03-01,2015-03-29,4,0.95,20.799323566810298,Naive,basilicata
2015-03-01,2015-03-29,4,0.975,24.621085199447883,Naive,basilicata
2015-03-01,2015-03-29,4,0.99,29.06470902199079,Naive,basilicata
2015-03-01,2015-04-26,8,0.01,-39.0516241573099,Naive,basilicata
2015-03-01,2015-04-26,8,0.025,-32.76739108138555,Naive,basilicata
2015-03-01,2015-04-26,8,0.05,-27.36260394835233,Naive,basilicata
2015-03-01,2015-04-26,8,0.1,-21.131230527552223,Naive,basilicata
2015-03-01,2015-04-26,8,0.15,-16.92695246405008,Naive,basilicata
2015-03-01,2015-04-26,8,0.2,-13.585525537505402,Naive,basilicata
2015-03-01,2015-04-26,8,0.25,-10.71887876082518,Naive,basilicata
2015-03-01,2015-04-26,8,0.3,-8.144541357923115,Naive,basilicata
2015-03-01,2015-04-26,8,0.35,-5.759034101167368,Naive,basilicata
2015-03-01,2015-04-26,8,0.4,-3.4954209937694123,Naive,basilicata
2015-03-01,2015-04-26,8,0.45,-1.3053491157808237,Naive,basilicata
2015-03-01,2015-04-26,8,0.5,0.85,Naive,basilicata
2015-03-01,2015-04-26,8,0.55,3.005349115780824,Naive,basilicata
