model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2018-01-21,2018-02-18,4.0,40.74,41.09784702431181,0.35784702431180904,0.008783677572700271,basilicata
ARIMA,2018-2019,latest,2019-02-24,2019-03-03,1.0,12.81,10.62246382532994,2.1875361746700612,-0.17076785126229985,basilicata
ARIMA,2019-2020,latest,2020-02-02,2020-02-16,2.0,19.26,14.94596397103151,4.314036028968491,-0.22398940960376382,basilicata
ARIMA,2020-2021,latest,2020-12-06,2021-04-04,17.0,0.0,7.279399886852732,7.279399886852732,,basilicata
ARIMA,2021-2022,latest,2022-04-10,2021-12-05,-18.0,2.4,6.815846633832111,4.4158466338321105,1.839936097430046,basilicata
ARIMA,2022-2023,latest,2022-12-25,2023-01-15,3.0,6.15,5.189946991263474,0.9600530087365264,-0.156106180282362,basilicata
ARIMA,2023-2024,latest,2024-01-07,2024-02-11,5.0,10.63,5.935137160513031,4.694862839486969,-0.4416616029620855,basilicata
ARIMA,2024-2025,latest,2025-03-16,2025-01-12,-9.0,30.4826418289585,15.236854888300485,15.245786940658014,-0.50014651046992,basilicata
CatBoost,2017-2018,latest,2018-01-21,2018-02-18,4.0,40.74,16.253621870721332,24.48637812927867,-0.6010402093588284,basilicata
CatBoost,2018-2019,latest,2019-02-24,2019-03-24,4.0,12.81,10.524789769789155,2.2852102302108452,-0.1783926799540082,basilicata
CatBoost,2019-2020,latest,2020-02-02,2020-03-08,5.0,19.26,14.465452702242157,4.794547297757845,-0.2489380736115184,basilicata
CatBoost,2020-2021,latest,2020-12-06,2021-04-04,17.0,0.0,10.904099446825306,10.904099446825306,,basilicata
CatBoost,2021-2022,latest,2022-04-10,2022-03-27,-2.0,2.4,10.794595308472736,8.394595308472736,3.4977480451969734,basilicata
CatBoost,2022-2023,latest,2022-12-25,2022-11-13,-6.0,6.15,13.86115629236276,7.711156292362759,1.2538465516037005,basilicata
CatBoost,2023-2024,latest,2024-01-07,2024-02-04,4.0,10.63,9.289661403842953,1.3403385961570482,-0.1260901783778973,basilicata
CatBoost,2024-2025,latest,2025-03-16,2025-01-12,-9.0,30.4826418289585,18.35237689574271,12.130264933215788,-0.39794008017021804,basilicata
Chronos-Bolt-small,2017-2018,latest,2018-01-21,2018-01-28,1.0,40.74,17.472013473510742,23.26798652648926,-0.5711336898990982,basilicata
Chronos-Bolt-small,2018-2019,latest,2019-02-24,2019-03-03,1.0,12.81,9.85780143737793,2.952198562622071,-0.2304604654662038,basilicata
Chronos-Bolt-small,2019-2020,latest,2020-02-02,2020-02-16,2.0,19.26,11.159357070922852,8.10064292907715,-0.4205941292355737,basilicata
Chronos-Bolt-small,2020-2021,latest,2020-12-06,2021-04-04,17.0,0.0,7.69700813293457,7.69700813293457,,basilicata
Chronos-Bolt-small,2021-2022,latest,2022-04-10,2022-01-30,-10.0,2.4,0.4388380050659179,1.961161994934082,-0.8171508312225342,basilicata
Chronos-Bolt-small,2022-2023,latest,2022-12-25,2023-01-15,3.0,6.15,5.088985919952393,1.0610140800476078,-0.17252261464188742,basilicata
Chronos-Bolt-small,2023-2024,latest,2024-01-07,2024-02-11,5.0,10.63,4.378545761108398,6.251454238891602,-0.5880954128778553,basilicata
Chronos-Bolt-small,2024-2025,latest,2025-03-16,2025-01-12,-9.0,30.4826418289585,13.599909782409668,16.88273204654883,-0.553847404082616,basilicata
Chronos-V2,2017-2018,latest,2018-01-21,2018-01-28,1.0,40.74,22.09491920471192,18.64508079528808,-0.457660304253512,basilicata
Chronos-V2,2018-2019,latest,2019-02-24,2019-03-03,1.0,12.81,10.110719680786133,2.6992803192138677,-0.21071665255377578,basilicata
Chronos-V2,2019-2020,latest,2020-02-02,2020-02-16,2.0,19.26,13.159385681152344,6.100614318847658,-0.31675048384463433,basilicata
Chronos-V2,2020-2021,latest,2020-12-06,2021-04-04,17.0,0.0,12.084579467773438,12.084579467773438,,basilicata
Chronos-V2,2021-2022,latest,2022-04-10,2022-01-02,-14.0,2.4,0.6335058212280273,1.7664941787719726,-0.7360392411549886,basilicata
Chronos-V2,2022-2023,latest,2022-12-25,2023-01-15,3.0,6.15,3.7138068675994873,2.436193132400513,-0.3961289646179696,basilicata
Chronos-V2,2023-2024,latest,2024-01-07,2024-02-11,5.0,10.63,4.59560489654541,6.034395103454591,-0.5676759269477507,basilicata
Chronos-V2,2024-2025,latest,2025-03-16,2025-01-12,-9.0,30.4826418289585,14.085613250732422,16.397028578226077,-0.5379136319690279,basilicata
Drift,2017-2018,latest,2018-01-21,2018-03-18,8.0,40.74,42.79538461538462,2.055384615384618,0.05045126694611237,basilicata
