region,model,MAE
abruzzo,TimesFM,2.624919474232713
basilicata,TimesFM,2.1915047038530933
calabria,Chronos-Bolt-small,1.6919054631888866
campania,TimeGPT,2.7519905344741975
emilia_romagna,TimesFM,2.3731569236408316
friuli_venezia_giulia,TimeGPT,2.011085819782089
lazio,Chronos-V2,1.6505619074811197
liguria,TimesFM,2.003353762842366
lombardia,TimesFM,2.1092000374421644
marche,TimesFM,3.1043478770653943
molise,TiRex,2.044635208985442
pa_bolzano,TimesFM,2.2732115062631717
pa_trento,TimesFM,2.1575647500390756
piemonte,TimesFM,2.104136013778382
puglia,Chronos-V2,1.9107676855707152
sardegna,TimesFM,1.9701897488429787
sicilia,Chronos-Bolt-small,1.6369079102307373
toscana,Chronos-Bolt-small,2.293728330646847
umbria,TimesFM,3.086669632522626
valle_d_aosta,TimesFM,3.2769958754123465
veneto,TimesFM,1.79144053910264
