origin,target_date,horizon,quantile,value,model,region
2015-01-04,2015-01-11,1,0.01,12.998954563294674,Naive,calabria
2015-01-04,2015-01-11,1,0.025,13.777135447375311,Naive,calabria
2015-01-04,2015-01-11,1,0.05,14.446413938264635,Naive,calabria
2015-01-04,2015-01-11,1,0.1,15.218049175062651,Naive,calabria
2015-01-04,2015-01-11,1,0.15,15.738667805983768,Naive,calabria
2015-01-04,2015-01-11,1,0.2,16.152438989893415,Naive,calabria
2015-01-04,2015-01-11,1,0.25,16.507417822803077,Naive,calabria
2015-01-04,2015-01-11,1,0.3,16.826199785838003,Naive,calabria
2015-01-04,2015-01-11,1,0.35,17.12159878259942,Naive,calabria
2015-01-04,2015-01-11,1,0.4,17.40190354339513,Naive,calabria
2015-01-04,2015-01-11,1,0.45,17.673101643405545,Naive,calabria
2015-01-04,2015-01-11,1,0.5,17.94,Naive,calabria
2015-01-04,2015-01-11,1,0.55,18.206898356594458,Naive,calabria
2015-01-04,2015-01-11,1,0.6,18.47809645660488,Naive,calabria
2015-01-04,2015-01-11,1,0.65,18.758401217400586,Naive,calabria
2015-01-04,2015-01-11,1,0.7,19.053800214162,Naive,calabria
2015-01-04,2015-01-11,1,0.75,19.372582177196925,Naive,calabria
2015-01-04,2015-01-11,1,0.8,19.727561010106587,Naive,calabria
2015-01-04,2015-01-11,1,0.85,20.14133219401624,Naive,calabria
2015-01-04,2015-01-11,1,0.9,20.66195082493735,Naive,calabria
2015-01-04,2015-01-11,1,0.95,21.433586061735365,Naive,calabria
2015-01-04,2015-01-11,1,0.975,22.10286455262469,Naive,calabria
2015-01-04,2015-01-11,1,0.99,22.881045436705328,Naive,calabria
2015-01-04,2015-01-18,2,0.01,10.952306531109636,Naive,calabria
2015-01-04,2015-01-18,2,0.025,12.05282049135596,Naive,calabria
2015-01-04,2015-01-18,2,0.05,12.99932321017624,Naive,calabria
2015-01-04,2015-01-18,2,0.1,14.090580227260968,Naive,calabria
2015-01-04,2015-01-18,2,0.15,14.826846155933724,Naive,calabria
2015-01-04,2015-01-18,2,0.2,15.412006975937915,Naive,calabria
2015-01-04,2015-01-18,2,0.25,15.914022855794132,Naive,calabria
2015-01-04,2015-01-18,2,0.3,16.364848631358047,Naive,calabria
2015-01-04,2015-01-18,2,0.35,16.782605898889447,Naive,calabria
2015-01-04,2015-01-18,2,0.4,17.179016693204485,Naive,calabria
2015-01-04,2015-01-18,2,0.45,17.56254872432903,Naive,calabria
2015-01-04,2015-01-18,2,0.5,17.94,Naive,calabria
2015-01-04,2015-01-18,2,0.55,18.31745127567097,Naive,calabria
2015-01-04,2015-01-18,2,0.6,18.70098330679552,Naive,calabria
2015-01-04,2015-01-18,2,0.65,19.09739410111056,Naive,calabria
2015-01-04,2015-01-18,2,0.7,19.51515136864196,Naive,calabria
2015-01-04,2015-01-18,2,0.75,19.96597714420587,Naive,calabria
