model,horizon,MAE,RMSE,sMAPE,MASE,WIS,CRPS,PinballLoss,Coverage95,Coverage95_Dist,region
ARIMA,1,1.1046337448600125,1.5947845089764434,176.63714881223825,0.30127428266401257,0.9241519079556505,1.0206797916126524,0.46207595397782525,0.9375,0.012499999999999956,calabria
ARIMA,2,1.6452524456053297,2.477678128571085,172.52276269101466,0.4487209019798444,1.3059440585212119,1.4303944358961804,0.652972029260606,0.9375,0.012499999999999956,calabria
ARIMA,4,4.571321468819239,7.561167050803418,176.6563677469902,1.2467676302244852,3.4600604545690796,3.706184800745475,1.7300302272845398,0.8125,0.13749999999999996,calabria
ARIMA,8,2.7088511675446165,3.0081786139026088,184.36305426199513,0.7388034234360644,1.6286728365220222,1.8122193627624588,0.8143364182610111,1.0,0.050000000000000044,calabria
CatBoost,1,1.0230029437637151,1.739342178943913,173.50581524416899,0.27901055845858164,0.7774617303122531,0.8602167966618637,0.38873086515612654,0.9375,0.012499999999999956,calabria
CatBoost,2,0.9342104327694787,1.8702792053431259,170.29907800378433,0.2547935723487511,0.7824187040755225,0.863144998819472,0.39120935203776125,0.9375,0.012499999999999956,calabria
CatBoost,4,3.2204826378631375,5.711269377050964,166.84646327400807,0.8783441580241431,2.5560948655991833,2.7800139121124716,1.2780474327995917,0.9375,0.012499999999999956,calabria
CatBoost,8,3.1610586775856495,4.039391374697876,177.35931054166713,0.8621370567211463,2.305731903155043,2.5701476513627775,1.1528659515775215,0.8125,0.13749999999999996,calabria
Chronos-Bolt-small,1,0.6871327370405196,1.2918386433796494,137.84188368515692,0.18740639004566775,0.4803705670132261,0.5313313089330494,0.24018528350661306,0.9375,0.012499999999999956,calabria
Chronos-Bolt-small,2,1.0843942427635191,2.40702833985558,140.07642027372518,0.29575422544688446,0.7790962735897173,0.8541353339511156,0.3895481367948587,0.9375,0.012499999999999956,calabria
Chronos-Bolt-small,4,3.1933231753110887,7.267897124145933,141.4304536544964,0.8709367728741035,2.4756879826835965,2.627644550864101,1.2378439913417985,0.875,0.07499999999999996,calabria
Chronos-Bolt-small,8,1.802771697640419,2.9905135364634967,184.293375797191,0.4916822001327062,1.1571571310786126,1.3002975675170123,0.5785785655393062,0.9375,0.012499999999999956,calabria
Chronos-V2,1,0.7587993949651716,1.3925280078603663,171.06594404628652,0.2069525256382509,0.5034317870729642,0.5422094626769423,0.25171589353648216,1.0,0.050000000000000044,calabria
Chronos-V2,2,1.002069723010063,2.2030656794246206,170.10523286033506,0.2733012986285706,0.7064659749870391,0.7715816040124743,0.35323298749351956,1.0,0.050000000000000044,calabria
Chronos-V2,4,3.192916046977043,7.110553969530451,167.90781923706368,0.8708257339914308,2.235643861057318,2.452926591277868,1.1178219305286587,0.9375,0.012499999999999956,calabria
Chronos-V2,8,2.311601797938347,3.730122472777621,191.16420506120375,0.6304588980005981,1.4422970931199581,1.5959828738711772,0.7211485465599791,1.0,0.050000000000000044,calabria
Drift,1,0.5979716771513148,1.4350661270781784,177.32473595645192,0.16308888708627067,0.8841246112833845,0.9733742518915576,0.44206230564169224,0.9375,0.012499999999999956,calabria
Drift,2,1.004651687635963,2.8048464224740477,174.4803331360657,0.27400549542153607,1.5050166355414514,1.6535411491732677,0.7525083177707257,0.875,0.07499999999999996,calabria
Drift,4,3.6295560348463933,7.658205054904916,182.33731609596367,0.989913530955693,3.573346489976368,3.8665634851173487,1.7866732449881837,0.875,0.07499999999999996,calabria
Drift,8,2.2986067505438506,5.444223495710108,195.8181335809511,0.6269146702416879,2.957253937378314,3.2302918282309645,1.478626968689157,0.9375,0.012499999999999956,calabria
ETS,1,0.6299147838516451,1.4197298944349566,173.3202180405471,0.17180094807660518,0.8652897333562329,0.9561287893826641,0.4326448666781165,1.0,0.050000000000000044,calabria
ETS,2,1.1175918453402969,2.7364976764898326,174.62753462422046,0.30480843363943894,1.4222410223862052,1.5560488513923567,0.7111205111931027,0.875,0.07499999999999996,calabria
ETS,4,3.4184299685256287,7.3942725349165,178.17029555031388,0.9323316813350082,3.348096045466386,3.594614883207195,1.6740480227331929,0.875,0.07499999999999996,calabria
ETS,8,2.3108478094765905,5.355361267434787,194.76474597878465,0.6302532575935313,2.6691126798144893,2.9085702950203545,1.3345563399072446,0.9375,0.012499999999999956,calabria
LightGBM,1,1.5756240716195347,2.631485466458906,179.35327146735602,0.4297306814445389,1.2466324449415476,1.3631762889316614,0.6233162224707738,0.9375,0.012499999999999956,calabria
LightGBM,2,0.9065918061467809,1.1868129870675572,165.64226738747405,0.2472609562552848,0.6933674040976577,0.7725288225228548,0.3466837020488288,1.0,0.050000000000000044,calabria
LightGBM,4,3.4186133877022433,4.9086804999673515,165.48543577597252,0.9323817064959437,2.4177688986032946,2.6404982552431053,1.2088844493016473,0.8125,0.13749999999999996,calabria
LightGBM,8,6.7434567705866515,8.223412933085582,182.18320313513803,1.8391888810998942,4.149812427298626,4.663550528345323,2.0749062136493137,0.8125,0.13749999999999996,calabria
MovingAverage,1,3.292307692307692,5.02123643844293,165.02086203422965,0.897933494178118,2.457921461904264,2.6663096167067306,1.228960730952132,0.9375,0.012499999999999956,calabria
MovingAverage,2,3.2913942307692308,4.340542685360823,169.27892054827493,0.8976843595929926,2.206249945547659,2.4414282423557694,1.1031249727738297,0.9375,0.012499999999999956,calabria
MovingAverage,4,4.466009615384615,7.169193089423617,152.47059597855605,1.2180452113710267,3.183547791753763,3.478586499326923,1.5917738958768815,0.9375,0.012499999999999956,calabria
MovingAverage,8,2.954567307692308,3.828573743472702,178.5430448885096,0.8058192594146648,1.887839340875836,2.102901149230769,0.9439196704379181,0.9375,0.012499999999999956,calabria
