model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2017-12-31,2018-01-28,4.0,21.57,16.658212052357655,4.911787947642345,-0.22771385941781852,calabria
ARIMA,2018-2019,latest,2019-02-03,2019-03-03,4.0,35.0,7.96848164599235,27.031518354007652,-0.7723290958287901,calabria
ARIMA,2019-2020,latest,2019-11-03,2019-12-15,6.0,0.0,3.76417345757189,3.76417345757189,,calabria
ARIMA,2020-2021,latest,2020-12-06,2020-12-13,1.0,0.0,3.4270390308741745,3.4270390308741745,,calabria
ARIMA,2021-2022,latest,2021-11-07,2021-12-05,4.0,0.0,2.718522009823708,2.718522009823708,,calabria
ARIMA,2022-2023,latest,2022-10-30,2022-11-13,2.0,0.0,1.2604821446176389,1.2604821446176389,,calabria
CatBoost,2017-2018,latest,2017-12-31,2018-01-28,4.0,21.57,14.624300040390056,6.945699959609945,-0.32200741583727144,calabria
CatBoost,2018-2019,latest,2019-02-03,2019-01-27,-1.0,35.0,8.69572798317402,26.30427201682598,-0.7515506290521708,calabria
CatBoost,2019-2020,latest,2019-11-03,2020-02-09,14.0,0.0,4.72195572896609,4.72195572896609,,calabria
CatBoost,2020-2021,latest,2020-12-06,2021-02-07,9.0,0.0,6.840314690115785,6.840314690115785,,calabria
CatBoost,2021-2022,latest,2021-11-07,2022-01-30,12.0,0.0,7.313668403944568,7.313668403944568,,calabria
CatBoost,2022-2023,latest,2022-10-30,2022-11-13,2.0,0.0,1.322607770037718,1.322607770037718,,calabria
Chronos-Bolt-small,2017-2018,latest,2017-12-31,2018-01-28,4.0,21.57,15.524879455566406,6.045120544433594,-0.2802559362277976,calabria
Chronos-Bolt-small,2018-2019,latest,2019-02-03,2019-03-03,4.0,35.0,7.577158451080322,27.422841548919678,-0.7835097585405623,calabria
Chronos-Bolt-small,2019-2020,latest,2019-11-03,2019-12-15,6.0,0.0,5.210323810577393,5.210323810577393,,calabria
Chronos-Bolt-small,2020-2021,latest,2020-12-06,2021-01-10,5.0,0.0,0.00474214553833,0.00474214553833,,calabria
Chronos-Bolt-small,2021-2022,latest,2021-11-07,2021-11-07,0.0,0.0,0.0,0.0,,calabria
Chronos-Bolt-small,2022-2023,latest,2022-10-30,2023-01-08,10.0,0.0,0.0902698040008544,0.0902698040008544,,calabria
Chronos-V2,2017-2018,latest,2017-12-31,2018-01-28,4.0,21.57,15.39791774749756,6.17208225250244,-0.2861419681271414,calabria
Chronos-V2,2018-2019,latest,2019-02-03,2018-12-30,-5.0,35.0,9.830793380737305,25.169206619262695,-0.7191201891217913,calabria
Chronos-V2,2019-2020,latest,2019-11-03,2020-02-09,14.0,0.0,6.553365707397461,6.553365707397461,,calabria
Chronos-V2,2020-2021,latest,2020-12-06,2020-12-13,1.0,0.0,0.0704600811004638,0.0704600811004638,,calabria
Chronos-V2,2021-2022,latest,2021-11-07,2022-02-13,14.0,0.0,0.0360410213470459,0.0360410213470459,,calabria
Chronos-V2,2022-2023,latest,2022-10-30,2023-01-15,11.0,0.0,0.0447127819061279,0.0447127819061279,,calabria
Drift,2017-2018,latest,2017-12-31,2018-03-18,11.0,21.57,18.75128205128205,2.81871794871795,-0.13067769813249652,calabria
Drift,2018-2019,latest,2019-02-03,2019-04-21,11.0,35.0,8.63595744680851,26.36404255319149,-0.7532583586626139,calabria
Drift,2019-2020,latest,2019-11-03,2020-02-16,15.0,0.0,-0.01,0.01,,calabria
Drift,2020-2021,latest,2020-12-06,2021-04-11,18.0,0.0,-0.0089830508474576,0.0089830508474576,,calabria
Drift,2021-2022,latest,2021-11-07,2022-04-03,21.0,0.0,-0.0081538461538461,0.0081538461538461,,calabria
Drift,2022-2023,latest,2022-10-30,2023-01-15,11.0,0.0,-0.0076811594202898,0.0076811594202898,,calabria
ETS,2017-2018,latest,2017-12-31,2018-01-28,4.0,21.57,17.93450278142457,3.6354972185754306,-0.16854414550651045,calabria
ETS,2018-2019,latest,2019-02-03,2019-03-03,4.0,35.0,9.661509109576349,25.33849089042365,-0.7239568825835329,calabria
ETS,2019-2020,latest,2019-11-03,2019-11-03,0.0,0.0,0.2450869250662193,0.2450869250662193,,calabria
ETS,2020-2021,latest,2020-12-06,2020-12-13,1.0,0.0,1.4974159986789252e-11,1.4974159986789252e-11,,calabria
ETS,2021-2022,latest,2021-11-07,2021-11-07,0.0,0.0,6.987646358556892e-27,6.987646358556892e-27,,calabria
ETS,2022-2023,latest,2022-10-30,2022-11-13,2.0,0.0,3.2607639877849935e-42,3.2607639877849935e-42,,calabria
LightGBM,2017-2018,latest,2017-12-31,2018-01-28,4.0,21.57,11.616451960578578,9.953548039421422,-0.46145331661666306,calabria
LightGBM,2018-2019,latest,2019-02-03,2019-01-27,-1.0,35.0,13.473253468401769,21.52674653159823,-0.6150499009028066,calabria
LightGBM,2019-2020,latest,2019-11-03,2020-03-08,18.0,0.0,3.2348715296727866,3.2348715296727866,,calabria
LightGBM,2020-2021,latest,2020-12-06,2021-02-07,9.0,0.0,10.955167460779531,10.955167460779531,,calabria
LightGBM,2021-2022,latest,2021-11-07,2022-03-27,20.0,0.0,10.890814292844157,10.890814292844157,,calabria
