origin,target_date,horizon,quantile,value,model,region
2015-01-04,2015-01-11,1,0.01,8.600735997715867,Naive,campania
2015-01-04,2015-01-11,1,0.025,9.44950824228722,Naive,campania
2015-01-04,2015-01-11,1,0.05,10.17949919757339,Naive,campania
2015-01-04,2015-01-11,1,0.1,11.021132017558635,Naive,campania
2015-01-04,2015-01-11,1,0.15,11.588977685541904,Naive,campania
2015-01-04,2015-01-11,1,0.2,12.040283421381009,Naive,campania
2015-01-04,2015-01-11,1,0.25,12.42746355770627,Naive,campania
2015-01-04,2015-01-11,1,0.3,12.775163286431525,Naive,campania
2015-01-04,2015-01-11,1,0.35,13.097358902713626,Naive,campania
2015-01-04,2015-01-11,1,0.4,13.403091034987332,Naive,campania
2015-01-04,2015-01-11,1,0.45,13.698890411171282,Naive,campania
2015-01-04,2015-01-11,1,0.5,13.99,Naive,campania
2015-01-04,2015-01-11,1,0.55,14.281109588828718,Naive,campania
2015-01-04,2015-01-11,1,0.6,14.576908965012668,Naive,campania
2015-01-04,2015-01-11,1,0.65,14.882641097286374,Naive,campania
2015-01-04,2015-01-11,1,0.7,15.204836713568476,Naive,campania
2015-01-04,2015-01-11,1,0.75,15.55253644229373,Naive,campania
2015-01-04,2015-01-11,1,0.8,15.939716578618992,Naive,campania
2015-01-04,2015-01-11,1,0.85,16.391022314458098,Naive,campania
2015-01-04,2015-01-11,1,0.9,16.958867982441365,Naive,campania
2015-01-04,2015-01-11,1,0.95,17.800500802426612,Naive,campania
2015-01-04,2015-01-11,1,0.975,18.53049175771278,Naive,campania
2015-01-04,2015-01-11,1,0.99,19.37926400228413,Naive,campania
2015-01-04,2015-01-18,2,0.01,6.368429756760673,Naive,campania
2015-01-04,2015-01-18,2,0.025,7.568774976399332,Naive,campania
2015-01-04,2015-01-18,2,0.05,8.601138085774725,Naive,campania
2015-01-04,2015-01-18,2,0.1,9.791386634336174,Naive,campania
2015-01-04,2015-01-18,2,0.15,10.594441679332922,Naive,campania
2015-01-04,2015-01-18,2,0.2,11.232684371733352,Naive,campania
2015-01-04,2015-01-18,2,0.25,11.780239771606,Naive,campania
2015-01-04,2015-01-18,2,0.3,12.271961443602702,Naive,campania
2015-01-04,2015-01-18,2,0.35,12.72761485388601,Naive,campania
2015-01-04,2015-01-18,2,0.4,13.159985381800729,Naive,campania
2015-01-04,2015-01-18,2,0.45,13.578308871341571,Naive,campania
2015-01-04,2015-01-18,2,0.5,13.99,Naive,campania
2015-01-04,2015-01-18,2,0.55,14.40169112865843,Naive,campania
2015-01-04,2015-01-18,2,0.6,14.820014618199272,Naive,campania
2015-01-04,2015-01-18,2,0.65,15.25238514611399,Naive,campania
2015-01-04,2015-01-18,2,0.7,15.708038556397298,Naive,campania
2015-01-04,2015-01-18,2,0.75,16.199760228394,Naive,campania
2015-01-04,2015-01-18,2,0.8,16.747315628266648,Naive,campania
2015-01-04,2015-01-18,2,0.85,17.38555832066708,Naive,campania
2015-01-04,2015-01-18,2,0.9,18.188613365663823,Naive,campania
2015-01-04,2015-01-18,2,0.95,19.37886191422528,Naive,campania
2015-01-04,2015-01-18,2,0.975,20.411225023600668,Naive,campania
2015-01-04,2015-01-18,2,0.99,21.611570243239328,Naive,campania
2015-01-04,2015-02-01,4,0.01,3.211471995431735,Naive,campania
2015-01-04,2015-02-01,4,0.025,4.909016484574439,Naive,campania
2015-01-04,2015-02-01,4,0.05,6.36899839514678,Naive,campania
2015-01-04,2015-02-01,4,0.1,8.052264035117272,Naive,campania
2015-01-04,2015-02-01,4,0.15,9.187955371083808,Naive,campania
2015-01-04,2015-02-01,4,0.2,10.090566842762016,Naive,campania
2015-01-04,2015-02-01,4,0.25,10.864927115412538,Naive,campania
2015-01-04,2015-02-01,4,0.3,11.560326572863048,Naive,campania
2015-01-04,2015-02-01,4,0.35,12.204717805427254,Naive,campania
2015-01-04,2015-02-01,4,0.4,12.816182069974664,Naive,campania
2015-01-04,2015-02-01,4,0.45,13.407780822342565,Naive,campania
2015-01-04,2015-02-01,4,0.5,13.99,Naive,campania
2015-01-04,2015-02-01,4,0.55,14.572219177657436,Naive,campania
2015-01-04,2015-02-01,4,0.6,15.163817930025337,Naive,campania
2015-01-04,2015-02-01,4,0.65,15.775282194572746,Naive,campania
2015-01-04,2015-02-01,4,0.7,16.419673427136953,Naive,campania
2015-01-04,2015-02-01,4,0.75,17.115072884587462,Naive,campania
2015-01-04,2015-02-01,4,0.8,17.889433157237985,Naive,campania
2015-01-04,2015-02-01,4,0.85,18.792044628916194,Naive,campania
2015-01-04,2015-02-01,4,0.9,19.92773596488273,Naive,campania
2015-01-04,2015-02-01,4,0.95,21.61100160485322,Naive,campania
2015-01-04,2015-02-01,4,0.975,23.07098351542556,Naive,campania
2015-01-04,2015-02-01,4,0.99,24.768528004568267,Naive,campania
2015-01-04,2015-03-01,8,0.01,-1.2531404864786548,Naive,campania
2015-01-04,2015-03-01,8,0.025,1.1475499527986646,Naive,campania
2015-01-04,2015-03-01,8,0.05,3.212276171549451,Naive,campania
2015-01-04,2015-03-01,8,0.1,5.592773268672348,Naive,campania
2015-01-04,2015-03-01,8,0.15,7.198883358665844,Naive,campania
2015-01-04,2015-03-01,8,0.2,8.475368743466706,Naive,campania
2015-01-04,2015-03-01,8,0.25,9.570479543212002,Naive,campania
2015-01-04,2015-03-01,8,0.3,10.553922887205404,Naive,campania
2015-01-04,2015-03-01,8,0.35,11.46522970777202,Naive,campania
2015-01-04,2015-03-01,8,0.4,12.329970763601455,Naive,campania
2015-01-04,2015-03-01,8,0.45,13.166617742683144,Naive,campania
2015-01-04,2015-03-01,8,0.5,13.99,Naive,campania
2015-01-04,2015-03-01,8,0.55,14.813382257316857,Naive,campania
2015-01-04,2015-03-01,8,0.6,15.650029236398543,Naive,campania
2015-01-04,2015-03-01,8,0.65,16.51477029222798,Naive,campania
2015-01-04,2015-03-01,8,0.7,17.426077112794598,Naive,campania
2015-01-04,2015-03-01,8,0.75,18.409520456788,Naive,campania
2015-01-04,2015-03-01,8,0.8,19.50463125653329,Naive,campania
2015-01-04,2015-03-01,8,0.85,20.78111664133416,Naive,campania
2015-01-04,2015-03-01,8,0.9,22.38722673132765,Naive,campania
2015-01-04,2015-03-01,8,0.95,24.76772382845055,Naive,campania
2015-01-04,2015-03-01,8,0.975,26.83245004720133,Naive,campania
2015-01-04,2015-03-01,8,0.99,29.233140486478653,Naive,campania
2015-03-01,2015-03-08,1,0.01,-3.71983559840986,Naive,campania
2015-03-01,2015-03-08,1,0.025,-2.826875245164361,Naive,campania
2015-03-01,2015-03-08,1,0.05,-2.0588800786546955,Naive,campania
2015-03-01,2015-03-08,1,0.1,-1.1734308370662447,Naive,campania
2015-03-01,2015-03-08,1,0.15,-0.5760224374462222,Naive,campania
2015-03-01,2015-03-08,1,0.2,-0.1012211796598896,Naive,campania
2015-03-01,2015-03-08,1,0.25,0.3061160224151495,Naive,campania
2015-03-01,2015-03-08,1,0.3,0.6719174191640123,Naive,campania
2015-03-01,2015-03-08,1,0.35,1.0108869285578033,Naive,campania
2015-03-01,2015-03-08,1,0.4,1.3325358450719165,Naive,campania
2015-03-01,2015-03-08,1,0.45,1.6437348942119048,Naive,campania
2015-03-01,2015-03-08,1,0.5,1.95,Naive,campania
2015-03-01,2015-03-08,1,0.55,2.256265105788095,Naive,campania
2015-03-01,2015-03-08,1,0.6,2.5674641549280834,Naive,campania
2015-03-01,2015-03-08,1,0.65,2.8891130714421966,Naive,campania
2015-03-01,2015-03-08,1,0.7,3.228082580835988,Naive,campania
2015-03-01,2015-03-08,1,0.75,3.5938839775848503,Naive,campania
2015-03-01,2015-03-08,1,0.8,4.00122117965989,Naive,campania
2015-03-01,2015-03-08,1,0.85,4.476022437446222,Naive,campania
2015-03-01,2015-03-08,1,0.9,5.073430837066245,Naive,campania
2015-03-01,2015-03-08,1,0.95,5.958880078654696,Naive,campania
2015-03-01,2015-03-08,1,0.975,6.726875245164361,Naive,campania
2015-03-01,2015-03-08,1,0.99,7.61983559840986,Naive,campania
2015-03-01,2015-03-15,2,0.01,-6.068358399696998,Naive,campania
2015-03-01,2015-03-15,2,0.025,-4.805521757475743,Naive,campania
2015-03-01,2015-03-15,2,0.05,-3.7194125771607904,Naive,campania
2015-03-01,2015-03-15,2,0.1,-2.467198250913433,Naive,campania
2015-03-01,2015-03-15,2,0.15,-1.622335189895191,Naive,campania
2015-03-01,2015-03-15,2,0.2,-0.9508648117019548,Naive,campania
2015-03-01,2015-03-15,2,0.25,-0.3748030160683246,Naive,campania
2015-03-01,2015-03-15,2,0.3,0.1425182803489382,Naive,campania
2015-03-01,2015-03-15,2,0.35,0.6218935577645921,Naive,campania
2015-03-01,2015-03-15,2,0.4,1.076773817821462,Naive,campania
2015-03-01,2015-03-15,2,0.45,1.5168757337128451,Naive,campania
2015-03-01,2015-03-15,2,0.5,1.95,Naive,campania
2015-03-01,2015-03-15,2,0.55,2.383124266287155,Naive,campania
2015-03-01,2015-03-15,2,0.6,2.823226182178538,Naive,campania
2015-03-01,2015-03-15,2,0.65,3.278106442235408,Naive,campania
2015-03-01,2015-03-15,2,0.7,3.7574817196510617,Naive,campania
2015-03-01,2015-03-15,2,0.75,4.274803016068325,Naive,campania
2015-03-01,2015-03-15,2,0.8,4.850864811701955,Naive,campania
2015-03-01,2015-03-15,2,0.85,5.522335189895191,Naive,campania
2015-03-01,2015-03-15,2,0.9,6.367198250913433,Naive,campania
2015-03-01,2015-03-15,2,0.95,7.619412577160791,Naive,campania
2015-03-01,2015-03-15,2,0.975,8.705521757475744,Naive,campania
2015-03-01,2015-03-15,2,0.99,9.968358399696998,Naive,campania
2015-03-01,2015-03-29,4,0.01,-9.38967119681972,Naive,campania
2015-03-01,2015-03-29,4,0.025,-7.603750490328722,Naive,campania
2015-03-01,2015-03-29,4,0.05,-6.067760157309391,Naive,campania
2015-03-01,2015-03-29,4,0.1,-4.296861674132489,Naive,campania
2015-03-01,2015-03-29,4,0.15,-3.102044874892444,Naive,campania
2015-03-01,2015-03-29,4,0.2,-2.152442359319779,Naive,campania
2015-03-01,2015-03-29,4,0.25,-1.3377679551697008,Naive,campania
2015-03-01,2015-03-29,4,0.3,-0.6061651616719754,Naive,campania
2015-03-01,2015-03-29,4,0.35,0.0717738571156068,Naive,campania
2015-03-01,2015-03-29,4,0.4,0.7150716901438328,Naive,campania
2015-03-01,2015-03-29,4,0.45,1.3374697884238096,Naive,campania
2015-03-01,2015-03-29,4,0.5,1.95,Naive,campania
2015-03-01,2015-03-29,4,0.55,2.56253021157619,Naive,campania
2015-03-01,2015-03-29,4,0.6,3.184928309856167,Naive,campania
2015-03-01,2015-03-29,4,0.65,3.828226142884393,Naive,campania
2015-03-01,2015-03-29,4,0.7,4.506165161671976,Naive,campania
2015-03-01,2015-03-29,4,0.75,5.2377679551697005,Naive,campania
2015-03-01,2015-03-29,4,0.8,6.052442359319779,Naive,campania
2015-03-01,2015-03-29,4,0.85,7.002044874892444,Naive,campania
2015-03-01,2015-03-29,4,0.9,8.196861674132489,Naive,campania
2015-03-01,2015-03-29,4,0.95,9.96776015730939,Naive,campania
2015-03-01,2015-03-29,4,0.975,11.503750490328722,Naive,campania
2015-03-01,2015-03-29,4,0.99,13.28967119681972,Naive,campania
2015-03-01,2015-04-26,8,0.01,-14.086716799393995,Naive,campania
2015-03-01,2015-04-26,8,0.025,-11.561043514951487,Naive,campania
2015-03-01,2015-04-26,8,0.05,-9.388825154321582,Naive,campania
2015-03-01,2015-04-26,8,0.1,-6.884396501826866,Naive,campania
2015-03-01,2015-04-26,8,0.15,-5.194670379790382,Naive,campania
2015-03-01,2015-04-26,8,0.2,-3.8517296234039096,Naive,campania
2015-03-01,2015-04-26,8,0.25,-2.699606032136649,Naive,campania
2015-03-01,2015-04-26,8,0.3,-1.6649634393021235,Naive,campania
2015-03-01,2015-04-26,8,0.35,-0.7062128844708158,Naive,campania
2015-03-01,2015-04-26,8,0.4,0.2035476356429242,Naive,campania
2015-03-01,2015-04-26,8,0.45,1.08375146742569,Naive,campania
2015-03-01,2015-04-26,8,0.5,1.95,Naive,campania
2015-03-01,2015-04-26,8,0.55,2.81624853257431,Naive,campania
2015-03-01,2015-04-26,8,0.6,3.696452364357076,Naive,campania
2015-03-01,2015-04-26,8,0.65,4.606212884470816,Naive,campania
2015-03-01,2015-04-26,8,0.7,5.564963439302123,Naive,campania
2015-03-01,2015-04-26,8,0.75,6.599606032136649,Naive,campania
2015-03-01,2015-04-26,8,0.8,7.75172962340391,Naive,campania
2015-03-01,2015-04-26,8,0.85,9.09467037979038,Naive,campania
2015-03-01,2015-04-26,8,0.9,10.784396501826864,Naive,campania
2015-03-01,2015-04-26,8,0.95,13.28882515432158,Naive,campania
2015-03-01,2015-04-26,8,0.975,15.461043514951486,Naive,campania
2015-03-01,2015-04-26,8,0.99,17.986716799393996,Naive,campania
2015-04-26,2015-05-03,1,0.01,-4.537474865994076,Naive,campania
2015-04-26,2015-05-03,1,0.025,-3.660635628465248,Naive,campania
2015-04-26,2015-05-03,1,0.05,-2.906505510839497,Naive,campania
2015-04-26,2015-05-03,1,0.1,-2.0370417826425484,Naive,campania
2015-04-26,2015-05-03,1,0.15,-1.4504187330163767,Naive,campania
2015-04-26,2015-05-03,1,0.2,-0.9841893295026044,Naive,campania
2015-04-26,2015-05-03,1,0.25,-0.5842060151410453,Naive,campania
2015-04-26,2015-05-03,1,0.3,-0.2250086368403421,Naive,campania
2015-04-26,2015-05-03,1,0.35,0.1078412652657353,Naive,campania
2015-04-26,2015-05-03,1,0.4,0.4236832729015095,Naive,campania
2015-04-26,2015-05-03,1,0.45,0.7292640704988962,Naive,campania
2015-04-26,2015-05-03,1,0.5,1.03,Naive,campania
2015-04-26,2015-05-03,1,0.55,1.330735929501104,Naive,campania
2015-04-26,2015-05-03,1,0.6,1.6363167270984906,Naive,campania
2015-04-26,2015-05-03,1,0.65,1.9521587347342648,Naive,campania
2015-04-26,2015-05-03,1,0.7,2.285008636840342,Naive,campania
2015-04-26,2015-05-03,1,0.75,2.6442060151410454,Naive,campania
2015-04-26,2015-05-03,1,0.8,3.044189329502604,Naive,campania
2015-04-26,2015-05-03,1,0.85,3.510418733016377,Naive,campania
2015-04-26,2015-05-03,1,0.9,4.097041782642548,Naive,campania
2015-04-26,2015-05-03,1,0.95,4.9665055108394975,Naive,campania
