model,horizon,MAE,RMSE,sMAPE,MASE,WIS,CRPS,PinballLoss,Coverage95,Coverage95_Dist,region
ARIMA,1,2.400489751518923,3.5701703742194675,61.899781393483124,0.8187155549075787,1.6929967941769681,1.8479577155607465,0.846498397088484,0.8260869565217391,0.12391304347826082,campania
ARIMA,2,2.367844486949418,2.9778139133425734,64.62761181504376,0.8075814995006705,1.4668154783430027,1.644914699300211,0.7334077391715014,0.9565217391304348,0.006521739130434856,campania
ARIMA,4,4.0537136131498155,5.760584523528969,70.64924541174493,1.3825671982670804,2.8051700504495427,3.079090274445973,1.4025850252247718,0.782608695652174,0.167391304347826,campania
ARIMA,8,5.907882232027403,7.773066294705151,108.78077032408243,2.0149534389231953,4.042796726406562,4.427421375690527,2.021398363203281,0.8260869565217391,0.12391304347826082,campania
CatBoost,1,1.93831775465369,3.2627786601464726,59.696374120498206,0.661086303361374,1.4759091478693047,1.5851858671963055,0.7379545739346522,0.9130434782608695,0.036956521739130443,campania
CatBoost,2,1.9096253980010105,2.314888547805269,63.32338491846049,0.6513004341721218,1.2217410146753678,1.3681858283136974,0.6108705073376839,0.9130434782608695,0.036956521739130443,campania
CatBoost,4,3.4145087124913345,4.961589384639579,74.5545660215017,1.1645587711904333,2.447971352105001,2.652528575070752,1.2239856760525003,0.8695652173913043,0.08043478260869563,campania
CatBoost,8,5.937199556967626,7.912088874157528,102.23856809467735,2.024952460973447,3.955617270116629,4.34276823522456,1.9778086350583144,0.8260869565217391,0.12391304347826082,campania
Chronos-Bolt-small,1,2.1538139608578715,3.4904175268658553,60.763931959319514,0.7345838452406082,1.5136192948031273,1.6500545455850704,0.7568096474015635,0.8695652173913043,0.08043478260869563,campania
Chronos-Bolt-small,2,2.5022204940219566,2.886954893872836,73.93998822888716,0.8534120335102596,1.4961281135298834,1.6666070864420128,0.7480640567649419,0.8695652173913043,0.08043478260869563,campania
Chronos-Bolt-small,4,4.169143726570818,5.847457799704313,81.39293877879268,1.4219360101117142,2.932273426381957,3.1696527505621814,1.4661367131909786,0.782608695652174,0.167391304347826,campania
Chronos-Bolt-small,8,4.9705587935135505,6.928934571033591,98.47441723301593,1.6952681419519537,3.5348213065537792,3.8218793697677644,1.7674106532768896,0.7391304347826086,0.2108695652173913,campania
Chronos-V2,1,2.008459661727224,3.547306528107073,55.29404452881867,0.6850090342689512,1.4284028188274491,1.584981478371222,0.7142014094137246,0.9130434782608695,0.036956521739130443,campania
Chronos-V2,2,1.959522790287269,2.726091920210296,65.45855887933668,0.6683185327448135,1.3036776698673485,1.4526214478282942,0.6518388349336742,0.9565217391304348,0.006521739130434856,campania
Chronos-V2,4,3.284935473622554,5.188556297349831,70.02207291882851,1.120366278348295,2.3680451522740484,2.600329997935115,1.184022576137024,0.8695652173913043,0.08043478260869563,campania
Chronos-V2,8,3.9837339725934258,6.481976603914472,90.14208902997312,1.3586998102833971,2.8813164986096154,3.187473561495801,1.4406582493048077,0.8695652173913043,0.08043478260869563,campania
Drift,1,1.9570727216653108,3.28044431274598,59.03909888030823,0.6674829077269941,1.504710972740734,1.640648597598971,0.7523554863703668,0.8695652173913043,0.08043478260869563,campania
Drift,2,2.0935252901257377,2.944282910228097,60.975622687209366,0.7140216776738161,1.4459435471541813,1.6132590678175194,0.7229717735770909,0.9565217391304348,0.006521739130434856,campania
Drift,4,4.440739860635089,6.41045924979,83.54605292165034,1.5145670990261675,3.0885262194957304,3.414304570620159,1.5442631097478652,0.9130434782608695,0.036956521739130443,campania
Drift,8,6.244471147419581,8.591185413179423,113.69322990649458,2.1297510882223345,4.207743985984252,4.689145414358811,2.103871992992126,0.9130434782608695,0.036956521739130443,campania
ETS,1,1.9853841068244202,3.2823899557901806,59.09588416633847,0.677138842061259,1.5079318031800621,1.6446580679983047,0.7539659015900313,0.8695652173913043,0.08043478260869563,campania
ETS,2,2.0780094664338153,2.94593204538491,60.42183681792178,0.7087298216282977,1.4438709344751635,1.6109389315435183,0.7219354672375817,0.9565217391304348,0.006521739130434856,campania
ETS,4,4.402010059482156,6.37995287394849,82.82629439909171,1.5013578401145975,3.0874447250815553,3.4054831946471835,1.5437223625407774,0.8695652173913043,0.08043478260869563,campania
ETS,8,6.1685302873706895,8.476518696453743,113.33274484666,2.1038505554932336,4.190716982847312,4.661898165725107,2.0953584914236556,0.8695652173913043,0.08043478260869563,campania
LightGBM,1,1.9942877050185872,3.348441553501677,60.77263960227208,0.6801755200273278,1.5163182459365039,1.6141703030261838,0.7581591229682519,0.8260869565217391,0.12391304347826082,campania
LightGBM,2,1.7991582422027173,2.1687530021185006,64.09042467019714,0.6136242979998118,1.191768263163101,1.3272679133148622,0.5958841315815505,0.8260869565217391,0.12391304347826082,campania
LightGBM,4,3.7512745360151456,5.389542105602732,80.82247518317362,1.279416757110075,2.6827940924543316,2.901693314673632,1.3413970462271658,0.8260869565217391,0.12391304347826082,campania
LightGBM,8,6.613418560491324,8.444344510255489,108.6224558105167,2.255584987672901,4.421980866970119,4.852022422158979,2.2109904334850596,0.8260869565217391,0.12391304347826082,campania
MovingAverage,1,4.812918249682991,6.487408685030614,90.24088484579119,1.641502961227269,3.4429793022049666,3.736232788836048,1.7214896511024833,0.7391304347826086,0.2108695652173913,campania
MovingAverage,2,3.9570570959300775,5.019239147712322,81.557393621771,1.3496013444945663,2.645723030610458,2.930636900965736,1.3228615153052292,0.782608695652174,0.167391304347826,campania
MovingAverage,4,4.319229816920379,5.832644169800039,77.32013114885493,1.4731246547067178,3.120110601939508,3.359927588627096,1.560055300969754,0.8695652173913043,0.08043478260869563,campania
MovingAverage,8,4.359153717330476,6.241716165927166,86.12201030026702,1.4867411753594908,3.122664889648337,3.4164079069782236,1.5613324448241686,0.8695652173913043,0.08043478260869563,campania
Naive,1,1.9539116567273045,3.2799940891967285,45.12833691716598,0.6664047889667781,1.5047411722084676,1.640499898372272,0.7523705861042337,0.8695652173913043,0.08043478260869563,campania
Naive,2,2.0630819151768613,2.9199659084619554,47.11826003919348,0.7036386028871989,1.4349193034996666,1.601168032041396,0.7174596517498333,0.9565217391304348,0.006521739130434856,campania
Naive,4,4.3893843095164105,6.35193729606103,77.60194054639634,1.4970516780562972,3.056714913751084,3.3791715484895737,1.528357456875542,0.9130434782608695,0.036956521739130443,campania
Naive,8,6.14239204896714,8.454011666582488,113.11199929390459,2.094935798683575,4.135380031156246,4.607857744728826,2.0676900155781235,0.9130434782608695,0.036956521739130443,campania
Prophet,1,4.362455825603987,6.725317893654547,84.64467822196416,1.4878673986253061,3.2988126081482676,3.5739648385821137,1.6494063040741338,0.7391304347826086,0.2108695652173913,campania
Prophet,2,4.124871203312969,5.951387728921334,89.78345508687056,1.4068363399617905,2.9292086322555524,3.2130052879212063,1.4646043161277762,0.782608695652174,0.167391304347826,campania
Prophet,4,5.230072108543061,6.809860193065604,103.83614749724215,1.7837782418537969,3.5356162697782265,3.880367005336098,1.767808134889113,0.7391304347826086,0.2108695652173913,campania
Prophet,8,5.185440413695425,7.757803880014718,96.6402338387953,1.7685560719651205,3.7928661479523638,4.0775272989563955,1.896433073976182,0.8260869565217391,0.12391304347826082,campania
Ridge,1,2.1966770343690265,3.3636490054354065,57.80895196563115,0.749202805805853,1.6323788998412947,1.749394546602987,0.8161894499206473,0.8695652173913043,0.08043478260869563,campania
Ridge,2,2.3663358693286574,2.8292139571012163,69.39927438127738,0.8070669675341238,1.5375334329421524,1.7055719221806163,0.7687667164710762,0.782608695652174,0.167391304347826,campania
Ridge,4,4.394832814122085,5.787395782158864,85.9729078602365,1.4989099552969432,3.0697237204354986,3.3347480059377688,1.5348618602177493,0.8260869565217391,0.12391304347826082,campania
Ridge,8,5.72466872920545,7.394313778943635,109.24471129940272,1.952466296649614,3.7042803046430097,4.081624098119708,1.8521401523215049,0.8695652173913043,0.08043478260869563,campania
SARIMA,1,2.2592454240112256,3.4373132598119502,58.302477337561754,0.7705424985969483,1.6096018844048814,1.7545136995081534,0.8048009422024407,0.8260869565217391,0.12391304347826082,campania
