model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2018-01-28,2018-01-28,0.0,21.06,13.09741736713318,7.962582632866818,-0.37809034344096953,campania
ARIMA,2018-2019,latest,2019-02-03,2019-01-13,-3.0,17.75,7.140499596560423,10.609500403439576,-0.5977183325881451,campania
ARIMA,2019-2020,latest,2020-02-02,2020-02-09,1.0,12.44,10.698150642539211,1.7418493574607883,-0.14002004481196048,campania
ARIMA,2020-2021,latest,2021-02-21,2021-04-04,6.0,2.0,13.988676534428285,11.988676534428285,5.994338267214142,campania
ARIMA,2021-2022,latest,2022-04-03,2021-12-05,-17.0,13.0,7.753886058470425,5.246113941529575,-0.4035472262715058,campania
ARIMA,2022-2023,latest,2022-12-11,2023-01-15,5.0,17.33,11.950598693815875,5.379401306184123,-0.31040976954322697,campania
ARIMA,2023-2024,latest,2023-12-17,2024-01-07,3.0,31.56,23.15263435727547,8.407365642724528,-0.2663930812016644,campania
ARIMA,2024-2025,latest,2025-01-12,2025-02-02,3.0,26.4055747399764,18.6846580478664,7.720916692110002,-0.2923972217283729,campania
CatBoost,2017-2018,latest,2018-01-28,2018-01-28,0.0,21.06,10.1406316106459,10.9193683893541,-0.5184885275096913,campania
CatBoost,2018-2019,latest,2019-02-03,2018-12-30,-5.0,17.75,14.26237130558061,3.4876286944193904,-0.19648612362926143,campania
CatBoost,2019-2020,latest,2020-02-02,2020-02-09,1.0,12.44,10.155149222481896,2.2848507775181037,-0.18366967664936526,campania
CatBoost,2020-2021,latest,2021-02-21,2021-04-04,6.0,2.0,12.393762449643363,10.393762449643363,5.196881224821682,campania
CatBoost,2021-2022,latest,2022-04-03,2022-04-24,3.0,13.0,6.95524927377066,6.04475072622934,-0.4649808250945646,campania
CatBoost,2022-2023,latest,2022-12-11,2023-01-15,5.0,17.33,10.906189929010871,6.423810070989127,-0.3706757109630195,campania
CatBoost,2023-2024,latest,2023-12-17,2024-01-07,3.0,31.56,19.82673150479861,11.73326849520139,-0.37177656828901745,campania
CatBoost,2024-2025,latest,2025-01-12,2025-02-02,3.0,26.4055747399764,21.13801273499732,5.26756200497908,-0.19948673932873418,campania
Chronos-Bolt-small,2017-2018,latest,2018-01-28,2018-01-28,0.0,21.06,12.632429122924805,8.427570877075194,-0.4001695573160111,campania
Chronos-Bolt-small,2018-2019,latest,2019-02-03,2018-12-02,-9.0,17.75,8.759660720825195,8.990339279174805,-0.5064979875591439,campania
Chronos-Bolt-small,2019-2020,latest,2020-02-02,2020-02-16,2.0,12.44,9.687606811523438,2.752393188476562,-0.2212534717424889,campania
Chronos-Bolt-small,2020-2021,latest,2021-02-21,2021-03-07,2.0,2.0,11.874835968017578,9.874835968017578,4.937417984008789,campania
Chronos-Bolt-small,2021-2022,latest,2022-04-03,2022-04-24,3.0,13.0,2.4252068996429443,10.574793100357056,-0.813445623104389,campania
Chronos-Bolt-small,2022-2023,latest,2022-12-11,2023-01-15,5.0,17.33,11.571496963500977,5.758503036499022,-0.3322852300345656,campania
Chronos-Bolt-small,2023-2024,latest,2023-12-17,2024-01-07,3.0,31.56,21.50373649597168,10.056263504028319,-0.31863952801103673,campania
Chronos-Bolt-small,2024-2025,latest,2025-01-12,2025-02-02,3.0,26.4055747399764,19.92693901062012,6.478635729356281,-0.24535105912873875,campania
Chronos-V2,2017-2018,latest,2018-01-28,2018-01-28,0.0,21.06,13.630060195922852,7.429939804077147,-0.3527986611622577,campania
Chronos-V2,2018-2019,latest,2019-02-03,2019-01-27,-1.0,17.75,7.845259666442871,9.904740333557129,-0.5580135399187115,campania
Chronos-V2,2019-2020,latest,2020-02-02,2020-02-09,1.0,12.44,9.72296142578125,2.7170385742187495,-0.21841146095006025,campania
Chronos-V2,2020-2021,latest,2021-02-21,2021-04-04,6.0,2.0,14.442957878112791,12.442957878112791,6.221478939056396,campania
Chronos-V2,2021-2022,latest,2022-04-03,2022-02-13,-7.0,13.0,2.210275888442993,10.789724111557007,-0.8299787778120774,campania
Chronos-V2,2022-2023,latest,2022-12-11,2023-01-15,5.0,17.33,12.81938934326172,4.510610656738278,-0.2602775912716837,campania
Chronos-V2,2023-2024,latest,2023-12-17,2024-01-07,3.0,31.56,21.347686767578125,10.212313232421874,-0.3235840694683737,campania
Chronos-V2,2024-2025,latest,2025-01-12,2025-02-02,3.0,26.4055747399764,16.92176055908203,9.48381418089437,-0.35915954393283717,campania
Drift,2017-2018,latest,2018-01-28,2018-03-18,7.0,21.06,14.452564102564104,6.607435897435895,-0.31374339493997605,campania
Drift,2018-2019,latest,2019-02-03,2019-02-24,3.0,17.75,7.414,10.336,-0.5823098591549296,campania
Drift,2019-2020,latest,2020-02-02,2020-03-08,5.0,12.44,9.860566037735849,2.579433962264151,-0.20734999696657164,campania
Drift,2020-2021,latest,2021-02-21,2020-12-13,-10.0,2.0,9.951132075471698,7.951132075471698,3.975566037735849,campania
Drift,2021-2022,latest,2022-04-03,2022-04-03,0.0,13.0,2.430269230769231,10.56973076923077,-0.8130562130177516,campania
Drift,2022-2023,latest,2022-12-11,2023-03-05,12.0,17.33,13.32536231884058,4.0046376811594175,-0.23108122799535014,campania
Drift,2023-2024,latest,2023-12-17,2024-02-25,10.0,31.56,25.031066666666668,6.528933333333331,-0.20687367976341353,campania
Drift,2024-2025,latest,2025-01-12,2025-03-23,10.0,26.4055747399764,22.71243887418216,3.6931358657942432,-0.13986197619864962,campania
ETS,2017-2018,latest,2018-01-28,2018-01-28,0.0,21.06,13.98999599219978,7.070004007800218,-0.33570769267807304,campania
ETS,2018-2019,latest,2019-02-03,2019-03-03,4.0,17.75,7.29057100620413,10.459428993795871,-0.5892636052842745,campania
ETS,2019-2020,latest,2020-02-02,2020-02-16,2.0,12.44,9.77026699479887,2.669733005201129,-0.21460876247597502,campania
ETS,2020-2021,latest,2021-02-21,2020-12-13,-10.0,2.0,9.77026699479887,7.77026699479887,3.885133497399435,campania
ETS,2021-2022,latest,2022-04-03,2022-04-03,0.0,13.0,2.442208598044288,10.557791401955711,-0.8121378001504393,campania
ETS,2022-2023,latest,2022-12-11,2023-01-15,5.0,17.33,13.24446636482993,4.0855336351700675,-0.2357491999521101,campania
ETS,2023-2024,latest,2023-12-17,2024-01-07,3.0,31.56,24.46706958225983,7.09293041774017,-0.22474430981432733,campania
ETS,2024-2025,latest,2025-01-12,2025-02-02,3.0,26.4055747399764,22.35685123828285,4.048723501693551,-0.1533283612101817,campania
LightGBM,2017-2018,latest,2018-01-28,2018-01-28,0.0,21.06,10.91844166084168,10.141558339158319,-0.48155547669317755,campania
LightGBM,2018-2019,latest,2019-02-03,2019-01-27,-1.0,17.75,15.473272305500368,2.276727694499632,-0.12826634898589478,campania
LightGBM,2019-2020,latest,2020-02-02,2020-02-09,1.0,12.44,10.85019202903466,1.5898079709653388,-0.12779806840557387,campania
LightGBM,2020-2021,latest,2021-02-21,2021-04-04,6.0,2.0,14.802680385910069,12.802680385910069,6.401340192955034,campania
LightGBM,2021-2022,latest,2022-04-03,2021-12-05,-17.0,13.0,5.378868142536396,7.621131857463604,-0.5862409121125849,campania
LightGBM,2022-2023,latest,2022-12-11,2023-01-15,5.0,17.33,13.907044841173398,3.4229551588266,-0.1975161661180958,campania
LightGBM,2023-2024,latest,2023-12-17,2024-01-07,3.0,31.56,20.236620854603323,11.323379145396675,-0.3587889463053446,campania
LightGBM,2024-2025,latest,2025-01-12,2025-02-02,3.0,26.4055747399764,20.84325724683727,5.562317493139133,-0.21064936279224894,campania
MovingAverage,2017-2018,latest,2018-01-28,2018-03-25,8.0,21.06,6.121346153846153,14.938653846153846,-0.7093377894659947,campania
MovingAverage,2018-2019,latest,2019-02-03,2018-11-04,-13.0,17.75,6.121346153846153,11.628653846153847,-0.6551354279523294,campania
MovingAverage,2019-2020,latest,2020-02-02,2019-11-03,-13.0,12.44,5.759423076923077,6.680576923076923,-0.5370238684145436,campania
MovingAverage,2020-2021,latest,2021-02-21,2020-12-20,-9.0,2.0,4.97326923076923,2.9732692307692297,1.4866346153846148,campania
MovingAverage,2021-2022,latest,2022-04-03,2021-11-07,-21.0,13.0,3.81673076923077,9.18326923076923,-0.706405325443787,campania
MovingAverage,2022-2023,latest,2022-12-11,2023-03-12,13.0,17.33,4.259423076923077,13.07057692307692,-0.7542167872519863,campania
MovingAverage,2023-2024,latest,2023-12-17,2024-04-28,19.0,31.56,8.384038461538463,23.175961538461536,-0.7343460563517598,campania
MovingAverage,2024-2025,latest,2025-01-12,2025-02-02,3.0,26.4055747399764,10.169359457874474,16.236215282101927,-0.614878314219054,campania
Naive,2017-2018,latest,2018-01-28,2018-01-28,0.0,21.06,13.99,7.0699999999999985,-0.33570750237416896,campania
Naive,2018-2019,latest,2019-02-03,2019-01-06,-4.0,17.75,7.31,10.440000000000001,-0.5881690140845072,campania
Naive,2019-2020,latest,2020-02-02,2020-02-16,2.0,12.44,9.77,2.67,-0.21463022508038584,campania
Naive,2020-2021,latest,2021-02-21,2020-12-13,-10.0,2.0,9.77,7.77,3.885,campania
Naive,2021-2022,latest,2022-04-03,2022-04-03,0.0,13.0,2.44,10.56,-0.8123076923076924,campania
Naive,2022-2023,latest,2022-12-11,2023-01-15,5.0,17.33,13.09,4.239999999999998,-0.24466243508366986,campania
Naive,2023-2024,latest,2023-12-17,2024-01-07,3.0,31.56,24.51,7.049999999999997,-0.22338403041825086,campania
Naive,2024-2025,latest,2025-01-12,2025-02-02,3.0,26.4055747399764,22.2949697242014,4.1106050157750005,-0.15567186309153874,campania
Prophet,2017-2018,latest,2018-01-28,2018-02-18,3.0,21.06,11.250636698283357,9.809363301716642,-0.4657817332249118,campania
Prophet,2018-2019,latest,2019-02-03,2019-01-27,-1.0,17.75,11.782245139318771,5.967754860681229,-0.3362115414468298,campania
Prophet,2019-2020,latest,2020-02-02,2020-02-09,1.0,12.44,10.03456401644896,2.4054359835510404,-0.19336302118577495,campania
Prophet,2020-2021,latest,2021-02-21,2021-04-04,6.0,2.0,12.047274649003338,10.047274649003338,5.023637324501669,campania
Prophet,2021-2022,latest,2022-04-03,2021-11-07,-21.0,13.0,8.279728216315828,4.720271783684172,-0.3630978295141671,campania
Prophet,2022-2023,latest,2022-12-11,2023-04-02,16.0,17.33,8.985690869127026,8.344309130872972,-0.481495045059029,campania
Prophet,2023-2024,latest,2023-12-17,2024-04-21,18.0,31.56,11.12730427006123,20.432695729938768,-0.6474238190728381,campania
Prophet,2024-2025,latest,2025-01-12,2025-03-23,10.0,26.4055747399764,14.785176438716595,11.620398301259806,-0.4400736744300909,campania
Ridge,2017-2018,latest,2018-01-28,2018-01-28,0.0,21.06,12.220393638557685,8.839606361442314,-0.4197343951302144,campania
Ridge,2018-2019,latest,2019-02-03,2018-12-30,-5.0,17.75,10.702044419534795,7.047955580465205,-0.3970679200262087,campania
Ridge,2019-2020,latest,2020-02-02,2020-02-16,2.0,12.44,9.243795173522416,3.196204826477583,-0.2569296484306739,campania
Ridge,2020-2021,latest,2021-02-21,2021-04-04,6.0,2.0,10.575071675517272,8.575071675517272,4.287535837758636,campania
Ridge,2021-2022,latest,2022-04-03,2021-12-05,-17.0,13.0,7.484704483189635,5.515295516810365,-0.424253501293105,campania
Ridge,2022-2023,latest,2022-12-11,2023-01-15,5.0,17.33,11.386857699474778,5.943142300525221,-0.3429395441734115,campania
Ridge,2023-2024,latest,2023-12-17,2024-01-07,3.0,31.56,23.027625393764293,8.532374606235706,-0.27035407497578284,campania
Ridge,2024-2025,latest,2025-01-12,2025-02-02,3.0,26.4055747399764,19.025687314493883,7.379887425482519,-0.27948217367561506,campania
SARIMA,2017-2018,latest,2018-01-28,2018-01-28,0.0,21.06,13.188817981078984,7.871182018921015,-0.3737503332820995,campania
SARIMA,2018-2019,latest,2019-02-03,2018-12-30,-5.0,17.75,7.982519461281708,9.767480538718292,-0.550280593730608,campania
SARIMA,2019-2020,latest,2020-02-02,2020-02-16,2.0,12.44,9.290139126473582,3.1498608735264177,-0.2532042502834741,campania
SARIMA,2020-2021,latest,2021-02-21,2021-04-04,6.0,2.0,6.5570884347368565,4.5570884347368565,2.2785442173684283,campania
SARIMA,2021-2022,latest,2022-04-03,2022-01-30,-9.0,13.0,6.219882076358435,6.780117923641565,-0.5215475325878127,campania
SARIMA,2022-2023,latest,2022-12-11,2023-01-15,5.0,17.33,11.950598693815875,5.379401306184123,-0.31040976954322697,campania
SARIMA,2023-2024,latest,2023-12-17,2024-01-07,3.0,31.56,23.15263435727547,8.407365642724528,-0.2663930812016644,campania
SARIMA,2024-2025,latest,2025-01-12,2025-02-02,3.0,26.4055747399764,18.86349768309246,7.54207705688394,-0.28562442329519544,campania
SeasonalNaive,2017-2018,latest,2018-01-28,2018-04-01,9.0,21.06,11.91,9.149999999999999,-0.43447293447293445,campania
