origin,target_date,horizon,quantile,value,model,region
2015-01-04,2015-01-11,1,0.01,11.670630387114215,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.025,12.245381157588024,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.05,12.7396985279699,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.1,13.30961479801341,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.15,13.694134599728203,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.2,13.99973874860535,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.25,14.261919896832554,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.3,14.497366670989615,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.35,14.715543195829849,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.4,14.922571382374349,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.45,15.122873548773834,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.5,15.32,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.55,15.517126451226169,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.6,15.717428617625654,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.65,15.924456804170152,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.7,16.142633329010387,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.75,16.37808010316745,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.8,16.640261251394648,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.85,16.945865400271796,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.9,17.33038520198659,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.95,17.900301472030097,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.975,18.39461884241198,Naive,emilia_romagna
2015-01-04,2015-01-11,1,0.99,18.969369612885785,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.01,10.159011999344674,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.025,10.971832333933117,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.05,11.670902663243773,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.1,12.476885981756393,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.15,13.020679100342466,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.2,13.452868632402012,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.25,13.823648768023473,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.3,14.156620789253385,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.35,14.465168989673872,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.4,14.75795105887861,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.45,15.041221099173477,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.5,15.32,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.55,15.598778900826524,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.6,15.88204894112139,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.65,16.174831010326127,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.7,16.483379210746616,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.75,16.816351231976526,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.8,17.18713136759799,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.85,17.619320899657534,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.9,18.163114018243608,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.95,18.969097336756228,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.975,19.66816766606689,Naive,emilia_romagna
2015-01-04,2015-01-18,2,0.99,20.480988000655326,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.01,8.021260774228434,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.025,9.170762315176043,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.05,10.159397055939802,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.1,11.29922959602682,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.15,12.06826919945641,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.2,12.6794774972107,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.25,13.203839793665107,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.3,13.67473334197923,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.35,14.111086391659695,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.4,14.525142764748692,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.45,14.925747097547667,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.5,15.32,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.55,15.714252902452332,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.6,16.114857235251307,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.65,16.528913608340304,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.7,16.96526665802077,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.75,17.436160206334893,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.8,17.9605225027893,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.85,18.57173080054359,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.9,19.34077040397318,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.95,20.4806029440602,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.975,21.469237684823955,Naive,emilia_romagna
2015-01-04,2015-02-01,4,0.99,22.618739225771566,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.01,4.998023998689346,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.025,6.623664667866231,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.05,8.021805326487547,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.1,9.633771963512782,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.15,10.721358200684932,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.2,11.585737264804026,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.25,12.327297536046943,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.3,12.99324157850677,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.35,13.610337979347744,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.4,14.19590211775722,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.45,14.762442198346951,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.5,15.32,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.55,15.877557801653047,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.6,16.44409788224278,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.65,17.029662020652257,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.7,17.64675842149323,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.75,18.31270246395305,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.8,19.054262735195977,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.85,19.91864179931507,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.9,21.00622803648722,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.95,22.61819467351245,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.975,24.01633533213377,Naive,emilia_romagna
2015-01-04,2015-03-01,8,0.99,25.641976001310653,Naive,emilia_romagna
2015-03-01,2015-03-08,1,0.01,-1.104968291775961,Naive,emilia_romagna
2015-03-01,2015-03-08,1,0.025,-0.5230360410453514,Naive,emilia_romagna
2015-03-01,2015-03-08,1,0.05,-0.0225422014556695,Naive,emilia_romagna
2015-03-01,2015-03-08,1,0.1,0.5544951420193276,Naive,emilia_romagna
2015-03-01,2015-03-08,1,0.15,0.9438194981709744,Naive,emilia_romagna
2015-03-01,2015-03-08,1,0.2,1.253242154607057,Naive,emilia_romagna
2015-03-01,2015-03-08,1,0.25,1.5186992423134658,Naive,emilia_romagna
2015-03-01,2015-03-08,1,0.3,1.7570879113700213,Naive,emilia_romagna
2015-03-01,2015-03-08,1,0.35,1.977990540264619,Naive,emilia_romagna
