model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2018-01-28,2018-01-28,0.0,16.05,14.975577704558052,1.0744222954419484,-0.06694219909295629,emilia_romagna
ARIMA,2018-2019,latest,2019-02-03,2019-03-03,4.0,15.2,8.565712556337198,6.634287443662801,-0.4364662791883422,emilia_romagna
ARIMA,2019-2020,latest,2020-02-02,2020-02-16,2.0,13.35,11.514048933565144,1.8359510664348555,-0.1375244244520491,emilia_romagna
ARIMA,2020-2021,latest,2021-02-28,2021-04-04,5.0,2.88,7.231033164296715,4.351033164296715,1.5107754042696928,emilia_romagna
ARIMA,2021-2022,latest,2022-03-27,2022-04-03,1.0,8.82,9.31961148194329,0.4996114819432904,0.05664529273733451,emilia_romagna
ARIMA,2022-2023,latest,2022-12-04,2023-01-15,6.0,21.98,8.437571254897067,13.542428745102933,-0.6161250566470852,emilia_romagna
ARIMA,2023-2024,latest,2023-12-24,2024-01-07,2.0,20.19,18.349219147697458,1.8407808523025437,-0.0911729000645143,emilia_romagna
ARIMA,2024-2025,latest,2025-01-26,2025-02-02,1.0,19.967433674896,20.394196859693142,0.42676318479714226,0.021372961179968213,emilia_romagna
CatBoost,2017-2018,latest,2018-01-28,2018-01-28,0.0,16.05,11.033046221447307,5.016953778552693,-0.31258278994097777,emilia_romagna
CatBoost,2018-2019,latest,2019-02-03,2018-12-30,-5.0,15.2,12.12297422438185,3.07702577561815,-0.20243590629066777,emilia_romagna
CatBoost,2019-2020,latest,2020-02-02,2020-02-16,2.0,13.35,10.081910278065974,3.2680897219340252,-0.24480072823475846,emilia_romagna
CatBoost,2020-2021,latest,2021-02-28,2021-04-04,5.0,2.88,13.215536905067893,10.335536905067894,3.588728092037463,emilia_romagna
CatBoost,2021-2022,latest,2022-03-27,2022-04-10,2.0,8.82,12.063991252853883,3.243991252853883,0.36779946177481665,emilia_romagna
CatBoost,2022-2023,latest,2022-12-04,2023-03-12,14.0,21.98,8.590811057234188,13.389188942765813,-0.6091532731012653,emilia_romagna
CatBoost,2023-2024,latest,2023-12-24,2024-01-07,2.0,20.19,17.712884399273207,2.477115600726794,-0.12269022291861287,emilia_romagna
CatBoost,2024-2025,latest,2025-01-26,2025-02-02,1.0,19.967433674896,16.439743542607545,3.5276901322884555,-0.1766721848047821,emilia_romagna
Chronos-Bolt-small,2017-2018,latest,2018-01-28,2018-01-28,0.0,16.05,15.381525993347168,0.6684740066528327,-0.041649470819491136,emilia_romagna
Chronos-Bolt-small,2018-2019,latest,2019-02-03,2019-03-03,4.0,15.2,8.700359344482422,6.499640655517577,-0.42760793786299856,emilia_romagna
Chronos-Bolt-small,2019-2020,latest,2020-02-02,2020-02-16,2.0,13.35,12.309422492980955,1.0405775070190444,-0.07794588067558385,emilia_romagna
Chronos-Bolt-small,2020-2021,latest,2021-02-28,2021-04-04,5.0,2.88,9.230588912963867,6.350588912963867,2.2050655947791205,emilia_romagna
Chronos-Bolt-small,2021-2022,latest,2022-03-27,2021-12-12,-15.0,8.82,9.924744606018066,1.1047446060180661,0.12525449047823878,emilia_romagna
Chronos-Bolt-small,2022-2023,latest,2022-12-04,2023-04-30,21.0,21.98,11.20032787322998,10.77967212677002,-0.4904309429831674,emilia_romagna
Chronos-Bolt-small,2023-2024,latest,2023-12-24,2024-01-07,2.0,20.19,18.8575439453125,1.3324560546875013,-0.06599584223316005,emilia_romagna
Chronos-Bolt-small,2024-2025,latest,2025-01-26,2025-02-02,1.0,19.967433674896,18.351375579833984,1.6160580950620158,-0.08093469202773916,emilia_romagna
Chronos-V2,2017-2018,latest,2018-01-28,2018-01-28,0.0,16.05,14.04411506652832,2.0058849334716804,-0.12497725442191154,emilia_romagna
Chronos-V2,2018-2019,latest,2019-02-03,2019-03-03,4.0,15.2,8.455392837524414,6.744607162475585,-0.4437241554260254,emilia_romagna
Chronos-V2,2019-2020,latest,2020-02-02,2020-02-16,2.0,13.35,11.144886016845703,2.2051139831542965,-0.16517707738983495,emilia_romagna
Chronos-V2,2020-2021,latest,2021-02-28,2021-04-04,5.0,2.88,9.896703720092772,7.016703720092772,2.436355458365546,emilia_romagna
Chronos-V2,2021-2022,latest,2022-03-27,2021-12-12,-15.0,8.82,9.265496253967283,0.4454962539672831,0.050509779361369966,emilia_romagna
Chronos-V2,2022-2023,latest,2022-12-04,2023-03-12,14.0,21.98,8.505107879638672,13.474892120361329,-0.6130524167589322,emilia_romagna
Chronos-V2,2023-2024,latest,2023-12-24,2024-01-07,2.0,20.19,17.457653045654297,2.7323469543457044,-0.1353316965995891,emilia_romagna
Chronos-V2,2024-2025,latest,2025-01-26,2025-02-02,1.0,19.967433674896,18.93026733398437,1.0371663409116287,-0.051942896508308085,emilia_romagna
Drift,2017-2018,latest,2018-01-28,2018-03-18,7.0,16.05,15.933846153846154,0.11615384615384627,-0.007236999760364253,emilia_romagna
Drift,2018-2019,latest,2019-02-03,2019-04-21,11.0,15.2,9.991063829787237,5.208936170212763,-0.3426931690929449,emilia_romagna
Drift,2019-2020,latest,2020-02-02,2020-03-08,5.0,13.35,12.876415094339622,0.4735849056603776,-0.03547452476856761,emilia_romagna
Drift,2020-2021,latest,2021-02-28,2020-12-13,-11.0,2.88,13.052830188679245,10.172830188679246,3.532232704402516,emilia_romagna
Drift,2021-2022,latest,2022-03-27,2022-04-24,4.0,8.82,8.904153846153847,0.08415384615384625,0.009541252398395266,emilia_romagna
Drift,2022-2023,latest,2022-12-04,2023-03-05,13.0,21.98,10.522028985507246,11.457971014492754,-0.5212907649905711,emilia_romagna
Drift,2023-2024,latest,2023-12-24,2024-02-25,9.0,20.19,20.279733333333333,0.08973333333333144,0.004444444444444351,emilia_romagna
Drift,2024-2025,latest,2025-01-26,2025-03-23,8.0,19.967433674896,20.367853763447712,0.4004200885517122,0.02005365812508691,emilia_romagna
ETS,2017-2018,latest,2018-01-28,2018-03-18,7.0,16.05,17.06214791276952,1.012147912769521,0.06306217525043745,emilia_romagna
ETS,2018-2019,latest,2019-02-03,2019-04-21,11.0,15.2,12.34018691362328,2.85981308637672,-0.1881455977879421,emilia_romagna
ETS,2019-2020,latest,2020-02-02,2020-03-08,5.0,13.35,13.996378277092486,0.6463782770924862,0.04841784847134728,emilia_romagna
ETS,2020-2021,latest,2021-02-28,2020-12-13,-11.0,2.88,15.292659173489149,12.41265917348915,4.309951101905955,emilia_romagna
ETS,2021-2022,latest,2022-03-27,2022-01-30,-8.0,8.82,10.34479910431135,1.5247991043113505,0.17287971704210323,emilia_romagna
ETS,2022-2023,latest,2022-12-04,2023-03-05,13.0,21.98,13.133972292369323,8.846027707630677,-0.40245803947364317,emilia_romagna
ETS,2023-2024,latest,2023-12-24,2024-02-25,9.0,20.19,22.736427885103986,2.5464278851039843,0.1261232236307075,emilia_romagna
ETS,2024-2025,latest,2025-01-26,2025-03-23,8.0,19.967433674896,22.900903552848472,2.933469877952472,0.146912714258346,emilia_romagna
LightGBM,2017-2018,latest,2018-01-28,2018-01-28,0.0,16.05,9.041390614431132,7.008609385568869,-0.4366734819669077,emilia_romagna
LightGBM,2018-2019,latest,2019-02-03,2019-01-27,-1.0,15.2,12.814049190542228,2.3859508094577713,-0.15697044799064286,emilia_romagna
LightGBM,2019-2020,latest,2020-02-02,2020-02-16,2.0,13.35,11.930537129801278,1.4194628701987213,-0.10632680675645853,emilia_romagna
LightGBM,2020-2021,latest,2021-02-28,2021-04-04,5.0,2.88,11.508147487652383,8.628147487652384,2.9958845443237445,emilia_romagna
LightGBM,2021-2022,latest,2022-03-27,2022-01-02,-12.0,8.82,12.665395333146984,3.8453953331469837,0.4359858654361659,emilia_romagna
LightGBM,2022-2023,latest,2022-12-04,2023-03-19,15.0,21.98,9.560862651115585,12.419137348884416,-0.5650198975834584,emilia_romagna
LightGBM,2023-2024,latest,2023-12-24,2024-01-07,2.0,20.19,15.822384175336625,4.3676158246633765,-0.21632569711061794,emilia_romagna
LightGBM,2024-2025,latest,2025-01-26,2025-02-02,1.0,19.967433674896,15.212916119936915,4.754517554959085,-0.23811360199666964,emilia_romagna
MovingAverage,2017-2018,latest,2018-01-28,2018-01-28,0.0,16.05,5.570576923076922,10.479423076923078,-0.6529235561945843,emilia_romagna
MovingAverage,2018-2019,latest,2019-02-03,2018-11-04,-13.0,15.2,5.508846153846154,9.691153846153846,-0.637575910931174,emilia_romagna
MovingAverage,2019-2020,latest,2020-02-02,2019-11-03,-13.0,13.35,5.334230769230768,8.015769230769232,-0.6004321521175455,emilia_romagna
MovingAverage,2020-2021,latest,2021-02-28,2021-02-14,-2.0,2.88,4.917692307692307,2.037692307692307,0.7075320512820511,emilia_romagna
MovingAverage,2021-2022,latest,2022-03-27,2022-04-03,1.0,8.82,4.509423076923077,4.3105769230769235,-0.4887275422989709,emilia_romagna
MovingAverage,2022-2023,latest,2022-12-04,2023-03-12,14.0,21.98,7.062115384615385,14.917884615384615,-0.6787026667599916,emilia_romagna
MovingAverage,2023-2024,latest,2023-12-24,2024-03-03,10.0,20.19,9.395,10.795000000000002,-0.5346706290242695,emilia_romagna
MovingAverage,2024-2025,latest,2025-01-26,2024-10-20,-14.0,19.967433674896,9.280576923076923,10.686856751819077,-0.5352143357939432,emilia_romagna
Naive,2017-2018,latest,2018-01-28,2018-01-28,0.0,16.05,15.32,0.7300000000000004,-0.045482866043613734,emilia_romagna
Naive,2018-2019,latest,2019-02-03,2019-03-03,4.0,15.2,9.72,5.479999999999999,-0.36052631578947364,emilia_romagna
Naive,2019-2020,latest,2020-02-02,2020-02-16,2.0,13.35,12.7,0.6500000000000004,-0.048689138576779055,emilia_romagna
Naive,2020-2021,latest,2021-02-28,2020-12-13,-11.0,2.88,12.7,9.82,3.4097222222222223,emilia_romagna
Naive,2021-2022,latest,2022-03-27,2022-04-03,1.0,8.82,8.82,0.0,0.0,emilia_romagna
Naive,2022-2023,latest,2022-12-04,2023-01-15,6.0,21.98,10.32,11.66,-0.5304822565969063,emilia_romagna
Naive,2023-2024,latest,2023-12-24,2024-01-07,2.0,20.19,19.84,0.3500000000000014,-0.01733531451213479,emilia_romagna
Naive,2024-2025,latest,2025-01-26,2025-02-02,1.0,19.967433674896,19.967433674896,0.0,0.0,emilia_romagna
Prophet,2017-2018,latest,2018-01-28,2018-02-18,3.0,16.05,10.573730029933529,5.476269970066472,-0.34120062118794214,emilia_romagna
Prophet,2018-2019,latest,2019-02-03,2019-01-27,-1.0,15.2,10.373157807834168,4.826842192165831,-0.31755540737933097,emilia_romagna
Prophet,2019-2020,latest,2020-02-02,2020-02-16,2.0,13.35,10.101665827162666,3.2483341728373336,-0.24332091182302126,emilia_romagna
Prophet,2020-2021,latest,2021-02-28,2021-04-18,7.0,2.88,11.063498647818625,8.183498647818624,2.8414925860481333,emilia_romagna
Prophet,2021-2022,latest,2022-03-27,2022-04-24,4.0,8.82,10.15074384894995,1.3307438489499503,0.15087798740929143,emilia_romagna
Prophet,2022-2023,latest,2022-12-04,2023-04-02,17.0,21.98,10.227998700413082,11.752001299586919,-0.5346679390166933,emilia_romagna
Prophet,2023-2024,latest,2023-12-24,2024-04-21,17.0,20.19,13.19420397572889,6.995796024271112,-0.34649806955280393,emilia_romagna
Prophet,2024-2025,latest,2025-01-26,2025-03-23,8.0,19.967433674896,11.28236632180206,8.68506735309394,-0.4349616227353852,emilia_romagna
Ridge,2017-2018,latest,2018-01-28,2018-01-28,0.0,16.05,14.786066037761454,1.2639339622385464,-0.07874977957872563,emilia_romagna
Ridge,2018-2019,latest,2019-02-03,2018-12-30,-5.0,15.2,8.61662232494953,6.583377675050469,-0.43311695230595193,emilia_romagna
Ridge,2019-2020,latest,2020-02-02,2020-02-16,2.0,13.35,11.88232932904968,1.4676706709503193,-0.10993787797380669,emilia_romagna
