origin,target_date,horizon,quantile,value,model,region
2015-01-04,2015-01-11,1,0.01,7.42138648197343,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.025,7.799151716464027,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.05,8.124050658628379,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.1,8.49863833115209,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.15,8.751370855444874,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.2,8.952234653968716,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.25,9.124557907850422,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.3,9.279309515710253,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.35,9.42270994299227,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.4,9.55878292532455,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.45,9.690435110490824,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.5,9.82,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.55,9.949564889509176,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.6,10.08121707467545,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.65,10.21729005700773,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.7,10.36069048428975,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.75,10.51544209214958,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.8,10.687765346031284,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.85,10.888629144555129,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.9,11.14136166884791,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.95,11.515949341371622,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.975,11.840848283535973,Naive,friuli_venezia_giulia
2015-01-04,2015-01-11,1,0.99,12.21861351802657,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.01,6.427848231915382,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.025,6.962088949925036,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.05,7.421565440334535,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.1,7.951312407115339,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.15,8.308730170622981,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.2,8.592794478685178,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.25,8.836496361436947,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.3,9.05534818407136,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.35,9.25814701318369,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.4,9.450583270270553,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.45,9.636767576048753,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.5,9.82,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.55,10.003232423951248,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.6,10.189416729729448,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.65,10.38185298681631,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.7,10.58465181592864,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.75,10.803503638563054,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.8,11.047205521314822,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.85,11.33126982937702,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.9,11.688687592884662,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.95,12.218434559665464,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.975,12.677911050074965,Naive,friuli_venezia_giulia
2015-01-04,2015-01-18,2,0.99,13.21215176808462,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.01,5.022772963946859,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.025,5.778303432928054,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.05,6.428101317256758,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.1,7.17727666230418,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.15,7.682741710889746,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.2,8.084469307937434,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.25,8.429115815700843,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.3,8.738619031420502,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.35,9.025419885984542,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.4,9.2975658506491,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.45,9.56087022098165,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.5,9.82,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.55,10.07912977901835,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.6,10.3424341493509,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.65,10.61458011401546,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.7,10.9013809685795,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.75,11.210884184299156,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.8,11.555530692062566,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.85,11.957258289110252,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.9,12.46272333769582,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.95,13.211898682743245,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.975,13.861696567071949,Naive,friuli_venezia_giulia
2015-01-04,2015-02-01,4,0.99,14.61722703605314,Naive,friuli_venezia_giulia
2015-01-04,2015-03-01,8,0.01,3.035696463830763,Naive,friuli_venezia_giulia
2015-01-04,2015-03-01,8,0.025,4.104177899850073,Naive,friuli_venezia_giulia
2015-01-04,2015-03-01,8,0.05,5.02313088066907,Naive,friuli_venezia_giulia
2015-01-04,2015-03-01,8,0.1,6.082624814230679,Naive,friuli_venezia_giulia
