model,horizon,MAE,RMSE,sMAPE,MASE,WIS,CRPS,PinballLoss,Coverage95,Coverage95_Dist,region
ARIMA,1,1.6793823583939702,3.6210238782781814,43.38013925055817,1.3323347720876721,1.3144509198391934,1.4012627814993224,0.6572254599195967,0.8695652173913043,0.08043478260869563,friuli_venezia_giulia
ARIMA,2,2.1116813129794205,3.4984247998241917,56.98527210765151,1.6752983183298482,1.5346373465661445,1.6577216581553946,0.7673186732830722,0.8695652173913043,0.08043478260869563,friuli_venezia_giulia
ARIMA,4,2.7589715950637044,4.110197905508428,68.80597231870405,2.1888248217760724,1.9226837823459704,2.095817683653945,0.9613418911729852,0.8260869565217391,0.12391304347826082,friuli_venezia_giulia
ARIMA,8,3.9460397420222715,6.785658804954116,77.0809708794032,3.1305830587406844,2.9877533560348883,3.22458469137371,1.4938766780174442,0.782608695652174,0.167391304347826,friuli_venezia_giulia
CatBoost,1,1.917357956441992,2.6540665749986294,51.20532505424216,1.5211322562359235,1.4610454962219501,1.5630735093773231,0.7305227481109751,0.782608695652174,0.167391304347826,friuli_venezia_giulia
CatBoost,2,2.1186884054560666,2.6890368717165636,52.24242724116676,1.6808573817028833,1.4556440333257121,1.5863876918997868,0.7278220166628562,0.7391304347826086,0.2108695652173913,friuli_venezia_giulia
CatBoost,4,2.504789050679581,3.438055726190249,61.58405198442141,1.9871695878455755,1.8362278152248654,2.0004741388609615,0.9181139076124327,0.782608695652174,0.167391304347826,friuli_venezia_giulia
CatBoost,8,4.0132090767276996,6.423043474498072,81.53478327816882,3.183871721562902,3.038068413818521,3.2849370840521397,1.5190342069092602,0.8260869565217391,0.12391304347826082,friuli_venezia_giulia
Chronos-Bolt-small,1,1.513873145607047,2.206768025350999,42.57138032672952,1.2010283556574333,0.9505987700523563,1.0596599901438455,0.47529938502617813,0.8260869565217391,0.12391304347826082,friuli_venezia_giulia
Chronos-Bolt-small,2,1.8594875189020958,2.405304149241773,48.916193917922186,1.4752208556397743,1.164713037906865,1.2946301065101107,0.5823565189534327,0.8695652173913043,0.08043478260869563,friuli_venezia_giulia
Chronos-Bolt-small,4,2.2401863643397495,3.037145261205885,61.99085623758367,1.7772475542858648,1.487131851591631,1.636617619893515,0.7435659257958155,0.8695652173913043,0.08043478260869563,friuli_venezia_giulia
Chronos-Bolt-small,8,3.524131039527033,5.821031969324039,82.34624043100439,2.7958625990602757,2.744985141777328,2.9323509054067567,1.372492570888664,0.6956521739130435,0.2543478260869565,friuli_venezia_giulia
Chronos-V2,1,1.612536574784373,2.5441702268462145,44.39937397425125,1.2793027979065896,1.0272322603699529,1.1444033970893626,0.5136161301849764,1.0,0.050000000000000044,friuli_venezia_giulia
Chronos-V2,2,1.9618770396716296,2.552876395499647,50.71812831990283,1.556451385504993,1.1749381554295675,1.3114684770283405,0.5874690777147836,1.0,0.050000000000000044,friuli_venezia_giulia
Chronos-V2,4,2.3383954705362777,3.2723417237767527,61.79460872835195,1.855161560269837,1.5555717310789545,1.7421994161142118,0.7777858655394773,1.0,0.050000000000000044,friuli_venezia_giulia
Chronos-V2,8,3.4379660917270174,5.343087693879882,81.76555812168178,2.7275038030331062,2.3455375665642215,2.5939367909391566,1.1727687832821108,0.8695652173913043,0.08043478260869563,friuli_venezia_giulia
Drift,1,1.5917781607001413,3.619101727693997,40.779853482873456,1.2628341499184892,1.2814887412896576,1.3615446992848543,0.6407443706448287,0.9130434782608695,0.036956521739130443,friuli_venezia_giulia
