model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2018-01-28,2018-02-04,1.0,11.53,10.28575011979401,1.2442498802059898,-0.1079141266440581,friuli_venezia_giulia
ARIMA,2018-2019,latest,2019-02-03,2018-12-02,-9.0,10.63,3.207601063629844,7.422398936370157,-0.6982501351241915,friuli_venezia_giulia
ARIMA,2019-2020,latest,2020-01-26,2020-02-16,3.0,8.36,7.281766031640949,1.0782339683590507,-0.1289753550668721,friuli_venezia_giulia
ARIMA,2020-2021,latest,2021-03-14,2021-04-04,3.0,3.39,3.6447022949083694,0.25470229490836926,0.07513342032695258,friuli_venezia_giulia
ARIMA,2021-2022,latest,2021-12-05,2021-12-19,2.0,10.11,11.024998716347913,0.9149987163479132,0.0905043240700211,friuli_venezia_giulia
ARIMA,2022-2023,latest,2022-12-04,2023-01-22,7.0,16.04,4.650555569749005,11.389444430250993,-0.7100651141054235,friuli_venezia_giulia
ARIMA,2023-2024,latest,2023-12-24,2024-01-07,2.0,28.85,23.69,5.16,-0.17885615251299827,friuli_venezia_giulia
ARIMA,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.5769213653153,15.550358060574364,1.026563304740936,-0.061927259116331713,friuli_venezia_giulia
CatBoost,2017-2018,latest,2018-01-28,2018-01-28,0.0,11.53,5.9468477503420365,5.583152249657963,-0.48422829572055187,friuli_venezia_giulia
CatBoost,2018-2019,latest,2019-02-03,2019-03-03,4.0,10.63,4.684680861843462,5.945319138156539,-0.5592962500617628,friuli_venezia_giulia
CatBoost,2019-2020,latest,2020-01-26,2020-02-23,4.0,8.36,6.010532552181623,2.349467447818377,-0.2810367760548298,friuli_venezia_giulia
CatBoost,2020-2021,latest,2021-03-14,2021-04-04,3.0,3.39,7.205579195983612,3.8155791959836116,1.1255395858358737,friuli_venezia_giulia
CatBoost,2021-2022,latest,2021-12-05,2022-04-10,18.0,10.11,8.353724352178926,1.7562756478210737,-0.17371668128794004,friuli_venezia_giulia
CatBoost,2022-2023,latest,2022-12-04,2023-03-05,13.0,16.04,8.505684936071876,7.534315063928123,-0.46972039051920966,friuli_venezia_giulia
CatBoost,2023-2024,latest,2023-12-24,2024-02-25,9.0,28.85,16.431464041129146,12.418535958870855,-0.43045185299379046,friuli_venezia_giulia
CatBoost,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.5769213653153,12.22427137604828,4.35264998926702,-0.262572880292132,friuli_venezia_giulia
Chronos-Bolt-small,2017-2018,latest,2018-01-28,2018-01-28,0.0,11.53,9.365732192993164,2.1642678070068353,-0.1877075287950421,friuli_venezia_giulia
Chronos-Bolt-small,2018-2019,latest,2019-02-03,2018-12-02,-9.0,10.63,4.956323146820068,5.673676853179932,-0.5337419429143868,friuli_venezia_giulia
Chronos-Bolt-small,2019-2020,latest,2020-01-26,2020-02-16,3.0,8.36,7.1407670974731445,1.219232902526855,-0.14584125628311662,friuli_venezia_giulia
Chronos-Bolt-small,2020-2021,latest,2021-03-14,2021-04-04,3.0,3.39,4.544004440307617,1.154004440307617,0.3404142891762882,friuli_venezia_giulia
Chronos-Bolt-small,2021-2022,latest,2021-12-05,2021-12-12,1.0,10.11,9.649645805358888,0.46035419464111094,-0.04553453952928892,friuli_venezia_giulia
Chronos-Bolt-small,2022-2023,latest,2022-12-04,2022-11-20,-2.0,16.04,4.672009468078613,11.367990531921386,-0.7087275892719069,friuli_venezia_giulia
Chronos-Bolt-small,2023-2024,latest,2023-12-24,2024-01-07,2.0,28.85,15.596250534057615,13.253749465942386,-0.45940206121117455,friuli_venezia_giulia
Chronos-Bolt-small,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.5769213653153,13.976033210754396,2.600888154560904,-0.1568981415332565,friuli_venezia_giulia
Chronos-V2,2017-2018,latest,2018-01-28,2018-01-28,0.0,11.53,9.057710647583008,2.4722893524169915,-0.21442232024431845,friuli_venezia_giulia
Chronos-V2,2018-2019,latest,2019-02-03,2018-12-30,-5.0,10.63,5.161032676696777,5.468967323303223,-0.5144842260868507,friuli_venezia_giulia
Chronos-V2,2019-2020,latest,2020-01-26,2020-02-16,3.0,8.36,7.8502326011657715,0.509767398834228,-0.060976961583041625,friuli_venezia_giulia
Chronos-V2,2020-2021,latest,2021-03-14,2021-04-04,3.0,3.39,6.306124687194824,2.916124687194824,0.8602137720338714,friuli_venezia_giulia
Chronos-V2,2021-2022,latest,2021-12-05,2021-12-12,1.0,10.11,9.841140747070312,0.26885925292968693,-0.026593397915893862,friuli_venezia_giulia
Chronos-V2,2022-2023,latest,2022-12-04,2022-11-20,-2.0,16.04,3.677388906478882,12.362611093521117,-0.7707363524639101,friuli_venezia_giulia
Chronos-V2,2023-2024,latest,2023-12-24,2024-01-07,2.0,28.85,17.131486892700195,11.718513107299806,-0.40618762936914404,friuli_venezia_giulia
Chronos-V2,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.5769213653153,13.40614414215088,3.1707772231644196,-0.19127660397779236,friuli_venezia_giulia
Drift,2017-2018,latest,2018-01-28,2018-03-18,7.0,11.53,10.253333333333334,1.2766666666666655,-0.11072564324949398,friuli_venezia_giulia
Drift,2018-2019,latest,2019-02-03,2019-04-21,11.0,10.63,5.425531914893617,5.204468085106384,-0.4896018894737896,friuli_venezia_giulia
Drift,2019-2020,latest,2020-01-26,2020-03-08,6.0,8.36,8.22698113207547,0.13301886792452855,-0.01591134783786227,friuli_venezia_giulia
Drift,2020-2021,latest,2021-03-14,2020-12-13,-13.0,3.39,8.353962264150944,4.963962264150943,1.4642956531418712,friuli_venezia_giulia
Drift,2021-2022,latest,2021-12-05,2022-01-30,8.0,10.11,10.39655737704918,0.2865573770491814,0.028343954208623283,friuli_venezia_giulia
Drift,2022-2023,latest,2022-12-04,2022-11-13,-3.0,16.04,6.441384615384616,9.598615384615382,-0.5984174179934777,friuli_venezia_giulia
Drift,2023-2024,latest,2023-12-24,2024-02-25,9.0,28.85,24.2852,4.564800000000002,-0.15822530329289433,friuli_venezia_giulia
Drift,2024-2025,latest,2025-01-26,2025-03-23,8.0,16.5769213653153,16.94335320544338,0.3664318401280795,0.022104939273874018,friuli_venezia_giulia
ETS,2017-2018,latest,2018-01-28,2018-01-28,0.0,11.53,9.81861849899703,1.71138150100297,-0.1484285777105785,friuli_venezia_giulia
ETS,2018-2019,latest,2019-02-03,2019-03-03,4.0,10.63,5.26024102400056,5.36975897599944,-0.5051513618061562,friuli_venezia_giulia
