origin,target_date,horizon,quantile,value,model,region
2015-01-04,2015-01-11,1,0.01,8.506405294782773,Naive,lazio
2015-01-04,2015-01-11,1,0.025,9.069222035222651,Naive,lazio
2015-01-04,2015-01-11,1,0.05,9.553275481400362,Naive,lazio
2015-01-04,2015-01-11,1,0.1,10.11135810417809,Naive,lazio
2015-01-04,2015-01-11,1,0.15,10.487893800263024,Naive,lazio
2015-01-04,2015-01-11,1,0.2,10.787152435086862,Naive,lazio
2015-01-04,2015-01-11,1,0.25,11.043889697271608,Naive,lazio
2015-01-04,2015-01-11,1,0.3,11.274447693512172,Naive,lazio
2015-01-04,2015-01-11,1,0.35,11.488094037039216,Naive,lazio
2015-01-04,2015-01-11,1,0.4,11.690823524524896,Naive,lazio
2015-01-04,2015-01-11,1,0.45,11.886966649836534,Naive,lazio
2015-01-04,2015-01-11,1,0.5,12.08,Naive,lazio
2015-01-04,2015-01-11,1,0.55,12.273033350163466,Naive,lazio
2015-01-04,2015-01-11,1,0.6,12.469176475475104,Naive,lazio
2015-01-04,2015-01-11,1,0.65,12.671905962960784,Naive,lazio
2015-01-04,2015-01-11,1,0.7,12.885552306487828,Naive,lazio
2015-01-04,2015-01-11,1,0.75,13.116110302728393,Naive,lazio
2015-01-04,2015-01-11,1,0.8,13.37284756491314,Naive,lazio
2015-01-04,2015-01-11,1,0.85,13.672106199736977,Naive,lazio
2015-01-04,2015-01-11,1,0.9,14.04864189582191,Naive,lazio
2015-01-04,2015-01-11,1,0.95,14.606724518599638,Naive,lazio
2015-01-04,2015-01-11,1,0.975,15.090777964777349,Naive,lazio
2015-01-04,2015-01-11,1,0.99,15.653594705217229,Naive,lazio
2015-01-04,2015-01-18,2,0.01,7.026173901457113,Naive,lazio
2015-01-04,2015-01-18,2,0.025,7.822116968917807,Naive,lazio
2015-01-04,2015-01-18,2,0.05,8.506671917415762,Naive,lazio
2015-01-04,2015-01-18,2,0.1,9.295919931472772,Naive,lazio
2015-01-04,2015-01-18,2,0.15,9.828421819593682,Naive,lazio
2015-01-04,2015-01-18,2,0.2,10.25163743961881,Naive,lazio
2015-01-04,2015-01-18,2,0.25,10.614718757767012,Naive,lazio
2015-01-04,2015-01-18,2,0.3,10.940777002963983,Naive,lazio
2015-01-04,2015-01-18,2,0.35,11.242918559531352,Naive,lazio
2015-01-04,2015-01-18,2,0.4,11.529621350226549,Naive,lazio
2015-01-04,2015-01-18,2,0.45,11.807009618208513,Naive,lazio
2015-01-04,2015-01-18,2,0.5,12.08,Naive,lazio
2015-01-04,2015-01-18,2,0.55,12.352990381791487,Naive,lazio
2015-01-04,2015-01-18,2,0.6,12.630378649773451,Naive,lazio
2015-01-04,2015-01-18,2,0.65,12.917081440468648,Naive,lazio
2015-01-04,2015-01-18,2,0.7,13.219222997036017,Naive,lazio
2015-01-04,2015-01-18,2,0.75,13.545281242232988,Naive,lazio
2015-01-04,2015-01-18,2,0.8,13.90836256038119,Naive,lazio
2015-01-04,2015-01-18,2,0.85,14.331578180406318,Naive,lazio
2015-01-04,2015-01-18,2,0.9,14.864080068527228,Naive,lazio
2015-01-04,2015-01-18,2,0.95,15.653328082584238,Naive,lazio
2015-01-04,2015-01-18,2,0.975,16.337883031082193,Naive,lazio
2015-01-04,2015-01-18,2,0.99,17.133826098542887,Naive,lazio
2015-01-04,2015-02-01,4,0.01,4.932810589565546,Naive,lazio
2015-01-04,2015-02-01,4,0.025,6.058444070445301,Naive,lazio
2015-01-04,2015-02-01,4,0.05,7.026550962800725,Naive,lazio
2015-01-04,2015-02-01,4,0.1,8.142716208356179,Naive,lazio
2015-01-04,2015-02-01,4,0.15,8.895787600526052,Naive,lazio
2015-01-04,2015-02-01,4,0.2,9.494304870173725,Naive,lazio
2015-01-04,2015-02-01,4,0.25,10.007779394543215,Naive,lazio
2015-01-04,2015-02-01,4,0.3,10.468895387024345,Naive,lazio
2015-01-04,2015-02-01,4,0.35,10.896188074078433,Naive,lazio
2015-01-04,2015-02-01,4,0.4,11.301647049049793,Naive,lazio
2015-01-04,2015-02-01,4,0.45,11.69393329967307,Naive,lazio
2015-01-04,2015-02-01,4,0.5,12.08,Naive,lazio
2015-01-04,2015-02-01,4,0.55,12.46606670032693,Naive,lazio
2015-01-04,2015-02-01,4,0.6,12.85835295095021,Naive,lazio
2015-01-04,2015-02-01,4,0.65,13.263811925921567,Naive,lazio
2015-01-04,2015-02-01,4,0.7,13.691104612975655,Naive,lazio
2015-01-04,2015-02-01,4,0.75,14.152220605456783,Naive,lazio
2015-01-04,2015-02-01,4,0.8,14.665695129826275,Naive,lazio
2015-01-04,2015-02-01,4,0.85,15.264212399473948,Naive,lazio
2015-01-04,2015-02-01,4,0.9,16.01728379164382,Naive,lazio
