model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2018-01-07,2018-01-28,3.0,16.79,9.72476163634918,7.065238363650819,-0.42080037901434303,lazio
ARIMA,2018-2019,latest,2019-02-03,2019-01-27,-1.0,14.34,7.515291543999989,6.82470845600001,-0.4759210917712699,lazio
ARIMA,2019-2020,latest,2020-02-02,2020-02-16,2.0,17.16,13.289512865154563,3.870487134845437,-0.22555286333598115,lazio
ARIMA,2020-2021,latest,2021-02-14,2021-04-04,7.0,1.51,6.7299252122440745,5.219925212244075,3.4569041140689234,lazio
ARIMA,2021-2022,latest,2021-11-28,2021-12-05,1.0,4.2,5.601937012614757,1.4019370126147566,0.3337945268130373,lazio
ARIMA,2022-2023,latest,2022-12-18,2023-01-15,4.0,12.34,9.07225180182745,3.2677481981725496,-0.2648094163835129,lazio
ARIMA,2023-2024,latest,2023-12-31,2024-01-07,1.0,16.48,16.778123487530593,0.29812348753059226,0.018090017447244675,lazio
ARIMA,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.1247239251813,15.200051119682051,0.9246728054992488,-0.05734503175308486,lazio
CatBoost,2017-2018,latest,2018-01-07,2018-01-28,3.0,16.79,9.41704275233182,7.372957247668179,-0.43912788848529954,lazio
CatBoost,2018-2019,latest,2019-02-03,2019-01-27,-1.0,14.34,14.018522207191344,0.32147779280865585,-0.022418256123337227,lazio
CatBoost,2019-2020,latest,2020-02-02,2020-02-16,2.0,17.16,11.668628443597594,5.491371556402406,-0.32000999745934766,lazio
CatBoost,2020-2021,latest,2021-02-14,2021-04-04,7.0,1.51,11.242949364072256,9.732949364072256,6.445661830511428,lazio
CatBoost,2021-2022,latest,2021-11-28,2022-01-02,5.0,4.2,9.802644442082206,5.602644442082206,1.3339629624005251,lazio
CatBoost,2022-2023,latest,2022-12-18,2023-01-15,4.0,12.34,8.648026517303036,3.691973482696964,-0.2991874783384898,lazio
CatBoost,2023-2024,latest,2023-12-31,2024-01-07,1.0,16.48,12.149090954685292,4.3309090453147085,-0.26279787896327117,lazio
CatBoost,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.1247239251813,14.002289000715566,2.1224349244657343,-0.13162612484491704,lazio
Chronos-Bolt-small,2017-2018,latest,2018-01-07,2018-01-28,3.0,16.79,10.039697647094728,6.750302352905271,-0.40204302280555515,lazio
Chronos-Bolt-small,2018-2019,latest,2019-02-03,2019-03-03,4.0,14.34,7.07395601272583,7.26604398727417,-0.506697628122327,lazio
Chronos-Bolt-small,2019-2020,latest,2020-02-02,2020-02-16,2.0,17.16,14.372177124023438,2.7878228759765626,-0.16246054055807474,lazio
Chronos-Bolt-small,2020-2021,latest,2021-02-14,2021-04-04,7.0,1.51,9.072763442993164,7.562763442993164,5.008452611253751,lazio
Chronos-Bolt-small,2021-2022,latest,2021-11-28,2022-01-02,5.0,4.2,6.700258731842041,2.500258731842041,0.5952996980576287,lazio
Chronos-Bolt-small,2022-2023,latest,2022-12-18,2023-01-15,4.0,12.34,8.94020938873291,3.3997906112670897,-0.27550977400867827,lazio
Chronos-Bolt-small,2023-2024,latest,2023-12-31,2024-01-07,1.0,16.48,17.24432945251465,0.764329452514648,0.04637921435161699,lazio
