origin,target_date,horizon,quantile,value,model,region
2015-01-04,2015-01-11,1,0.01,10.98442193701695,Naive,liguria
2015-01-04,2015-01-11,1,0.025,11.457779938716502,Naive,liguria
2015-01-04,2015-01-11,1,0.05,11.86489393432968,Naive,liguria
2015-01-04,2015-01-11,1,0.1,12.334270298108128,Naive,liguria
2015-01-04,2015-01-11,1,0.15,12.65095630238016,Naive,liguria
2015-01-04,2015-01-11,1,0.2,12.90264829942494,Naive,liguria
2015-01-04,2015-01-11,1,0.25,13.118577621808994,Naive,liguria
2015-01-04,2015-01-11,1,0.3,13.312488826886138,Naive,liguria
2015-01-04,2015-01-11,1,0.35,13.492176456936615,Naive,liguria
2015-01-04,2015-01-11,1,0.4,13.662682446162869,Naive,liguria
2015-01-04,2015-01-11,1,0.45,13.827648963989002,Naive,liguria
2015-01-04,2015-01-11,1,0.5,13.99,Naive,liguria
2015-01-04,2015-01-11,1,0.55,14.152351036010998,Naive,liguria
2015-01-04,2015-01-11,1,0.6,14.317317553837134,Naive,liguria
2015-01-04,2015-01-11,1,0.65,14.487823543063383,Naive,liguria
2015-01-04,2015-01-11,1,0.7,14.667511173113862,Naive,liguria
2015-01-04,2015-01-11,1,0.75,14.861422378191008,Naive,liguria
2015-01-04,2015-01-11,1,0.8,15.07735170057506,Naive,liguria
2015-01-04,2015-01-11,1,0.85,15.32904369761984,Naive,liguria
2015-01-04,2015-01-11,1,0.9,15.645729701891874,Naive,liguria
2015-01-04,2015-01-11,1,0.95,16.11510606567032,Naive,liguria
2015-01-04,2015-01-11,1,0.975,16.522220061283498,Naive,liguria
2015-01-04,2015-01-11,1,0.99,16.99557806298305,Naive,liguria
2015-01-04,2015-01-18,2,0.01,9.739470740558316,Naive,liguria
2015-01-04,2015-01-18,2,0.025,10.408900046419646,Naive,liguria
2015-01-04,2015-01-18,2,0.05,10.984646180447704,Naive,liguria
2015-01-04,2015-01-18,2,0.1,11.648444599960552,Naive,liguria
2015-01-04,2015-01-18,2,0.15,12.096306242215803,Naive,liguria
2015-01-04,2015-01-18,2,0.2,12.452252477977302,Naive,liguria
2015-01-04,2015-01-18,2,0.25,12.757622654206862,Naive,liguria
2015-01-04,2015-01-18,2,0.3,13.03185451032307,Naive,liguria
2015-01-04,2015-01-18,2,0.35,13.285971193731136,Naive,liguria
2015-01-04,2015-01-18,2,0.4,13.52710307616074,Naive,liguria
2015-01-04,2015-01-18,2,0.45,13.760400963007925,Naive,liguria
2015-01-04,2015-01-18,2,0.5,13.99,Naive,liguria
2015-01-04,2015-01-18,2,0.55,14.219599036992078,Naive,liguria
2015-01-04,2015-01-18,2,0.6,14.45289692383926,Naive,liguria
2015-01-04,2015-01-18,2,0.65,14.694028806268864,Naive,liguria
2015-01-04,2015-01-18,2,0.7,14.94814548967693,Naive,liguria
2015-01-04,2015-01-18,2,0.75,15.222377345793138,Naive,liguria
2015-01-04,2015-01-18,2,0.8,15.5277475220227,Naive,liguria
2015-01-04,2015-01-18,2,0.85,15.883693757784195,Naive,liguria
2015-01-04,2015-01-18,2,0.9,16.33155540003945,Naive,liguria
2015-01-04,2015-01-18,2,0.95,16.9953538195523,Naive,liguria
2015-01-04,2015-01-18,2,0.975,17.571099953580354,Naive,liguria
2015-01-04,2015-01-18,2,0.99,18.240529259441686,Naive,liguria
2015-01-04,2015-02-01,4,0.01,7.9788438740339025,Naive,liguria
2015-01-04,2015-02-01,4,0.025,8.925559877433002,Naive,liguria
2015-01-04,2015-02-01,4,0.05,9.739787868659356,Naive,liguria
2015-01-04,2015-02-01,4,0.1,10.678540596216257,Naive,liguria
2015-01-04,2015-02-01,4,0.15,11.31191260476032,Naive,liguria
2015-01-04,2015-02-01,4,0.2,11.81529659884988,Naive,liguria
2015-01-04,2015-02-01,4,0.25,12.24715524361799,Naive,liguria
2015-01-04,2015-02-01,4,0.3,12.634977653772276,Naive,liguria
2015-01-04,2015-02-01,4,0.35,12.994352913873232,Naive,liguria
2015-01-04,2015-02-01,4,0.4,13.335364892325734,Naive,liguria
2015-01-04,2015-02-01,4,0.45,13.665297927978004,Naive,liguria
2015-01-04,2015-02-01,4,0.5,13.99,Naive,liguria
2015-01-04,2015-02-01,4,0.55,14.314702072021998,Naive,liguria
2015-01-04,2015-02-01,4,0.6,14.644635107674269,Naive,liguria
2015-01-04,2015-02-01,4,0.65,14.985647086126768,Naive,liguria
