origin,target_date,horizon,quantile,value,model,region
2015-01-04,2015-01-11,1,0.01,12.456458484447015,Naive,lombardia
2015-01-04,2015-01-11,1,0.025,12.81925052836814,Naive,lombardia
2015-01-04,2015-01-11,1,0.05,13.131271700603753,Naive,lombardia
2015-01-04,2015-01-11,1,0.1,13.491012129142092,Naive,lombardia
2015-01-04,2015-01-11,1,0.15,13.733727288405394,Naive,lombardia
2015-01-04,2015-01-11,1,0.2,13.92662960276074,Naive,lombardia
2015-01-04,2015-01-11,1,0.25,14.092122612129868,Naive,lombardia
2015-01-04,2015-01-11,1,0.3,14.24074044931982,Naive,lombardia
2015-01-04,2015-01-11,1,0.35,14.378457023961632,Naive,lombardia
2015-01-04,2015-01-11,1,0.4,14.509136585963518,Naive,lombardia
2015-01-04,2015-01-11,1,0.45,14.63557057454259,Naive,lombardia
2015-01-04,2015-01-11,1,0.5,14.76,Naive,lombardia
2015-01-04,2015-01-11,1,0.55,14.884429425457409,Naive,lombardia
2015-01-04,2015-01-11,1,0.6,15.010863414036482,Naive,lombardia
2015-01-04,2015-01-11,1,0.65,15.141542976038368,Naive,lombardia
2015-01-04,2015-01-11,1,0.7,15.27925955068018,Naive,lombardia
2015-01-04,2015-01-11,1,0.75,15.427877387870131,Naive,lombardia
2015-01-04,2015-01-11,1,0.8,15.59337039723926,Naive,lombardia
2015-01-04,2015-01-11,1,0.85,15.786272711594606,Naive,lombardia
2015-01-04,2015-01-11,1,0.9,16.028987870857907,Naive,lombardia
2015-01-04,2015-01-11,1,0.95,16.38872829939625,Naive,lombardia
2015-01-04,2015-01-11,1,0.975,16.70074947163186,Naive,lombardia
2015-01-04,2015-01-11,1,0.99,17.063541515552984,Naive,lombardia
2015-01-04,2015-01-18,2,0.01,11.502300347215495,Naive,lombardia
2015-01-04,2015-01-18,2,0.025,12.015365776049808,Naive,lombardia
2015-01-04,2015-01-18,2,0.05,12.456630349572958,Naive,lombardia
2015-01-04,2015-01-18,2,0.1,12.965380142545788,Naive,lombardia
2015-01-04,2015-01-18,2,0.15,13.308631212569496,Naive,lombardia
2015-01-04,2015-01-18,2,0.2,13.581436281743985,Naive,lombardia
2015-01-04,2015-01-18,2,0.25,13.81547874007174,Naive,lombardia
2015-01-04,2015-01-18,2,0.3,14.025656101036327,Naive,lombardia
2015-01-04,2015-01-18,2,0.35,14.220416748658348,Naive,lombardia
2015-01-04,2015-01-18,2,0.4,14.40522555756639,Naive,lombardia
2015-01-04,2015-01-18,2,0.45,14.58403021895984,Naive,lombardia
2015-01-04,2015-01-18,2,0.5,14.76,Naive,lombardia
2015-01-04,2015-01-18,2,0.55,14.93596978104016,Naive,lombardia
2015-01-04,2015-01-18,2,0.6,15.11477444243361,Naive,lombardia
2015-01-04,2015-01-18,2,0.65,15.299583251341652,Naive,lombardia
2015-01-04,2015-01-18,2,0.7,15.494343898963672,Naive,lombardia
2015-01-04,2015-01-18,2,0.75,15.704521259928258,Naive,lombardia
2015-01-04,2015-01-18,2,0.8,15.938563718256017,Naive,lombardia
2015-01-04,2015-01-18,2,0.85,16.2113687874305,Naive,lombardia
2015-01-04,2015-01-18,2,0.9,16.55461985745421,Naive,lombardia
2015-01-04,2015-01-18,2,0.95,17.063369650427042,Naive,lombardia
2015-01-04,2015-01-18,2,0.975,17.504634223950195,Naive,lombardia
2015-01-04,2015-01-18,2,0.99,18.017699652784504,Naive,lombardia
2015-01-04,2015-02-01,4,0.01,10.152916968894033,Naive,lombardia
2015-01-04,2015-02-01,4,0.025,10.878501056736283,Naive,lombardia
2015-01-04,2015-02-01,4,0.05,11.502543401207504,Naive,lombardia
2015-01-04,2015-02-01,4,0.1,12.222024258284184,Naive,lombardia
2015-01-04,2015-02-01,4,0.15,12.707454576810788,Naive,lombardia
2015-01-04,2015-02-01,4,0.2,13.09325920552148,Naive,lombardia
2015-01-04,2015-02-01,4,0.25,13.424245224259732,Naive,lombardia
2015-01-04,2015-02-01,4,0.3,13.721480898639635,Naive,lombardia
2015-01-04,2015-02-01,4,0.35,13.996914047923266,Naive,lombardia
2015-01-04,2015-02-01,4,0.4,14.258273171927035,Naive,lombardia
2015-01-04,2015-02-01,4,0.45,14.511141149085182,Naive,lombardia
2015-01-04,2015-02-01,4,0.5,14.76,Naive,lombardia
2015-01-04,2015-02-01,4,0.55,15.008858850914818,Naive,lombardia
2015-01-04,2015-02-01,4,0.6,15.261726828072964,Naive,lombardia
2015-01-04,2015-02-01,4,0.65,15.523085952076734,Naive,lombardia
2015-01-04,2015-02-01,4,0.7,15.798519101360364,Naive,lombardia
2015-01-04,2015-02-01,4,0.75,16.095754775740268,Naive,lombardia
2015-01-04,2015-02-01,4,0.8,16.42674079447852,Naive,lombardia
2015-01-04,2015-02-01,4,0.85,16.81254542318921,Naive,lombardia
2015-01-04,2015-02-01,4,0.9,17.297975741715817,Naive,lombardia
2015-01-04,2015-02-01,4,0.95,18.017456598792496,Naive,lombardia
2015-01-04,2015-02-01,4,0.975,18.64149894326372,Naive,lombardia
2015-01-04,2015-02-01,4,0.99,19.367083031105967,Naive,lombardia
2015-01-04,2015-03-01,8,0.01,8.244600694430993,Naive,lombardia
2015-01-04,2015-03-01,8,0.025,9.270731552099612,Naive,lombardia
2015-01-04,2015-03-01,8,0.05,10.153260699145918,Naive,lombardia
2015-01-04,2015-03-01,8,0.1,11.170760285091578,Naive,lombardia
2015-01-04,2015-03-01,8,0.15,11.857262425138993,Naive,lombardia
2015-01-04,2015-03-01,8,0.2,12.402872563487971,Naive,lombardia
2015-01-04,2015-03-01,8,0.25,12.87095748014348,Naive,lombardia
2015-01-04,2015-03-01,8,0.3,13.291312202072657,Naive,lombardia
2015-01-04,2015-03-01,8,0.35,13.680833497316696,Naive,lombardia
2015-01-04,2015-03-01,8,0.4,14.05045111513278,Naive,lombardia
2015-01-04,2015-03-01,8,0.45,14.40806043791968,Naive,lombardia
2015-01-04,2015-03-01,8,0.5,14.76,Naive,lombardia
2015-01-04,2015-03-01,8,0.55,15.11193956208032,Naive,lombardia
2015-01-04,2015-03-01,8,0.6,15.46954888486722,Naive,lombardia
2015-01-04,2015-03-01,8,0.65,15.839166502683304,Naive,lombardia
2015-01-04,2015-03-01,8,0.7,16.228687797927343,Naive,lombardia
2015-01-04,2015-03-01,8,0.75,16.64904251985652,Naive,lombardia
2015-01-04,2015-03-01,8,0.8,17.11712743651203,Naive,lombardia
2015-01-04,2015-03-01,8,0.85,17.662737574861005,Naive,lombardia
2015-01-04,2015-03-01,8,0.9,18.34923971490842,Naive,lombardia
2015-01-04,2015-03-01,8,0.95,19.36673930085408,Naive,lombardia
2015-01-04,2015-03-01,8,0.975,20.249268447900388,Naive,lombardia
2015-01-04,2015-03-01,8,0.99,21.275399305569007,Naive,lombardia
2015-03-01,2015-03-08,1,0.01,0.5398968796496297,Naive,lombardia
2015-03-01,2015-03-08,1,0.025,0.9257713745731792,Naive,lombardia
2015-03-01,2015-03-08,1,0.05,1.2576447280804766,Naive,lombardia
2015-03-01,2015-03-08,1,0.1,1.6402734502141776,Naive,lombardia
2015-03-01,2015-03-08,1,0.15,1.898431232503852,Naive,lombardia
2015-03-01,2015-03-08,1,0.2,2.103606854099447,Naive,lombardia
2015-03-01,2015-03-08,1,0.25,2.2796292682447072,Naive,lombardia
2015-03-01,2015-03-08,1,0.3,2.4377028363485644,Naive,lombardia
2015-03-01,2015-03-08,1,0.35,2.584181554867719,Naive,lombardia
2015-03-01,2015-03-08,1,0.4,2.7231755345572823,Naive,lombardia
2015-03-01,2015-03-08,1,0.45,2.857653818471157,Naive,lombardia
2015-03-01,2015-03-08,1,0.5,2.99,Naive,lombardia
2015-03-01,2015-03-08,1,0.55,3.122346181528844,Naive,lombardia
2015-03-01,2015-03-08,1,0.6,3.256824465442718,Naive,lombardia
2015-03-01,2015-03-08,1,0.65,3.395818445132281,Naive,lombardia
2015-03-01,2015-03-08,1,0.7,3.542297163651436,Naive,lombardia
2015-03-01,2015-03-08,1,0.75,3.700370731755293,Naive,lombardia
2015-03-01,2015-03-08,1,0.8,3.8763931459005536,Naive,lombardia
2015-03-01,2015-03-08,1,0.85,4.081568767496148,Naive,lombardia
2015-03-01,2015-03-08,1,0.9,4.339726549785823,Naive,lombardia
2015-03-01,2015-03-08,1,0.95,4.722355271919524,Naive,lombardia
2015-03-01,2015-03-08,1,0.975,5.054228625426822,Naive,lombardia
2015-03-01,2015-03-08,1,0.99,5.44010312035037,Naive,lombardia
2015-03-01,2015-03-15,2,0.01,-0.4749690620121338,Naive,lombardia
2015-03-01,2015-03-15,2,0.025,0.0707398820826181,Naive,lombardia
2015-03-01,2015-03-15,2,0.05,0.5400796796028788,Naive,lombardia
2015-03-01,2015-03-15,2,0.1,1.081198407797845,Naive,lombardia
2015-03-01,2015-03-15,2,0.15,1.4462886447440635,Naive,lombardia
2015-03-01,2015-03-15,2,0.2,1.7364507914728835,Naive,lombardia
2015-03-01,2015-03-15,2,0.25,1.9853840768387647,Naive,lombardia
2015-03-01,2015-03-15,2,0.3,2.2089338607039464,Naive,lombardia
2015-03-01,2015-03-15,2,0.35,2.4160860510327664,Naive,lombardia
2015-03-01,2015-03-15,2,0.4,2.6126532221979577,Naive,lombardia
2015-03-01,2015-03-15,2,0.45,2.802834235153618,Naive,lombardia
2015-03-01,2015-03-15,2,0.5,2.99,Naive,lombardia
2015-03-01,2015-03-15,2,0.55,3.177165764846382,Naive,lombardia
2015-03-01,2015-03-15,2,0.6,3.3673467778020427,Naive,lombardia
2015-03-01,2015-03-15,2,0.65,3.563913948967234,Naive,lombardia
2015-03-01,2015-03-15,2,0.7,3.771066139296054,Naive,lombardia
2015-03-01,2015-03-15,2,0.75,3.994615923161235,Naive,lombardia
2015-03-01,2015-03-15,2,0.8,4.243549208527117,Naive,lombardia
2015-03-01,2015-03-15,2,0.85,4.533711355255937,Naive,lombardia
2015-03-01,2015-03-15,2,0.9,4.898801592202156,Naive,lombardia
2015-03-01,2015-03-15,2,0.95,5.439920320397121,Naive,lombardia
2015-03-01,2015-03-15,2,0.975,5.909260117917382,Naive,lombardia
2015-03-01,2015-03-15,2,0.99,6.454969062012134,Naive,lombardia
2015-03-01,2015-03-29,4,0.01,-1.9102062407007407,Naive,lombardia
2015-03-01,2015-03-29,4,0.025,-1.1384572508536417,Naive,lombardia
2015-03-01,2015-03-29,4,0.05,-0.4747105438390471,Naive,lombardia
