model,horizon,MAE,RMSE,sMAPE,MASE,WIS,CRPS,PinballLoss,Coverage95,Coverage95_Dist,region
ARIMA,1,0.9193808231931166,1.3773768115497762,17.787514399254384,0.5753044862339599,0.6485042125792438,0.7120990934261427,0.3242521062896219,0.9130434782608695,0.036956521739130443,lombardia
ARIMA,2,1.6948661894151094,2.47356761644888,29.167971260290503,1.0605660872392983,1.1763178115622654,1.2895984025637988,0.5881589057811327,0.8695652173913043,0.08043478260869563,lombardia
ARIMA,4,2.9994267067369553,4.116248203795585,52.846368137808476,1.8768975782228843,2.0695492964780318,2.2749047123232513,1.0347746482390159,0.782608695652174,0.167391304347826,lombardia
ARIMA,8,3.883865381590163,5.353943289830292,61.92134091318249,2.4303369415485983,2.6572379608344656,2.946351165133024,1.3286189804172328,0.782608695652174,0.167391304347826,lombardia
CatBoost,1,1.3309784792155288,2.0628937166335093,21.088548357901047,0.8328625862720518,1.1147185602545298,1.1956829650890066,0.5573592801272648,0.8260869565217391,0.12391304347826082,lombardia
CatBoost,2,1.969914699467857,3.0877124180498603,28.977108034816794,1.2326782716285025,1.5953722890097533,1.7390616725179888,0.7976861445048766,0.8695652173913043,0.08043478260869563,lombardia
CatBoost,4,3.269310710170943,4.912229248679062,47.702626167248106,2.045778061719483,2.5993947639129154,2.8206113567849416,1.2996973819564577,0.782608695652174,0.167391304347826,lombardia
CatBoost,8,3.92956732724987,5.229053601323283,62.304789964178575,2.4589350302887274,2.741683234759126,2.9866713074952,1.3708416173795626,0.8260869565217391,0.12391304347826082,lombardia
Chronos-Bolt-small,1,1.016534217809515,1.3705099184662035,18.56036349707397,0.6360984275101659,0.7071402414687056,0.7872335326128787,0.3535701207343528,0.8260869565217391,0.12391304347826082,lombardia
Chronos-Bolt-small,2,1.4408923929869497,2.160976161230038,23.118407105565826,0.9016414492818459,1.031480753597428,1.1391511711607638,0.515740376798714,0.8260869565217391,0.12391304347826082,lombardia
Chronos-Bolt-small,4,2.451005269757739,3.339521525575502,38.65038146229831,1.5337217091143496,1.6955058436947374,1.856801529362715,0.8477529218473686,0.9130434782608695,0.036956521739130443,lombardia
Chronos-Bolt-small,8,3.824885749272372,5.020814288764305,66.19944542328862,2.393430312420738,2.6304932749158487,2.8625270979106983,1.3152466374579244,0.8260869565217391,0.12391304347826082,lombardia
Chronos-V2,1,1.0324703494941918,1.4018306108540843,17.62765826067264,0.6460704954716965,0.6761558706959204,0.7501487334384784,0.33807793534796027,1.0,0.050000000000000044,lombardia
Chronos-V2,2,1.4810850011983012,2.267229276998141,22.96704964271355,0.9267920585115724,0.9799268535919886,1.0943792385858122,0.48996342679599436,1.0,0.050000000000000044,lombardia
Chronos-V2,4,2.492917671827826,3.666787991743307,37.797385947898015,1.5599484829728878,1.6500599922023709,1.8479351477804051,0.8250299961011854,0.9565217391304348,0.006521739130434856,lombardia
Chronos-V2,8,4.001878775998719,4.983431302439033,64.50313525354247,2.5041840716237473,2.412731586455472,2.7099504689937577,1.206365793227736,0.9130434782608695,0.036956521739130443,lombardia
Drift,1,1.0334818946368403,1.4370477425769665,18.711187412951364,0.6467034719749182,0.6975778415616298,0.7718717323458767,0.3487889207808149,0.8695652173913043,0.08043478260869563,lombardia
Drift,2,2.0480289180542104,2.7637632861065606,29.477217997726797,1.2815584084093736,1.4055442851405715,1.5482163611098168,0.7027721425702856,0.8260869565217391,0.12391304347826082,lombardia
Drift,4,3.6873551911908287,4.717135970061943,51.988016889308284,2.30737027607609,2.623694238893994,2.8635483500019516,1.3118471194469965,0.6956521739130435,0.2543478260869565,lombardia
Drift,8,5.113825844245097,6.685056454492321,67.91191982759051,3.199987291224369,3.6600868448106163,3.9987942285643654,1.8300434224053082,0.6956521739130435,0.2543478260869565,lombardia
ETS,1,1.0664397251557964,1.4319614799641036,19.665526907595233,0.6673269038279352,0.8313528342521412,0.9220506536274193,0.4156764171260706,1.0,0.050000000000000044,lombardia
ETS,2,2.10663937991238,2.770544343347627,30.23916178689823,1.3182340283446905,1.3743446586546162,1.530414951977979,0.6871723293273081,1.0,0.050000000000000044,lombardia
ETS,4,3.7113671812336206,4.713248659856162,49.308874530928016,2.3223958294121334,2.3476773519884,2.6138026064041786,1.1738386759942,0.9130434782608695,0.036956521739130443,lombardia
ETS,8,5.18595692502362,6.735976250267923,63.7962539269182,3.2451234669221214,3.3590922422792233,3.7355467354052383,1.6795461211396117,1.0,0.050000000000000044,lombardia
LightGBM,1,1.7530714540221235,2.725619365372724,25.355857505241396,1.096988154141401,1.3963293380200807,1.4995961084177465,0.6981646690100405,0.8695652173913043,0.08043478260869563,lombardia
LightGBM,2,2.0821523173509364,3.26408686165862,29.016046183762583,1.3029111973796474,1.5535850374450053,1.709006943618215,0.7767925187225027,0.8695652173913043,0.08043478260869563,lombardia
LightGBM,4,3.4580453181431,4.605285294582976,52.838495555264885,2.163879140113613,2.353498064305889,2.5802262843566384,1.1767490321529446,0.782608695652174,0.167391304347826,lombardia
LightGBM,8,4.626200945545801,6.396969477430339,64.92829724476483,2.8948549839757116,3.4991138830192825,3.8193600917547217,1.7495569415096413,0.8260869565217391,0.12391304347826082,lombardia
MovingAverage,1,3.6041187968332022,4.776874104988345,55.402554758010794,2.255284927019573,2.6483193620801364,2.853525967337379,1.3241596810400682,0.8260869565217391,0.12391304347826082,lombardia
MovingAverage,2,3.3693476864795096,4.448696015740066,55.37353812550442,2.108376410312088,2.379675703096155,2.546903430821368,1.1898378515480774,0.8260869565217391,0.12391304347826082,lombardia
MovingAverage,4,3.0581606134314963,4.106961737721449,47.81011519539026,1.9136504440245226,2.106898663212961,2.2967744435644697,1.0534493316064804,0.8695652173913043,0.08043478260869563,lombardia
MovingAverage,8,3.5367787122188417,4.294821724385329,56.17916749298757,2.213146727260888,2.3116690705533207,2.544340153038006,1.1558345352766601,0.8260869565217391,0.12391304347826082,lombardia
Naive,1,1.0298315668584084,1.434925496219617,18.69724283650298,0.6444192716803518,0.6958596270101813,0.7698047279140229,0.3479298135050906,0.8695652173913043,0.08043478260869563,lombardia
Naive,2,2.0234770414484986,2.7450912064615105,29.276387626618266,1.2661950199196381,1.389638389167013,1.5301973780431404,0.6948191945835065,0.8260869565217391,0.12391304347826082,lombardia
Naive,4,3.640854792735112,4.656256903376012,51.660215545616225,2.2782725538173985,2.588544432296203,2.826228382923544,1.2942722161481015,0.6956521739130435,0.2543478260869565,lombardia
Naive,8,5.008877521703511,6.546888472223887,67.26915056768591,3.1343156573836652,3.589390485394789,3.924770179161424,1.7946952426973946,0.6521739130434783,0.2978260869565217,lombardia
Prophet,1,3.346766410745733,4.616706378921841,47.92330273117663,2.0942461294678476,2.4038485745227796,2.6257642163542183,1.2019242872613898,0.6956521739130435,0.2543478260869565,lombardia
Prophet,2,3.587267366301954,4.686629795932092,53.67346536868385,2.244740108877276,2.4266632298926583,2.650969292083223,1.2133316149463291,0.8695652173913043,0.08043478260869563,lombardia
