model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2018-01-28,2018-01-28,0.0,15.18,14.02841633739397,1.1515836626060292,-0.07586190135744593,lombardia
ARIMA,2018-2019,latest,2019-02-17,2019-03-03,2.0,15.85,6.112937385750296,9.737062614249703,-0.614325716987363,lombardia
ARIMA,2019-2020,latest,2020-02-02,2020-02-16,2.0,15.37,15.323577902946452,0.04642209705354716,-0.003020305598799425,lombardia
ARIMA,2020-2021,latest,2021-02-28,2020-12-13,-11.0,2.94,13.750550122478309,10.81055012247831,3.677057864788541,lombardia
ARIMA,2021-2022,latest,2022-01-02,2022-04-10,14.0,10.2,7.849599534259108,2.3504004657408917,-0.23043141820989135,lombardia
ARIMA,2022-2023,latest,2022-12-04,2022-11-20,-2.0,20.68,10.609921693704791,10.070078306295208,-0.48694769372800817,lombardia
ARIMA,2023-2024,latest,2023-12-24,2024-01-07,2.0,20.07,16.098007080557668,3.9719929194423322,-0.19790697157161596,lombardia
ARIMA,2024-2025,latest,2025-01-26,2025-02-02,1.0,17.6292825978113,17.48260115287086,0.146681444940441,-0.008320329776700709,lombardia
CatBoost,2017-2018,latest,2018-01-28,2018-01-28,0.0,15.18,9.13068124216515,6.04931875783485,-0.3985058470246937,lombardia
CatBoost,2018-2019,latest,2019-02-17,2019-03-24,5.0,15.85,10.356898598642106,5.493101401357894,-0.3465679117575958,lombardia
CatBoost,2019-2020,latest,2020-02-02,2020-02-16,2.0,15.37,11.156131134898995,4.213868865101004,-0.2741619300651271,lombardia
CatBoost,2020-2021,latest,2021-02-28,2021-03-07,1.0,2.94,4.592732385239165,1.6527323852391649,0.5621538725303282,lombardia
CatBoost,2021-2022,latest,2022-01-02,2022-04-24,16.0,10.2,12.099071627301797,1.8990716273017973,0.18618349287272523,lombardia
CatBoost,2022-2023,latest,2022-12-04,2023-02-05,9.0,20.68,12.878120552809666,7.801879447190334,-0.3772668978331883,lombardia
CatBoost,2023-2024,latest,2023-12-24,2024-01-07,2.0,20.07,15.922927659230508,4.147072340769492,-0.20663041060136983,lombardia
CatBoost,2024-2025,latest,2025-01-26,2025-02-02,1.0,17.6292825978113,17.069093955821327,0.5601886419899742,-0.031776031661068405,lombardia
Chronos-Bolt-small,2017-2018,latest,2018-01-28,2018-01-28,0.0,15.18,14.84575080871582,0.3342491912841794,-0.02201905080923448,lombardia
Chronos-Bolt-small,2018-2019,latest,2019-02-17,2019-03-03,2.0,15.85,5.719273090362549,10.13072690963745,-0.6391625810496815,lombardia
Chronos-Bolt-small,2019-2020,latest,2020-02-02,2020-02-16,2.0,15.37,12.714502334594728,2.655497665405271,-0.17277148115844312,lombardia
Chronos-Bolt-small,2020-2021,latest,2021-02-28,2020-12-13,-11.0,2.94,5.935535430908203,2.995535430908203,1.018889602349729,lombardia
Chronos-Bolt-small,2021-2022,latest,2022-01-02,2022-04-03,13.0,10.2,7.11570930480957,3.084290695190429,-0.30238144070494405,lombardia
Chronos-Bolt-small,2022-2023,latest,2022-12-04,2022-11-20,-2.0,20.68,10.997709274291992,9.682290725708008,-0.46819587648491334,lombardia
Chronos-Bolt-small,2023-2024,latest,2023-12-24,2024-01-07,2.0,20.07,16.283660888671875,3.7863391113281253,-0.18865665726597536,lombardia
Chronos-Bolt-small,2024-2025,latest,2025-01-26,2025-02-02,1.0,17.6292825978113,17.354393005371094,0.27488959244020705,-0.015592783819480831,lombardia
Chronos-V2,2017-2018,latest,2018-01-28,2018-01-28,0.0,15.18,13.980517387390137,1.199482612609863,-0.07901729990842313,lombardia
Chronos-V2,2018-2019,latest,2019-02-17,2019-03-03,2.0,15.85,7.526640892028809,8.323359107971191,-0.5251330667489711,lombardia
Chronos-V2,2019-2020,latest,2020-02-02,2020-02-16,2.0,15.37,12.809096336364746,2.560903663635253,-0.16661702430938538,lombardia
Chronos-V2,2020-2021,latest,2021-02-28,2021-04-04,5.0,2.94,9.980961799621582,7.0409617996215825,2.394884965857681,lombardia
Chronos-V2,2021-2022,latest,2022-01-02,2022-04-03,13.0,10.2,6.34941291809082,3.850587081909179,-0.3775085374420764,lombardia
Chronos-V2,2022-2023,latest,2022-12-04,2023-04-30,21.0,20.68,11.291208267211914,9.388791732788086,-0.4540034687034858,lombardia
Chronos-V2,2023-2024,latest,2023-12-24,2024-01-07,2.0,20.07,15.264151573181152,4.805848426818848,-0.23945433118180606,lombardia
Chronos-V2,2024-2025,latest,2025-01-26,2025-02-02,1.0,17.6292825978113,17.365434646606445,0.2638479512048555,-0.01496645990788148,lombardia
Drift,2017-2018,latest,2018-01-28,2018-03-18,7.0,15.18,15.395384615384614,0.21538461538461462,0.014188709840883704,lombardia
Drift,2018-2019,latest,2019-02-17,2019-04-21,9.0,15.85,9.57404255319149,6.27595744680851,-0.3959594603664675,lombardia
Drift,2019-2020,latest,2020-02-02,2020-03-08,5.0,15.37,14.626981132075471,0.743018867924528,-0.048342151458980354,lombardia
Drift,2020-2021,latest,2021-02-28,2020-12-13,-11.0,2.94,14.853962264150944,11.913962264150944,4.052368117058144,lombardia
Drift,2021-2022,latest,2022-01-02,2022-04-24,16.0,10.2,7.152461538461538,3.047538461538461,-0.2987782805429864,lombardia
Drift,2022-2023,latest,2022-12-04,2023-01-08,5.0,20.68,11.01044776119403,9.66955223880597,-0.46757989549351886,lombardia
Drift,2023-2024,latest,2023-12-24,2024-02-25,9.0,20.07,17.482533333333333,2.5874666666666677,-0.12892210596246476,lombardia
Drift,2024-2025,latest,2025-01-26,2025-03-23,8.0,17.6292825978113,17.996976154385067,0.3676935565737658,0.020856977845452172,lombardia
ETS,2017-2018,latest,2018-01-28,2018-03-18,7.0,15.18,15.615310793687632,0.43531079368763237,0.02867660037467934,lombardia
ETS,2018-2019,latest,2019-02-17,2019-04-21,9.0,15.85,10.381949276130456,5.468050723869544,-0.3449874273734728,lombardia
ETS,2019-2020,latest,2020-02-02,2020-03-08,5.0,15.37,14.955420247033826,0.4145797529661728,-0.02697330858595789,lombardia
ETS,2020-2021,latest,2021-02-28,2020-12-13,-11.0,2.94,15.510729656867436,12.570729656867437,4.2757583866896045,lombardia
ETS,2021-2022,latest,2022-01-02,2022-04-24,16.0,10.2,7.902697697170935,2.2973023028290642,-0.22522571596363378,lombardia
ETS,2022-2023,latest,2022-12-04,2023-01-08,5.0,20.68,12.42069053456676,8.25930946543324,-0.3993863377869072,lombardia
ETS,2023-2024,latest,2023-12-24,2024-02-25,9.0,20.07,18.84271447354176,1.227285526458239,-0.061150250446349724,lombardia
ETS,2024-2025,latest,2025-01-26,2025-03-23,8.0,17.6292825978113,19.448968274812668,1.8196856770013667,0.10321949670415308,lombardia
LightGBM,2017-2018,latest,2018-01-28,2018-01-28,0.0,15.18,6.432203597062134,8.747796402937865,-0.5762711727890557,lombardia
LightGBM,2018-2019,latest,2019-02-17,2019-03-03,2.0,15.85,11.875173102169873,3.974826897830127,-0.2507777222605758,lombardia
LightGBM,2019-2020,latest,2020-02-02,2020-02-23,3.0,15.37,11.911038517864968,3.458961482135031,-0.22504629031457588,lombardia
LightGBM,2020-2021,latest,2021-02-28,2020-12-13,-11.0,2.94,9.68056573582703,6.74056573582703,2.292709433954772,lombardia
LightGBM,2021-2022,latest,2022-01-02,2022-04-24,16.0,10.2,12.451904269264531,2.251904269264532,0.22077492835926787,lombardia
LightGBM,2022-2023,latest,2022-12-04,2022-11-20,-2.0,20.68,12.758573432960269,7.921426567039731,-0.38304770633654406,lombardia
LightGBM,2023-2024,latest,2023-12-24,2024-01-07,2.0,20.07,16.180801072412955,3.8891989275870458,-0.19378171039297687,lombardia
LightGBM,2024-2025,latest,2025-01-26,2025-02-02,1.0,17.6292825978113,16.82935561570504,0.7999269821062605,-0.045374902675028445,lombardia
MovingAverage,2017-2018,latest,2018-01-28,2018-03-25,8.0,15.18,4.224230769230769,10.955769230769231,-0.7217239282456674,lombardia
MovingAverage,2018-2019,latest,2019-02-17,2019-04-28,10.0,15.85,5.558269230769231,10.291730769230767,-0.6493205532637708,lombardia
