origin,target_date,horizon,quantile,value,model,region
2015-01-04,2015-01-11,1,0.01,18.58491615749489,Naive,marche
2015-01-04,2015-01-11,1,0.025,19.82991283119357,Naive,marche
2015-01-04,2015-01-11,1,0.05,20.90067865438609,Naive,marche
2015-01-04,2015-01-11,1,0.1,22.135203072519545,Naive,marche
2015-01-04,2015-01-11,1,0.15,22.96813083651636,Naive,marche
2015-01-04,2015-01-11,1,0.2,23.63011541899358,Naive,marche
2015-01-04,2015-01-11,1,0.25,24.198039246534137,Naive,marche
2015-01-04,2015-01-11,1,0.3,24.708052396089343,Naive,marche
2015-01-04,2015-01-11,1,0.35,25.180655586305694,Naive,marche
2015-01-04,2015-01-11,1,0.4,25.62910979785428,Naive,marche
2015-01-04,2015-01-11,1,0.45,26.06299443744584,Naive,marche
2015-01-04,2015-01-11,1,0.5,26.49,Naive,marche
2015-01-04,2015-01-11,1,0.55,26.91700556255416,Naive,marche
2015-01-04,2015-01-11,1,0.6,27.35089020214572,Naive,marche
2015-01-04,2015-01-11,1,0.65,27.799344413694303,Naive,marche
2015-01-04,2015-01-11,1,0.7,28.27194760391065,Naive,marche
2015-01-04,2015-01-11,1,0.75,28.78196075346586,Naive,marche
2015-01-04,2015-01-11,1,0.8,29.349884581006418,Naive,marche
2015-01-04,2015-01-11,1,0.85,30.01186916348364,Naive,marche
2015-01-04,2015-01-11,1,0.9,30.84479692748045,Naive,marche
2015-01-04,2015-01-11,1,0.95,32.079321345613906,Naive,marche
2015-01-04,2015-01-11,1,0.975,33.15008716880642,Naive,marche
2015-01-04,2015-01-11,1,0.99,34.3950838425051,Naive,marche
2015-01-04,2015-01-18,2,0.01,15.310523218232856,Naive,marche
2015-01-04,2015-01-18,2,0.025,17.071214399286923,Naive,marche
2015-01-04,2015-01-18,2,0.05,18.58550594857137,Naive,marche
2015-01-04,2015-01-18,2,0.1,20.33138712377645,Naive,marche
2015-01-04,2015-01-18,2,0.15,21.50932486409785,Naive,marche
2015-01-04,2015-01-18,2,0.2,22.445512438719028,Naive,marche
2015-01-04,2015-01-18,2,0.25,23.24867801802172,Naive,marche
2015-01-04,2015-01-18,2,0.3,23.969945531111307,Naive,marche
2015-01-04,2015-01-18,2,0.35,24.638307372336065,Naive,marche
