model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2018-01-21,2018-01-28,1.0,26.49,25.224802269239863,1.2651977307601356,-0.047761333739529475,marche
ARIMA,2018-2019,latest,2019-01-27,2019-01-27,0.0,23.42,10.719595865172495,12.700404134827506,-0.5422888187372974,marche
ARIMA,2019-2020,latest,2020-02-02,2020-02-16,2.0,25.81,24.457922284844145,1.352077715155854,-0.052385808413632474,marche
ARIMA,2020-2021,latest,2020-12-20,2021-02-07,7.0,2.26,8.613022263072391,6.353022263072392,2.8110717978196424,marche
ARIMA,2021-2022,latest,2022-04-03,2022-04-10,1.0,12.53,10.916529348959196,1.613470651040803,-0.1287686074254432,marche
ARIMA,2022-2023,latest,2022-12-18,2023-03-12,12.0,21.87,11.02008928961953,10.84991071038047,-0.49610931460358804,marche
ARIMA,2023-2024,latest,2024-01-07,2024-01-07,0.0,19.55,16.482974356399126,3.067025643600875,-0.15688110708955882,marche
ARIMA,2024-2025,latest,2025-02-02,2025-02-02,0.0,17.5038455418236,16.994293810798705,0.5095517310248958,-0.029110844803067727,marche
CatBoost,2017-2018,latest,2018-01-21,2018-01-28,1.0,26.49,18.65932405204488,7.830675947955118,-0.2956087560571959,marche
CatBoost,2018-2019,latest,2019-01-27,2019-01-27,0.0,23.42,18.85855018160112,4.561449818398881,-0.19476728515793681,marche
CatBoost,2019-2020,latest,2020-02-02,2020-02-16,2.0,25.81,16.403003550435095,9.406996449564904,-0.364470997658462,marche
CatBoost,2020-2021,latest,2020-12-20,2021-04-04,15.0,2.26,15.373198878186562,13.113198878186562,5.802300388578125,marche
CatBoost,2021-2022,latest,2022-04-03,2022-04-10,1.0,12.53,18.792745603459803,6.262745603459804,0.49982008008458134,marche
CatBoost,2022-2023,latest,2022-12-18,2022-11-13,-5.0,21.87,11.393074399367055,10.476925600632946,-0.4790546685245974,marche
CatBoost,2023-2024,latest,2024-01-07,2024-01-07,0.0,19.55,15.275971800919477,4.274028199080524,-0.21862036823941297,marche
CatBoost,2024-2025,latest,2025-02-02,2024-12-29,-5.0,17.5038455418236,15.26222976618822,2.241615775635381,-0.12806418853955695,marche
Chronos-Bolt-small,2017-2018,latest,2018-01-21,2018-01-28,1.0,26.49,22.575061798095703,3.9149382019042953,-0.14778928659510365,marche
Chronos-Bolt-small,2018-2019,latest,2019-01-27,2018-12-02,-8.0,23.42,11.853954315185549,11.566045684814453,-0.4938533597273464,marche
Chronos-Bolt-small,2019-2020,latest,2020-02-02,2020-02-16,2.0,25.81,24.49829292297364,1.3117070770263588,-0.05082166125634866,marche
Chronos-Bolt-small,2020-2021,latest,2020-12-20,2021-04-04,15.0,2.26,11.900663375854492,9.640663375854492,4.265780254802873,marche
