origin,target_date,horizon,quantile,value,model,region
2015-01-04,2015-01-11,1,0.01,9.249937731695614,Naive,molise
2015-01-04,2015-01-11,1,0.025,10.83747864141196,Naive,molise
2015-01-04,2015-01-11,1,0.05,12.202851405014728,Naive,molise
2015-01-04,2015-01-11,1,0.1,13.777038757667007,Naive,molise
2015-01-04,2015-01-11,1,0.15,14.839135491030278,Naive,molise
2015-01-04,2015-01-11,1,0.2,15.68325630555579,Naive,molise
2015-01-04,2015-01-11,1,0.25,16.407436802476163,Naive,molise
2015-01-04,2015-01-11,1,0.3,17.057773270449836,Naive,molise
2015-01-04,2015-01-11,1,0.35,17.660406927535814,Naive,molise
2015-01-04,2015-01-11,1,0.4,18.2322473364366,Naive,molise
2015-01-04,2015-01-11,1,0.45,18.785509549903235,Naive,molise
2015-01-04,2015-01-11,1,0.5,19.33,Naive,molise
2015-01-04,2015-01-11,1,0.55,19.87449045009676,Naive,molise
2015-01-04,2015-01-11,1,0.6,20.427752663563403,Naive,molise
2015-01-04,2015-01-11,1,0.65,20.999593072464183,Naive,molise
2015-01-04,2015-01-11,1,0.7,21.60222672955016,Naive,molise
2015-01-04,2015-01-11,1,0.75,22.25256319752384,Naive,molise
2015-01-04,2015-01-11,1,0.8,22.97674369444421,Naive,molise
2015-01-04,2015-01-11,1,0.85,23.82086450896972,Naive,molise
2015-01-04,2015-01-11,1,0.9,24.88296124233299,Naive,molise
2015-01-04,2015-01-11,1,0.95,26.45714859498527,Naive,molise
2015-01-04,2015-01-11,1,0.975,27.82252135858804,Naive,molise
2015-01-04,2015-01-11,1,0.99,29.410062268304383,Naive,molise
2015-01-04,2015-01-18,2,0.01,5.074639230598633,Naive,molise
2015-01-04,2015-01-18,2,0.025,7.319761115941612,Naive,molise
2015-01-04,2015-01-18,2,0.05,9.25068979592348,Naive,molise
2015-01-04,2015-01-18,2,0.1,11.476926899760532,Naive,molise
2015-01-04,2015-01-18,2,0.15,12.978958504635033,Naive,molise
2015-01-04,2015-01-18,2,0.2,14.172725608818432,Naive,molise
2015-01-04,2015-01-18,2,0.25,15.196871489169316,Naive,molise
2015-01-04,2015-01-18,2,0.3,16.116586142283495,Naive,molise
2015-01-04,2015-01-18,2,0.35,16.968838833276983,Naive,molise
2015-01-04,2015-01-18,2,0.4,17.777543295057445,Naive,molise
2015-01-04,2015-01-18,2,0.45,18.559974220890528,Naive,molise
2015-01-04,2015-01-18,2,0.5,19.33,Naive,molise
2015-01-04,2015-01-18,2,0.55,20.10002577910947,Naive,molise
2015-01-04,2015-01-18,2,0.6,20.882456704942552,Naive,molise
2015-01-04,2015-01-18,2,0.65,21.691161166723013,Naive,molise
2015-01-04,2015-01-18,2,0.7,22.5434138577165,Naive,molise
2015-01-04,2015-01-18,2,0.75,23.46312851083068,Naive,molise
2015-01-04,2015-01-18,2,0.8,24.487274391181565,Naive,molise
2015-01-04,2015-01-18,2,0.85,25.681041495364965,Naive,molise
2015-01-04,2015-01-18,2,0.9,27.183073100239465,Naive,molise
2015-01-04,2015-01-18,2,0.95,29.40931020407652,Naive,molise
2015-01-04,2015-01-18,2,0.975,31.340238884058387,Naive,molise
2015-01-04,2015-01-18,2,0.99,33.58536076940136,Naive,molise
2015-01-04,2015-02-01,4,0.01,-0.8301245366087713,Naive,molise
2015-01-04,2015-02-01,4,0.025,2.34495728282392,Naive,molise
2015-01-04,2015-02-01,4,0.05,5.075702810029457,Naive,molise
2015-01-04,2015-02-01,4,0.1,8.224077515334017,Naive,molise
2015-01-04,2015-02-01,4,0.15,10.34827098206056,Naive,molise
2015-01-04,2015-02-01,4,0.2,12.036512611111585,Naive,molise
2015-01-04,2015-02-01,4,0.25,13.48487360495233,Naive,molise
2015-01-04,2015-02-01,4,0.3,14.785546540899672,Naive,molise
2015-01-04,2015-02-01,4,0.35,15.990813855071629,Naive,molise
2015-01-04,2015-02-01,4,0.4,17.134494672873192,Naive,molise
2015-01-04,2015-02-01,4,0.45,18.24101909980648,Naive,molise
2015-01-04,2015-02-01,4,0.5,19.33,Naive,molise
2015-01-04,2015-02-01,4,0.55,20.41898090019352,Naive,molise
2015-01-04,2015-02-01,4,0.6,21.525505327126805,Naive,molise
2015-01-04,2015-02-01,4,0.65,22.669186144928368,Naive,molise
2015-01-04,2015-02-01,4,0.7,23.874453459100323,Naive,molise
2015-01-04,2015-02-01,4,0.75,25.175126395047663,Naive,molise
2015-01-04,2015-02-01,4,0.8,26.62348738888841,Naive,molise
