model,horizon,MAE,RMSE,sMAPE,MASE,WIS,CRPS,PinballLoss,Coverage95,Coverage95_Dist,region
ARIMA,1,2.870547329791856,7.4451023447124225,80.09352159534144,0.9328112807722566,2.4452068649181316,2.5869748700581225,1.2226034324590658,0.9565217391304348,0.006521739130434856,molise
ARIMA,2,1.894980890344389,2.7326708820959134,74.2709641419124,0.6157918153850033,1.4376695799784174,1.5953439755387806,0.7188347899892087,0.9565217391304348,0.006521739130434856,molise
ARIMA,4,1.7593997411502802,2.107068926865392,78.95819652854811,0.571733449192692,1.2942274507051519,1.4296433388937244,0.647113725352576,1.0,0.050000000000000044,molise
ARIMA,8,2.630907732589337,3.807521209378641,101.37898883778558,0.8549381458233065,1.8261955621366526,2.0156401402809543,0.9130977810683263,0.9565217391304348,0.006521739130434856,molise
CatBoost,1,2.9807769163083147,7.045472207051163,84.46486585531434,0.9686314188728432,2.6842259121655374,2.7700383874721775,1.3421129560827687,0.8260869565217391,0.12391304347826082,molise
CatBoost,2,2.2679108369745813,3.220309980866172,92.19146963546608,0.7369788996542821,1.7155694218898858,1.8401886811989607,0.8577847109449429,0.782608695652174,0.167391304347826,molise
CatBoost,4,2.310200694709258,3.488937043381763,93.86063924382519,0.750721385607308,1.6813655524432487,1.815163286685139,0.8406827762216244,0.8695652173913043,0.08043478260869563,molise
CatBoost,8,3.401207090336507,4.546073533917611,120.49930528825288,1.105254147590916,2.3673472591017246,2.580442117293685,1.1836736295508623,0.782608695652174,0.167391304347826,molise
Chronos-Bolt-small,1,2.7214645685231376,8.681930135212728,88.94011731900021,0.8843654390901334,2.232572423186369,2.3464387529353408,1.1162862115931844,0.8260869565217391,0.12391304347826082,molise
Chronos-Bolt-small,2,1.8641319466283606,3.255986121440597,75.4304103513898,0.6057671617589974,1.225929848054792,1.3739432329232304,0.612964924027396,0.9130434782608695,0.036956521739130443,molise
Chronos-Bolt-small,4,1.4528525093429472,2.0050339948673375,89.55942574359311,0.4721180507801103,1.0288281578888456,1.1411124206045589,0.5144140789444228,0.9130434782608695,0.036956521739130443,molise
Chronos-Bolt-small,8,2.428986119754484,4.000089949577431,115.96006879384501,0.7893218236922458,1.8045693909689995,1.9721136283505558,0.9022846954844997,0.8695652173913043,0.08043478260869563,molise
Chronos-V2,1,2.749139654252447,8.465513621498703,89.8583673489726,0.8933587177923212,1.816391465047981,2.0352805971285624,0.9081957325239906,0.9130434782608695,0.036956521739130443,molise
