model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2018-01-28,2018-01-28,0.0,43.19,8.590254444435802,34.5997455555642,-0.8011054770910905,molise
ARIMA,2018-2019,latest,2019-01-27,2019-03-03,5.0,6.23,5.200475038806708,1.0295249611932924,-0.165252802759758,molise
ARIMA,2019-2020,latest,2020-02-02,2020-02-16,2.0,16.61,9.779806278142036,6.830193721857963,-0.4112097364152898,molise
ARIMA,2020-2021,latest,2020-12-06,2021-01-10,5.0,1.21,2.708925937375772,1.498925937375772,1.238781766426258,molise
ARIMA,2021-2022,latest,2021-11-28,2021-11-07,-3.0,1.92,2.548374619527709,0.6283746195277091,0.32727844767068187,molise
ARIMA,2022-2023,latest,2023-01-08,2023-01-15,1.0,6.51,5.45142682241622,1.0585731775837797,-0.16260724694067277,molise
ARIMA,2023-2024,latest,2024-01-07,2024-01-07,0.0,12.33,6.560082224080945,5.769917775919055,-0.46795764605993956,molise
ARIMA,2024-2025,latest,2025-01-12,2025-01-05,-1.0,9.57880434782609,4.337881213742876,5.240923134083213,-0.5471375073312403,molise
CatBoost,2017-2018,latest,2018-01-28,2018-01-28,0.0,43.19,11.68404178081244,31.50595821918756,-0.7294734480015642,molise
CatBoost,2018-2019,latest,2019-01-27,2018-11-04,-12.0,6.23,3.377260748274016,2.8527392517259846,-0.45790357170561546,molise
CatBoost,2019-2020,latest,2020-02-02,2020-02-16,2.0,16.61,7.660314763371859,8.949685236628142,-0.53881307866515,molise
CatBoost,2020-2021,latest,2020-12-06,2021-04-04,17.0,1.21,3.872591614993951,2.6625916149939513,2.2004889380115302,molise
CatBoost,2021-2022,latest,2021-11-28,2022-04-24,21.0,1.92,13.659768432072232,11.739768432072232,6.114462725037621,molise
CatBoost,2022-2023,latest,2023-01-08,2022-11-13,-8.0,6.51,6.150154232537628,0.35984576746237185,-0.05527584753646265,molise
CatBoost,2023-2024,latest,2024-01-07,2024-01-21,2.0,12.33,6.200749773574602,6.129250226425398,-0.4971005860847849,molise
CatBoost,2024-2025,latest,2025-01-12,2024-11-03,-10.0,9.57880434782609,10.774815391898564,1.196011044072474,0.12486016006203414,molise
Chronos-Bolt-small,2017-2018,latest,2018-01-28,2018-01-28,0.0,43.19,2.080518960952759,41.10948103904724,-0.9518286881001908,molise
Chronos-Bolt-small,2018-2019,latest,2019-01-27,2019-03-03,5.0,6.23,1.492110252380371,4.737889747619629,-0.7604959466484156,molise
Chronos-Bolt-small,2019-2020,latest,2020-02-02,2020-02-16,2.0,16.61,12.51470947265625,4.095290527343749,-0.24655572109233892,molise
Chronos-Bolt-small,2020-2021,latest,2020-12-06,2020-12-13,1.0,1.21,3.4354827404022217,2.2254827404022217,1.8392419342167121,molise
Chronos-Bolt-small,2021-2022,latest,2021-11-28,2021-12-12,2.0,1.92,1.3983819484710691,0.5216180515289308,-0.2716760685046515,molise
Chronos-Bolt-small,2022-2023,latest,2023-01-08,2023-01-15,1.0,6.51,6.02269172668457,0.4873082733154295,-0.07485534152310745,molise
Chronos-Bolt-small,2023-2024,latest,2024-01-07,2024-01-07,0.0,12.33,9.793706893920898,2.5362931060791016,-0.20570098183934318,molise
Chronos-Bolt-small,2024-2025,latest,2025-01-12,2025-01-05,-1.0,9.57880434782609,5.91566276550293,3.66314158232316,-0.3824215893035241,molise
Chronos-V2,2017-2018,latest,2018-01-28,2018-01-28,0.0,43.19,3.224483251571656,39.96551674842834,-0.9253419020242728,molise
