origin,target_date,horizon,quantile,value,model,region
2015-01-04,2015-01-11,1,0.01,3.635375449607164,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.025,4.107008347941358,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.05,4.512638659490054,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.1,4.980304430563054,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.15,5.295836306057778,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.2,5.546611038136978,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.25,5.761753428855388,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.3,5.954957944975636,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.35,6.133990722389844,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.4,6.303875320502452,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.45,6.468240635234837,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.5,6.63,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.55,6.791759364765163,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.6,6.956124679497548,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.65,7.126009277610156,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.7,7.305042055024364,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.75,7.498246571144612,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.8,7.713388961863021,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.85,7.964163693942222,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.9,8.279695569436946,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.95,8.747361340509947,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.975,9.152991652058642,Naive,pa_bolzano
2015-01-04,2015-01-11,1,0.99,9.624624550392836,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.01,2.394961346619019,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.025,3.061950987904567,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.05,3.6355988758063567,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.1,4.296978151915464,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.15,4.7432076096011215,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.2,5.097856636808007,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.25,5.402113923603354,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.3,5.675346370612339,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.35,5.928536952540835,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.4,6.168790055229988,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.45,6.401237712508249,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.5,6.63,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.55,6.858762287491751,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.6,7.091209944770012,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.65,7.331463047459165,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.7,7.5846536293876605,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.75,7.857886076396646,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.8,8.162143363191992,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.85,8.516792390398878,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.9,8.963021848084535,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.95,9.624401124193644,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.975,10.198049012095431,Naive,pa_bolzano
2015-01-04,2015-01-18,2,0.99,10.865038653380982,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.01,0.6407508992143276,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.025,1.584016695882716,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.05,2.395277318980108,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.1,3.3306088611261075,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.15,3.961672612115556,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.2,4.463222076273958,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.25,4.893506857710776,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.3,5.279915889951273,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.35,5.637981444779687,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.4,5.977750641004904,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.45,6.306481270469673,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.5,6.63,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.55,6.953518729530327,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.6,7.282249358995096,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.65,7.622018555220313,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.7,7.980084110048727,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.75,8.366493142289224,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.8,8.796777923726042,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.85,9.298327387884443,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.9,9.929391138873893,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.95,10.864722681019892,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.975,11.675983304117285,Naive,pa_bolzano
2015-01-04,2015-02-01,4,0.99,12.619249100785671,Naive,pa_bolzano
2015-01-04,2015-03-01,8,0.01,-1.8400773067619616,Naive,pa_bolzano
2015-01-04,2015-03-01,8,0.025,-0.5060980241908659,Naive,pa_bolzano
2015-01-04,2015-03-01,8,0.05,0.6411977516127134,Naive,pa_bolzano
2015-01-04,2015-03-01,8,0.1,1.963956303830929,Naive,pa_bolzano
2015-01-04,2015-03-01,8,0.15,2.856415219202244,Naive,pa_bolzano
2015-01-04,2015-03-01,8,0.2,3.565713273616016,Naive,pa_bolzano
2015-01-04,2015-03-01,8,0.25,4.174227847206707,Naive,pa_bolzano
2015-01-04,2015-03-01,8,0.3,4.720692741224679,Naive,pa_bolzano
2015-01-04,2015-03-01,8,0.35,5.227073905081671,Naive,pa_bolzano
2015-01-04,2015-03-01,8,0.4,5.707580110459977,Naive,pa_bolzano
2015-01-04,2015-03-01,8,0.45,6.172475425016499,Naive,pa_bolzano
2015-01-04,2015-03-01,8,0.5,6.63,Naive,pa_bolzano
