model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2018-01-28,2018-01-28,0.0,8.6,5.976512716254568,2.6234872837454315,-0.3050566609006316,pa_bolzano
ARIMA,2018-2019,latest,2019-02-10,2019-03-03,3.0,9.37,6.753754175607234,2.616245824392765,-0.27921513600776576,pa_bolzano
ARIMA,2019-2020,latest,2020-02-09,2020-02-16,1.0,11.44,10.29819326655953,1.14180673344047,-0.09980828089514598,pa_bolzano
ARIMA,2020-2021,latest,2021-02-07,2021-04-04,8.0,1.66,3.533455869083226,1.873455869083226,1.1285878729417025,pa_bolzano
ARIMA,2021-2022,latest,2022-05-01,2022-01-02,-17.0,5.01,4.638447709523884,0.3715522904761155,-0.07416213382756796,pa_bolzano
ARIMA,2022-2023,latest,2022-12-11,2022-12-11,0.0,26.06,3.0668037684346348,22.993196231565364,-0.8823175837131759,pa_bolzano
ARIMA,2023-2024,latest,2024-01-14,2024-02-11,4.0,20.81,7.744703980867983,13.065296019132017,-0.6278373867915433,pa_bolzano
ARIMA,2024-2025,latest,2025-02-02,2025-01-19,-2.0,17.2996350858224,5.915788873745501,11.383846212076897,-0.6580396728371641,pa_bolzano
CatBoost,2017-2018,latest,2018-01-28,2018-01-28,0.0,8.6,5.268299497505292,3.3317005024947077,-0.38740703517380326,pa_bolzano
CatBoost,2018-2019,latest,2019-02-10,2019-03-03,3.0,9.37,5.51544127166018,3.8545587283398195,-0.41137232959870007,pa_bolzano
CatBoost,2019-2020,latest,2020-02-09,2020-02-16,1.0,11.44,6.733854878315391,4.706145121684608,-0.41137632182557765,pa_bolzano
CatBoost,2020-2021,latest,2021-02-07,2021-04-04,8.0,1.66,5.848107235277043,4.188107235277043,2.522956165829544,pa_bolzano
CatBoost,2021-2022,latest,2022-05-01,2022-04-24,-1.0,5.01,7.852477938999416,2.8424779389994166,0.5673608660677478,pa_bolzano
CatBoost,2022-2023,latest,2022-12-11,2022-11-13,-4.0,26.06,4.904347127566403,21.155652872433595,-0.8118055591877819,pa_bolzano
CatBoost,2023-2024,latest,2024-01-14,2024-02-11,4.0,20.81,8.06486867720854,12.745131322791458,-0.6124522500140057,pa_bolzano
CatBoost,2024-2025,latest,2025-02-02,2025-01-12,-3.0,17.2996350858224,7.009915101622568,10.28971998419983,-0.5947940481491765,pa_bolzano
Chronos-Bolt-small,2017-2018,latest,2018-01-28,2018-01-28,0.0,8.6,5.742953777313232,2.8570462226867672,-0.33221467705660085,pa_bolzano
Chronos-Bolt-small,2018-2019,latest,2019-02-10,2019-03-03,3.0,9.37,7.243662357330322,2.126337642669677,-0.22693037808641164,pa_bolzano
Chronos-Bolt-small,2019-2020,latest,2020-02-09,2020-02-16,1.0,11.44,10.807320594787598,0.6326794052124018,-0.05530414381227289,pa_bolzano
Chronos-Bolt-small,2020-2021,latest,2021-02-07,2021-04-04,8.0,1.66,6.74261474609375,5.08261474609375,3.0618161121046685,pa_bolzano
Chronos-Bolt-small,2021-2022,latest,2022-05-01,2021-12-19,-19.0,5.01,3.644241333007813,1.3657586669921868,-0.2726065203577219,pa_bolzano
Chronos-Bolt-small,2022-2023,latest,2022-12-11,2023-01-15,5.0,26.06,4.178961753845215,21.881038246154784,-0.8396407615562081,pa_bolzano
Chronos-Bolt-small,2023-2024,latest,2024-01-14,2024-02-11,4.0,20.81,6.786236763000488,14.02376323699951,-0.6738953982219852,pa_bolzano
Chronos-Bolt-small,2024-2025,latest,2025-02-02,2024-12-08,-8.0,17.2996350858224,6.934105396270752,10.365529689551646,-0.5991762044765053,pa_bolzano
Chronos-V2,2017-2018,latest,2018-01-28,2018-01-28,0.0,8.6,5.879781723022461,2.7202182769775387,-0.31630445081134173,pa_bolzano
Chronos-V2,2018-2019,latest,2019-02-10,2019-03-03,3.0,9.37,6.903401374816895,2.466598625183104,-0.26324425028635046,pa_bolzano
Chronos-V2,2019-2020,latest,2020-02-09,2020-02-16,1.0,11.44,10.829086303710938,0.610913696289062,-0.053401546878414516,pa_bolzano
Chronos-V2,2020-2021,latest,2021-02-07,2021-04-04,8.0,1.66,5.515657424926758,3.8556574249267577,2.3226851957390107,pa_bolzano
Chronos-V2,2021-2022,latest,2022-05-01,2021-12-12,-20.0,5.01,3.7437994480133057,1.2662005519866941,-0.2527346411151086,pa_bolzano
Chronos-V2,2022-2023,latest,2022-12-11,2023-03-12,13.0,26.06,3.795429229736328,22.26457077026367,-0.854358049511269,pa_bolzano
Chronos-V2,2023-2024,latest,2024-01-14,2024-02-11,4.0,20.81,7.004369258880615,13.805630741119383,-0.6634132984680147,pa_bolzano
Chronos-V2,2024-2025,latest,2025-02-02,2024-12-08,-8.0,17.2996350858224,9.367000579833984,7.932634505988414,-0.45854345867037744,pa_bolzano
Drift,2017-2018,latest,2018-01-28,2018-03-18,7.0,8.6,6.861282051282052,1.738717948717948,-0.2021765056648777,pa_bolzano
Drift,2018-2019,latest,2019-02-10,2019-04-21,10.0,9.37,7.65595744680851,1.7140425531914891,-0.18292876768318989,pa_bolzano
Drift,2019-2020,latest,2020-02-09,2020-03-08,4.0,11.44,11.615849056603771,0.17584905660377181,0.015371421031798236,pa_bolzano
Drift,2020-2021,latest,2021-02-07,2020-12-13,-8.0,1.66,11.791698113207548,10.131698113207548,6.1034325983178,pa_bolzano
Drift,2021-2022,latest,2022-05-01,2022-01-30,-13.0,5.01,3.1631147540983604,1.8468852459016394,-0.3686397696410458,pa_bolzano
Drift,2022-2023,latest,2022-12-11,2023-03-05,12.0,26.06,5.742028985507246,20.317971014492752,-0.7796612054678723,pa_bolzano
Drift,2023-2024,latest,2024-01-14,2024-03-31,11.0,20.81,7.951466666666667,12.858533333333332,-0.6179016498478296,pa_bolzano
Drift,2024-2025,latest,2025-02-02,2025-03-02,4.0,17.2996350858224,6.637695831486179,10.661939254336218,-0.6163100667408885,pa_bolzano
ETS,2017-2018,latest,2018-01-28,2018-01-28,0.0,8.6,6.62996299569783,1.9700370043021698,-0.22907407026769416,pa_bolzano
ETS,2018-2019,latest,2019-02-10,2019-03-03,3.0,9.37,7.395099730628559,1.9749002693714406,-0.210768438566856,pa_bolzano
ETS,2019-2020,latest,2020-02-09,2020-02-16,1.0,11.44,11.43997396209751,2.603790249011695e-05,-2.2760404274577753e-06,pa_bolzano
ETS,2020-2021,latest,2021-02-07,2020-12-13,-8.0,1.66,11.43997396209751,9.77997396209751,5.891550579576813,pa_bolzano
ETS,2021-2022,latest,2022-05-01,2021-12-12,-20.0,5.01,3.12992199230038,1.8800780076996197,-0.3752650713971297,pa_bolzano
ETS,2022-2023,latest,2022-12-11,2023-01-15,5.0,26.06,5.9961342812746405,20.06386571872536,-0.7699104266586861,pa_bolzano
ETS,2023-2024,latest,2024-01-14,2024-02-11,4.0,20.81,8.499146007217002,12.310853992782997,-0.5915835652466601,pa_bolzano
ETS,2024-2025,latest,2025-02-02,2025-01-12,-3.0,17.2996350858224,5.742329391427394,11.557305694395005,-0.6680664440064742,pa_bolzano
LightGBM,2017-2018,latest,2018-01-28,2018-01-28,0.0,8.6,5.713226050717002,2.886773949282998,-0.33567138945151137,pa_bolzano
LightGBM,2018-2019,latest,2019-02-10,2019-03-03,3.0,9.37,6.342372582216436,3.027627417783563,-0.3231192548328243,pa_bolzano
LightGBM,2019-2020,latest,2020-02-09,2020-02-16,1.0,11.44,8.095224925756927,3.3447750742430724,-0.2923754435527161,pa_bolzano
LightGBM,2020-2021,latest,2021-02-07,2021-04-04,8.0,1.66,3.49023292853138,1.83023292853138,1.1025499569466146,pa_bolzano
