origin,target_date,horizon,quantile,value,model,region
2015-01-04,2015-01-11,1,0.01,6.418811366287272,Naive,pa_trento
2015-01-04,2015-01-11,1,0.025,7.253712342306533,Naive,pa_trento
2015-01-04,2015-01-11,1,0.05,7.971773241389599,Naive,pa_trento
2015-01-04,2015-01-11,1,0.1,8.799651470619859,Naive,pa_trento
2015-01-04,2015-01-11,1,0.15,9.358216981520805,Naive,pa_trento
2015-01-04,2015-01-11,1,0.2,9.802147142697846,Naive,pa_trento
2015-01-04,2015-01-11,1,0.25,10.182999692696676,Naive,pa_trento
2015-01-04,2015-01-11,1,0.3,10.52501705333852,Naive,pa_trento
2015-01-04,2015-01-11,1,0.35,10.841947108749212,Naive,pa_trento
2015-01-04,2015-01-11,1,0.4,11.142682738676267,Naive,pa_trento
2015-01-04,2015-01-11,1,0.45,11.433647941015783,Naive,pa_trento
2015-01-04,2015-01-11,1,0.5,11.72,Naive,pa_trento
2015-01-04,2015-01-11,1,0.55,12.006352058984218,Naive,pa_trento
2015-01-04,2015-01-11,1,0.6,12.297317261323734,Naive,pa_trento
2015-01-04,2015-01-11,1,0.65,12.59805289125079,Naive,pa_trento
2015-01-04,2015-01-11,1,0.7,12.91498294666148,Naive,pa_trento
2015-01-04,2015-01-11,1,0.75,13.257000307303324,Naive,pa_trento
2015-01-04,2015-01-11,1,0.8,13.637852857302155,Naive,pa_trento
2015-01-04,2015-01-11,1,0.85,14.081783018479197,Naive,pa_trento
2015-01-04,2015-01-11,1,0.9,14.640348529380145,Naive,pa_trento
2015-01-04,2015-01-11,1,0.95,15.468226758610404,Naive,pa_trento
2015-01-04,2015-01-11,1,0.975,16.18628765769347,Naive,pa_trento
2015-01-04,2015-01-11,1,0.99,17.02118863371273,Naive,pa_trento
2015-01-04,2015-01-18,2,0.01,4.222987137505362,Naive,pa_trento
2015-01-04,2015-01-18,2,0.025,5.403715421030335,Naive,pa_trento
2015-01-04,2015-01-18,2,0.05,6.419206883123424,Naive,pa_trento
2015-01-04,2015-01-18,2,0.1,7.590003502894281,Naive,pa_trento
2015-01-04,2015-01-18,2,0.15,8.379934423884256,Naive,pa_trento
2015-01-04,2015-01-18,2,0.2,9.007746478567302,Naive,pa_trento
2015-01-04,2015-01-18,2,0.25,9.546353320040025,Naive,pa_trento
2015-01-04,2015-01-18,2,0.3,10.030038910026772,Naive,pa_trento
2015-01-04,2015-01-18,2,0.35,10.478245692712228,Naive,pa_trento
2015-01-04,2015-01-18,2,0.4,10.903550099243883,Naive,pa_trento
2015-01-04,2015-01-18,2,0.45,11.31503703457106,Naive,pa_trento
2015-01-04,2015-01-18,2,0.5,11.72,Naive,pa_trento
2015-01-04,2015-01-18,2,0.55,12.124962965428942,Naive,pa_trento
2015-01-04,2015-01-18,2,0.6,12.536449900756116,Naive,pa_trento
2015-01-04,2015-01-18,2,0.65,12.961754307287777,Naive,pa_trento
2015-01-04,2015-01-18,2,0.7,13.40996108997323,Naive,pa_trento
2015-01-04,2015-01-18,2,0.75,13.893646679959977,Naive,pa_trento
2015-01-04,2015-01-18,2,0.8,14.4322535214327,Naive,pa_trento
2015-01-04,2015-01-18,2,0.85,15.060065576115743,Naive,pa_trento
2015-01-04,2015-01-18,2,0.9,15.84999649710572,Naive,pa_trento
2015-01-04,2015-01-18,2,0.95,17.020793116876575,Naive,pa_trento
2015-01-04,2015-01-18,2,0.975,18.036284578969667,Naive,pa_trento
2015-01-04,2015-01-18,2,0.99,19.21701286249464,Naive,pa_trento
2015-01-04,2015-02-01,4,0.01,1.1176227325745425,Naive,pa_trento
2015-01-04,2015-02-01,4,0.025,2.7874246846130646,Naive,pa_trento
2015-01-04,2015-02-01,4,0.05,4.223546482779196,Naive,pa_trento
2015-01-04,2015-02-01,4,0.1,5.879302941239717,Naive,pa_trento
2015-01-04,2015-02-01,4,0.15,6.99643396304161,Naive,pa_trento
2015-01-04,2015-02-01,4,0.2,7.884294285395692,Naive,pa_trento
2015-01-04,2015-02-01,4,0.25,8.645999385393353,Naive,pa_trento
2015-01-04,2015-02-01,4,0.3,9.330034106677042,Naive,pa_trento
2015-01-04,2015-02-01,4,0.35,9.963894217498424,Naive,pa_trento
2015-01-04,2015-02-01,4,0.4,10.565365477352534,Naive,pa_trento
2015-01-04,2015-02-01,4,0.45,11.147295882031566,Naive,pa_trento
2015-01-04,2015-02-01,4,0.5,11.72,Naive,pa_trento
2015-01-04,2015-02-01,4,0.55,12.292704117968436,Naive,pa_trento
2015-01-04,2015-02-01,4,0.6,12.874634522647469,Naive,pa_trento
2015-01-04,2015-02-01,4,0.65,13.476105782501577,Naive,pa_trento
2015-01-04,2015-02-01,4,0.7,14.10996589332296,Naive,pa_trento
2015-01-04,2015-02-01,4,0.75,14.794000614606649,Naive,pa_trento
2015-01-04,2015-02-01,4,0.8,15.55570571460431,Naive,pa_trento
2015-01-04,2015-02-01,4,0.85,16.44356603695839,Naive,pa_trento
2015-01-04,2015-02-01,4,0.9,17.560697058760283,Naive,pa_trento
2015-01-04,2015-02-01,4,0.95,19.21645351722081,Naive,pa_trento
2015-01-04,2015-02-01,4,0.975,20.652575315386937,Naive,pa_trento
2015-01-04,2015-02-01,4,0.99,22.32237726742546,Naive,pa_trento
2015-01-04,2015-03-01,8,0.01,-3.274025724989277,Naive,pa_trento
2015-01-04,2015-03-01,8,0.025,-0.9125691579393304,Naive,pa_trento
2015-01-04,2015-03-01,8,0.05,1.1184137662468476,Naive,pa_trento
2015-01-04,2015-03-01,8,0.1,3.4600070057885617,Naive,pa_trento
2015-01-04,2015-03-01,8,0.15,5.039868847768512,Naive,pa_trento
2015-01-04,2015-03-01,8,0.2,6.295492957134602,Naive,pa_trento
2015-01-04,2015-03-01,8,0.25,7.372706640080049,Naive,pa_trento
2015-01-04,2015-03-01,8,0.3,8.340077820053542,Naive,pa_trento
2015-01-04,2015-03-01,8,0.35,9.236491385424454,Naive,pa_trento
2015-01-04,2015-03-01,8,0.4,10.087100198487768,Naive,pa_trento
2015-01-04,2015-03-01,8,0.45,10.91007406914212,Naive,pa_trento
2015-01-04,2015-03-01,8,0.5,11.72,Naive,pa_trento
2015-01-04,2015-03-01,8,0.55,12.529925930857882,Naive,pa_trento
2015-01-04,2015-03-01,8,0.6,13.352899801512232,Naive,pa_trento
2015-01-04,2015-03-01,8,0.65,14.203508614575547,Naive,pa_trento
2015-01-04,2015-03-01,8,0.7,15.09992217994646,Naive,pa_trento
2015-01-04,2015-03-01,8,0.75,16.06729335991995,Naive,pa_trento
2015-01-04,2015-03-01,8,0.8,17.1445070428654,Naive,pa_trento
2015-01-04,2015-03-01,8,0.85,18.400131152231488,Naive,pa_trento
2015-01-04,2015-03-01,8,0.9,19.97999299421144,Naive,pa_trento
2015-01-04,2015-03-01,8,0.95,22.321586233753152,Naive,pa_trento
2015-01-04,2015-03-01,8,0.975,24.35256915793933,Naive,pa_trento
2015-01-04,2015-03-01,8,0.99,26.71402572498928,Naive,pa_trento
2015-03-01,2015-03-08,1,0.01,-1.048944525117986,Naive,pa_trento
2015-03-01,2015-03-08,1,0.025,-0.2254215024116499,Naive,pa_trento
2015-03-01,2015-03-08,1,0.05,0.4828537291248778,Naive,pa_trento
2015-03-01,2015-03-08,1,0.1,1.2994497103861868,Naive,pa_trento
2015-03-01,2015-03-08,1,0.15,1.850403142145074,Naive,pa_trento
2015-03-01,2015-03-08,1,0.2,2.288283464127826,Naive,pa_trento
2015-03-01,2015-03-08,1,0.25,2.663945790785853,Naive,pa_trento
2015-03-01,2015-03-08,1,0.3,3.001302170457059,Naive,pa_trento
2015-03-01,2015-03-08,1,0.35,3.3139131323734308,Naive,pa_trento
2015-03-01,2015-03-08,1,0.4,3.61055036493945,Naive,pa_trento
2015-03-01,2015-03-08,1,0.45,3.8975503204017983,Naive,pa_trento
2015-03-01,2015-03-08,1,0.5,4.18,Naive,pa_trento
2015-03-01,2015-03-08,1,0.55,4.462449679598201,Naive,pa_trento
2015-03-01,2015-03-08,1,0.6,4.749449635060549,Naive,pa_trento
2015-03-01,2015-03-08,1,0.65,5.046086867626569,Naive,pa_trento
2015-03-01,2015-03-08,1,0.7,5.35869782954294,Naive,pa_trento
2015-03-01,2015-03-08,1,0.75,5.696054209214147,Naive,pa_trento
2015-03-01,2015-03-08,1,0.8,6.071716535872174,Naive,pa_trento
2015-03-01,2015-03-08,1,0.85,6.509596857854925,Naive,pa_trento
2015-03-01,2015-03-08,1,0.9,7.060550289613813,Naive,pa_trento
2015-03-01,2015-03-08,1,0.95,7.877146270875121,Naive,pa_trento
2015-03-01,2015-03-08,1,0.975,8.585421502411648,Naive,pa_trento
2015-03-01,2015-03-08,1,0.99,9.408944525117985,Naive,pa_trento
2015-03-01,2015-03-15,2,0.01,-3.2148442643183994,Naive,pa_trento
2015-03-01,2015-03-15,2,0.025,-2.050206836680613,Naive,pa_trento
2015-03-01,2015-03-15,2,0.05,-1.048554398348711,Naive,pa_trento
2015-03-01,2015-03-15,2,0.1,0.1062867133303981,Naive,pa_trento
2015-03-01,2015-03-15,2,0.15,0.8854525287598163,Naive,pa_trento
2015-03-01,2015-03-15,2,0.2,1.504708818804121,Naive,pa_trento
2015-03-01,2015-03-15,2,0.25,2.035975576036535,Naive,pa_trento
2015-03-01,2015-03-15,2,0.3,2.5130695435206416,Naive,pa_trento
2015-03-01,2015-03-15,2,0.35,2.955168205609274,Naive,pa_trento
2015-03-01,2015-03-15,2,0.4,3.374676603008961,Naive,pa_trento
2015-03-01,2015-03-15,2,0.45,3.780555832424288,Naive,pa_trento
2015-03-01,2015-03-15,2,0.5,4.18,Naive,pa_trento
2015-03-01,2015-03-15,2,0.55,4.579444167575711,Naive,pa_trento
2015-03-01,2015-03-15,2,0.6,4.985323396991038,Naive,pa_trento
2015-03-01,2015-03-15,2,0.65,5.404831794390725,Naive,pa_trento
2015-03-01,2015-03-15,2,0.7,5.846930456479358,Naive,pa_trento
2015-03-01,2015-03-15,2,0.75,6.324024423963465,Naive,pa_trento
2015-03-01,2015-03-15,2,0.8,6.855291181195878,Naive,pa_trento
2015-03-01,2015-03-15,2,0.85,7.474547471240183,Naive,pa_trento
2015-03-01,2015-03-15,2,0.9,8.253713286669601,Naive,pa_trento
2015-03-01,2015-03-15,2,0.95,9.40855439834871,Naive,pa_trento
2015-03-01,2015-03-15,2,0.975,10.410206836680612,Naive,pa_trento
2015-03-01,2015-03-15,2,0.99,11.5748442643184,Naive,pa_trento
2015-03-01,2015-03-29,4,0.01,-6.277889050235972,Naive,pa_trento
2015-03-01,2015-03-29,4,0.025,-4.6308430048233,Naive,pa_trento
2015-03-01,2015-03-29,4,0.05,-3.214292541750244,Naive,pa_trento
2015-03-01,2015-03-29,4,0.1,-1.581100579227626,Naive,pa_trento
2015-03-01,2015-03-29,4,0.15,-0.4791937157098518,Naive,pa_trento
2015-03-01,2015-03-29,4,0.2,0.3965669282556519,Naive,pa_trento
2015-03-01,2015-03-29,4,0.25,1.1478915815717057,Naive,pa_trento
2015-03-01,2015-03-29,4,0.3,1.822604340914118,Naive,pa_trento
2015-03-01,2015-03-29,4,0.35,2.447826264746862,Naive,pa_trento
2015-03-01,2015-03-29,4,0.4,3.041100729878901,Naive,pa_trento
2015-03-01,2015-03-29,4,0.45,3.615100640803597,Naive,pa_trento
2015-03-01,2015-03-29,4,0.5,4.18,Naive,pa_trento
2015-03-01,2015-03-29,4,0.55,4.744899359196403,Naive,pa_trento
2015-03-01,2015-03-29,4,0.6,5.318899270121099,Naive,pa_trento
2015-03-01,2015-03-29,4,0.65,5.912173735253138,Naive,pa_trento
2015-03-01,2015-03-29,4,0.7,6.537395659085881,Naive,pa_trento
2015-03-01,2015-03-29,4,0.75,7.212108418428293,Naive,pa_trento
2015-03-01,2015-03-29,4,0.8,7.963433071744348,Naive,pa_trento
2015-03-01,2015-03-29,4,0.85,8.83919371570985,Naive,pa_trento
2015-03-01,2015-03-29,4,0.9,9.941100579227626,Naive,pa_trento
2015-03-01,2015-03-29,4,0.95,11.574292541750244,Naive,pa_trento
2015-03-01,2015-03-29,4,0.975,12.9908430048233,Naive,pa_trento
2015-03-01,2015-03-29,4,0.99,14.637889050235971,Naive,pa_trento
2015-03-01,2015-04-26,8,0.01,-10.6096885286368,Naive,pa_trento
2015-03-01,2015-04-26,8,0.025,-8.280413673361226,Naive,pa_trento
2015-03-01,2015-04-26,8,0.05,-6.277108796697421,Naive,pa_trento
2015-03-01,2015-04-26,8,0.1,-3.9674265733392033,Naive,pa_trento
2015-03-01,2015-04-26,8,0.15,-2.409094942480367,Naive,pa_trento
2015-03-01,2015-04-26,8,0.2,-1.170582362391757,Naive,pa_trento
2015-03-01,2015-04-26,8,0.25,-0.1080488479269297,Naive,pa_trento
2015-03-01,2015-04-26,8,0.3,0.8461390870412839,Naive,pa_trento
2015-03-01,2015-04-26,8,0.35,1.7303364112185484,Naive,pa_trento
2015-03-01,2015-04-26,8,0.4,2.5693532060179227,Naive,pa_trento
2015-03-01,2015-04-26,8,0.45,3.3811116648485764,Naive,pa_trento
2015-03-01,2015-04-26,8,0.5,4.18,Naive,pa_trento
2015-03-01,2015-04-26,8,0.55,4.978888335151423,Naive,pa_trento
2015-03-01,2015-04-26,8,0.6,5.790646793982077,Naive,pa_trento
2015-03-01,2015-04-26,8,0.65,6.629663588781451,Naive,pa_trento
2015-03-01,2015-04-26,8,0.7,7.513860912958716,Naive,pa_trento
2015-03-01,2015-04-26,8,0.75,8.46804884792693,Naive,pa_trento
2015-03-01,2015-04-26,8,0.8,9.530582362391756,Naive,pa_trento
2015-03-01,2015-04-26,8,0.85,10.769094942480368,Naive,pa_trento
2015-03-01,2015-04-26,8,0.9,12.327426573339205,Naive,pa_trento
2015-03-01,2015-04-26,8,0.95,14.63710879669742,Naive,pa_trento
2015-03-01,2015-04-26,8,0.975,16.640413673361223,Naive,pa_trento
2015-03-01,2015-04-26,8,0.99,18.9696885286368,Naive,pa_trento
2015-04-26,2015-05-03,1,0.01,-4.041953170565051,Naive,pa_trento
2015-04-26,2015-05-03,1,0.025,-3.2337056232618533,Naive,pa_trento
2015-04-26,2015-05-03,1,0.05,-2.5385681432874287,Naive,pa_trento
2015-04-26,2015-05-03,1,0.1,-1.7371191481845225,Naive,pa_trento
2015-04-26,2015-05-03,1,0.15,-1.1963853160762314,Naive,pa_trento
2015-04-26,2015-05-03,1,0.2,-0.7666272079278718,Naive,pa_trento
2015-04-26,2015-05-03,1,0.25,-0.3979330175241202,Naive,pa_trento
2015-04-26,2015-05-03,1,0.3,-0.0668342395685579,Naive,pa_trento
2015-04-26,2015-05-03,1,0.35,0.2399781217891896,Naive,pa_trento
2015-04-26,2015-05-03,1,0.4,0.5311130494714598,Naive,pa_trento
2015-04-26,2015-05-03,1,0.45,0.8127894612811245,Naive,pa_trento
2015-04-26,2015-05-03,1,0.5,1.09,Naive,pa_trento
2015-04-26,2015-05-03,1,0.55,1.3672105387188758,Naive,pa_trento
2015-04-26,2015-05-03,1,0.6,1.6488869505285404,Naive,pa_trento
2015-04-26,2015-05-03,1,0.65,1.9400218782108103,Naive,pa_trento
2015-04-26,2015-05-03,1,0.7,2.246834239568558,Naive,pa_trento
