model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2017-12-24,2018-01-28,5.0,24.43,8.72922228707732,15.70077771292268,-0.6426843108032206,pa_trento
ARIMA,2018-2019,latest,2019-02-03,2019-03-03,4.0,17.85,8.697152775073507,9.152847224926495,-0.5127645504160501,pa_trento
ARIMA,2019-2020,latest,2020-02-23,2020-02-16,-1.0,12.78,9.578238605770297,3.2017613942297025,-0.2505290605813539,pa_trento
ARIMA,2020-2021,latest,2021-03-21,2021-04-04,2.0,2.06,8.647393956417387,6.587393956417387,3.1977640565132943,pa_trento
ARIMA,2021-2022,latest,2022-04-10,2021-12-05,-18.0,5.67,7.78050844082815,2.1105084408281503,0.3722237109044357,pa_trento
ARIMA,2022-2023,latest,2022-12-11,2023-01-15,5.0,13.42,6.456930718886806,6.963069281113194,-0.518857621543457,pa_trento
ARIMA,2023-2024,latest,2023-12-31,2024-01-07,1.0,16.65,16.050930271322187,0.5990697286778115,-0.035980163884553246,pa_trento
ARIMA,2024-2025,latest,2025-02-02,2025-02-02,0.0,10.2951269732327,8.225667040721936,2.069459932510764,-0.20101354144454495,pa_trento
CatBoost,2017-2018,latest,2017-12-24,2018-01-28,5.0,24.43,11.631821498175963,12.798178501824037,-0.523871408179453,pa_trento
CatBoost,2018-2019,latest,2019-02-03,2018-12-30,-5.0,17.85,11.760470785535922,6.089529214464079,-0.3411500960484078,pa_trento
CatBoost,2019-2020,latest,2020-02-23,2020-01-12,-6.0,12.78,13.509581714575608,0.7295817145756089,0.057087771093553126,pa_trento
CatBoost,2020-2021,latest,2021-03-21,2021-04-04,2.0,2.06,13.247590404230618,11.187590404230617,5.43086912826729,pa_trento
CatBoost,2021-2022,latest,2022-04-10,2022-03-27,-2.0,5.67,12.719370846108546,7.0493708461085465,1.2432752815006256,pa_trento
CatBoost,2022-2023,latest,2022-12-11,2022-11-13,-4.0,13.42,7.694776913466742,5.725223086533258,-0.42661870987580164,pa_trento
CatBoost,2023-2024,latest,2023-12-31,2024-01-07,1.0,16.65,14.504829207126557,2.145170792873442,-0.12883908665906557,pa_trento
CatBoost,2024-2025,latest,2025-02-02,2025-02-02,0.0,10.2951269732327,8.694067655003028,1.6010593182296713,-0.15551622844404162,pa_trento
Chronos-Bolt-small,2017-2018,latest,2017-12-24,2018-01-28,5.0,24.43,11.113237380981444,13.316762619018556,-0.5450987564068177,pa_trento
Chronos-Bolt-small,2018-2019,latest,2019-02-03,2019-03-03,4.0,17.85,9.147834777832031,8.70216522216797,-0.4875162589449843,pa_trento
Chronos-Bolt-small,2019-2020,latest,2020-02-23,2020-02-16,-1.0,12.78,9.546271324157717,3.2337286758422827,-0.25303041282020994,pa_trento
Chronos-Bolt-small,2020-2021,latest,2021-03-21,2021-04-04,2.0,2.06,10.46630859375,8.40630859375,4.080732327063107,pa_trento
Chronos-Bolt-small,2021-2022,latest,2022-04-10,2022-04-24,2.0,5.67,4.908198833465576,0.7618011665344238,-0.1343564667609213,pa_trento
Chronos-Bolt-small,2022-2023,latest,2022-12-11,2023-04-30,20.0,13.42,6.144023895263672,7.275976104736328,-0.5421740763588918,pa_trento
Chronos-Bolt-small,2023-2024,latest,2023-12-31,2024-01-07,1.0,16.65,16.070066452026367,0.5799335479736314,-0.03483084372214003,pa_trento
Chronos-Bolt-small,2024-2025,latest,2025-02-02,2024-11-03,-13.0,10.2951269732327,10.215227127075195,0.07989984615750423,-0.007760938390098888,pa_trento
Chronos-V2,2017-2018,latest,2017-12-24,2018-01-28,5.0,24.43,10.103336334228516,14.326663665771484,-0.5864373174691562,pa_trento
