origin,target_date,horizon,quantile,value,model,region
2015-01-04,2015-01-11,1,0.01,8.579243661077891,Naive,piemonte
2015-01-04,2015-01-11,1,0.025,9.152637899774415,Naive,piemonte
2015-01-04,2015-01-11,1,0.05,9.645788577990867,Naive,piemonte
2015-01-04,2015-01-11,1,0.1,10.214359726687142,Naive,piemonte
2015-01-04,2015-01-11,1,0.15,10.597971981414936,Naive,piemonte
2015-01-04,2015-01-11,1,0.2,10.90285484071664,Naive,piemonte
2015-01-04,2015-01-11,1,0.25,11.164417186712951,Naive,piemonte
2015-01-04,2015-01-11,1,0.3,11.399308257341788,Naive,piemonte
2015-01-04,2015-01-11,1,0.35,11.61696984004674,Naive,piemonte
2015-01-04,2015-01-11,1,0.4,11.82350939686116,Naive,piemonte
2015-01-04,2015-01-11,1,0.45,12.023338808341926,Naive,piemonte
2015-01-04,2015-01-11,1,0.5,12.22,Naive,piemonte
2015-01-04,2015-01-11,1,0.55,12.416661191658076,Naive,piemonte
2015-01-04,2015-01-11,1,0.6,12.616490603138844,Naive,piemonte
2015-01-04,2015-01-11,1,0.65,12.82303015995326,Naive,piemonte
2015-01-04,2015-01-11,1,0.7,13.040691742658211,Naive,piemonte
2015-01-04,2015-01-11,1,0.75,13.275582813287048,Naive,piemonte
2015-01-04,2015-01-11,1,0.8,13.537145159283362,Naive,piemonte
2015-01-04,2015-01-11,1,0.85,13.842028018585063,Naive,piemonte
2015-01-04,2015-01-11,1,0.9,14.22564027331286,Naive,piemonte
2015-01-04,2015-01-11,1,0.95,14.794211422009134,Naive,piemonte
2015-01-04,2015-01-11,1,0.975,15.287362100225586,Naive,piemonte
2015-01-04,2015-01-11,1,0.99,15.86075633892211,Naive,piemonte
2015-01-04,2015-01-18,2,0.01,7.071193008200536,Naive,piemonte
2015-01-04,2015-01-18,2,0.025,7.882094917151758,Naive,piemonte
2015-01-04,2015-01-18,2,0.05,8.579515294578954,Naive,piemonte
2015-01-04,2015-01-18,2,0.1,9.383596324239276,Naive,piemonte
2015-01-04,2015-01-18,2,0.15,9.926105977567843,Naive,piemonte
2015-01-04,2015-01-18,2,0.2,10.3572754521274,Naive,piemonte
2015-01-04,2015-01-18,2,0.25,10.72718046924151,Naive,piemonte
2015-01-04,2015-01-18,2,0.3,11.059366607005147,Naive,piemonte
2015-01-04,2015-01-18,2,0.35,11.367186569274082,Naive,piemonte
2015-01-04,2015-01-18,2,0.4,11.659277611687562,Naive,piemonte
2015-01-04,2015-01-18,2,0.45,11.941879075564696,Naive,piemonte
2015-01-04,2015-01-18,2,0.5,12.22,Naive,piemonte
2015-01-04,2015-01-18,2,0.55,12.498120924435304,Naive,piemonte
2015-01-04,2015-01-18,2,0.6,12.78072238831244,Naive,piemonte
2015-01-04,2015-01-18,2,0.65,13.07281343072592,Naive,piemonte
2015-01-04,2015-01-18,2,0.7,13.380633392994854,Naive,piemonte
2015-01-04,2015-01-18,2,0.75,13.712819530758493,Naive,piemonte
2015-01-04,2015-01-18,2,0.8,14.0827245478726,Naive,piemonte
2015-01-04,2015-01-18,2,0.85,14.513894022432158,Naive,piemonte
2015-01-04,2015-01-18,2,0.9,15.056403675760723,Naive,piemonte
2015-01-04,2015-01-18,2,0.95,15.860484705421047,Naive,piemonte
