model,horizon,MAE,RMSE,sMAPE,MASE,WIS,CRPS,PinballLoss,Coverage95,Coverage95_Dist,region
ARIMA,1,1.2568649932130178,1.6727752422887983,21.362862818161997,0.5654696283706256,0.8297790503518788,0.9199789163872691,0.4148895251759394,0.8695652173913043,0.08043478260869563,piemonte
ARIMA,2,1.6997181313785579,2.3323489181473174,28.32667717316114,0.7647113932487022,1.1422462334870358,1.265558018712187,0.5711231167435179,0.9130434782608695,0.036956521739130443,piemonte
ARIMA,4,2.5457231043448436,3.9496027266516958,36.59009721130012,1.1453331149500938,1.8124198205694362,1.9860593573498562,0.9062099102847181,0.8260869565217391,0.12391304347826082,piemonte
ARIMA,8,4.04366254305994,4.787196318258584,75.82584972952591,1.8192633002173115,2.5484871251761056,2.864682358295976,1.2742435625880526,0.782608695652174,0.167391304347826,piemonte
CatBoost,1,1.442958567885646,1.9360127702507544,22.76939298471909,0.6491940260430316,1.0406520117081426,1.163791168851713,0.5203260058540713,0.8695652173913043,0.08043478260869563,piemonte
CatBoost,2,1.8819971951872494,2.6736029776045016,29.346409997195476,0.8467196240676325,1.3770644752865533,1.5135166655745036,0.6885322376432766,0.8695652173913043,0.08043478260869563,piemonte
CatBoost,4,2.6149435974875503,4.33581896293679,39.033944726281504,1.1764757489994169,2.00869123229192,2.170574553172009,1.00434561614596,0.8695652173913043,0.08043478260869563,piemonte
CatBoost,8,3.5903328243806354,4.978780774063365,52.734872289284105,1.6153080711869963,2.6224322982889627,2.868269669273305,1.3112161491444814,0.8695652173913043,0.08043478260869563,piemonte
Chronos-Bolt-small,1,1.204796842251112,1.603293743167723,20.24215331982773,0.5420439158769494,0.7846232962967704,0.8754400957925093,0.3923116481483852,0.8695652173913043,0.08043478260869563,piemonte
Chronos-Bolt-small,2,1.4350019633372089,1.922112639391132,23.25551383211707,0.6456143112435963,0.9416274815612335,1.0572777240880407,0.4708137407806168,0.9565217391304348,0.006521739130434856,piemonte
Chronos-Bolt-small,4,2.6117504043008175,3.4634195739173195,42.39057915155552,1.1750391159685283,1.739211494302883,1.9122462179385555,0.8696057471514415,0.8695652173913043,0.08043478260869563,piemonte
Chronos-Bolt-small,8,3.6136562942664674,4.479438954442791,59.35672902679946,1.6258014128902603,2.3574607324657126,2.5989373841444783,1.1787303662328563,0.8260869565217391,0.12391304347826082,piemonte
Chronos-V2,1,1.3492166118699342,1.771418776969989,22.70719693337951,0.607019067461815,0.8571934876622904,0.9556372864919633,0.4285967438311452,0.9565217391304348,0.006521739130434856,piemonte
Chronos-V2,2,1.5053604660983861,2.0531237229441612,25.09261245100732,0.6772689413143802,0.9911949238135392,1.1080721469791583,0.4955974619067696,1.0,0.050000000000000044,piemonte
Chronos-V2,4,2.6786018079502356,3.6464513605140088,41.660555956238795,1.2051158852172714,1.6770050674336796,1.8718630768057003,0.8385025337168398,0.9130434782608695,0.036956521739130443,piemonte
Chronos-V2,8,3.4211141738215867,4.178359070006465,55.06790814228947,1.5391757833424682,2.0824849768743396,2.3299178673945558,1.04124248843717,0.9565217391304348,0.006521739130434856,piemonte
Drift,1,1.1317918401451823,1.7129879923688698,19.17112529191252,0.5091986129741259,0.8128206268134772,0.8953101402187766,0.4064103134067386,0.9130434782608695,0.036956521739130443,piemonte
Drift,2,2.171450657941213,2.8314065660027588,32.69160171488416,0.9769461343912708,1.4390006496944447,1.5983686728519622,0.7195003248472223,0.8695652173913043,0.08043478260869563,piemonte
Drift,4,3.7604327789973206,4.770722079637261,54.44992011057713,1.6918368619818365,2.513925958273106,2.7804382280668314,1.256962979136553,0.7391304347826086,0.2108695652173913,piemonte
Drift,8,4.644393494982231,5.743677662790682,67.15660236729076,2.089535055710988,2.9832208498880295,3.345618128166911,1.4916104249440147,0.782608695652174,0.167391304347826,piemonte
ETS,1,1.1303687652034717,1.7069081148373833,19.141868508526674,0.5085583646874937,0.8104790468291856,0.8929871651515906,0.4052395234145928,0.9130434782608695,0.036956521739130443,piemonte
ETS,2,2.150512782460622,2.812506217061661,32.30503728686957,0.9675260831281566,1.4266556531987575,1.5846301407940901,0.7133278265993787,0.8695652173913043,0.08043478260869563,piemonte
ETS,4,3.7144562260411123,4.7258254682597896,53.72901367654478,1.6711517888400917,2.482057266569239,2.7453164441730844,1.2410286332846194,0.7391304347826086,0.2108695652173913,piemonte
ETS,8,4.558579339291144,5.639266747760852,65.6567244273156,2.0509268527698516,2.9259107288294453,3.282089289214366,1.4629553644147222,0.8260869565217391,0.12391304347826082,piemonte
LightGBM,1,1.5462180595213895,2.099484049773834,26.140916970951274,0.6956509698486957,1.16469275602969,1.2746585480527879,0.582346378014845,0.782608695652174,0.167391304347826,piemonte
LightGBM,2,1.8815961996351018,2.811143023511733,30.47559919161377,0.8465392142327849,1.4632047940066064,1.5807230748714716,0.7316023970033032,0.8695652173913043,0.08043478260869563,piemonte
LightGBM,4,3.4131548020244113,4.879967666618177,47.36371714167677,1.5355948235444659,2.502237310300005,2.7183866646313075,1.2511186551500024,0.8695652173913043,0.08043478260869563,piemonte
LightGBM,8,4.739011032800408,6.119039817305793,68.78992254742855,2.1321039427722894,3.382772604934663,3.728195591004137,1.6913863024673315,0.8260869565217391,0.12391304347826082,piemonte
MovingAverage,1,3.1952549550567007,3.705421666939777,51.85482735868572,1.4375606304113897,2.0286052170921307,2.2492099325090624,1.0143026085460654,0.7391304347826086,0.2108695652173913,piemonte
MovingAverage,2,2.7804368798814605,3.2942226512169466,46.38469028249863,1.2509319757210238,1.7357434780863001,1.9040395380331596,0.8678717390431502,0.8260869565217391,0.12391304347826082,piemonte
MovingAverage,4,2.92012556239944,4.174320330626926,45.40480592673352,1.3137785883783601,2.071893010132529,2.246109493073813,1.0359465050662642,0.8695652173913043,0.08043478260869563,piemonte
MovingAverage,8,3.5395382817806365,3.9484859835168598,57.73055929329378,1.5924553612441,2.0774418310186062,2.33208207186764,1.038720915509303,0.8260869565217391,0.12391304347826082,piemonte
Naive,1,1.130365177099652,1.7068958937333878,19.14203975263987,0.5085567503822624,0.8102545624295976,0.8925456660458084,0.40512728121479885,0.9130434782608695,0.036956521739130443,piemonte
Naive,2,2.150479892861235,2.8124492838236232,32.30527484027832,0.967511285938607,1.427619151540105,1.5853348456228071,0.7138095757700526,0.8695652173913043,0.08043478260869563,piemonte
Naive,4,3.7144071844716735,4.725758536345087,53.72852834438638,1.6711297248012371,2.4852179536695336,2.747784503139932,1.2426089768347668,0.7391304347826086,0.2108695652173913,piemonte
Naive,8,4.558531056778653,5.639212219695861,65.65648414828031,2.0509051302343826,2.92868189562242,3.2846239628638014,1.46434094781121,0.8260869565217391,0.12391304347826082,piemonte
Prophet,1,3.337457792914651,4.257305296253356,49.856224490240166,1.5015383736940806,2.218961752661247,2.4621024464376715,1.1094808763306234,0.782608695652174,0.167391304347826,piemonte
Prophet,2,3.3711660924523414,4.22240958295938,51.4486562009156,1.5167039003938547,2.1881339988645916,2.4209039469665314,1.094066999432296,0.9130434782608695,0.036956521739130443,piemonte
Prophet,4,3.3770740921205022,4.889182606897234,50.50636151532508,1.5193619379673482,2.3410745740865138,2.5595573849228965,1.1705372870432569,0.8260869565217391,0.12391304347826082,piemonte
Prophet,8,3.9520182076249264,5.08587054845666,59.503611590116954,1.7780320712622957,2.757348100588908,3.0253222597267,1.378674050294454,0.6956521739130435,0.2543478260869565,piemonte
Ridge,1,1.3269444078749613,1.7841945332558433,22.774427090846313,0.596998695358176,0.9636381196439174,1.0636967813791138,0.4818190598219587,0.782608695652174,0.167391304347826,piemonte
Ridge,2,1.9456472852026654,2.578864722246085,37.19098811170874,0.8753561068570564,1.3800173419652837,1.520652432871597,0.6900086709826418,0.8695652173913043,0.08043478260869563,piemonte
Ridge,4,2.5587414434534232,3.954892933409002,47.59157634169186,1.1511901285653054,1.9272611244726132,2.0941803394159337,0.9636305622363066,0.8695652173913043,0.08043478260869563,piemonte
Ridge,8,3.5175064255784005,4.554044866981919,60.92788423119988,1.5825431227727704,2.5084551058800195,2.805115510079673,1.2542275529400098,0.8260869565217391,0.12391304347826082,piemonte
SARIMA,1,1.3172514822141341,1.7200170911542894,21.87994840029065,0.5926378013076221,0.8807658754164617,0.9766334474246389,0.44038293770823084,0.8260869565217391,0.12391304347826082,piemonte
SARIMA,2,1.9268515039740033,2.612054606776488,30.78102716549001,0.8668997941395411,1.2962419890409642,1.4401184156950035,0.6481209945204821,0.8695652173913043,0.08043478260869563,piemonte
SARIMA,4,2.8260260783329554,4.465311822782822,38.166510705060304,1.271442776201018,2.0689275928247275,2.264310675293281,1.0344637964123637,0.782608695652174,0.167391304347826,piemonte
SARIMA,8,4.464811030210587,5.358947777812078,73.86234222097217,2.008740037817533,2.8324049481056175,3.1836920700958977,1.4162024740528087,0.782608695652174,0.167391304347826,piemonte
SeasonalNaive,1,4.295644867099733,5.71061528063714,58.81496748806656,1.9326313643293482,2.9168914871796487,3.2358753557333624,1.458445743589825,0.782608695652174,0.167391304347826,piemonte
SeasonalNaive,2,4.038240899199964,5.665974503285024,60.627253056960605,1.8168240764699612,2.7818135606635517,3.0402381546615023,1.3909067803317758,0.8695652173913043,0.08043478260869563,piemonte
SeasonalNaive,4,3.469518379360042,5.051449907889664,50.08115945774006,1.5609530691012472,2.3506686347382835,2.5883732585291344,1.1753343173691417,0.9565217391304348,0.006521739130434856,piemonte
SeasonalNaive,8,4.225954891137261,5.303326174026225,61.06594568395076,1.901277507692832,2.7610008387142466,3.084834320692546,1.3805004193571233,0.782608695652174,0.167391304347826,piemonte
TiRex,1,1.1611356718738688,1.5563547957467825,19.48410153433305,0.5224005445357429,0.7799842190529516,0.8517178246823317,0.38999210952647567,0.8260869565217391,0.12391304347826082,piemonte
TiRex,2,1.4748180297644384,2.069021545456056,24.298038457161926,0.6635277517542031,0.9991481753081035,1.0943328437784843,0.49957408765405165,0.8695652173913043,0.08043478260869563,piemonte
TiRex,4,2.688720937628713,3.896655796395439,42.58923827991396,1.2096685305130044,1.8649240047245872,2.0194658204829365,0.9324620023622936,0.782608695652174,0.167391304347826,piemonte
TiRex,8,3.6817348279755917,4.81413622944794,59.30454734514375,1.6564302738772343,2.562746340724673,2.770650007544608,1.2813731703623366,0.6521739130434783,0.2978260869565217,piemonte
TimeGPT,1,1.1496157997644072,1.5930783430654791,19.489198595502803,0.517217698457771,0.8288989073527059,0.92463119780422,0.41444945367635294,0.8695652173913043,0.08043478260869563,piemonte
TimeGPT,2,2.2277630834444606,2.8179549437987714,34.020464629339486,1.0022813664917107,1.4860267706884414,1.6518119054500773,0.7430133853442207,0.8260869565217391,0.12391304347826082,piemonte
TimeGPT,4,3.0862302336501792,4.510233944876973,43.034819269543775,1.3885098818983328,2.314654184972381,2.5379090434403513,1.1573270924861905,0.8695652173913043,0.08043478260869563,piemonte
TimeGPT,8,3.7222051972615064,4.3173549979684465,60.12564337340144,1.6746380884028234,2.313901421674124,2.588825647791721,1.156950710837062,0.8695652173913043,0.08043478260869563,piemonte
TimesFM,1,1.1671750821332814,1.6082737606011546,19.738703114977447,0.5251177043686678,0.8225834274465861,0.8897086370357109,0.41129171372329304,0.6521739130434783,0.2978260869565217,piemonte
TimesFM,2,1.6232533116423709,2.1498450289733353,27.27667257512925,0.7303095016906322,1.07459649943938,1.1792132658377144,0.5372982497196898,0.7391304347826086,0.2108695652173913,piemonte
TimesFM,4,2.3344722584261772,3.673514353088353,35.427677372587944,1.0502903394891954,1.6985612241456336,1.8291793038923592,0.8492806120728168,0.782608695652174,0.167391304347826,piemonte
TimesFM,8,3.291643402911699,4.2387960202286745,51.22096025021492,1.4809262584479004,2.190920297035705,2.3915415242142744,1.0954601485178528,0.7391304347826086,0.2108695652173913,piemonte
XGBoost,1,1.7264328265889601,2.468915963240978,28.3508287836742,0.7767304635977325,1.3647504524334308,1.4712788297800043,0.6823752262167154,0.8260869565217391,0.12391304347826082,piemonte
XGBoost,2,2.4273363109377315,3.374949996770137,36.71721702850856,1.092070325045527,1.8465249127731869,2.0067446917551934,0.9232624563865933,0.8260869565217391,0.12391304347826082,piemonte
XGBoost,4,3.52878775578309,4.98398930342112,52.89973949589631,1.5876186476961467,2.6987928863625714,2.930953484269364,1.3493964431812857,0.8260869565217391,0.12391304347826082,piemonte
XGBoost,8,4.193960102393302,5.668216208861099,63.41670534532312,1.886882897771688,3.0270942323766072,3.342210348986147,1.5135471161883036,0.8260869565217391,0.12391304347826082,piemonte
