model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2018-01-07,2018-01-28,3.0,18.07,10.572665018380707,7.497334981619293,-0.4149050902943715,piemonte
ARIMA,2018-2019,latest,2019-02-10,2019-03-03,3.0,14.53,9.030462268222484,5.499537731777515,-0.3784953703907443,piemonte
ARIMA,2019-2020,latest,2020-02-16,2020-02-16,0.0,11.5,10.36617248199824,1.1338275180017607,-0.09859369721754441,piemonte
ARIMA,2020-2021,latest,2020-12-06,2021-04-04,17.0,3.31,7.620923801018004,4.310923801018005,1.302393897588521,piemonte
ARIMA,2021-2022,latest,2022-01-16,2022-02-06,3.0,10.88,8.353535842561465,2.526464157438536,-0.232211779176336,piemonte
ARIMA,2022-2023,latest,2022-12-18,2022-11-20,-4.0,21.28,8.502907658282567,12.777092341717434,-0.6004272716972479,piemonte
ARIMA,2023-2024,latest,2023-12-24,2024-01-07,2.0,16.39,14.367125209919967,2.0228747900800332,-0.12342128066382142,piemonte
ARIMA,2024-2025,latest,2025-01-26,2025-03-23,8.0,14.8774728927401,15.100785492565162,0.22331259982506246,0.015010116397794575,piemonte
CatBoost,2017-2018,latest,2018-01-07,2018-01-28,3.0,18.07,8.906382092545764,9.163617907454237,-0.507117759128624,piemonte
CatBoost,2018-2019,latest,2019-02-10,2018-12-30,-6.0,14.53,12.255784946916208,2.2742150530837915,-0.15651858589702625,piemonte
CatBoost,2019-2020,latest,2020-02-16,2020-02-16,0.0,11.5,9.727514824493513,1.7724851755064872,-0.15412914569621627,piemonte
CatBoost,2020-2021,latest,2020-12-06,2021-04-04,17.0,3.31,12.648981528806509,9.338981528806508,2.8214445706364075,piemonte
CatBoost,2021-2022,latest,2022-01-16,2022-02-06,3.0,10.88,9.063149830625338,1.8168501693746624,-0.16698990527340646,piemonte
CatBoost,2022-2023,latest,2022-12-18,2023-01-15,4.0,21.28,8.351797846271609,12.928202153728392,-0.6075282966977628,piemonte
CatBoost,2023-2024,latest,2023-12-24,2024-01-07,2.0,16.39,11.439644105006249,4.950355894993752,-0.3020351369733833,piemonte
CatBoost,2024-2025,latest,2025-01-26,2025-02-02,1.0,14.8774728927401,14.734220131388456,0.14325276135164344,-0.00962883699297801,piemonte
Chronos-Bolt-small,2017-2018,latest,2018-01-07,2018-01-28,3.0,18.07,10.58137321472168,7.488626785278321,-0.41442317572099174,piemonte
Chronos-Bolt-small,2018-2019,latest,2019-02-10,2019-03-03,3.0,14.53,8.60401439666748,5.925985603332519,-0.4078448453773241,piemonte
Chronos-Bolt-small,2019-2020,latest,2020-02-16,2020-02-16,0.0,11.5,10.787775039672852,0.7122249603271484,-0.061932605245839,piemonte
Chronos-Bolt-small,2020-2021,latest,2020-12-06,2021-04-04,17.0,3.31,8.592683792114258,5.282683792114257,1.5959769764695642,piemonte
Chronos-Bolt-small,2021-2022,latest,2022-01-16,2022-02-06,3.0,10.88,9.501960754394531,1.3780392456054695,-0.12665801889756154,piemonte
Chronos-Bolt-small,2022-2023,latest,2022-12-18,2022-12-11,-1.0,21.28,10.643884658813477,10.636115341186525,-0.49981745024372765,piemonte
Chronos-Bolt-small,2023-2024,latest,2023-12-24,2024-01-07,2.0,16.39,14.148604393005373,2.2413956069946277,-0.13675385033524268,piemonte
Chronos-Bolt-small,2024-2025,latest,2025-01-26,2025-02-02,1.0,14.8774728927401,13.915576934814451,0.9618959579256483,-0.06465452599782814,piemonte
Chronos-V2,2017-2018,latest,2018-01-07,2018-01-28,3.0,18.07,10.445856094360352,7.624143905639649,-0.42192273965908406,piemonte
Chronos-V2,2018-2019,latest,2019-02-10,2019-03-03,3.0,14.53,9.354802131652832,5.175197868347167,-0.3561732875669076,piemonte
Chronos-V2,2019-2020,latest,2020-02-16,2020-02-16,0.0,11.5,10.534173965454102,0.9658260345458984,-0.08398487256920856,piemonte
Chronos-V2,2020-2021,latest,2020-12-06,2021-04-04,17.0,3.31,6.921455383300781,3.611455383300781,1.0910741339277283,piemonte
Chronos-V2,2021-2022,latest,2022-01-16,2022-02-06,3.0,10.88,9.25950050354004,1.62049949645996,-0.14894296842462865,piemonte
Chronos-V2,2022-2023,latest,2022-12-18,2022-11-20,-4.0,21.28,9.3817777633667,11.898222236633302,-0.5591269848041965,piemonte
Chronos-V2,2023-2024,latest,2023-12-24,2024-01-07,2.0,16.39,13.78797435760498,2.60202564239502,-0.15875690313575472,piemonte
Chronos-V2,2024-2025,latest,2025-01-26,2025-02-02,1.0,14.8774728927401,13.750383377075195,1.1270895156649043,-0.07575812934029279,piemonte
Drift,2017-2018,latest,2018-01-07,2018-03-18,10.0,18.07,12.55897435897436,5.51102564102564,-0.30498204986306804,piemonte
Drift,2018-2019,latest,2019-02-10,2019-04-21,10.0,14.53,10.8331914893617,3.6968085106382986,-0.2544259126385615,piemonte
Drift,2019-2020,latest,2020-02-16,2020-03-08,3.0,11.5,10.969245283018868,0.5307547169811322,-0.04615258408531584,piemonte
Drift,2020-2021,latest,2020-12-06,2020-12-13,1.0,3.31,11.068490566037736,7.758490566037736,2.3439548537878356,piemonte
Drift,2021-2022,latest,2022-01-16,2022-03-27,10.0,10.88,9.262380952380951,1.6176190476190495,-0.14867822128851557,piemonte
Drift,2022-2023,latest,2022-12-18,2023-03-05,11.0,21.28,10.981304347826088,10.298695652173913,-0.4839612618502779,piemonte
Drift,2023-2024,latest,2023-12-24,2024-02-25,9.0,16.39,15.209333333333332,1.180666666666669,-0.07203579418344533,piemonte
Drift,2024-2025,latest,2025-01-26,2025-03-23,8.0,14.8774728927401,15.100785492565162,0.22331259982506246,0.015010116397794575,piemonte
ETS,2017-2018,latest,2018-01-07,2018-01-28,3.0,18.07,12.22036802169641,5.84963197830359,-0.3237206407472933,piemonte
ETS,2018-2019,latest,2019-02-10,2019-03-03,3.0,14.53,10.62020801829912,3.909791981700879,-0.2690841005988217,piemonte
ETS,2019-2020,latest,2020-02-16,2020-02-16,0.0,11.5,10.869997988398328,0.6300020116016718,-0.054782783617536676,piemonte
ETS,2020-2021,latest,2020-12-06,2020-12-13,1.0,3.31,10.869997988398328,7.559997988398328,2.2839873076732107,piemonte
ETS,2021-2022,latest,2022-01-16,2022-02-06,3.0,10.88,9.14989602769828,1.7301039723017215,-0.1590169092189082,piemonte
ETS,2022-2023,latest,2022-12-18,2023-01-15,4.0,21.28,10.83026201300653,10.44973798699347,-0.4910591159301443,piemonte
ETS,2023-2024,latest,2023-12-24,2024-01-07,2.0,16.39,14.960142993696431,1.4298570063035694,-0.08723959770003474,piemonte
ETS,2024-2025,latest,2025-01-26,2025-02-02,1.0,14.8774728927401,14.877407036484088,6.58562560111875e-05,-4.426575432936866e-06,piemonte
LightGBM,2017-2018,latest,2018-01-07,2018-01-28,3.0,18.07,9.66045491664796,8.40954508335204,-0.4653871103127858,piemonte
LightGBM,2018-2019,latest,2019-02-10,2018-12-30,-6.0,14.53,12.502480618153898,2.0275193818461013,-0.1395402189845906,piemonte
LightGBM,2019-2020,latest,2020-02-16,2020-02-23,1.0,11.5,10.35361437767886,1.1463856223211408,-0.09968570628879485,piemonte
LightGBM,2020-2021,latest,2020-12-06,2021-04-04,17.0,3.31,13.656946478384548,10.346946478384547,3.1259657034394404,piemonte
LightGBM,2021-2022,latest,2022-01-16,2022-01-02,-2.0,10.88,13.044694059297106,2.164694059297105,0.19896085103833683,piemonte
LightGBM,2022-2023,latest,2022-12-18,2023-01-15,4.0,21.28,9.400168443487908,11.879831556512093,-0.5582627611142901,piemonte
LightGBM,2023-2024,latest,2023-12-24,2024-02-25,9.0,16.39,13.974793616799367,2.4152063832006334,-0.1473585346675188,piemonte
LightGBM,2024-2025,latest,2025-01-26,2025-02-23,4.0,14.8774728927401,15.15019152758546,0.27271863484535963,0.01833097844046086,piemonte
MovingAverage,2017-2018,latest,2018-01-07,2018-01-28,3.0,18.07,6.010192307692308,12.059807692307693,-0.66739389553446,piemonte
MovingAverage,2018-2019,latest,2019-02-10,2019-04-28,11.0,14.53,5.800192307692307,8.729807692307691,-0.6008126422785748,piemonte
MovingAverage,2019-2020,latest,2020-02-16,2019-11-03,-15.0,11.5,5.800192307692307,5.699807692307693,-0.49563545150501676,piemonte
MovingAverage,2020-2021,latest,2020-12-06,2020-12-20,2.0,3.31,5.33826923076923,2.02826923076923,0.6127701603532416,piemonte
MovingAverage,2021-2022,latest,2022-01-16,2022-04-03,11.0,10.88,5.169807692307692,5.710192307692309,-0.5248338518099549,piemonte
MovingAverage,2022-2023,latest,2022-12-18,2023-03-12,12.0,21.28,7.869038461538462,13.410961538461539,-0.6302143580104106,piemonte
MovingAverage,2023-2024,latest,2023-12-24,2024-03-03,10.0,16.39,9.41019230769231,6.979807692307691,-0.4258576993476322,piemonte
MovingAverage,2024-2025,latest,2025-01-26,2024-10-20,-14.0,14.8774728927401,9.108653846153846,5.768819046586254,-0.3877553054995865,piemonte
Naive,2017-2018,latest,2018-01-07,2018-01-28,3.0,18.07,12.22,5.85,-0.3237410071942446,piemonte
Naive,2018-2019,latest,2019-02-10,2019-03-03,3.0,14.53,10.62,3.91,-0.2690984170681349,piemonte
Naive,2019-2020,latest,2020-02-16,2020-02-16,0.0,11.5,10.87,0.6300000000000008,-0.05478260869565224,piemonte
Naive,2020-2021,latest,2020-12-06,2020-12-13,1.0,3.31,10.87,7.559999999999999,2.2839879154078546,piemonte
Naive,2021-2022,latest,2022-01-16,2022-02-06,3.0,10.88,9.15,1.7300000000000004,-0.1590073529411765,piemonte
Naive,2022-2023,latest,2022-12-18,2023-01-15,4.0,21.28,10.83,10.450000000000001,-0.4910714285714286,piemonte
