model,MAE,WIS,Coverage95_Dist
TimesFM,2.283522900316117,1.6261667687466537,0.19287890551477502
Chronos-V2,2.367688453364788,1.5587802169236522,0.03552430359495576
TiRex,2.4428458512227795,1.7423215191221268,0.1782173442499529
Chronos-Bolt-small,2.482622022399922,1.694439110128337,0.09976766892527758
TimeGPT,2.6128270755249043,1.900138975524256,0.08417090156220586
CatBoost,2.8264085917618393,2.0564925024781155,0.10161278938452846
ARIMA,2.8424878514277068,1.9758063144577103,0.09129787784679085
SARIMA,2.85234847315395,1.9850899519824576,0.09145315734989644
Ridge,2.870578485010805,2.078700453735768,0.1230431253529079
XGBoost,3.0346823781034913,2.2395242120801524,0.11241000846979102
Naive,3.1394011381070435,2.35867036159342,0.10974672971955576
ETS,3.1534365903748247,2.2593568800241832,0.07170678053830225
Drift,3.1880069137883087,2.393168736956911,0.11055547713156405
LightGBM,3.1955890787576715,2.2823658828915527,0.12351719838132875
MovingAverage,3.5648901597794973,2.4731242544614758,0.1142527762092979
Prophet,3.879548641229763,2.706452892508824,0.14932359307359303
SeasonalNaive,4.713803592057312,3.2792717310387367,0.10302971485036697
