region,model,MAE
abruzzo,TimesFM,2.624919286348506
basilicata,TimesFM,2.1915043394519693
calabria,Chronos-Bolt-small,1.6919054128974675
campania,TimeGPT,2.7519905344741975
emilia_romagna,TimesFM,2.373157390111965
friuli_venezia_giulia,TimeGPT,2.011085819782089
lazio,Chronos-V2,1.6505618452849689
liguria,TimesFM,2.003353249076243
lombardia,TimesFM,2.1092003445356604
marche,TimesFM,3.104348110300961
molise,TiRex,2.0445968831988512
pa_bolzano,TimesFM,2.2732115833604842
pa_trento,TimesFM,2.1575646761811464
piemonte,TimesFM,2.10413565485476
puglia,Chronos-V2,1.9107676130085385
sardegna,TimesFM,1.9701897255194218
sicilia,Chronos-Bolt-small,1.6369078972732056
toscana,Chronos-Bolt-small,2.293728490024484
umbria,TimesFM,3.0866696351141325
valle_d_aosta,TimesFM,3.2769959156454815
veneto,TimesFM,1.791440417301844
