model,horizon,MAE,RMSE,sMAPE,MASE,WIS,CRPS,PinballLoss,Coverage95,Coverage95_Dist,region
ARIMA,1,1.0453959606563734,1.3376401048468431,27.22215996512344,0.5977303859929783,0.6938428646560579,0.7687836490283041,0.34692143232802897,0.8260869565217391,0.12391304347826082,puglia
ARIMA,2,1.6092161946317958,2.0927297611816678,37.279108524939545,0.9201082205822573,1.0676866323148821,1.1856990675941288,0.5338433161574411,0.782608695652174,0.167391304347826,puglia
ARIMA,4,3.0599953882201563,4.038347763242179,58.60280405596728,1.7496262596893521,2.1214829422058537,2.3472441082848534,1.0607414711029268,0.7391304347826086,0.2108695652173913,puglia
ARIMA,8,5.117485231571573,6.809801868453155,89.32646419525646,2.926045764382009,3.527526919251568,3.859129263266002,1.763763459625784,0.6956521739130435,0.2543478260869565,puglia
CatBoost,1,1.0903109867515777,1.2770533828378177,25.482737996708156,0.6234116368253564,0.6819743161451328,0.75508211500916,0.34098715807256647,0.8260869565217391,0.12391304347826082,puglia
CatBoost,2,1.6402829164854424,2.069670504354279,35.77292667221303,0.9378713690389028,1.096322264911272,1.2091521491702697,0.548161132455636,0.8695652173913043,0.08043478260869563,puglia
CatBoost,4,2.8680969762615716,3.8275196775613765,54.20394847234481,1.6399037084567785,2.0113173183367663,2.1981223474775926,1.0056586591683832,0.8695652173913043,0.08043478260869563,puglia
CatBoost,8,4.1633504980405025,6.244708507526321,70.88313801732137,2.380496188884558,3.089800540638759,3.357076400363961,1.5449002703193795,0.8260869565217391,0.12391304347826082,puglia
Chronos-Bolt-small,1,1.046392874994754,1.373264545818086,24.864753350153368,0.5983003958406422,0.6729296446078817,0.7499042382723008,0.33646482230394087,0.782608695652174,0.167391304347826,puglia
Chronos-Bolt-small,2,1.4555452090433465,1.818087288804771,34.546752907569264,0.8322431235389963,0.8839608533736982,0.9939952871128115,0.441980426686849,0.9565217391304348,0.006521739130434856,puglia
Chronos-Bolt-small,4,2.5130284681591757,3.028713477324258,52.12298653041822,1.4368847143248902,1.482244746721721,1.6711737300887646,0.7411223733608605,0.8695652173913043,0.08043478260869563,puglia
Chronos-Bolt-small,8,3.4425360070032305,4.84110010952788,64.70035768573817,1.9683530965327174,2.3556434144636915,2.583538996582445,1.177821707231846,0.8260869565217391,0.12391304347826082,puglia
Chronos-V2,1,0.999152858111672,1.335343727260173,21.89670631276341,0.5712897753786018,0.6246786727866447,0.6938184577706119,0.3123393363933224,0.9565217391304348,0.006521739130434856,puglia
Chronos-V2,2,1.4268358287276486,1.8026974043605757,32.97314493206267,0.8158278420346113,0.8748436677427746,0.9760007236219154,0.4374218338713874,1.0,0.050000000000000044,puglia
Chronos-V2,4,2.137972232265263,2.872316748725062,45.07494515491067,1.222437254140345,1.3231642794018001,1.4824183440837417,0.6615821397009002,1.0,0.050000000000000044,puglia
Chronos-V2,8,3.0791098231782774,4.370274794095233,54.01290651953878,1.7605553994751821,1.8608447543392133,2.0918017161878955,0.9304223771696065,1.0,0.050000000000000044,puglia
Drift,1,1.0642038620559455,1.3370145567883105,24.456864780857995,0.6084842578141643,0.6707758087960194,0.7443548598465581,0.33538790439800964,0.8695652173913043,0.08043478260869563,puglia
Drift,2,1.6151675309330988,2.112096831262874,32.200982780823686,0.9235110408326037,1.085423675882271,1.2010017130991886,0.5427118379411355,0.8260869565217391,0.12391304347826082,puglia
Drift,4,3.2901561627511065,4.2038126991104106,56.75363605967746,1.8812262407285452,2.3595353700569404,2.5790604804072212,1.1797676850284702,0.6086956521739131,0.3413043478260869,puglia
Drift,8,5.390714186904876,7.165361560124354,81.5020003965388,3.0822710178575354,4.073381224317906,4.39067685871394,2.036690612158953,0.6521739130434783,0.2978260869565217,puglia
ETS,1,1.0817563417851872,1.342894408368728,24.579298570966017,0.6185203119778958,0.7350019254433786,0.8126200260871815,0.3675009627216893,1.0,0.050000000000000044,puglia
ETS,2,1.609563125851566,2.111560900034513,31.94234950077151,0.920306586885276,1.095854016340516,1.2153716961067396,0.5479270081702579,1.0,0.050000000000000044,puglia
ETS,4,3.2957570269076233,4.173508920882838,56.10576815560459,1.8844286700664843,2.03231013495455,2.2655306168207225,1.016155067477275,0.9130434782608695,0.036956521739130443,puglia
ETS,8,5.326038373388418,7.04845159326385,78.37973694904743,3.045291059609629,3.5953988486056754,3.963999656104145,1.7976994243028377,0.8695652173913043,0.08043478260869563,puglia
LightGBM,1,1.3909166622516367,1.9436652066052513,34.65380300758135,0.7952901911824192,1.0388837566013327,1.1295435050150586,0.5194418783006665,0.8260869565217391,0.12391304347826082,puglia
LightGBM,2,1.7916488331686824,2.2578264457970887,44.94605183088295,1.0244184872700146,1.1464030078090008,1.277655451201724,0.5732015039045003,0.9130434782608695,0.036956521739130443,puglia
LightGBM,4,2.7735049310341466,3.6862943553536183,58.972841375573694,1.5858184222747334,1.966355520471744,2.1611743064990483,0.983177760235872,0.782608695652174,0.167391304347826,puglia
LightGBM,8,4.546383591762532,6.457762734551357,76.66107287988693,2.5995046101671524,3.304338390779879,3.6136812430754115,1.6521691953899396,0.782608695652174,0.167391304347826,puglia
MovingAverage,1,3.2929940556295465,4.418308706480428,66.36139026828481,1.8828488745146674,2.3066574067103045,2.498083847664782,1.1533287033551523,0.7391304347826086,0.2108695652173913,puglia
MovingAverage,2,2.9968261489738275,3.978638299664068,59.84931225561213,1.7135077216629726,2.038095818867615,2.239805295748667,1.0190479094338074,0.7391304347826086,0.2108695652173913,puglia
