origin,target_date,horizon,quantile,value,model,region
2015-01-04,2015-01-11,1,0.01,11.179356628189929,Naive,sardegna
2015-01-04,2015-01-11,1,0.025,12.160640372607247,Naive,sardegna
2015-01-04,2015-01-11,1,0.05,13.00459852813783,Naive,sardegna
2015-01-04,2015-01-11,1,0.1,13.977628231102162,Naive,sardegna
2015-01-04,2015-01-11,1,0.15,14.634126752223317,Naive,sardegna
2015-01-04,2015-01-11,1,0.2,15.15589096538378,Naive,sardegna
2015-01-04,2015-01-11,1,0.25,15.603518201508985,Naive,sardegna
2015-01-04,2015-01-11,1,0.3,16.005501294050745,Naive,sardegna
2015-01-04,2015-01-11,1,0.35,16.37799853674725,Naive,sardegna
2015-01-04,2015-01-11,1,0.4,16.731461993481442,Naive,sardegna
2015-01-04,2015-01-11,1,0.45,17.07344197847104,Naive,sardegna
2015-01-04,2015-01-11,1,0.5,17.41,Naive,sardegna
2015-01-04,2015-01-11,1,0.55,17.746558021528962,Naive,sardegna
2015-01-04,2015-01-11,1,0.6,18.08853800651856,Naive,sardegna
2015-01-04,2015-01-11,1,0.65,18.44200146325275,Naive,sardegna
2015-01-04,2015-01-11,1,0.7,18.81449870594925,Naive,sardegna
2015-01-04,2015-01-11,1,0.75,19.216481798491017,Naive,sardegna
2015-01-04,2015-01-11,1,0.8,19.66410903461622,Naive,sardegna
2015-01-04,2015-01-11,1,0.85,20.185873247776684,Naive,sardegna
2015-01-04,2015-01-11,1,0.9,20.84237176889784,Naive,sardegna
2015-01-04,2015-01-11,1,0.95,21.81540147186217,Naive,sardegna
2015-01-04,2015-01-11,1,0.975,22.65935962739276,Naive,sardegna
2015-01-04,2015-01-11,1,0.99,23.64064337181007,Naive,sardegna
2015-01-04,2015-01-18,2,0.01,8.598539641276163,Naive,sardegna
2015-01-04,2015-01-18,2,0.025,9.986284421167394,Naive,sardegna
2015-01-04,2015-01-18,2,0.05,11.179821490794126,Naive,sardegna
2015-01-04,2015-01-18,2,0.1,12.555893293318146,Naive,sardegna
2015-01-04,2015-01-18,2,0.15,13.484322405565564,Naive,sardegna
2015-01-04,2015-01-18,2,0.2,14.222208432178018,Naive,sardegna
2015-01-04,2015-01-18,2,0.25,14.855248940393864,Naive,sardegna
2015-01-04,2015-01-18,2,0.3,15.423738881711104,Naive,sardegna
2015-01-04,2015-01-18,2,0.35,15.950529534279076,Naive,sardegna
2015-01-04,2015-01-18,2,0.4,16.450402348595855,Naive,sardegna
2015-01-04,2015-01-18,2,0.45,16.934035081428284,Naive,sardegna
2015-01-04,2015-01-18,2,0.5,17.41,Naive,sardegna
2015-01-04,2015-01-18,2,0.55,17.885964918571716,Naive,sardegna
2015-01-04,2015-01-18,2,0.6,18.369597651404145,Naive,sardegna
2015-01-04,2015-01-18,2,0.65,18.869470465720923,Naive,sardegna
2015-01-04,2015-01-18,2,0.7,19.396261118288898,Naive,sardegna
2015-01-04,2015-01-18,2,0.75,19.964751059606137,Naive,sardegna
2015-01-04,2015-01-18,2,0.8,20.597791567821982,Naive,sardegna
2015-01-04,2015-01-18,2,0.85,21.33567759443444,Naive,sardegna
2015-01-04,2015-01-18,2,0.9,22.26410670668185,Naive,sardegna
2015-01-04,2015-01-18,2,0.95,23.640178509205874,Naive,sardegna
2015-01-04,2015-01-18,2,0.975,24.833715578832606,Naive,sardegna
2015-01-04,2015-01-18,2,0.99,26.22146035872384,Naive,sardegna
2015-01-04,2015-02-01,4,0.01,4.948713256379854,Naive,sardegna
2015-01-04,2015-02-01,4,0.025,6.911280745214496,Naive,sardegna
2015-01-04,2015-02-01,4,0.05,8.599197056275662,Naive,sardegna
2015-01-04,2015-02-01,4,0.1,10.545256462204325,Naive,sardegna
2015-01-04,2015-02-01,4,0.15,11.858253504446637,Naive,sardegna
2015-01-04,2015-02-01,4,0.2,12.90178193076756,Naive,sardegna
2015-01-04,2015-02-01,4,0.25,13.79703640301797,Naive,sardegna
2015-01-04,2015-02-01,4,0.3,14.601002588101494,Naive,sardegna
2015-01-04,2015-02-01,4,0.35,15.345997073494496,Naive,sardegna
2015-01-04,2015-02-01,4,0.4,16.052923986962888,Naive,sardegna
2015-01-04,2015-02-01,4,0.45,16.736883956942073,Naive,sardegna
2015-01-04,2015-02-01,4,0.5,17.41,Naive,sardegna
2015-01-04,2015-02-01,4,0.55,18.083116043057927,Naive,sardegna
2015-01-04,2015-02-01,4,0.6,18.767076013037112,Naive,sardegna
2015-01-04,2015-02-01,4,0.65,19.474002926505506,Naive,sardegna
