model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2018-01-21,2018-02-04,2.0,17.41,14.58521164050076,2.824788359499241,-0.16225091094194377,sardegna
ARIMA,2018-2019,latest,2019-03-24,2019-02-24,-4.0,8.19,9.035587274539598,0.8455872745395983,0.10324630946759442,sardegna
ARIMA,2019-2020,latest,2020-03-08,2020-02-23,-2.0,12.29,8.215695468845093,4.074304531154906,-0.3315137942355498,sardegna
ARIMA,2020-2021,latest,2020-12-06,2021-04-04,17.0,0.0,6.783811889342631,6.783811889342631,,sardegna
ARIMA,2021-2022,latest,2022-03-13,2021-12-05,-14.0,4.94,6.495477311371955,1.5554773113719547,0.31487394967043614,sardegna
ARIMA,2022-2023,latest,2023-01-01,2023-01-22,3.0,11.28,9.131340017523446,2.1486599824765538,-0.1904840409996945,sardegna
ARIMA,2023-2024,latest,2024-01-07,2024-01-07,0.0,20.23,16.227382889905055,4.0026171100949455,-0.19785551705857368,sardegna
ARIMA,2024-2025,latest,2025-01-26,2025-02-02,1.0,22.8517394901698,20.78889779567452,2.0628416944952797,-0.09027066387583574,sardegna
CatBoost,2017-2018,latest,2018-01-21,2018-01-28,1.0,17.41,9.724372186323492,7.685627813676508,-0.441449041566715,sardegna
CatBoost,2018-2019,latest,2019-03-24,2018-12-30,-12.0,8.19,10.69457582237452,2.5045758223745214,0.3058090137209428,sardegna
CatBoost,2019-2020,latest,2020-03-08,2020-02-09,-4.0,12.29,13.021396174508247,0.731396174508248,0.059511486941273235,sardegna
CatBoost,2020-2021,latest,2020-12-06,2021-04-04,17.0,0.0,13.580910711329455,13.580910711329455,,sardegna
CatBoost,2021-2022,latest,2022-03-13,2022-04-24,6.0,4.94,6.520887561728802,1.5808875617288018,0.32001772504631615,sardegna
CatBoost,2022-2023,latest,2023-01-01,2023-01-15,2.0,11.28,6.8828769735301965,4.397123026469803,-0.38981587114094,sardegna
CatBoost,2023-2024,latest,2024-01-07,2024-01-07,0.0,20.23,15.032180258930468,5.197819741069532,-0.25693622051752507,sardegna
CatBoost,2024-2025,latest,2025-01-26,2025-02-02,1.0,22.8517394901698,17.19219551971146,5.659543970458337,-0.24766359571414334,sardegna
Chronos-Bolt-small,2017-2018,latest,2018-01-21,2018-01-28,1.0,17.41,14.078411102294922,3.3315888977050783,-0.19136064892045251,sardegna
Chronos-Bolt-small,2018-2019,latest,2019-03-24,2018-12-30,-12.0,8.19,7.8764872550964355,0.31351274490356396,-0.03827994443266959,sardegna
Chronos-Bolt-small,2019-2020,latest,2020-03-08,2020-02-16,-3.0,12.29,8.485529899597168,3.804470100402831,-0.3095581855494574,sardegna
Chronos-Bolt-small,2020-2021,latest,2020-12-06,2021-04-04,17.0,0.0,6.767453670501709,6.767453670501709,,sardegna
Chronos-Bolt-small,2021-2022,latest,2022-03-13,2022-04-24,6.0,4.94,3.0921995639801025,1.8478004360198979,-0.3740486712590886,sardegna
Chronos-Bolt-small,2022-2023,latest,2023-01-01,2023-01-15,2.0,11.28,6.832881927490234,4.447118072509765,-0.3942480560735607,sardegna
Chronos-Bolt-small,2023-2024,latest,2024-01-07,2024-01-07,0.0,20.23,15.364535331726074,4.865464668273926,-0.24050739833286833,sardegna
Chronos-Bolt-small,2024-2025,latest,2025-01-26,2025-02-02,1.0,22.8517394901698,21.663612365722656,1.188127124447142,-0.051992852664815396,sardegna
Chronos-V2,2017-2018,latest,2018-01-21,2018-01-28,1.0,17.41,15.049032211303713,2.3609677886962874,-0.13560986724275056,sardegna
Chronos-V2,2018-2019,latest,2019-03-24,2018-12-30,-12.0,8.19,8.629255294799805,0.4392552947998052,0.053633125128181344,sardegna
Chronos-V2,2019-2020,latest,2020-03-08,2020-02-16,-3.0,12.29,8.592625617980957,3.697374382019042,-0.3008441319787667,sardegna
Chronos-V2,2020-2021,latest,2020-12-06,2021-04-04,17.0,0.0,4.978609561920166,4.978609561920166,,sardegna
Chronos-V2,2021-2022,latest,2022-03-13,2022-04-24,6.0,4.94,3.2433395385742188,1.6966604614257816,-0.3434535347015752,sardegna
Chronos-V2,2022-2023,latest,2023-01-01,2023-03-12,10.0,11.28,6.2381744384765625,5.041825561523437,-0.4469703511988863,sardegna
Chronos-V2,2023-2024,latest,2024-01-07,2024-01-07,0.0,20.23,14.52324676513672,5.70675323486328,-0.2820935855098013,sardegna
Chronos-V2,2024-2025,latest,2025-01-26,2025-02-02,1.0,22.8517394901698,19.38078689575196,3.470952594417838,-0.15189008241192967,sardegna
Drift,2017-2018,latest,2018-01-21,2018-03-18,8.0,17.41,18.07717948717949,0.6671794871794887,0.03832162476619694,sardegna
Drift,2018-2019,latest,2019-03-24,2019-03-03,-3.0,8.19,3.284095744680851,4.9059042553191485,-0.5990115085859766,sardegna
Drift,2019-2020,latest,2020-03-08,2020-03-08,0.0,12.29,7.762264150943396,4.5277358490566035,-0.36840812441469517,sardegna
Drift,2020-2021,latest,2020-12-06,2020-12-13,1.0,0.0,7.824528301886793,7.824528301886793,,sardegna
Drift,2021-2022,latest,2022-03-13,2022-04-03,3.0,4.94,2.743653846153846,2.196346153846154,-0.4446044845842417,sardegna
Drift,2022-2023,latest,2023-01-01,2023-03-05,9.0,11.28,7.620724637681159,3.6592753623188408,-0.3244038441772022,sardegna
Drift,2023-2024,latest,2024-01-07,2024-02-25,7.0,20.23,18.7528,1.4771999999999998,-0.07302026693030152,sardegna
Drift,2024-2025,latest,2025-01-26,2025-03-23,8.0,22.8517394901698,23.29635971884859,0.44462022867879014,0.019456734524304103,sardegna
ETS,2017-2018,latest,2018-01-21,2018-01-28,1.0,17.41,17.00567379469256,0.40432620530744146,-0.023223791229606057,sardegna
ETS,2018-2019,latest,2019-03-24,2019-03-03,-3.0,8.19,3.653597465367806,4.5364025346321935,-0.5538953033738943,sardegna
ETS,2019-2020,latest,2020-03-08,2020-02-16,-3.0,12.29,7.591970997668039,4.69802900233196,-0.3822643614590692,sardegna
ETS,2020-2021,latest,2020-12-06,2020-12-13,1.0,0.0,7.591970997668039,7.591970997668039,,sardegna
ETS,2021-2022,latest,2022-03-13,2022-04-03,3.0,4.94,2.682854518461888,2.2571454815381125,-0.4569120407971887,sardegna
ETS,2022-2023,latest,2023-01-01,2023-01-15,2.0,11.28,7.838665343478794,3.4413346565212057,-0.3050828596206743,sardegna
ETS,2023-2024,latest,2024-01-07,2024-01-07,0.0,20.23,17.824975943601018,2.4050240563989824,-0.11888403640133378,sardegna
ETS,2024-2025,latest,2025-01-26,2025-02-02,1.0,22.8517394901698,22.10665507035261,0.7450844198171893,-0.03260515113686223,sardegna
LightGBM,2017-2018,latest,2018-01-21,2018-01-28,1.0,17.41,10.102764794719157,7.307235205280843,-0.41971483086047345,sardegna
LightGBM,2018-2019,latest,2019-03-24,2019-01-27,-8.0,8.19,10.352769468322526,2.1627694683225265,0.26407441615659666,sardegna
LightGBM,2019-2020,latest,2020-03-08,2020-02-23,-2.0,12.29,13.785612191182912,1.4956121911829126,0.12169342483180738,sardegna
LightGBM,2020-2021,latest,2020-12-06,2021-04-04,17.0,0.0,14.067537328433334,14.067537328433334,,sardegna
LightGBM,2021-2022,latest,2022-03-13,2022-01-30,-6.0,4.94,7.52039321121608,2.5803932112160792,0.5223468038898945,sardegna
LightGBM,2022-2023,latest,2023-01-01,2023-02-05,5.0,11.28,10.700122496302374,0.5798775036976256,-0.05140758011503773,sardegna
LightGBM,2023-2024,latest,2024-01-07,2024-03-24,11.0,20.23,14.266943617149275,5.963056382850725,-0.29476304413498394,sardegna
LightGBM,2024-2025,latest,2025-01-26,2025-02-09,2.0,22.8517394901698,14.440406573020988,8.41133291714881,-0.36808282891405875,sardegna
MovingAverage,2017-2018,latest,2018-01-21,2018-03-25,9.0,17.41,5.426153846153847,11.983846153846153,-0.6883311978085097,sardegna
MovingAverage,2018-2019,latest,2019-03-24,2018-11-04,-20.0,8.19,5.426153846153847,2.7638461538461527,-0.33746595285056813,sardegna
MovingAverage,2019-2020,latest,2020-03-08,2019-11-03,-18.0,12.29,3.7813461538461537,8.508653846153845,-0.6923233398009638,sardegna
MovingAverage,2020-2021,latest,2020-12-06,2020-12-20,2.0,0.0,2.4240384615384616,2.4240384615384616,,sardegna
MovingAverage,2021-2022,latest,2022-03-13,2021-11-07,-18.0,4.94,2.1532692307692307,2.7867307692307697,-0.5641155403301152,sardegna
MovingAverage,2022-2023,latest,2023-01-01,2023-03-12,10.0,11.28,2.245384615384615,9.034615384615385,-0.8009410801963994,sardegna
MovingAverage,2023-2024,latest,2024-01-07,2024-04-28,16.0,20.23,7.161730769230768,13.068269230769232,-0.6459846381991711,sardegna
MovingAverage,2024-2025,latest,2025-01-26,2025-02-02,1.0,22.8517394901698,8.792913846820609,14.05882564334919,-0.6152190580238724,sardegna
Naive,2017-2018,latest,2018-01-21,2018-01-28,1.0,17.41,17.41,0.0,0.0,sardegna
Naive,2018-2019,latest,2019-03-24,2019-03-03,-3.0,8.19,3.29,4.8999999999999995,-0.5982905982905983,sardegna
Naive,2019-2020,latest,2020-03-08,2020-02-16,-3.0,12.29,7.7,4.589999999999999,-0.3734743694060211,sardegna
Naive,2020-2021,latest,2020-12-06,2020-12-13,1.0,0.0,7.7,7.7,,sardegna
Naive,2021-2022,latest,2022-03-13,2022-04-03,3.0,4.94,2.75,2.1900000000000004,-0.4433198380566802,sardegna
Naive,2022-2023,latest,2023-01-01,2023-01-15,2.0,11.28,7.53,3.749999999999999,-0.33244680851063824,sardegna
Naive,2023-2024,latest,2024-01-07,2024-01-07,0.0,20.23,18.38,1.8500000000000014,-0.09144834404349982,sardegna
Naive,2024-2025,latest,2025-01-26,2025-02-02,1.0,22.8517394901698,22.8517394901698,0.0,0.0,sardegna
Prophet,2017-2018,latest,2018-01-21,2018-03-18,8.0,17.41,11.06850530967582,6.341494690324181,-0.3642443819830087,sardegna
Prophet,2018-2019,latest,2019-03-24,2019-01-27,-8.0,8.19,9.788743446286263,1.5987434462862637,0.19520676999832282,sardegna
Prophet,2019-2020,latest,2020-03-08,2020-03-08,0.0,12.29,7.315325673871525,4.974674326128474,-0.40477415184121024,sardegna
Prophet,2020-2021,latest,2020-12-06,2021-04-04,17.0,0.0,6.717323593276663,6.717323593276663,,sardegna
Prophet,2021-2022,latest,2022-03-13,2022-04-24,6.0,4.94,4.816074192217978,0.12392580778202245,-0.02508619590729199,sardegna
Prophet,2022-2023,latest,2023-01-01,2022-11-13,-7.0,11.28,5.5945006401116135,5.685499359888386,-0.5040336311957789,sardegna
Prophet,2023-2024,latest,2024-01-07,2024-04-28,16.0,20.23,8.790493354898498,11.439506645101503,-0.5654723996589966,sardegna
Prophet,2024-2025,latest,2025-01-26,2025-03-23,8.0,22.8517394901698,11.816915656927678,11.03482383324212,-0.4828876960543421,sardegna
Ridge,2017-2018,latest,2018-01-21,2018-01-28,1.0,17.41,16.688994849620816,0.7210051503791846,-0.041413276874163386,sardegna
Ridge,2018-2019,latest,2019-03-24,2019-01-27,-8.0,8.19,8.024548700814641,0.16545129918535828,-0.02020162383215608,sardegna
