origin,target_date,horizon,quantile,value,model,region
2015-01-04,2015-01-11,1,0.01,9.318634552823385,Naive,sicilia
2015-01-04,2015-01-11,1,0.025,9.630686068058756,Naive,sicilia
2015-01-04,2015-01-11,1,0.05,9.899067586377852,Naive,sicilia
2015-01-04,2015-01-11,1,0.1,10.208494288803603,Naive,sicilia
2015-01-04,2015-01-11,1,0.15,10.417263015923693,Naive,sicilia
2015-01-04,2015-01-11,1,0.2,10.583185782135413,Naive,sicilia
2015-01-04,2015-01-11,1,0.25,10.725532741501825,Naive,sicilia
2015-01-04,2015-01-11,1,0.3,10.85336471043059,Naive,sicilia
2015-01-04,2015-01-11,1,0.35,10.971820080414798,Naive,sicilia
2015-01-04,2015-01-11,1,0.4,11.084222642753923,Naive,sicilia
2015-01-04,2015-01-11,1,0.45,11.192973422641284,Naive,sicilia
2015-01-04,2015-01-11,1,0.5,11.3,Naive,sicilia
2015-01-04,2015-01-11,1,0.55,11.407026577358716,Naive,sicilia
2015-01-04,2015-01-11,1,0.6,11.515777357246078,Naive,sicilia
2015-01-04,2015-01-11,1,0.65,11.628179919585204,Naive,sicilia
2015-01-04,2015-01-11,1,0.7,11.746635289569411,Naive,sicilia
2015-01-04,2015-01-11,1,0.75,11.87446725849818,Naive,sicilia
2015-01-04,2015-01-11,1,0.8,12.016814217864589,Naive,sicilia
2015-01-04,2015-01-11,1,0.85,12.182736984076309,Naive,sicilia
2015-01-04,2015-01-11,1,0.9,12.391505711196396,Naive,sicilia
2015-01-04,2015-01-11,1,0.95,12.700932413622148,Naive,sicilia
2015-01-04,2015-01-11,1,0.975,12.969313931941246,Naive,sicilia
2015-01-04,2015-01-11,1,0.99,13.281365447176618,Naive,sicilia
2015-01-04,2015-01-18,2,0.01,8.497926112585395,Naive,sicilia
2015-01-04,2015-01-18,2,0.025,8.939233597590336,Naive,sicilia
2015-01-04,2015-01-18,2,0.05,9.318782380687486,Naive,sicilia
2015-01-04,2015-01-18,2,0.1,9.756377819818368,Naive,sicilia
2015-01-04,2015-01-18,2,0.15,10.051621385110964,Naive,sicilia
2015-01-04,2015-01-18,2,0.2,10.286271611394035,Naive,sicilia
2015-01-04,2015-01-18,2,0.25,10.487580611892588,Naive,sicilia
2015-01-04,2015-01-18,2,0.3,10.668362316056506,Naive,sicilia
2015-01-04,2015-01-18,2,0.35,10.835883506824093,Naive,sicilia
2015-01-04,2015-01-18,2,0.4,10.994844734929572,Naive,sicilia
2015-01-04,2015-01-18,2,0.45,11.14864156276493,Naive,sicilia
2015-01-04,2015-01-18,2,0.5,11.3,Naive,sicilia
2015-01-04,2015-01-18,2,0.55,11.451358437235072,Naive,sicilia
2015-01-04,2015-01-18,2,0.6,11.60515526507043,Naive,sicilia
2015-01-04,2015-01-18,2,0.65,11.764116493175909,Naive,sicilia
2015-01-04,2015-01-18,2,0.7,11.931637683943496,Naive,sicilia
2015-01-04,2015-01-18,2,0.75,12.112419388107414,Naive,sicilia
2015-01-04,2015-01-18,2,0.8,12.313728388605965,Naive,sicilia
2015-01-04,2015-01-18,2,0.85,12.548378614889035,Naive,sicilia
2015-01-04,2015-01-18,2,0.9,12.843622180181637,Naive,sicilia
2015-01-04,2015-01-18,2,0.95,13.281217619312516,Naive,sicilia
2015-01-04,2015-01-18,2,0.975,13.660766402409664,Naive,sicilia
2015-01-04,2015-01-18,2,0.99,14.102073887414608,Naive,sicilia
2015-01-04,2015-02-01,4,0.01,7.337269105646765,Naive,sicilia
2015-01-04,2015-02-01,4,0.025,7.961372136117513,Naive,sicilia
2015-01-04,2015-02-01,4,0.05,8.498135172755706,Naive,sicilia
2015-01-04,2015-02-01,4,0.1,9.11698857760721,Naive,sicilia
2015-01-04,2015-02-01,4,0.15,9.534526031847388,Naive,sicilia
2015-01-04,2015-02-01,4,0.2,9.866371564270825,Naive,sicilia
2015-01-04,2015-02-01,4,0.25,10.151065483003649,Naive,sicilia
2015-01-04,2015-02-01,4,0.3,10.40672942086118,Naive,sicilia
2015-01-04,2015-02-01,4,0.35,10.643640160829593,Naive,sicilia
2015-01-04,2015-02-01,4,0.4,10.868445285507844,Naive,sicilia
2015-01-04,2015-02-01,4,0.45,11.085946845282566,Naive,sicilia
2015-01-04,2015-02-01,4,0.5,11.3,Naive,sicilia
2015-01-04,2015-02-01,4,0.55,11.514053154717436,Naive,sicilia
2015-01-04,2015-02-01,4,0.6,11.731554714492155,Naive,sicilia
2015-01-04,2015-02-01,4,0.65,11.956359839170409,Naive,sicilia
2015-01-04,2015-02-01,4,0.7,12.193270579138822,Naive,sicilia
2015-01-04,2015-02-01,4,0.75,12.448934516996356,Naive,sicilia
2015-01-04,2015-02-01,4,0.8,12.733628435729178,Naive,sicilia
2015-01-04,2015-02-01,4,0.85,13.065473968152617,Naive,sicilia
2015-01-04,2015-02-01,4,0.9,13.483011422392792,Naive,sicilia
2015-01-04,2015-02-01,4,0.95,14.101864827244295,Naive,sicilia
2015-01-04,2015-02-01,4,0.975,14.638627863882489,Naive,sicilia
2015-01-04,2015-02-01,4,0.99,15.262730894353236,Naive,sicilia
2015-01-04,2015-03-01,8,0.01,5.69585222517079,Naive,sicilia
2015-01-04,2015-03-01,8,0.025,6.578467195180671,Naive,sicilia
2015-01-04,2015-03-01,8,0.05,7.337564761374971,Naive,sicilia
2015-01-04,2015-03-01,8,0.1,8.212755639636732,Naive,sicilia
2015-01-04,2015-03-01,8,0.15,8.803242770221928,Naive,sicilia
2015-01-04,2015-03-01,8,0.2,9.272543222788071,Naive,sicilia
2015-01-04,2015-03-01,8,0.25,9.675161223785176,Naive,sicilia
2015-01-04,2015-03-01,8,0.3,10.03672463211301,Naive,sicilia
2015-01-04,2015-03-01,8,0.35,10.371767013648189,Naive,sicilia
2015-01-04,2015-03-01,8,0.4,10.689689469859143,Naive,sicilia
2015-01-04,2015-03-01,8,0.45,10.997283125529858,Naive,sicilia
2015-01-04,2015-03-01,8,0.5,11.3,Naive,sicilia
2015-01-04,2015-03-01,8,0.55,11.602716874470143,Naive,sicilia
2015-01-04,2015-03-01,8,0.6,11.910310530140856,Naive,sicilia
2015-01-04,2015-03-01,8,0.65,12.228232986351816,Naive,sicilia
2015-01-04,2015-03-01,8,0.7,12.563275367886993,Naive,sicilia
2015-01-04,2015-03-01,8,0.75,12.924838776214829,Naive,sicilia
2015-01-04,2015-03-01,8,0.8,13.327456777211928,Naive,sicilia
2015-01-04,2015-03-01,8,0.85,13.796757229778072,Naive,sicilia
2015-01-04,2015-03-01,8,0.9,14.387244360363267,Naive,sicilia
2015-01-04,2015-03-01,8,0.95,15.26243523862503,Naive,sicilia
2015-01-04,2015-03-01,8,0.975,16.02153280481933,Naive,sicilia
2015-01-04,2015-03-01,8,0.99,16.904147774829212,Naive,sicilia
2015-03-01,2015-03-08,1,0.01,1.486039034012864,Naive,sicilia
2015-03-01,2015-03-08,1,0.025,1.804799052319188,Naive,sicilia
2015-03-01,2015-03-08,1,0.05,2.078950253373112,Naive,sicilia
2015-03-01,2015-03-08,1,0.1,2.395029030479197,Naive,sicilia
2015-03-01,2015-03-08,1,0.15,2.608285880805312,Naive,sicilia
2015-03-01,2015-03-08,1,0.2,2.7777756650647785,Naive,sicilia
2015-03-01,2015-03-08,1,0.25,2.923182808302849,Naive,sicilia
2015-03-01,2015-03-08,1,0.3,3.053762916927324,Naive,sicilia
2015-03-01,2015-03-08,1,0.35,3.1747648478942905,Naive,sicilia
2015-03-01,2015-03-08,1,0.4,3.2895838475773145,Naive,sicilia
2015-03-01,2015-03-08,1,0.45,3.400672558560098,Naive,sicilia
2015-03-01,2015-03-08,1,0.5,3.51,Naive,sicilia
2015-03-01,2015-03-08,1,0.55,3.6193274414399017,Naive,sicilia
2015-03-01,2015-03-08,1,0.6,3.730416152422685,Naive,sicilia
2015-03-01,2015-03-08,1,0.65,3.845235152105709,Naive,sicilia
2015-03-01,2015-03-08,1,0.7,3.966237083072676,Naive,sicilia
2015-03-01,2015-03-08,1,0.75,4.09681719169715,Naive,sicilia
2015-03-01,2015-03-08,1,0.8,4.242224334935221,Naive,sicilia
2015-03-01,2015-03-08,1,0.85,4.411714119194688,Naive,sicilia
2015-03-01,2015-03-08,1,0.9,4.6249709695208026,Naive,sicilia
2015-03-01,2015-03-08,1,0.95,4.941049746626888,Naive,sicilia
2015-03-01,2015-03-08,1,0.975,5.215200947680811,Naive,sicilia
2015-03-01,2015-03-08,1,0.99,5.533960965987136,Naive,sicilia
