model,horizon,MAE,RMSE,sMAPE,MASE,WIS,CRPS,PinballLoss,Coverage95,Coverage95_Dist,region
ARIMA,1,0.9621254225772161,1.382281556120344,18.203025031559417,0.7182101919898828,0.6806347636119601,0.7444961549044472,0.34031738180598003,0.8260869565217391,0.12391304347826082,sicilia
ARIMA,2,1.2861575799649652,1.8151151602268802,26.586243330660224,0.9600946620467727,0.8898198308252756,0.9775597766922813,0.4449099154126378,0.8695652173913043,0.08043478260869563,sicilia
ARIMA,4,2.5182581227350953,3.4755600148386936,45.76235762334153,1.879836669282586,1.7370685502044465,1.8941524673746475,0.8685342751022233,0.8260869565217391,0.12391304347826082,sicilia
ARIMA,8,4.551379529053058,5.587633007519734,81.90895048472706,3.3975270673379128,2.991127294809428,3.306584191324494,1.495563647404714,0.782608695652174,0.167391304347826,sicilia
CatBoost,1,1.195820814380332,2.01364945690184,23.10339258500041,0.8926598097585021,1.022437278673626,1.100826263802959,0.5112186393368131,0.8695652173913043,0.08043478260869563,sicilia
CatBoost,2,1.453767563281335,2.1784355547274656,28.679262562672626,1.0852126513153806,1.0816791704468391,1.1846707308082305,0.5408395852234196,0.9130434782608695,0.036956521739130443,sicilia
CatBoost,4,2.294382112980299,3.71536596323812,42.21728906558664,1.7127170524687847,1.8135827012337358,1.9506071650433086,0.9067913506168679,0.8695652173913043,0.08043478260869563,sicilia
CatBoost,8,3.1394242005471162,4.50365816744642,59.446786572491675,2.343526535005025,2.3111262162839323,2.5325736268796164,1.1555631081419657,0.8260869565217391,0.12391304347826082,sicilia
Chronos-Bolt-small,1,0.8427091086085846,1.3311668940633652,16.350073174579826,0.6290679535981395,0.6689371817697262,0.7227352627013891,0.3344685908848631,0.8260869565217391,0.12391304347826082,sicilia
Chronos-Bolt-small,2,1.087862350942379,1.592291676681832,21.42281566256474,0.8120706610537426,0.7713771843452755,0.8421112763115108,0.38568859217263773,0.9130434782608695,0.036956521739130443,sicilia
Chronos-Bolt-small,4,1.8937812840139685,2.9119754394608997,33.03566084944959,1.413675377099144,1.350782731504252,1.4604413323673229,0.6753913657521262,0.9130434782608695,0.036956521739130443,sicilia
Chronos-Bolt-small,8,2.723278897358017,3.412936978118256,53.82713859863072,2.032881175173943,1.7608700078832982,1.9552056386511847,0.8804350039416491,0.8260869565217391,0.12391304347826082,sicilia
Chronos-V2,1,0.9586831360158814,1.5073785261646775,18.179883924231248,0.7156405838763398,0.6677118090297635,0.7418306782209997,0.3338559045148817,0.9565217391304348,0.006521739130434856,sicilia
Chronos-V2,2,1.2734157077220443,1.8620779322164998,23.975081945243353,0.9505830720865102,0.8705960522637303,0.9711221962724881,0.43529802613186513,0.9565217391304348,0.006521739130434856,sicilia
Chronos-V2,4,2.060999086693549,3.2348686832853857,31.865824404891143,1.5385006102220005,1.4654961429061226,1.619408754617577,0.7327480714530611,0.9130434782608695,0.036956521739130443,sicilia
Chronos-V2,8,2.79001827512616,3.6556872918552688,49.29401971492234,2.082700980570777,1.7653852245875414,1.985907358413046,0.8826926122937707,0.9565217391304348,0.006521739130434856,sicilia
Drift,1,0.9440473220842172,1.3888636371373708,17.785058107792,0.7047151987995879,0.6739272604741727,0.7375670996333115,0.33696363023708636,0.8695652173913043,0.08043478260869563,sicilia
Drift,2,1.2224117277619704,1.7301577181186811,23.960059084281927,0.9125094723460014,0.8503888579367628,0.9345404230471226,0.4251944289683814,0.8695652173913043,0.08043478260869563,sicilia
Drift,4,2.438934598559308,3.3146254866334584,40.06441485121153,1.8206230135670975,1.7008035398935664,1.8581772093895854,0.8504017699467832,0.782608695652174,0.167391304347826,sicilia
Drift,8,4.415099284263332,5.451431199218349,68.34667988788792,3.2957961926743216,3.0574739586659776,3.355866600565373,1.5287369793329888,0.6086956521739131,0.3413043478260869,sicilia
ETS,1,0.9420545584339031,1.389716320262331,17.823757960392065,0.7032276347769589,0.6729636861248933,0.7362153156054975,0.33648184306244666,0.8695652173913043,0.08043478260869563,sicilia
ETS,2,1.2133430061863557,1.7215311379992062,23.97390985066176,0.905739826610544,0.8441563174807748,0.9277080053404511,0.4220781587403874,0.8695652173913043,0.08043478260869563,sicilia
ETS,4,2.4150699998895235,3.2914073121160263,39.69192234313501,1.8028084983384327,1.678452680691132,1.8335768548645677,0.839226340345566,0.782608695652174,0.167391304347826,sicilia
ETS,8,4.337814795947948,5.356737086418437,67.66346898029558,3.238104642395827,2.994101717616819,3.2882593805939253,1.4970508588084095,0.6086956521739131,0.3413043478260869,sicilia
LightGBM,1,1.353700718191402,2.1899829513478593,25.51206889864252,1.0105144608951033,1.1427989740198252,1.2210172613504182,0.5713994870099126,0.8260869565217391,0.12391304347826082,sicilia
LightGBM,2,1.59084234905276,2.1865609317829966,32.49973516380376,1.1875366372486866,1.1898019761386185,1.3029661693727383,0.5949009880693092,0.782608695652174,0.167391304347826,sicilia
LightGBM,4,2.541635829298778,3.7060165204473394,47.05096929278427,1.8972877278716114,1.9502155606270475,2.120182530347807,0.9751077803135237,0.8695652173913043,0.08043478260869563,sicilia
LightGBM,8,4.4181275639404465,5.392803237637092,81.25514152298284,3.2980567517212633,2.862438569621975,3.172806769820983,1.4312192848109873,0.9130434782608695,0.036956521739130443,sicilia
MovingAverage,1,3.4508937866003198,4.386957761247357,60.175470514698645,2.5760332601667617,2.395071502092043,2.6185320028155474,1.1975357510460214,0.782608695652174,0.167391304347826,sicilia
MovingAverage,2,3.3509748917489506,4.165683714929015,59.80378644602868,2.5014455120721424,2.296789514473868,2.5220877809323317,1.1483947572369337,0.7391304347826086,0.2108695652173913,sicilia
MovingAverage,4,3.3972537735146475,4.427750472051885,55.991546249246504,2.53599190672928,2.3383858443155505,2.551051463211273,1.1691929221577753,0.8260869565217391,0.12391304347826082,sicilia
MovingAverage,8,2.838246640667219,3.918167792719652,50.50384314134637,2.118702631563241,2.033361440257814,2.24159939845575,1.0166807201289072,0.8695652173913043,0.08043478260869563,sicilia
Naive,1,0.9420234122018674,1.3897041081714945,17.823401448515988,0.7032043846468146,0.6731720527759839,0.7362908042740833,0.3365860263879919,0.8695652173913043,0.08043478260869563,sicilia
Naive,2,1.2133305555457172,1.7215101583906913,23.973999451627286,0.9057305324200013,0.8445006432612484,0.927821720930285,0.4222503216306242,0.8695652173913043,0.08043478260869563,sicilia
Naive,4,2.4150528550923176,3.291388207951394,39.69187086332886,1.8027957000402026,1.680273171573172,1.8350159326139377,0.840136585786586,0.782608695652174,0.167391304347826,sicilia
Naive,8,4.337797653585875,5.356730154003045,67.66335664563029,3.238091845915382,2.9985505345759975,3.2919614754137747,1.4992752672879988,0.6086956521739131,0.3413043478260869,sicilia
Prophet,1,3.3385320957557916,4.552138249494226,53.98744998358751,2.492157177423215,2.3450756318412136,2.5565409457769,1.1725378159206068,0.6521739130434783,0.2978260869565217,sicilia
Prophet,2,3.6702669870317606,4.639118399669492,61.54021315741227,2.7397916067420547,2.564285629008972,2.806059938739387,1.282142814504486,0.6086956521739131,0.3413043478260869,sicilia
Prophet,4,3.7394407448251967,4.850359430205366,59.65869432191791,2.791428635241318,2.6196020187911255,2.8614849907243447,1.3098010093955628,0.6956521739130435,0.2543478260869565,sicilia
Prophet,8,3.257168422093459,4.64243111724141,55.47073216583238,2.431420584967842,2.347716718454706,2.541499052266997,1.1738583592273526,0.782608695652174,0.167391304347826,sicilia
Ridge,1,0.9610599038327917,1.4382652504280062,22.767129439541325,0.7174148004493995,0.7557672360048567,0.808509169004709,0.37788361800242837,0.782608695652174,0.167391304347826,sicilia
Ridge,2,1.3852201591331195,1.9777788962430993,35.669396317118206,1.0340431851122913,1.1122172395970487,1.1890122567234689,0.5561086197985243,0.7391304347826086,0.2108695652173913,sicilia
Ridge,4,2.3120250521190058,3.6714706892262785,42.37940069140719,1.725887205141951,2.006261229784097,2.1278874914451693,1.0031306148920485,0.782608695652174,0.167391304347826,sicilia
Ridge,8,3.4953081685193026,4.9896148286610424,64.35733578160516,2.609187837539531,2.698005661940682,2.9637997467829735,1.349002830970341,0.8260869565217391,0.12391304347826082,sicilia
SARIMA,1,0.9444051512652893,1.37625689048464,18.123466734371014,0.7049823121704715,0.6758879715341525,0.7387679786351278,0.33794398576707624,0.8260869565217391,0.12391304347826082,sicilia
SARIMA,2,1.220399429950989,1.7957531257334098,26.133669571327346,0.9110073264061359,0.8725811551210462,0.9578141928554811,0.4362905775605231,0.8695652173913043,0.08043478260869563,sicilia
SARIMA,4,2.320338445852064,3.36185068741694,43.40488816260984,1.7320930115461863,1.6323806801698595,1.775196469302674,0.8161903400849297,0.8695652173913043,0.08043478260869563,sicilia
SARIMA,8,4.006634600979255,5.247843080913109,71.28741826577246,2.9908842843945056,2.6966931117668467,2.9762720050170786,1.3483465558834233,0.782608695652174,0.167391304347826,sicilia
SeasonalNaive,1,4.3975801473996015,5.737789380569827,82.26269656742993,3.282718456284514,2.9947301519667615,3.2938899884825257,1.4973650759833803,0.7391304347826086,0.2108695652173913,sicilia
SeasonalNaive,2,4.417142569273142,5.71502627017337,86.37953490371571,3.297321470028759,3.03745504472508,3.343835253259207,1.51872752236254,0.6956521739130435,0.2543478260869565,sicilia
