model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2018-01-14,2018-01-28,2.0,13.7,9.462373997475444,4.237626002524555,-0.30931576660763177,sicilia
ARIMA,2018-2019,latest,2019-01-27,2019-03-03,5.0,12.45,7.8618377722245265,4.588162227775473,-0.36852708656831107,sicilia
ARIMA,2019-2020,latest,2020-02-16,2020-03-08,3.0,9.05,9.264935560559485,0.21493556055948382,0.02374978569718053,sicilia
ARIMA,2020-2021,latest,2020-12-13,2020-12-13,0.0,2.39,9.281335259675522,6.891335259675522,2.8834038743412225,sicilia
ARIMA,2021-2022,latest,2022-04-03,2022-04-03,0.0,5.35,5.052150738113078,0.2978492618869213,-0.05567275923120024,sicilia
ARIMA,2022-2023,latest,2022-12-11,2023-01-15,5.0,14.0,11.975489903665322,2.0245100963346783,-0.1446078640239056,sicilia
ARIMA,2023-2024,latest,2024-01-07,2024-02-25,7.0,18.96,18.086721435756008,0.8732785642439929,-0.04605899600443,sicilia
ARIMA,2024-2025,latest,2025-01-26,2025-02-02,1.0,15.885000149015,16.24360129166591,0.3586011426509117,0.022574827780102218,sicilia
CatBoost,2017-2018,latest,2018-01-14,2018-01-28,2.0,13.7,8.25453857236615,5.44546142763385,-0.39747893632363873,sicilia
CatBoost,2018-2019,latest,2019-01-27,2019-03-03,5.0,12.45,6.809797826896732,5.640202173103267,-0.45302828699624637,sicilia
CatBoost,2019-2020,latest,2020-02-16,2020-02-23,1.0,9.05,8.283132543860386,0.7668674561396145,-0.08473673548504027,sicilia
CatBoost,2020-2021,latest,2020-12-13,2021-04-04,16.0,2.39,5.638325371430375,3.2483253714303753,1.3591319545733787,sicilia
CatBoost,2021-2022,latest,2022-04-03,2022-04-24,3.0,5.35,6.08103741283437,0.73103741283437,0.13664250707184486,sicilia
CatBoost,2022-2023,latest,2022-12-11,2023-01-15,5.0,14.0,10.274989105962652,3.7250108940373483,-0.2660722067169535,sicilia
CatBoost,2023-2024,latest,2024-01-07,2024-01-07,0.0,18.96,12.751911575535756,6.208088424464245,-0.3274308240751184,sicilia
CatBoost,2024-2025,latest,2025-01-26,2025-02-02,1.0,15.885000149015,15.117448899829348,0.7675512491856509,-0.04831924721343143,sicilia
Chronos-Bolt-small,2017-2018,latest,2018-01-14,2018-01-28,2.0,13.7,11.028101921081545,2.6718980789184545,-0.19502905685536165,sicilia
Chronos-Bolt-small,2018-2019,latest,2019-01-27,2019-03-03,5.0,12.45,7.331311702728271,5.118688297271729,-0.4111396222708216,sicilia
Chronos-Bolt-small,2019-2020,latest,2020-02-16,2020-02-16,0.0,9.05,9.37541389465332,0.3254138946533196,0.03595733642578117,sicilia
Chronos-Bolt-small,2020-2021,latest,2020-12-13,2020-12-13,0.0,2.39,5.676097869873047,3.2860978698730468,1.3749363472272162,sicilia
Chronos-Bolt-small,2021-2022,latest,2022-04-03,2022-01-02,-13.0,5.35,5.61249303817749,0.2624930381774906,0.04906411928551226,sicilia
Chronos-Bolt-small,2022-2023,latest,2022-12-11,2023-01-15,5.0,14.0,11.40338134765625,2.59661865234375,-0.18547276088169642,sicilia
Chronos-Bolt-small,2023-2024,latest,2024-01-07,2024-01-07,0.0,18.96,16.631549835205078,2.3284501647949227,-0.1228085529955128,sicilia
Chronos-Bolt-small,2024-2025,latest,2025-01-26,2025-02-02,1.0,15.885000149015,14.954448699951172,0.9305514490638274,-0.0585805124541676,sicilia
Chronos-V2,2017-2018,latest,2018-01-14,2018-01-28,2.0,13.7,9.839448928833008,3.8605510711669915,-0.28179204899029137,sicilia
Chronos-V2,2018-2019,latest,2019-01-27,2018-12-30,-4.0,12.45,7.517264366149902,4.932735633850097,-0.3962036653694857,sicilia
Chronos-V2,2019-2020,latest,2020-02-16,2020-02-16,0.0,9.05,8.789857864379883,0.2601421356201179,-0.028744987361338993,sicilia
Chronos-V2,2020-2021,latest,2020-12-13,2021-04-04,16.0,2.39,4.746809959411621,2.356809959411621,0.9861129537287117,sicilia
Chronos-V2,2021-2022,latest,2022-04-03,2022-04-03,0.0,5.35,5.073391914367676,0.27660808563232386,-0.051702445912583904,sicilia
Chronos-V2,2022-2023,latest,2022-12-11,2023-01-15,5.0,14.0,10.676026344299316,3.3239736557006836,-0.23742668969290598,sicilia
Chronos-V2,2023-2024,latest,2024-01-07,2024-01-07,0.0,18.96,14.751707077026367,4.208292922973634,-0.221956377793968,sicilia
Chronos-V2,2024-2025,latest,2025-01-26,2025-02-02,1.0,15.885000149015,13.648605346679688,2.2363948023353117,-0.14078657735952158,sicilia
Drift,2017-2018,latest,2018-01-14,2018-03-18,9.0,13.7,11.692820512820514,2.007179487179485,-0.14650945161894052,sicilia
Drift,2018-2019,latest,2019-01-27,2019-04-21,12.0,12.45,8.102127659574467,4.347872340425532,-0.3492266940100829,sicilia
Drift,2019-2020,latest,2020-02-16,2020-03-08,3.0,9.05,8.989056603773586,0.0609433962264152,-0.006734076931095602,sicilia
Drift,2020-2021,latest,2020-12-13,2020-12-13,0.0,2.39,9.08811320754717,6.69811320754717,2.802557827425594,sicilia
Drift,2021-2022,latest,2022-04-03,2022-04-24,3.0,5.35,5.112307692307692,0.2376923076923072,-0.04442846872753406,sicilia
Drift,2022-2023,latest,2022-12-11,2023-03-05,12.0,14.0,12.262898550724636,1.7371014492753645,-0.12407867494824032,sicilia
Drift,2023-2024,latest,2024-01-07,2024-02-25,7.0,18.96,16.781333333333336,2.1786666666666648,-0.11490857946554138,sicilia
Drift,2024-2025,latest,2025-01-26,2025-03-23,8.0,15.885000149015,16.180060393569576,0.2950602445545769,0.018574771280242833,sicilia
ETS,2017-2018,latest,2018-01-14,2018-01-28,2.0,13.7,11.3002399992961,2.3997600007038997,-0.1751649635550292,sicilia
ETS,2018-2019,latest,2019-01-27,2019-03-03,5.0,12.45,7.92002501470213,4.529974985297869,-0.36385341247372444,sicilia
ETS,2019-2020,latest,2020-02-16,2020-02-16,0.0,9.05,8.88995399529982,0.16004600470018104,-0.017684641403334922,sicilia
ETS,2020-2021,latest,2020-12-13,2020-12-13,0.0,2.39,8.88995399529982,6.499953995299819,2.7196460231379995,sicilia
ETS,2021-2022,latest,2022-04-03,2022-04-03,0.0,5.35,5.08998998849952,0.26001001150048,-0.04860000214962243,sicilia
ETS,2022-2023,latest,2022-12-11,2023-01-15,5.0,14.0,12.02001300110134,1.97998699889866,-0.14142764277847572,sicilia
ETS,2023-2024,latest,2024-01-07,2024-01-07,0.0,18.96,16.439880987597142,2.5201190124028585,-0.13291766943053052,sicilia
ETS,2024-2025,latest,2025-01-26,2025-02-02,1.0,15.885000149015,15.88489286873494,0.00010728028005857482,-6.7535586435123245e-06,sicilia
LightGBM,2017-2018,latest,2018-01-14,2018-01-28,2.0,13.7,6.055486681776678,7.644513318223321,-0.5579936728630162,sicilia
LightGBM,2018-2019,latest,2019-01-27,2019-04-21,12.0,12.45,9.585631570019869,2.8643684299801304,-0.23006975341205868,sicilia
LightGBM,2019-2020,latest,2020-02-16,2020-02-23,1.0,9.05,9.037751602006908,0.012248397993092297,-0.0013534141428831266,sicilia
LightGBM,2020-2021,latest,2020-12-13,2020-12-13,0.0,2.39,8.88102626527441,6.49102626527441,2.715910571244523,sicilia
LightGBM,2021-2022,latest,2022-04-03,2022-01-30,-9.0,5.35,5.978730658275538,0.6287306582755381,0.11751974921038096,sicilia
LightGBM,2022-2023,latest,2022-12-11,2023-04-02,16.0,14.0,12.09682748226816,1.9031725177318393,-0.1359408941237028,sicilia
LightGBM,2023-2024,latest,2024-01-07,2024-02-25,7.0,18.96,13.120085247799189,5.839914752200812,-0.3080123814451905,sicilia
LightGBM,2024-2025,latest,2025-01-26,2025-02-02,1.0,15.885000149015,15.312029269505167,0.5729708795098318,-0.036069932271631786,sicilia
MovingAverage,2017-2018,latest,2018-01-14,2018-03-25,10.0,13.7,3.803653846153846,9.896346153846153,-0.7223610331274565,sicilia
MovingAverage,2018-2019,latest,2019-01-27,2019-04-28,13.0,12.45,5.401923076923077,7.0480769230769225,-0.5661105962310782,sicilia
MovingAverage,2019-2020,latest,2020-02-16,2019-12-22,-8.0,9.05,5.516153846153846,3.533846153846155,-0.39048023799405024,sicilia
MovingAverage,2020-2021,latest,2020-12-13,2020-12-20,1.0,2.39,5.054615384615384,2.664615384615384,1.1149018345671062,sicilia
MovingAverage,2021-2022,latest,2022-04-03,2021-11-07,-21.0,5.35,3.967307692307693,1.3826923076923068,-0.25844716031631904,sicilia
MovingAverage,2022-2023,latest,2022-12-11,2023-03-12,13.0,14.0,5.560769230769231,8.439230769230768,-0.6028021978021977,sicilia
MovingAverage,2023-2024,latest,2024-01-07,2024-04-28,16.0,18.96,8.574807692307692,10.385192307692309,-0.5477422103213243,sicilia
MovingAverage,2024-2025,latest,2025-01-26,2024-10-20,-14.0,15.885000149015,8.574807692307692,7.310192456707307,-0.4601946734738054,sicilia
Naive,2017-2018,latest,2018-01-14,2018-01-28,2.0,13.7,11.3,2.3999999999999986,-0.17518248175182471,sicilia
Naive,2018-2019,latest,2019-01-27,2019-03-03,5.0,12.45,7.92,4.529999999999999,-0.36385542168674695,sicilia
Naive,2019-2020,latest,2020-02-16,2020-02-16,0.0,9.05,8.89,0.16000000000000014,-0.01767955801104974,sicilia
Naive,2020-2021,latest,2020-12-13,2020-12-13,0.0,2.39,8.89,6.5,2.719665271966527,sicilia
Naive,2021-2022,latest,2022-04-03,2022-04-03,0.0,5.35,5.09,0.2599999999999998,-0.04859813084112146,sicilia
Naive,2022-2023,latest,2022-12-11,2023-01-15,5.0,14.0,12.02,1.9800000000000004,-0.14142857142857146,sicilia
Naive,2023-2024,latest,2024-01-07,2024-01-07,0.0,18.96,16.44,2.5199999999999996,-0.13291139240506325,sicilia
Naive,2024-2025,latest,2025-01-26,2025-02-02,1.0,15.885000149015,15.885000149015,0.0,0.0,sicilia
Prophet,2017-2018,latest,2018-01-14,2018-02-18,5.0,13.7,6.396999400903166,7.303000599096833,-0.5330657371603529,sicilia
Prophet,2018-2019,latest,2019-01-27,2019-03-10,6.0,12.45,8.299679539918209,4.15032046008179,-0.333359073098939,sicilia
Prophet,2019-2020,latest,2020-02-16,2020-02-09,-1.0,9.05,8.15357035669289,0.8964296433071102,-0.09905299926045416,sicilia
Prophet,2020-2021,latest,2020-12-13,2021-04-04,16.0,2.39,8.105385135744685,5.715385135744684,2.391374533784387,sicilia
Prophet,2021-2022,latest,2022-04-03,2022-04-24,3.0,5.35,7.03410677754062,1.6841067775406202,0.31478631355899445,sicilia
Prophet,2022-2023,latest,2022-12-11,2023-04-02,16.0,14.0,7.289480458411109,6.710519541588891,-0.4793228243992065,sicilia
